groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts_y
AT1G64790	E067	11.6042685878488	0.23352024459259	16.2241224005414	5.62729919830703e-05	0.0129827345215492	0.0189427207208439	6.30780878918057	16.7684402838027	1	24082539	24082720	182	-	0	0	27	25	5	12	AT1G64790.2	AT1G64790:E067	AT1G64790	E067	95.3912088702049	0.005025868111776	267.006435712372	5.09749477009671e-60	2.6665165058868198e-55	16.0891373904381	2.8363586171705	-5.02843687919417	1	24082539	24082720	182	-	170	167	6	6	AT1G64790.2
AT1G67700	E010	1812.95358313782	0.0006757664077306	86.1089888345212	1.70287040134151e-20	6.83995010540897e-17	49.2074736685295	55.0215092872664	0.458510434588717	1	25375713	25375726	14	+	1456	1613	2030	2067	1667	2125	"c(""AT1G67700.1"", ""AT1G67700.4"", ""AT1G67700.3"")"	AT1G67700:E010	AT1G67700	E010	1848.64996136948	0.0002592747696625	95.4853435381801	1.48990257570976e-22	2.92264876385886e-18	45.068602275379	51.3674498106183	0.425886315512669	1	25375713	25375726	14	+	1388	1330	2366	2532	"c(""AT1G67700.1"", ""AT1G67700.4"", ""AT1G67700.3"")"
AT1G77890+AT1G77910	E010	17.5635628277896	0.0132881856908516	16.7231486405811	4.32500439111256e-05	0.0104879347968509	8.49323423413826	5.22476516212774	-1.41285733771468	1	29293273	29293278	6	+	27	28	15	11	7	17	"c(""AT1G77890.4"", ""AT1G77890.1"", ""AT1G77890.2"", ""AT1G77890.5"")"	AT1G77890+AT1G77910:E010	AT1G77890+AT1G77910	E010	21.7441622965081	0.0163723097050436	15.440637263382	8.51376760960375e-05	0.0227527753438775	6.91347645231971	4.0948601270124	-1.51373165905852	1	29293273	29293278	6	+	27	30	12	15	"c(""AT1G77890.4"", ""AT1G77890.1"", ""AT1G77890.2"", ""AT1G77890.5"")"
AT2G06025	E015	209.272121562843	0.002648415558443	45.0953495401481	1.8767053763643398e-11	2.60167832405511e-08	17.4183104060068	23.0106696068032	0.857997800073092	2	2351549	2351671	123	+	108	138	236	278	249	263	"c(""AT2G06025.2"", ""AT2G06025.5"", ""AT2G06025.3"")"	AT2G06025:E015	AT2G06025	E015	87.664265253115	0.0059184685518151	17.1220227759684	3.50534795368873e-05	0.0137716341747368	9.15246207148883	12.530337266282	0.912370181396388	2	2351549	2351671	123	+	40	52	135	142	"c(""AT2G06025.2"", ""AT2G06025.5"", ""AT2G06025.3"")"
AT2G15000	E007	26.9794362919674	0.036277121351904	29.7673331776701	4.87131376520725e-08	3.23347899977647e-05	11.7799519563292	5.53629332408752	-2.20508373827816	2	6481828	6481870	43	-	57	44	17	10	6	27	"c(""AT2G15000.5"", ""AT2G15000.7"", ""AT2G15000.6"", ""AT2G15000.4"")"	AT2G15000:E007	AT2G15000	E007	29.8945405910529	0.0153234283676584	14.7876278775466	0.0001203223285607	0.0271687817890184	7.87969098024794	4.75831484671772	-1.45860207140652	2	6481828	6481870	43	-	48	34	15	18	"c(""AT2G15000.5"", ""AT2G15000.7"", ""AT2G15000.6"", ""AT2G15000.4"")"
AT2G22570	E004	48.2114417520327	0.0092957973771586	44.394024009469	2.6850547950745397e-11	3.56456952337302e-08	6.65247170136783	12.4146857075498	1.82698652104178	2	9589983	9590080	98	-	22	15	51	66	59	86	AT2G22570.2	AT2G22570:E004	AT2G22570	E004	6.86367864253401	0.0606771152320921	15.1365725832469	0.000100007025893	0.0244839353828703	1.22729797893189	4.41066446491357	3.69248890454929	2	9589983	9590080	98	-	0	2	14	14	AT2G22570.2
AT2G30770	E001	120.824693631172	0.145681939130137	15.8782166623031	6.75517735272615e-05	0.014976499166041	22.5379942166167	12.2537355039487	-1.84493666534803	2	13109909	13110238	330	-	117	117	139	137	100	112	AT2G30770.1	AT2G30770:E001	AT2G30770	E001	158.374274065955	0.0232741290251825	18.3452952251578	1.84273468033367e-05	0.0095755694079286	13.626992405648	16.6971100474701	0.593858293006868	2	13109909	13110238	330	-	156	127	125	238	AT2G30770.1
AT2G31450+AT2G31440	E007	176.063694594566	0.0033183331021486	13.0483463241956	0.000303552310194	0.0468032248981487	21.9161474321738	18.8249241093182	-0.469113559518543	2	13400859	13401080	222	-	215	214	165	149	153	156	"c(""AT2G31440.2"", ""AT2G31440.1"")"	AT2G31450+AT2G31440:E007	AT2G31450+AT2G31440	E007	200.86477767022	0.0018011518134493	19.6010290581832	9.54177918839152e-06	0.0060379070556994	18.4600979637841	15.3341181893221	-0.543943655620551	2	13400859	13401080	222	-	219	209	178	192	"c(""AT2G31440.2"", ""AT2G31440.1"")"
AT2G34410+AT2G08665	E006	44.1659808529689	0.0109904151980712	31.2020885740966	2.32515780282752e-08	1.69414241920249e-05	12.6555578011475	8.64358723989653	-1.12098138006522	2	14519442	14519498	57	+	46	56	39	30	33	67	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"	AT2G34410+AT2G08665:E006	AT2G34410+AT2G08665	E006	44.7977044472315	0.0109367814421288	32.1215151418339	1.4482455790589e-08	4.63880109084093e-05	10.0108514966651	6.1415917281069	-1.41486891882997	2	14519442	14519498	57	+	56	51	38	30	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"
AT2G34410+AT2G08665	E007	44.5219528364252	0.0066742310031174	45.5298350588772	1.50331415068005e-11	2.14088334847574e-08	13.0119335550281	8.53161959267356	-1.24142840847864	2	14519575	14519613	39	+	47	61	36	26	42	60	"c(""AT2G34410.2"", ""AT2G34410.1"")"	AT2G34410+AT2G08665:E007	AT2G34410+AT2G08665	E007	27.6073872194078	0.0180776286284873	24.2385276780984	8.51125383832391e-07	0.0011224198118504	8.04938583638597	4.59403834166488	-1.62180367513804	2	14519575	14519613	39	+	33	36	22	16	"c(""AT2G34410.2"", ""AT2G34410.1"")"
AT2G34410+AT2G08665	E008	43.3321263452229	0.0048945688945336	57.8730626346999	2.79589711222434e-14	5.61516505672009e-11	13.1320965761401	8.25294726146736	-1.36568028541597	2	14519614	14519647	34	+	51	59	32	28	41	52	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"	AT2G34410+AT2G08665:E008	AT2G34410+AT2G08665	E008	30.2747524288359	0.024542035557893	17.4867482660906	2.89317281218355e-05	0.0126021690349671	8.27085050531505	5.04173593952331	-1.43174495772067	2	14519614	14519647	34	+	44	29	18	28	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"
AT2G34410+AT2G08665	E015	72.1340510749577	0.0035034747710835	22.3964863761696	2.21779373066204e-06	0.0008908251884504	14.135891511986	11.7245161024019	-0.554853451062184	2	14521398	14521460	63	+	63	65	63	77	74	98	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"	AT2G34410+AT2G08665:E015	AT2G34410+AT2G08665	E015	54.3243726506146	0.0148469387322369	17.2167929449181	3.33475531269411e-05	0.0135226482164444	10.4211415448398	7.41288587598689	-0.987196872181251	2	14521398	14521460	63	+	60	56	57	42	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"
AT2G34410+AT2G08665	E016	83.460895987287	0.0113927625556814	19.6231057305661	9.43216213769823e-06	0.0029729719581382	15.70764711815	12.4158161535792	-0.701094643574179	2	14521553	14521609	57	+	87	72	60	82	81	131	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"	AT2G34410+AT2G08665:E016	AT2G34410+AT2G08665	E016	75.1051188198604	0.029413754566513	19.1000497620496	1.24041652846225e-05	0.0072634256055264	12.8590870501959	8.03648900623025	-1.36453462550964	2	14521553	14521609	57	+	83	94	71	45	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"
AT2G34410+AT2G08665	E018	180.744487580274	0.0026793688028451	48.4715386177793	3.3511737394694697e-12	5.07188153988416e-09	22.0602194327161	18.1837890887232	-0.595272689638953	2	14521898	14522057	160	+	165	162	153	186	190	247	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"	AT2G34410+AT2G08665:E018	AT2G34410+AT2G08665	E018	122.12474466807	0.00304171326898	15.9153509089841	6.62392883471548e-05	0.0196692204446319	14.1193254429456	12.450675752057	-0.366513817514698	2	14521898	14522057	160	+	108	106	129	153	"c(""AT2G34410.3"", ""AT2G34410.2"", ""AT2G34410.1"")"
AT2G34410+AT2G08665	E021	211.578440109353	0.0074738932052787	31.6049309927008	1.88949195312885e-08	1.40948901638829e-05	24.0105877322735	19.4270799219299	-0.659188885026079	2	14522172	14522521	350	+	200	193	227	216	185	260	AT2G34410.2	AT2G34410+AT2G08665:E021	AT2G34410+AT2G08665	E021	104.150769711477	0.0040440402846796	16.2235653777126	5.62895398966577e-05	0.0178817283107741	13.2412155950105	11.3332071379199	-0.452787817184649	2	14522172	14522521	350	+	100	88	118	115	AT2G34410.2
AT2G34410+AT2G08665	E023	288035.541658502	0.0007870383360022	33.496116897802	7.140641022500421e-09	5.94997711413157e-06	154.20105875221	159.471561761627	0.343755953335826	2	14522623	14523568	946	+	154947	164611	325000	304361	366927	460302	AT2G08665.1	AT2G34410+AT2G08665:E023	AT2G34410+AT2G08665	E023	120856.385578277	0.0008786847535572	44.3905739715496	2.68979083033255e-11	1.83526767302138e-07	178.16955941518	186.972690033819	0.337008230663244	2	14522623	14523568	946	+	82316	77365	163214	179240	AT2G08665.1
AT2G35390	E011	256.875341042067	0.0105685805164494	65.2754393512855	6.51280018623937e-16	1.59412996058558e-12	14.2001990925337	24.8937816496142	1.7207290586678	2	14897108	14897215	108	-	69	66	279	373	349	460	AT2G35390.1	AT2G35390:E011	AT2G35390	E011	90.272600919792	0.003918909026446	23.3024613066788	1.38422754284648e-06	0.0015741174820756	9.13824020787195	12.8115960917326	0.981510444098149	2	14897108	14897215	108	-	44	48	138	151	AT2G35390.1
AT2G35390	E012	419.110427119455	0.0045734893573366	149.330626677522	2.42812434332251e-34	2.9259271894627497e-30	17.5460392005016	30.9756116625242	1.79622944196003	2	14897216	14897437	222	-	101	109	516	607	542	719	"c(""AT2G35390.4"", ""AT2G35390.1"")"	AT2G35390:E012	AT2G35390	E012	129.207128530011	0.0033711996393087	39.0215272621898	4.19157938162e-10	2.26823704805865e-06	10.5581945885188	15.4971699937975	1.11778936013948	2	14897216	14897437	222	-	58	65	194	231	"c(""AT2G35390.4"", ""AT2G35390.1"")"
AT2G36680	E007	191.810231983516	0.0016635316720895	116.87972602032	3.05014872399586e-27	2.0774430343973901e-23	13.7289881761323	21.9544586979593	1.42565181109062	2	15369367	15369448	82	-	67	66	243	233	274	298	"c(""AT2G36680.4"", ""AT2G36680.3"")"	AT2G36680:E007	AT2G36680	E007	15.1270750897199	0.0245011269311076	15.6750428924577	7.52100600251128e-05	0.0208898936810637	2.74544369398527	5.91146873224378	2.21519612467015	2	15369367	15369448	82	-	4	5	30	26	"c(""AT2G36680.4"", ""AT2G36680.3"")"
AT2G39730	E002	781.889032594164	0.001412210782694	69.0645635345349	9.529225849693651e-17	2.53012252170544e-13	42.6712350026176	35.3624029376234	-0.674991218518302	2	16571067	16571179	113	-	823	933	756	777	607	801	AT2G39730.3	AT2G39730:E002	AT2G39730	E002	3517.65438309268	0.0002159889914119	22.4183628644012	2.19267581261565e-06	0.0020981634631072	65.5880407952686	61.9850760623464	-0.198994999841876	2	16571067	16571179	113	-	3545	3424	3366	3762	AT2G39730.3
AT2G39730	E003	16759.2152271246	0.0008518298130447	119.709980975372	7.32196627227796e-28	6.3722258915827006e-24	91.3453135935615	99.381240060071	0.537657428335537	2	16571180	16571190	11	-	10130	10810	21924	20021	17371	21496	"c(""AT2G39730.3"", ""AT2G39730.2"")"	AT2G39730:E003	AT2G39730	E003	19903.6687637267	0.0001167810411284	497.136101620029	3.99117089091184e-110	6.2633843908168604e-105	111.376015446941	123.635890865401	0.506742671267084	2	16571180	16571190	11	-	15548	15079	24525	26551	"c(""AT2G39730.3"", ""AT2G39730.2"")"
AT2G41060+AT2G41070	E003	808.015869531705	0.0010972635192	39.5267383850475	3.2359816098693403e-10	3.37948660766167e-07	39.8300813658449	37.3588693399095	-0.229322758764823	2	17127006	17128506	1501	+	681	737	750	738	922	1110	"c(""AT2G41060.2"", ""AT2G41060.1"", ""AT2G41060.3"")"	AT2G41060+AT2G41070:E003	AT2G41060+AT2G41070	E003	1355.27319039037	0.0005698898326554	16.378743166507	5.18636225787134e-05	0.017098760829622	42.7374003739028	41.7344595690292	-0.0753142667947664	2	17127006	17128506	1501	+	1308	1159	1416	1600	"c(""AT2G41060.2"", ""AT2G41060.1"", ""AT2G41060.3"")"
AT2G41640+AT2G41650	E005	615.345163695136	0.0085971399458759	36.0122415307612	1.96081784858823e-09	1.79629261764353e-06	29.2998049272232	35.644394238872	0.663008112103345	2	17361178	17362318	1141	+	336	356	782	805	669	789	"c(""AT2G41640.3"", ""AT2G41640.1"", ""AT2G41640.2"")"	AT2G41640+AT2G41650:E005	AT2G41640+AT2G41650	E005	218.310868482743	0.0016211156166802	13.7444819714904	0.0002094351627496	0.0373912053759497	16.3376819375225	18.9896831361784	0.441661962354414	2	17361178	17362318	1141	+	182	174	254	282	"c(""AT2G41640.3"", ""AT2G41640.1"", ""AT2G41640.2"")"
AT2G41640+AT2G41650	E007	120.800294917099	0.0347653910879947	50.1954972220539	1.39166780672097e-12	2.2709119297755603e-09	25.1969326253414	10.3871034176367	-2.68437153478895	2	17362645	17362890	246	+	242	251	76	55	38	42	AT2G41650.1	AT2G41640+AT2G41650:E007	AT2G41640+AT2G41650	E007	148.644828549738	0.0089537357820484	116.329281970709	4.02584100346534e-27	1.0529654241913699e-22	18.7591056772448	7.58250299298768	-2.63771804494787	2	17362645	17362890	246	+	213	258	40	44	AT2G41650.1
AT2G41640+AT2G41650	E008	535.365456632741	0.0244591534103291	102.629693691231	4.0403175376679104e-24	2.10974607636918e-20	47.2254273495687	20.6688276688084	-2.80720917342257	2	17362891	17363788	898	+	1021	1227	276	246	151	211	"c(""AT2G41640.2"", ""AT2G41650.1"")"	AT2G41640+AT2G41650:E008	AT2G41640+AT2G41650	E008	479.919421081854	0.0038141075818129	293.518272945565	8.51083419611216e-66	6.67806860615039e-61	32.5844785059053	14.7872938525535	-2.3481261600515	2	17362891	17363788	898	+	718	762	166	156	"c(""AT2G41640.2"", ""AT2G41650.1"")"
AT2G41640+AT2G41650	E010	2436.63734191577	0.0041876665486423	36.0403459192117	1.93273973618211e-09	1.78098555972e-06	56.5992129631293	57.6233147673391	0.0776457522612031	2	17364033	17364518	486	+	1848	1901	2395	2568	2574	3662	AT2G41650.1	AT2G41640+AT2G41650:E010	AT2G41640+AT2G41650	E010	2075.14867115325	0.0008563684734419	241.0256648979	2.34999394667834e-54	9.21967250115447e-50	47.6192027289385	54.4611945200261	0.442878361983434	2	17364033	17364518	486	+	1760	1623	2408	2690	AT2G41650.1
AT2G41840+AT2G41835	E001	144.226053918979	0.0018352984582418	26.5939524326027	2.51028292930722e-07	0.0001365419588339	20.4764903638276	16.8006777794921	-0.604061098611838	2	17457699	17458760	1062	-	187	183	113	122	127	131	AT2G41835.1	AT2G41840+AT2G41835:E001	AT2G41840+AT2G41835	E001	206.372404337473	0.0055000035916929	12.8555762408376	0.0003364750775558	0.0481343394675625	18.8692403823892	15.2785925378366	-0.619046200684855	2	17457699	17458760	1062	-	236	222	148	212	AT2G41835.1
AT3G01090+AT3G01100	E027	103.435095948304	0.0038181935563863	13.7034418796997	0.0002140618167371	0.0366483188147585	13.4263887932263	16.423359170662	0.603097958535026	3	36950	37138	189	-	73	76	103	125	109	146	"c(""AT3G01100.2"", ""AT3G01100.1"", ""AT3G01100.4"", ""AT3G01100.3"")"	AT3G01090+AT3G01100:E027	AT3G01090+AT3G01100	E027	120.242212846752	0.0030421512519933	19.6375014171774	9.36136532242888e-06	0.0059477264024861	11.32208764732	14.6746103854486	0.755480110075186	3	36950	37138	189	-	82	75	164	179	"c(""AT3G01100.2"", ""AT3G01100.1"", ""AT3G01100.4"", ""AT3G01100.3"")"
AT3G01790	E001	754.259524686595	0.0015746961738399	26.8869531135763	2.1571015911664e-07	0.0001198277583189	35.5476081110613	39.3925261490109	0.363744698319257	3	283179	283660	482	-	618	694	837	790	715	915	AT3G01790.2	AT3G01790:E001	AT3G01790	E001	616.340760705337	0.0008991372964185	30.9051712752231	2.70948842759067e-08	8.17697554673522e-05	27.2789780153911	31.2143339738547	0.407487751973747	3	283179	283660	482	-	572	474	747	713	AT3G01790.2
AT3G02410	E001	310.380401375713	0.0318139704708337	21.5475069249654	3.45171102726198e-06	0.001287422466292	30.3687676928646	22.186158452826	-1.00872647591578	3	489670	491927	2258	-	308	322	262	297	324	368	AT3G02410.1	AT3G02410:E001	AT3G02410	E001	614.694564909805	0.0022450865654427	14.9777586942375	0.0001087858372526	0.025595007834927	29.4332593048601	28.9255643369252	-0.0526050342061168	3	489670	491927	2258	-	590	515	720	659	AT3G02410.1
AT3G04610	E009	241.381696260966	0.002598601753785	42.3242978123306	7.732588361057789e-11	9.03974202937631e-08	18.819940846666	24.3109428943707	0.795776124343392	3	1254283	1254768	486	-	128	152	286	266	279	373	"c(""AT3G04610.2"", ""AT3G04610.3"")"	AT3G04610:E009	AT3G04610	E009	77.2930041400683	0.0079695609035514	20.4292380006239	6.1877189588518e-06	0.004495578351535	8.31308474639806	12.3114151338331	1.13981894579845	3	1254283	1254768	486	-	48	36	108	134	"c(""AT3G04610.2"", ""AT3G04610.3"")"
AT3G06160+AT3G06170	E010	78.1389518245792	0.015494863789108	30.1599040214095	3.97850248516797e-08	2.67073669450992e-05	8.81984642522795	14.8822961500135	1.54455511376665	3	1866137	1866659	523	+	34	25	80	121	119	96	"c(""AT3G06160.5"", ""AT3G06160.1"", ""AT3G06160.2"", ""AT3G06160.4"", ""AT3G06160.3"")"	AT3G06160+AT3G06170:E010	AT3G06160+AT3G06170	E010	189.143143359745	0.0019518277056343	17.8305979575117	2.41468821231379e-05	0.0111125934265869	14.8852038374152	17.8671417813978	0.534824766322905	3	1866137	1866659	523	+	145	134	243	257	"c(""AT3G06160.5"", ""AT3G06160.1"", ""AT3G06160.2"", ""AT3G06160.4"", ""AT3G06160.3"")"
AT3G09670	E003	2.79585975664939	0.0906354645820196	16.0805412412223	6.07046015964403e-05	0.0138420629538363	4.08612237585409	0.809410671987578	-4.67550447045097	3	2966514	2966520	7	+	8	7	1	0	0	0	AT3G09670.2	AT3G09670:E003	AT3G09670	E003	6.56546020518141	0.0994540751091478	20.1993795225365	6.97755641870942e-06	0.0048883701176093	4.29209722855981	0.0259799856826817	-14.7377834047525	3	2966514	2966520	7	+	16	8	0	0	AT3G09670.2
AT3G09800	E010	126.612538364326	0.003863231024854	18.1681218248347	2.02235782316016e-05	0.0054810795452194	13.2768207327304	16.9191324110686	0.72621650610432	3	3007939	3008263	325	-	59	54	170	164	151	174	"c(""AT3G09800.3"", ""AT3G09800.4"")"	AT3G09800:E010	AT3G09800	E010	23.3101777483773	0.023459074651755	14.7913566394893	0.0001200846441357	0.027154183413347	3.86191977324728	7.17217824281443	1.78917310748643	3	3007939	3008263	325	-	10	8	36	46	"c(""AT3G09800.3"", ""AT3G09800.4"")"
AT3G13100+AT3G13110	E003	38.4207738542511	0.0074737353325991	19.3631050992879	1.08075001660081e-05	0.0033261621139597	7.71807410388294	10.774948058869	0.976539009515498	3	4209074	4209313	240	-	26	28	32	41	57	51	"c(""AT3G13100.2"", ""AT3G13100.1"")"	AT3G13100+AT3G13110:E003	AT3G13100+AT3G13110	E003	27.1455444954759	0.0268852072683785	12.7426446307811	0.0003574119564423	0.0495924100233853	4.78210605618898	7.51741553631905	1.3079321342735	3	4209074	4209313	240	-	13	16	32	54	"c(""AT3G13100.2"", ""AT3G13100.1"")"
AT3G13672	E002	68.8974164743983	0.0040684990927135	22.1488888865699	2.52301949994008e-06	0.0009856260616075	10.6532544616559	13.6062074397209	0.723396505424814	3	4473541	4473882	342	-	50	43	84	82	71	88	"c(""AT3G13672.2"", ""AT3G13672.1"")"	AT3G13672:E002	AT3G13672	E002	41.0911337168439	0.01260856488735	13.0569999391998	0.0003021530246632	0.0457212146976647	6.08789080068149	9.01959620008927	1.13786143889031	3	4473541	4473882	342	-	26	20	68	58	"c(""AT3G13672.2"", ""AT3G13672.1"")"
AT3G14415	E010	148.822069625671	0.0061420470592227	23.496601301788	1.2513462520322e-06	0.0005400162343618	15.3110992820504	20.1812770418453	0.838755730342649	3	4819755	4819772	18	+	107	102	159	171	183	181	AT3G14415.2	AT3G14415:E010	AT3G14415	E010	186.495198566408	0.0077068506836513	14.7379603019744	0.0001235338554744	0.0277343225657626	13.9760672510295	18.381398503245	0.802201780642613	3	4819755	4819772	18	+	112	135	275	250	AT3G14415.2
AT3G24575+AT3G04755	E001	190.119688544403	0.0131136087373157	48.7769687605798	2.86787820324039e-12	4.40449859111778e-09	13.8818039093361	22.4104360275776	1.45687231005371	3	8967516	8968260	745	+	74	71	199	261	263	305	AT3G04755.1	AT3G24575+AT3G04755:E001	AT3G24575+AT3G04755	E001	59.3597353206944	0.0148111758666486	13.2077303746983	0.0002787967862291	0.0436645294009225	7.46448271469339	10.7916870282845	1.06857651681547	3	8967516	8968260	745	+	44	26	72	108	AT3G04755.1
