groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Cai_Col.0_1.bam	countData.Cai_Col.0_2.bam	countData.Cai_Col.0_3.bam	countData.Cai_fio1_1.bam	countData.Cai_fio1_2.bam	countData.Cai_fio1_3.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts_y
AT1G10585+AT1G10580	E006	56.9938591732603	0.002937507057087	25.9224909359362	3.55404093294176e-07	7.55750560158655e-05	10.0070978778663	13.7286310445658	0.919095059853739	1	3494296	3494613	318	-	27	47	38	87	86	71	"c(""AT1G10585.1"", ""AT1G10585.2"")"	AT1G10585+AT1G10580:E006	AT1G10585+AT1G10580	E006	283.09250478222	0.0561384101574561	18.441987357842	1.75155749948894e-05	0.0048649820108145	31.1382466757781	18.684350446219	-1.62237696998322	1	3494296	3494613	318	-	604	561	176	139	97	62	"c(""AT1G10585.1"", ""AT1G10585.2"")"
AT1G10590	E005	22.8708926346405	0.0209355674647127	59.6369697129785	1.1407203751260201e-14	6.89507083437394e-12	10.456702348697	3.5643868692035	-3.11281374358364	1	3503370	3503373	4	-	23	40	56	10	5	2	AT1G10590.2	AT1G10590:E005	AT1G10590	E005	18.8202345778149	0.015278614350086	71.4888065909853	2.7883546849279503e-17	7.66318137023392e-14	10.4513387749173	3.49333997528798	-3.18572982581246	1	3503370	3503373	4	-	48	41	5	5	2	9	AT1G10590.2
AT1G10840	E012	38.2617148364337	0.0159250212454767	71.6508025903451	2.5685758145730402e-17	2.1088419508631e-14	4.39094408765544	12.4879225272521	3.02633662978218	1	3610174	3610289	116	-	6	5	8	94	61	72	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	45.5517792375327	0.023160824440862	33.0799251265269	8.844721668098471e-09	7.17898102979772e-06	5.64438214119744	11.9860502120582	2.20023666269009	1	3610174	3610289	116	-	17	8	58	41	73	88	AT1G10840.2
AT1G10960+AT1G10950	E006	943.498534009452	0.0003359277404838	37.3516869675561	9.863552425669081e-10	3.40303641328758e-07	46.834308282428	45.8510793385461	-0.0680572597018703	1	3661341	3661493	153	+	625	894	995	1141	1162	976	AT1G10950.1	AT1G10960+AT1G10950:E006	AT1G10960+AT1G10950	E006	711.275286931616	0.0015965520927864	14.6632120947874	0.0001285305275978	0.0247657616350016	35.402958758363	37.1384207489238	0.167619817175083	1	3661341	3661493	153	+	560	590	712	699	788	1000	AT1G10950.1
AT1G10960+AT1G10950	E007	873.490936099678	0.0014175839870059	15.452794928845	8.45917533947e-05	0.0084278857227049	45.2269810084825	44.3371252296374	-0.0633250863835553	1	3661721	3661855	135	+	537	885	913	1044	1067	932	AT1G10950.1	AT1G10960+AT1G10950:E007	AT1G10960+AT1G10950	E007	568.133776515437	0.0024597921244843	12.938531002268	0.0003218875045963	0.0487618263706642	31.9040613155301	33.9648475801511	0.212682408598653	1	3661721	3661855	135	+	427	472	567	548	642	826	AT1G10950.1
AT1G10960+AT1G10950	E010	1308.22083574481	0.0013271296478856	22.6011967350166	1.99360386584156e-06	0.0003478159108211	54.3745055424379	52.8283829618927	-0.0955785126089204	1	3662463	3662836	374	+	814	1339	1388	1619	1535	1357	AT1G10950.1	AT1G10960+AT1G10950:E010	AT1G10960+AT1G10950	E010	1934.79135079913	0.0005975449936738	20.3055303520897	6.600951238358e-06	0.0021954399435058	52.9616556300413	53.7406617810863	0.060757620710536	1	3662463	3662836	374	+	1495	1803	2021	1939	1965	2565	AT1G10950.1
AT1G10960+AT1G10950	E014	49304.0341071515	0.0009824028773535	41.1090406171773	1.43968867418122e-10	5.69678871512997e-08	169.958558392662	177.825434551805	0.293901458178125	1	3664265	3665040	776	+	29427	39643	44496	67984	64783	58237	AT1G10960.1	AT1G10960+AT1G10950:E014	AT1G10960+AT1G10950	E014	7356.97413518272	0.0034656746898652	15.1769901542615	9.78889964710938e-05	0.0201504692183834	83.8458034358702	78.3224188887727	-0.378701372947367	1	3664265	3665040	776	+	7528	7835	7282	6991	6392	8388	AT1G10960.1
AT1G13450	E003	81.7709552596633	0.0054952264425808	21.2584040985767	4.01346820772908e-06	0.0006513612832268	12.242855911455	16.2302761961831	0.822186416775964	1	4613517	4613707	191	-	27	65	72	139	116	99	AT1G13450.3	AT1G13450:E003	AT1G13450	E003	97.0516012036224	0.0027521296932988	34.972603660469	3.3437706266320502e-09	2.95936924408567e-06	10.9859554570235	15.2531416831711	0.974148849764272	1	4613517	4613707	191	-	39	40	114	125	133	145	AT1G13450.3
AT1G13570+AT1G13560	E021	6.49778062813574	0.0356143423989108	12.4752256040006	0.0004123848464685	0.0281393091014736	2.46971262858349	5.29197397874486	2.2006059186109	1	4641546	4641554	9	-	1	5	1	11	16	8	AT1G13560.2	AT1G13570+AT1G13560:E021	AT1G13570+AT1G13560	E021	5.90873761641913	0.0433279696086262	16.0958964380932	6.02143710701141e-05	0.0137502939604599	1.10117799925098	4.63796051095221	4.15385458834395	1	4641546	4641554	9	-	1	0	10	9	4	13	AT1G13560.2
AT1G15125+AT1G15120	E005	2047.79016587551	0.0006930913031044	23.0596292671681	1.57053950881989e-06	0.0002810313878661	62.4463999089553	67.1140891462714	0.25244314590539	1	5203065	5203092	28	+	1529	1912	2308	2403	2178	2135	"c(""AT1G15120.2"", ""AT1G15120.1"")"	AT1G15125+AT1G15120:E005	AT1G15125+AT1G15120	E005	1186.14760880554	0.0017288970333302	13.7416486634651	0.0002097513128896	0.0361871835537362	43.1386732232121	46.9739687138178	0.32507547853959	1	5203065	5203092	28	+	1071	1098	1108	1030	1192	1777	"c(""AT1G15120.2"", ""AT1G15120.1"")"
AT1G15125+AT1G15120	E006	2948.587595829	0.0003160424484768	54.1475823831076	1.85982565518984e-13	1.01615314178397e-10	72.3745798244026	77.6017551114487	0.258040897208673	1	5203484	5203568	85	+	2144	2796	3341	3378	3227	3090	"c(""AT1G15120.2"", ""AT1G15120.1"")"	AT1G15125+AT1G15120:E006	AT1G15125+AT1G15120	E006	2415.3322383517	0.0003627765180125	49.7647183703071	1.73333012980002e-12	2.7707105254432e-09	56.0210908348379	59.9808732515204	0.298487358995505	1	5203484	5203568	85	+	2186	2285	2424	2122	2373	3356	"c(""AT1G15120.2"", ""AT1G15120.1"")"
AT1G15125+AT1G15120	E007	2304.43980674898	0.0008540163048396	14.231986114324	0.0001616002268425	0.0138984534842452	65.9720643932835	70.0478047863835	0.213545891044523	1	5203683	5203772	90	+	1690	2279	2607	2522	2689	2266	"c(""AT1G15120.2"", ""AT1G15120.1"")"	AT1G15125+AT1G15120:E007	AT1G15125+AT1G15120	E007	3107.2501320158	0.0012228781387236	23.6068045050829	1.18168909830394e-06	0.0005142054461875	60.882292993609	64.8722399899028	0.292163693755549	1	5203683	5203772	90	+	2816	2943	3216	2834	3008	4092	"c(""AT1G15120.2"", ""AT1G15120.1"")"
AT1G15125+AT1G15120	E013	57.2171501599739	0.0037537416362828	201.638655535235	9.167431923926791e-46	3.2731995890243695e-42	15.7288767532784	4.86515527059686	-3.40285613157694	1	5204495	5204675	181	+	71	111	121	13	7	8	"c(""AT1G15125.1"", ""AT1G15125.2"")"	AT1G15125+AT1G15120:E013	AT1G15125+AT1G15120	E013	281.350357488059	0.0085749143787704	14.2151665449799	0.0001630510405693	0.0295628143602718	27.9363087828636	23.0801885756704	-0.6103324049008	1	5204495	5204675	181	+	396	366	180	169	261	332	"c(""AT1G15125.1"", ""AT1G15125.2"")"
AT1G15125+AT1G15120	E014	271.239041640893	0.0021604841924471	610.943521298921	6.97479631273513e-135	3.56946825964741e-130	33.0713179285637	11.7358697879746	-3.06218211968179	1	5204758	5205049	292	+	353	514	530	68	53	43	"c(""AT1G15125.1"", ""AT1G15125.2"")"	AT1G15125+AT1G15120:E014	AT1G15125+AT1G15120	E014	1206.98845632212	0.0085318136240298	18.5430316716048	1.66111382713791e-05	0.004646728629443	50.2549273635283	42.8991439545345	-0.613193811999887	1	5204758	5205049	292	+	1719	1544	798	762	1143	1316	"c(""AT1G15125.1"", ""AT1G15125.2"")"
AT1G15125+AT1G15120	E015	219.769190710565	0.0059352638528596	365.326732212038	1.94861765581718e-81	2.3013174515200897e-77	30.2021834008555	9.70337742914265	-3.33861564767186	1	5205126	5205490	365	+	274	421	465	34	52	26	"c(""AT1G15125.1"", ""AT1G15125.2"")"	AT1G15125+AT1G15120:E015	AT1G15125+AT1G15120	E015	820.367496140222	0.0060054847706916	27.8982814870461	1.27863280512414e-07	7.64505290795063e-05	43.8727673491045	36.5397853222622	-0.664716295689509	1	5205126	5205490	365	+	1121	1145	544	497	733	918	"c(""AT1G15125.1"", ""AT1G15125.2"")"
AT1G15125+AT1G15120	E017	395.399859359468	0.0054085681243973	489.037180853988	2.30839971023099e-108	8.86021518779409e-104	39.8009931978173	12.9698739081799	-3.34291565944628	1	5205565	5205960	396	+	486	760	845	68	85	48	"c(""AT1G15125.1"", ""AT1G15125.2"")"	AT1G15125+AT1G15120:E017	AT1G15125+AT1G15120	E017	1000.4109738545	0.0004726761217868	275.718337424684	6.43679798451414e-62	3.36112425956703e-57	48.1037337004698	38.8706077621933	-0.799920997599099	1	5205565	5205960	396	+	1457	1441	702	670	738	997	"c(""AT1G15125.1"", ""AT1G15125.2"")"
AT1G15280	E005	179.406940601094	0.0055692472627087	15.0234945505868	0.0001061810134757	0.0100505369907131	19.0255165740298	23.1223319699832	0.575887701890029	1	5253546	5253548	3	+	86	182	146	233	248	221	AT1G15280.2	AT1G15280:E005	AT1G15280	E005	108.835730796797	0.0057778442500778	13.2390379860865	0.0002741785889352	0.0434722918156763	13.7323376917326	17.0661330190996	0.652059864232403	1	5253546	5253548	3	+	83	81	130	109	124	133	AT1G15280.2
AT1G18660	E006	115.03680855246	0.0031065309406639	11.7828444463272	0.0005977907189426	0.0367197235453084	15.0073910239876	17.8664834606063	0.510355371668458	1	6421304	6421381	78	+	56	62	88	176	165	170	AT1G18660.2	AT1G18660:E006	AT1G18660	E006	119.551689326474	0.0188749741505593	17.9458341553203	2.27281315151187e-05	0.0060654297412374	11.7407095282114	17.5737669481414	1.20536841634093	1	6421304	6421381	78	+	55	43	104	161	156	227	AT1G18660.2
AT1G18950	E013	84.0644559373584	0.0026387712282579	117.113269249335	2.71132388462729e-27	4.20474298996796e-24	10.0097209355688	18.2105368365891	1.74445866345954	1	6550670	6550681	12	+	17	44	54	144	149	130	AT1G18950.2	AT1G18950:E013	AT1G18950	E013	41.0577011652985	0.0051439581411985	88.7887412822569	4.3930912278124e-21	1.85996358653856e-17	4.19910880041408	11.6556563421201	2.97462668171651	1	6550670	6550681	12	+	6	8	45	60	65	71	AT1G18950.2
AT1G21170	E011	18.6957552440678	0.0097627758163009	35.5913159442726	2.43370060439844e-09	7.94991603815514e-07	4.16517234875573	8.74502459751895	2.1447066093907	1	7415873	7415924	52	+	7	4	8	41	34	25	AT1G21170.2	AT1G21170:E011	AT1G21170	E011	13.7359025566231	0.052951170254804	19.9074295516695	8.12838283834542e-06	0.0025880638788465	2.26081946953727	6.82351474349376	3.19748011613224	1	7415873	7415924	52	+	0	4	17	18	13	36	AT1G21170.2
AT1G23080	E013	351.848405305571	0.0027682649730564	173.163301519784	1.50766962756988e-39	4.2085912349237e-36	22.1736868806008	35.6338700119397	1.4279476809826	1	8182206	8182217	12	-	187	212	218	544	529	496	AT1G23080.1	AT1G23080:E013	AT1G23080	E013	155.954343376297	0.0057891136042681	79.1690464798934	5.701642587276131e-19	1.9003696054935802e-15	11.6116114036107	20.6493959549422	1.73179479937761	1	8182206	8182217	12	-	43	57	213	161	207	291	AT1G23080.1
AT1G23360	E004	400.968752081642	0.0006024114856592	11.7265574963522	0.000616144611603	0.0374491576713411	30.0261454933068	32.0407131801784	0.19687025863621	1	8295879	8295940	62	-	329	450	492	372	394	382	"c(""AT1G23360.3"", ""AT1G23360.2"", ""AT1G23360.1"")"	AT1G23360:E004	AT1G23360	E004	378.742546578378	0.0012422536521509	20.0925040967874	7.37852988944876e-06	0.0023930879176851	27.1156625515498	29.9736318522937	0.328025457812425	1	8295879	8295940	62	-	390	407	383	362	291	458	"c(""AT1G23360.3"", ""AT1G23360.2"", ""AT1G23360.1"")"
AT1G23360	E008	178.635470074031	0.0011463582335884	36.1523479821795	1.8247848419669402e-09	6.09041775624312e-07	22.5846609916058	18.1481035601644	-0.64485225449071	1	8296419	8296509	91	-	177	241	287	115	117	123	"c(""AT1G23360.3"", ""AT1G23360.2"", ""AT1G23360.1"")"	AT1G23360:E008	AT1G23360	E008	201.879607728929	0.0082364926277312	20.21178092208	6.93246853253523e-06	0.002276698240165	24.6692856815187	19.1659085536304	-0.786469330758645	1	8296419	8296509	91	-	313	333	144	98	140	179	"c(""AT1G23360.3"", ""AT1G23360.2"", ""AT1G23360.1"")"
AT1G26180	E006	72.9780034051362	0.0039236274135424	15.9859830597558	6.38132067099668e-05	0.006682975188391	11.8824400223656	14.9876862752744	0.676282335953375	1	9055961	9056052	92	+	42	63	50	112	101	84	AT1G26180.2	AT1G26180:E006	AT1G26180	E006	96.8424728327237	0.0028570199583952	13.3804095089254	0.0002542662067817	0.0414046879675358	13.0596489621078	15.8775463534973	0.583570830931157	1	9055961	9056052	92	+	63	78	111	101	110	127	AT1G26180.2
AT1G27450	E003	440.415248207044	0.0005238745637207	136.407790142494	1.6248667433712302e-31	3.04226574524128e-28	36.1520262117713	28.2609579985992	-0.749099811660608	1	9531839	9532178	340	+	418	529	626	353	367	336	"c(""AT1G27450.2"", ""AT1G27450.1"", ""AT1G27450.3"")"	AT1G27450:E003	AT1G27450	E003	240.70827205093	0.0018016091372199	58.8363560194065	1.71345822726136e-14	3.4859306261941194e-11	26.7677219680537	20.8221875471458	-0.792721314847451	1	9531839	9532178	340	+	347	311	174	183	193	235	"c(""AT1G27450.2"", ""AT1G27450.1"", ""AT1G27450.3"")"
AT1G27450	E004	370.551963257661	0.0005094248370907	136.799230154272	1.3341485389290101e-31	2.52878796520705e-28	33.5458701466503	25.7293121143783	-0.800659116922635	1	9532179	9532201	23	+	351	463	528	299	292	278	"c(""AT1G27450.2"", ""AT1G27450.4"", ""AT1G27450.1"", ""AT1G27450.3"")"	AT1G27450:E004	AT1G27450	E004	251.491176594094	0.0023606832501579	53.8910819152606	2.11917407636084e-13	3.9055630283538603e-10	27.3628002586997	21.2182130648744	-0.805482908787737	1	9532179	9532201	23	+	368	323	187	175	205	251	"c(""AT1G27450.2"", ""AT1G27450.4"", ""AT1G27450.1"", ""AT1G27450.3"")"
AT1G27770	E010	26.6374169114636	0.0084591895083719	63.443537657942	1.6502991517335202e-15	1.09684168296817e-12	4.38335352613998	10.709020524916	2.58475864301542	1	9675233	9675308	76	-	3	8	10	59	46	46	AT1G27770.3	AT1G27770:E010	AT1G27770	E010	24.1825603174398	0.0093080402412142	31.4441135234786	2.05263958292006e-08	1.51674573558299e-05	3.44773537408504	8.2691441629789	2.53799348117204	1	9675233	9675308	76	-	5	3	38	30	34	39	AT1G27770.3
AT1G27900	E005	41.3981761363366	0.0432461077946225	15.111892129191	0.0001013229909852	0.0096862508131835	7.36346845907568	12.4605376039315	1.52556162544924	1	9716340	9716398	59	-	4	27	30	78	65	63	"c(""AT1G27900.3"", ""AT1G27900.2"")"	AT1G27900:E005	AT1G27900	E005	36.8535173524479	0.0077747796282431	32.8472546050221	9.96917644870846e-09	7.96781341348509e-06	5.57992895102912	10.3508201064703	1.80142196354782	1	9716340	9716398	59	-	17	6	52	45	50	56	"c(""AT1G27900.3"", ""AT1G27900.2"")"
AT1G28520	E005	63.7520435430999	0.0113551674382813	39.1242636422996	3.97670958657235e-10	1.46063211202501e-07	9.05575593747895	15.2400173384003	1.51342361902768	1	10029436	10029673	238	+	21	39	27	139	96	83	AT1G28520.2	AT1G28520:E005	AT1G28520	E005	74.4563418533405	0.0105262649378341	15.0813153822886	0.0001029775440806	0.0208768480513035	10.3530801485656	14.2372414239815	0.942487292116984	1	10029436	10029673	238	+	39	44	62	76	102	143	AT1G28520.2
AT1G29850	E005	345.796108540861	0.0015051520673475	62.0436094240755	3.3593479351040303e-15	2.16706171628791e-12	25.5995497162204	32.3483792834962	0.704886786119737	1	10448846	10448848	3	+	191	275	329	477	432	437	AT1G29850.2	AT1G29850:E005	AT1G29850	E005	207.155595469752	0.0020649639247168	41.0719439522142	1.46727499433453e-10	1.64179687437495e-07	18.1104049526271	23.2527452836671	0.772501659320407	1	10448846	10448848	3	+	143	145	208	252	229	288	AT1G29850.2
AT1G31420	E014	438.803175495807	0.0006057896916269	62.3347771646791	2.8976263161670503e-15	1.87709944439294e-12	35.4029571894793	29.6148756738432	-0.543646807408269	1	11252756	11252758	3	+	372	473	539	436	465	365	"c(""AT1G31420.3"", ""AT1G31420.1"")"	AT1G31420:E014	AT1G31420	E014	281.880108053952	0.0014031953789389	22.2100158107803	2.44395548808109e-06	0.0009595251005485	26.9732160468182	23.4039563190937	-0.452659357149175	1	11252756	11252758	3	+	322	317	255	254	248	301	"c(""AT1G31420.3"", ""AT1G31420.1"")"
AT1G31550	E003	93.6838292814937	0.015011944626937	21.2906122383128	3.94659527694996e-06	0.0006425458885155	16.9808685574599	11.3625221863206	-1.17144481958094	1	11295991	11295999	9	-	80	147	209	41	43	43	AT1G31550.2	AT1G31550:E003	AT1G31550	E003	10.5417445025028	0.0285162300276747	24.1877575440365	8.7386003876674e-07	0.0003933675942324	7.31897443520188	3.39144425659326	-2.22977354625937	1	11295991	11295999	9	-	22	21	3	1	7	9	AT1G31550.2
AT1G33470	E006	173.094188839936	0.0011053997359757	26.1708837321415	3.12499057477985e-07	6.74795784734107e-05	22.6416725732524	19.0683234450753	-0.506987240011266	1	12145684	12145686	3	+	126	182	203	180	203	162	"c(""AT1G33470.1"", ""AT1G33470.3"")"	AT1G33470:E006	AT1G33470	E006	137.537449167799	0.0019896715064753	33.7256010999804	6.3460003714984e-09	5.37358729835658e-06	20.4017537676467	16.2004668414915	-0.702547300120668	1	12145684	12145686	3	+	168	198	109	101	121	128	"c(""AT1G33470.1"", ""AT1G33470.3"")"
AT1G36180	E006	17.7958764820865	0.0125294857584318	38.3937835225599	5.78162733107917e-10	2.05000749224154e-07	2.31662860845361	7.58811437113422	3.42743386065339	1	13547502	13547594	93	+	2	0	2	33	35	42	"c(""AT1G36180.3"", ""AT1G36180.1"", ""AT1G36180.2"")"	AT1G36180:E006	AT1G36180	E006	10.0472583530051	0.0333481717500102	13.3702659291444	0.0002556451036883	0.0414961956000369	0.0226743647933887	4.4612601431807	15.2453629131653	1	13547502	13547594	93	+	0	0	7	10	18	31	"c(""AT1G36180.3"", ""AT1G36180.1"", ""AT1G36180.2"")"
AT1G47570	E001	59.8337279664044	0.0156968468296869	31.7606547074833	1.74389945766139e-08	4.93986870359322e-06	9.16048419299551	15.0676467869831	1.44687913446141	1	17477579	17478654	1076	+	32	23	46	90	91	90	AT1G47570.1	AT1G47570:E001	AT1G47570	E001	411.098380567462	0.0059888474236285	75.7026429782967	3.2976593259378396e-18	1.01291162495454e-14	21.6473703352189	32.0264661855122	1.26323643471957	1	17477579	17478654	1076	+	190	208	501	566	477	566	AT1G47570.1
AT1G49950	E010	30.976150485825	0.0280993021529053	46.9535909652814	7.26876857983941e-12	3.41276464850992e-09	11.6652907316954	4.65850339994935	-2.65733562379785	1	18497084	18497128	45	-	40	42	69	13	3	12	"c(""AT1G49950.3"", ""AT1G49950.1"")"	AT1G49950:E010	AT1G49950	E010	15.1399678367495	0.0146682315242986	18.5986564121014	1.61334216819653e-05	0.0045292702030882	8.01818818034424	4.60236533724213	-1.61234338937945	1	18497084	18497128	45	-	29	25	9	8	10	8	"c(""AT1G49950.3"", ""AT1G49950.1"")"
AT1G49980	E019	29.3607456184258	0.0191363029384604	11.5166655676694	0.0006897500234923	0.0406016554162237	6.6728374157772	9.81204800456621	1.11647527792325	1	18511963	18511993	31	+	10	15	18	61	48	35	"c(""AT1G49980.3"", ""AT1G49980.4"", ""AT1G49980.7"", ""AT1G49980.6"", ""AT1G49980.5"", ""AT1G49980.2"", ""AT1G49980.8"")"	AT1G49980:E019	AT1G49980	E019	28.4975443480937	0.0483719548402169	13.5689513117391	0.0002299578200069	0.0383635276035464	4.82487099135305	9.13155987820495	1.85543474982605	1	18511963	18511993	31	+	6	11	42	41	19	59	"c(""AT1G49980.3"", ""AT1G49980.4"", ""AT1G49980.7"", ""AT1G49980.6"", ""AT1G49980.5"", ""AT1G49980.2"", ""AT1G49980.8"")"
AT1G52360	E029	78.8254504633952	0.0127958187777019	33.1192766178658	8.66751489178265e-09	2.59400304353877e-06	10.2136026319221	16.4952131419161	1.39595760022062	1	19505448	19505698	251	+	39	38	28	137	124	125	AT1G52360.4	AT1G52360:E029	AT1G52360	E029	176.133150164453	0.0052446799173194	61.2580149418883	5.00643384813117e-15	1.05982145294249e-11	13.6012815531031	21.4191936150315	1.37665028516693	1	19505448	19505698	251	+	52	85	209	212	266	259	AT1G52360.4
