groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Parker_Col.0_20c_1.bam	countData.Parker_Col.0_20c_2.bam	countData.Parker_Col.0_20c_3.bam	countData.Parker_Col.0_20c_4.bam	countData.Parker_Col.0_20c_5.bam	countData.Parker_Col.0_20c_6.bam	countData.Parker_fio1_20c_1.bam	countData.Parker_fio1_20c_2.bam	countData.Parker_fio1_20c_3.bam	countData.Parker_fio1_20c_4.bam	countData.Parker_fio1_20c_5.bam	countData.Parker_fio1_20c_6.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts_y
AT1G16130+AT1G16120	E003	83.7300287289018	0.0099369907647876	11.0279994182187	0.0008974594913196	0.0294547496359727	15.1418470582733	12.8376082862248	-0.484123547847741	1	5523863	5525292	1430	+	89	143	62	52	146	112	95	65	77	64	120	36	AT1G16120.1	AT1G16130+AT1G16120:E003	AT1G16130+AT1G16120	E003	27.4947580991113	0.0259432321068628	19.138205867025	1.21586483023114e-05	0.0071750038053106	7.38693919875806	4.35084331390581	-1.53027730452902	1	5523863	5525292	1430	+	30	49	15	10	AT1G16120.1
AT1G16710	E029	44.8938312477068	0.0149191407395293	83.3653620404774	6.82067016419908e-20	3.37401295905646e-17	6.65038820092755	12.5898365442371	1.85533535827819	1	5720540	5720652	113	+	17	23	24	26	18	25	39	59	50	91	78	50	AT1G16710.9	AT1G16710:E029	AT1G16710	E029	7.26864740575603	0.234184303030774	13.268604069251	0.0002698880953231	0.0429987905453404	0.0160256632304936	4.63902466494713	16.356347506036	1	5720540	5720652	113	+	0	0	8	25	AT1G16710.9
AT1G17350	E005	51.9836259081271	0.0560709002789727	9.71304158330588	0.0018296494898986	0.049035084044556	9.10495539347099	12.5309761820991	0.930522569836193	1	5941847	5942347	501	+	45	77	35	29	28	17	92	56	54	107	93	16	AT1G17350.5	AT1G17350:E005	AT1G17350	E005	8.43027245188368	0.0507890196645783	15.1328485750663	0.0001002044831315	0.0244940650191796	1.35031749060968	4.47945910902385	3.46154385343737	1	5941847	5942347	501	+	0	2	17	18	AT1G17350.5
AT1G18950	E013	114.895362804912	0.0072297359499651	146.04147016427	1.2713793218079e-33	1.86429614981388e-30	11.8926215547002	20.1255348547469	1.54974759416883	1	6550670	6550681	12	+	45	108	60	56	111	80	149	116	142	207	238	78	AT1G18950.2	AT1G18950:E013	AT1G18950	E013	26.1029495676696	0.020448187287688	13.3269746916787	0.0002616152599221	0.0421026738953376	4.43154736255568	7.53934771817262	1.53630039036417	1	6550670	6550681	12	+	13	12	36	50	AT1G18950.2
AT1G20620	E005	290.403386130779	0.0027737586156121	146.095461167341	1.23729126158242e-33	1.8306560222721098e-30	21.7642568991513	29.5307937082016	0.928301644653646	1	7143805	7144105	301	+	213	363	275	233	367	365	312	193	293	400	436	166	"c(""AT1G20620.4"", ""AT1G20620.6"", ""AT1G20620.7"")"	AT1G20620:E005	AT1G20620	E005	17.3827088981006	0.0351840540477269	14.3502929210667	0.0001517560827927	0.0310903835884523	6.35410038498512	3.06192051857607	-2.10903723122462	1	7143805	7144105	301	+	32	20	6	8	"c(""AT1G20620.4"", ""AT1G20620.6"", ""AT1G20620.7"")"
AT1G22300	E004	14.1116961598581	0.0322798527206853	24.6720286090134	6.79634446822172e-07	7.43622414860086e-05	7.00138367379554	3.963708346792	-1.64561633842219	1	7879225	7879249	25	-	21	30	27	14	24	35	4	5	7	14	2	4	AT1G22300.2	AT1G22300:E004	AT1G22300	E004	10.7396255491118	0.0354462512880274	20.3432829435978	6.47198792031637e-06	0.004653431904236	5.31600325978201	1.79704200267145	-3.13148294098456	1	7879225	7879249	25	-	18	17	2	3	AT1G22300.2
AT1G23080	E013	476.028721612705	0.0056915009468202	176.066840821712	3.50138610084154e-40	7.77080597450551e-37	25.2716133323774	37.3103928251841	1.2139804252078	1	8182206	8182217	12	-	313	361	395	210	370	328	671	484	620	873	786	292	AT1G23080.1	AT1G23080:E013	AT1G23080	E013	287.934652393916	0.0018110251766561	105.707287933506	8.5472444309938e-25	1.91618230828613e-20	15.4668937948665	23.4862145653233	1.23070120428047	1	8182206	8182217	12	-	127	155	441	495	AT1G23080.1
AT1G23360	E007	91.9303353375192	0.0039348246589746	29.4919395801626	5.61497359805314e-08	7.69748200296714e-06	12.9635808447109	15.8911728778544	0.597732702077997	1	8296343	8296418	76	-	68	89	86	65	80	100	119	88	86	146	143	52	"c(""AT1G23360.3"", ""AT1G23360.2"")"	AT1G23360:E007	AT1G23360	E007	24.2197306316268	0.0201089279933899	17.0231667890977	3.69265161442722e-05	0.0140092404586035	4.13950134295769	7.55017441797182	1.73736608346626	1	8296343	8296418	76	-	8	16	40	38	"c(""AT1G23360.3"", ""AT1G23360.2"")"
AT1G23730	E002	23.7640938798287	0.0454873025520562	41.6098406827793	1.1143096933975801e-10	2.33127782886716e-08	7.69828888499865	5.63027540595155	-0.906005314471134	1	8395509	8395643	135	+	32	33	70	24	57	60	4	5	11	14	12	3	"c(""AT1G23730.1"", ""AT1G23730.2"")"	AT1G23730:E002	AT1G23730	E002	11.9978244624285	0.031876139715142	15.888277674007	6.7193611702502e-05	0.0197819677476933	2.31671530745109	5.18127196359129	2.32420777937395	1	8395509	8395643	135	+	2	4	22	24	"c(""AT1G23730.1"", ""AT1G23730.2"")"
AT1G23730	E004	38.5068873961037	0.0468809486351167	47.5463847982776	5.3717731926822e-12	1.28979101605349e-09	9.74114858586927	7.11961201888604	-0.909941199836739	1	8395963	8396017	55	+	43	53	116	44	86	102	12	6	18	20	13	8	"c(""AT1G23730.1"", ""AT1G23730.2"")"	AT1G23730:E004	AT1G23730	E004	36.1410478127133	0.0118156197865142	15.6762932409337	7.51603550291451e-05	0.0208898936810637	5.670080483508	8.24878844693535	1.08456053173883	1	8395963	8396017	55	+	16	20	52	65	"c(""AT1G23730.1"", ""AT1G23730.2"")"
AT1G23730	E005	73.2804502806518	0.0311616159040237	80.6482002478763	2.6970005484640204e-19	1.30274645316277e-16	13.433856869432	9.76494852128249	-0.930678214788037	1	8396266	8396406	141	+	84	100	226	104	163	169	26	15	22	34	39	12	"c(""AT1G23730.1"", ""AT1G23730.2"")"	AT1G23730:E005	AT1G23730	E005	77.022783562361	0.011052570225516	13.0553636107771	0.0003024171187093	0.0457212146976647	9.0524108180413	11.5609147649335	0.709987973324468	1	8396266	8396406	141	+	42	50	98	133	"c(""AT1G23730.1"", ""AT1G23730.2"")"
AT1G27630	E006	1367.98948501702	0.0015603297440454	34.8602571428478	3.5423841177748904e-09	5.99148124027194e-07	47.9733423146221	52.0869920579405	0.285320196564028	1	9612009	9612429	421	+	847	1456	1136	1015	1283	959	1568	1443	1434	2305	2300	836	"c(""AT1G27630.5"", ""AT1G27630.3"", ""AT1G27630.6"", ""AT1G27630.2"")"	AT1G27630:E006	AT1G27630	E006	334.07887642345	0.0020184160626459	18.5772091341751	1.63159585964486e-05	0.0088597913442881	19.7837764730629	22.8471147367364	0.426016324953114	1	9612009	9612429	421	+	222	204	444	523	"c(""AT1G27630.5"", ""AT1G27630.3"", ""AT1G27630.6"", ""AT1G27630.2"")"
AT1G27660	E006	54.7093664656452	0.0061644291448686	21.0117017295128	4.56486785649582e-06	0.0003962459713573	10.0797742353754	12.3806226652259	0.599495801979982	1	9625326	9625385	60	+	31	51	48	43	49	61	65	66	55	91	102	20	AT1G27660.1	AT1G27660:E006	AT1G27660	E006	98.1187861132791	0.0044645162648739	14.3123320216666	0.0001548471335633	0.0314363719498458	10.1433806522635	12.7237379821852	0.658787626914956	1	9625326	9625385	60	+	42	63	143	165	AT1G27660.1
AT1G30470	E021	2366.97067892252	0.0011863997159104	22.3442082994139	2.2789931982424e-06	0.000214735290266	61.7780529923854	64.9909341234934	0.192643021746369	1	10785713	10786666	954	+	2047	2818	2671	2132	3218	2952	2251	1886	2201	3078	3119	1164	"c(""AT1G30470.3"", ""AT1G30470.1"", ""AT1G30470.2"")"	AT1G30470:E021	AT1G30470	E021	1332.67556892831	0.0005768624848396	12.9023703307059	0.0003281662727303	0.0474649413325702	43.0278177932751	40.7760305588425	-0.17023461553687	1	10785713	10786666	954	+	1280	1269	1265	1552	"c(""AT1G30470.3"", ""AT1G30470.1"", ""AT1G30470.2"")"
AT1G33055+AT1G33050	E013	14161.6533239421	0.0006490574791842	10.9718036571843	0.0009250867753306	0.0301326559472626	113.032260201267	112.005305076433	-0.049775131827996	1	11968971	11970511	1541	-	12397	19370	15621	13791	20947	18972	13326	10862	11905	15499	18371	6811	"c(""AT1G33050.5"", ""AT1G33050.2"", ""AT1G33050.3"", ""AT1G33050.1"", ""AT1G33050.6"", ""AT1G33050.4"")"	AT1G33055+AT1G33050:E013	AT1G33055+AT1G33050	E013	999.096703558101	0.000538233359399	13.7040331558135	0.0002139944334653	0.0378296860969658	37.4627529987491	35.9412145525706	-0.128635268190823	1	11968971	11970511	1541	-	904	896	1078	1164	"c(""AT1G33050.5"", ""AT1G33050.2"", ""AT1G33050.3"", ""AT1G33050.1"", ""AT1G33050.6"", ""AT1G33050.4"")"
AT1G48380	E001	235.500504650622	0.001901877989506	138.065333464515	7.05181572565766e-32	9.1915380972715e-29	20.2228532903085	25.9946425012592	0.756519724978477	1	17876989	17877412	424	-	187	271	261	186	256	229	223	194	238	373	393	121	AT1G48380.1	AT1G48380:E001	AT1G48380	E001	209.747583884741	0.0075500237804564	17.3633393473487	3.0872377027057e-05	0.0129551240019904	15.2674321163615	19.4865585996596	0.715997305405335	1	17876989	17877412	424	-	178	158	266	255	AT1G48380.1
AT1G53490+AT1G07887	E001	4.86243636759835	0.069032093570038	18.0814557944798	2.11652784004809e-05	0.0014760152875871	1.7655100372998	4.38121313842984	2.6244405139897	1	19963067	19963266	200	+	1	2	2	0	4	0	15	6	4	8	10	4	AT1G07887.1	AT1G53490+AT1G07887:E001	AT1G53490+AT1G07887	E001	100.781150197715	0.0083934569032763	28.9024427012594	7.61168619669574e-08	0.0001896046867513	4.18037520301741	10.2073689563021	2.58290210974883	1	19963067	19963266	200	+	4	4	217	221	AT1G07887.1
AT1G53490+AT1G07887	E002	60.9270152864065	0.140684923590062	48.19376650125	3.86113845815276e-12	9.47866205170919e-10	5.23228606772363	15.6927306701837	3.19565421828946	1	19963267	19964105	839	+	16	7	9	8	35	4	166	72	59	137	109	60	"c(""AT1G07887.1"", ""AT1G53490.1"")"	AT1G53490+AT1G07887:E002	AT1G53490+AT1G07887	E002	725.132428968411	0.0121306922236911	183.588403040022	7.979359654436739e-42	2.50441777986082e-37	10.6229471559556	26.9421794708851	2.73527675972115	1	19963267	19964105	839	+	34	18	1458	1710	"c(""AT1G07887.1"", ""AT1G53490.1"")"
AT1G54030	E005	161.783333695714	0.006199683465294	236.838684172011	1.92323420122714e-53	8.77379442599821e-50	12.8227363516743	23.5961718263576	1.80700099133082	1	20169030	20169099	70	+	45	88	96	60	90	100	209	235	200	346	344	105	AT1G54030.2	AT1G54030:E005	AT1G54030	E005	28.6863216708035	0.0126294207224785	25.3750214857995	4.71990257326079e-07	0.0007406990307243	4.26101770208524	8.21343552739191	1.89760681959577	1	20169030	20169099	70	+	12	12	50	48	AT1G54030.2
AT1G54080	E013	989.481323315617	0.0009950581809161	9.68762828846923	0.0018551283694345	0.0494676802027892	45.014907224792	43.2411530005829	-0.134389023352108	1	20186282	20186343	62	-	1118	1374	1413	1173	1729	1516	700	594	662	1070	1065	345	"c(""AT1G54080.2"", ""AT1G54080.1"")"	AT1G54080:E013	AT1G54080	E013	222.141670828111	0.0016586131367582	13.7834037452515	0.0002051404215291	0.0370033235528583	18.6944724687753	16.2094694814597	-0.418620614437767	1	20186282	20186343	62	-	267	257	169	178	"c(""AT1G54080.2"", ""AT1G54080.1"")"
AT1G54440	E018	119.809727973262	0.0123561924559077	31.3615556690943	2.14180122081618e-08	3.14309745357029e-06	14.2560118576267	18.9705882069734	0.843298830494891	1	20326957	20327359	403	+	77	150	88	120	118	92	123	122	92	263	200	56	AT1G54440.4	AT1G54440:E018	AT1G54440	E018	43.7983585220676	0.0132566919861798	15.2734228264155	9.30160770753657e-05	0.0234548337581463	6.17320003143394	9.60174512715	1.2789772928794	1	20326957	20327359	403	+	23	28	56	77	AT1G54440.4
AT1G56612	E001	306.64986856844	0.0065293409256426	101.470186184625	7.254717384080801e-24	5.02724365157113e-21	30.5143145182754	22.0605137032168	-0.989316942666582	1	21213625	21214145	521	-	234	476	361	320	504	419	270	235	256	287	300	167	"c(""AT1G56612.1"", ""AT1G56612.2"")"	AT1G56612:E001	AT1G56612	E001	181.573472733707	0.0023595099152878	55.8345526678858	7.88337412919759e-14	8.24763856979405e-10	18.010833062219	14.2803648324796	-0.679488923433391	1	21213625	21214145	521	-	192	187	166	178	"c(""AT1G56612.1"", ""AT1G56612.2"")"
AT1G67700	E010	2379.33429366354	0.0009192503479227	310.497316192804	1.70171952880314e-69	1.11790720661759e-65	57.2459605374101	68.0666919233548	0.654033275266023	1	25375713	25375726	14	+	1528	2563	1947	1500	2364	2029	3232	2359	2694	3522	3886	1340	"c(""AT1G67700.1"", ""AT1G67700.4"", ""AT1G67700.3"")"	AT1G67700:E010	AT1G67700	E010	1848.64996136948	0.0002592747696625	95.4853435381801	1.48990257570976e-22	2.92264876385886e-18	45.068602275379	51.3674498106183	0.425886315512669	1	25375713	25375726	14	+	1388	1330	2366	2532	"c(""AT1G67700.1"", ""AT1G67700.4"", ""AT1G67700.3"")"
AT1G69230+AT1G69220	E023	50.3391023605689	0.0123332533477331	36.2369936331374	1.7472219891311302e-09	3.1055169017206e-07	12.528497148567	8.57931604221943	-1.10264878626606	1	26026312	26026623	312	-	77	110	76	55	91	67	29	26	19	37	40	22	"c(""AT1G69230.1"", ""AT1G69230.2"")"	AT1G69230+AT1G69220:E023	AT1G69230+AT1G69220	E023	147.47239416498	0.0037438583572891	14.9273641617774	0.000111730539644	0.0259378481018912	16.0845994141498	12.9878558682707	-0.62438043979135	1	26026312	26026623	312	-	159	153	136	138	"c(""AT1G69230.1"", ""AT1G69230.2"")"
AT1G69230+AT1G69220	E024	75.1738560706108	0.0121142718478679	19.6029177775702	9.53235132721301e-06	0.0007512078326155	14.611853336189	11.4242957617834	-0.720105079933108	1	26026834	26027113	280	-	94	122	120	82	137	95	50	61	44	73	48	29	"c(""AT1G69230.1"", ""AT1G69230.2"")"	AT1G69230+AT1G69220:E024	AT1G69230+AT1G69220	E024	263.12959247874	0.004135170735334	18.2473784697094	1.93992755854204e-05	0.0098204765061148	21.3636651725291	17.2922037962875	-0.622894790661913	1	26026834	26027113	280	-	250	306	224	266	"c(""AT1G69230.1"", ""AT1G69230.2"")"
AT1G69587	E002	282.716239156287	0.0084416273601495	13.8056272278283	0.0002027281256635	0.0095281640195037	23.4607550180837	26.8777808938892	0.412972403556477	1	26175654	26176145	492	-	219	353	289	273	430	261	261	276	283	408	353	123	"c(""AT1G69587.1"", ""AT1G69587.2"")"	AT1G69587:E002	AT1G69587	E002	99.205734912258	0.0111026298943815	13.4645469122169	0.0002431138658906	0.0407061073588664	10.1176168699126	14.0016917313887	0.945113793944761	1	26175654	26176145	492	-	88	68	130	120	"c(""AT1G69587.1"", ""AT1G69587.2"")"
AT1G69830	E002	2413.48700041181	0.0006917940274711	12.087874770814	0.0005075078955334	0.0191871631443953	62.8363165161909	64.8599988313004	0.120846417550469	1	26288774	26288941	168	-	2309	3832	2950	2615	3416	3044	2067	1582	1989	2775	3105	1021	AT1G69830.1	AT1G69830:E002	AT1G69830	E002	1540.3914365253	0.0003078388872273	13.3174301069482	0.0002629503177463	0.0421719814357352	43.2596337644825	45.490211075334	0.160912800787447	1	26288774	26288941	168	-	1133	1132	1994	2084	AT1G69830.1
AT1G73600	E001	60.372498377798	0.0175098511715486	11.7082322823993	0.000622242021998	0.0224943983616073	12.6330937377792	10.1266402863388	-0.645008767009871	1	27669152	27669278	127	+	91	147	166	59	84	70	27	26	27	36	70	9	AT1G73600.2	AT1G73600:E001	AT1G73600	E001	488.901714743615	0.0010936584131329	13.3939331787366	0.0002524394789029	0.0417885863541351	27.4945814559819	24.7380225662475	-0.316522196114315	1	27669152	27669278	127	+	485	500	446	525	AT1G73600.2
AT1G77080	E019	294.544795884989	0.0014416763026258	19.4493140833859	1.03304932035547e-05	0.0008052195347917	24.2547028315965	26.9990147439107	0.326158922767899	1	28959372	28959577	206	+	256	440	371	258	412	348	231	236	239	375	391	149	"c(""AT1G77080.7"", ""AT1G77080.11"", ""AT1G77080.6"")"	AT1G77080:E019	AT1G77080	E019	26.8826013556548	0.0158814655017694	12.7766980006145	0.0003509638950973	0.0492639669244412	4.84576709665279	7.77737311951429	1.36814156524752	1	28959372	28959577	206	+	20	16	32	44	"c(""AT1G77080.7"", ""AT1G77080.11"", ""AT1G77080.6"")"
AT1G77890+AT1G77910	E010	64.4914296089264	0.010573447724319	64.0542805221686	1.2103802650040602e-15	4.24750366842194e-13	14.1872581321594	8.93863214549867	-1.34762720375165	1	29293273	29293278	6	+	101	182	97	84	120	117	40	21	26	38	30	11	"c(""AT1G77890.4"", ""AT1G77890.1"", ""AT1G77890.2"", ""AT1G77890.5"")"	AT1G77890+AT1G77910:E010	AT1G77890+AT1G77910	E010	21.7441622965081	0.0163723097050436	15.440637263382	8.51376760960375e-05	0.0227527753438775	6.91347645231971	4.0948601270124	-1.51373165905852	1	29293273	29293278	6	+	27	30	12	15	"c(""AT1G77890.4"", ""AT1G77890.1"", ""AT1G77890.2"", ""AT1G77890.5"")"
AT1G79990	E024	1313.54495156546	0.0015850900958385	9.92371415300619	0.001631627951395	0.0451957365008457	48.9969353493934	51.2876328101637	0.158590652267618	1	30091483	30091624	142	+	1333	2114	1944	1523	1750	1546	1198	870	991	1694	1448	436	"c(""AT1G79990.1"", ""AT1G79990.2"")"	AT1G79990:E024	AT1G79990	E024	1216.38123238272	0.0003907070659861	12.7704536555581	0.0003521374250354	0.0493638700027503	39.1397156795171	41.2348032192915	0.163987514113428	1	30091483	30091624	142	+	1191	1121	1223	1362	"c(""AT1G79990.1"", ""AT1G79990.2"")"
AT1G80040+AT1G80030	E004	119.350372534715	0.0079027338263834	36.3171063022126	1.6768556955284e-09	2.99992771882375e-07	18.7146296930518	14.3254940846265	-0.788671013865285	1	30105251	30105340	90	-	149	222	189	109	205	180	106	64	59	125	118	37	AT1G80030.3	AT1G80040+AT1G80030:E004	AT1G80040+AT1G80030	E004	114.651316260333	0.0056173590182623	12.7522512946441	0.0003555809141588	0.0494787320210714	11.2193548251971	14.4521756422563	0.737370105315138	1	30105251	30105340	90	-	88	82	158	143	AT1G80030.3
AT2G01760	E002	102.86252820485	0.0075232534895242	14.1010171723459	0.0001732500689806	0.0084205993870442	16.5111673936355	14.335157039092	-0.415877612822471	2	332917	333149	233	+	96	121	98	93	140	134	85	101	103	133	133	44	"c(""AT2G01760.1"", ""AT2G01760.2"")"	AT2G01760:E002	AT2G01760	E002	45.729875724228	0.0081643825343774	15.2286812583571	9.5245835701643e-05	0.0237254353055469	9.43288812358583	6.92288999767968	-0.896005941862168	2	332917	333149	233	+	52	46	36	48	"c(""AT2G01760.1"", ""AT2G01760.2"")"
AT2G06025	E015	399.245709933422	0.0012652329613053	172.182766158844	2.4685727862776e-39	5.13188159286003e-36	25.2668591379381	32.368248094727	0.763619669194355	2	2351549	2351671	123	+	250	343	315	243	370	282	514	387	487	602	762	254	"c(""AT2G06025.2"", ""AT2G06025.5"", ""AT2G06025.3"")"	AT2G06025:E015	AT2G06025	E015	87.664265253115	0.0059184685518151	17.1220227759684	3.50534795368873e-05	0.0137716341747368	9.15246207148883	12.530337266282	0.912370181396388	2	2351549	2351671	123	+	40	52	135	142	"c(""AT2G06025.2"", ""AT2G06025.5"", ""AT2G06025.3"")"
AT2G15000	E007	33.1185471794761	0.0158800878254529	17.8832537013689	2.34878837220098e-05	0.0016113041434557	10.228349661372	7.60358820313101	-0.861311418654483	2	6481828	6481870	43	-	35	49	48	27	70	51	20	16	32	41	39	9	"c(""AT2G15000.5"", ""AT2G15000.7"", ""AT2G15000.6"", ""AT2G15000.4"")"	AT2G15000:E007	AT2G15000	E007	29.8945405910529	0.0153234283676584	14.7876278775466	0.0001203223285607	0.0271687817890184	7.87969098024794	4.75831484671772	-1.45860207140652	2	6481828	6481870	43	-	48	34	15	18	"c(""AT2G15000.5"", ""AT2G15000.7"", ""AT2G15000.6"", ""AT2G15000.4"")"
