groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1_x	log2fold_fio1_Col_0_x	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Parker_Col.0_20c_1.bam	countData.Parker_Col.0_20c_2.bam	countData.Parker_Col.0_20c_3.bam	countData.Parker_Col.0_20c_4.bam	countData.Parker_Col.0_20c_5.bam	countData.Parker_Col.0_20c_6.bam	countData.Parker_fio1_20c_1.bam	countData.Parker_fio1_20c_2.bam	countData.Parker_fio1_20c_3.bam	countData.Parker_fio1_20c_4.bam	countData.Parker_fio1_20c_5.bam	countData.Parker_fio1_20c_6.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1_y	log2fold_fio1_Col_0_y	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Parker_fio1.1_2.bam	countData.Parker_fio1.5_1.bam	countData.Parker_fio1.5_2.bam	transcripts_y
AT1G04230	E004	291.851505518431	0.0034826210756958	10.3957891434239	0.0012630300973891	0.0377694754104899	26.2339602654159	24.8498963252793	-0.16487457921173	1	1126233	1126363	131	+	265	526	360	308	487	389	314	165	245	288	340	94	"c(""AT1G04230.2"", ""AT1G04230.1"")"	AT1G04230:E004	AT1G04230	E004	112.622591233036	0.0053739639629604	24.681011661164	6.76473958705651e-07	0.0003191897547564	17.660817989224	15.4669935911204	-0.400352267033474	1	1126233	1126363	131	+	131	149	85	82	101	135	"c(""AT1G04230.2"", ""AT1G04230.1"")"
AT1G04230	E011	1162.1533948633	0.0069789225110942	14.5689386995651	0.0001351236274343	0.0068704716968408	45.0952028647431	50.2844676171973	0.372128120126662	1	1128169	1128788	620	+	926	1717	1273	904	1545	1371	1446	1095	889	1317	1485	547	AT1G04230.1	AT1G04230:E011	AT1G04230	E011	763.698215131673	0.0131214396622003	45.3013184757651	1.6893536386770198e-11	2.36286273398243e-08	29.1764986783809	42.223787340365	1.28506626610979	1	1128169	1128788	620	+	380	457	1012	975	830	987	AT1G04230.1
AT1G04513+AT1G06790	E009	24.3078265112239	0.0393441633736484	33.5201878932187	7.052813866931631e-09	1.12784588801744e-06	4.99654777043364	9.15529341770323	1.75448090686118	1	2089010	2089212	203	+	13	18	13	9	7	10	30	20	33	60	43	24	AT1G06790.2	AT1G04513+AT1G06790:E009	AT1G04513+AT1G06790	E009	16.7652620085068	0.0145114155357049	16.5563918664703	4.72245389745133e-05	0.0112599976855943	3.79238704840004	7.15438432322804	1.84044552162715	1	2089010	2089212	203	+	4	7	18	27	18	30	AT1G06790.2
AT1G04790	E003	1012.2061320334	0.0075851295397629	9.80204822967539	0.001743176080362	0.0473590229991754	44.8117710654452	45.0923690670052	0.0209717714269431	1	1346359	1346839	481	+	1097	1473	1075	933	1411	1241	1041	844	819	1085	1313	409	AT1G04790.1	AT1G04790:E003	AT1G04790	E003	399.445989467545	0.002174746789866	23.9177973519838	1.00538000201974e-06	0.0004449005312892	27.880735412989	29.9568273477953	0.235834648564239	1	1346359	1346839	481	+	355	403	369	393	388	524	AT1G04790.1
AT1G07700	E004	119.282436624259	0.0054350567998926	36.5262367583487	1.50625096163609e-09	2.72139282652825e-07	18.5565440233432	14.8863364598933	-0.650695836874027	1	2379730	2379798	69	+	143	183	156	126	151	140	129	78	127	129	137	27	"c(""AT1G07700.3"", ""AT1G07700.4"", ""AT1G07700.1"")"	AT1G07700:E004	AT1G07700	E004	70.2900252096459	0.00757916849998	17.7715886988219	2.49074995218035e-05	0.0065549606662695	15.3048384402242	11.4026366763428	-0.874606335682295	1	2379730	2379798	69	+	76	111	45	57	56	81	"c(""AT1G07700.3"", ""AT1G07700.4"", ""AT1G07700.1"")"
AT1G07820	E001	4103.96992678549	0.0017153733159428	10.6473988947849	0.0011022581763374	0.0342959856830483	76.6513287722847	78.0295049910094	0.0749985149075574	1	2421089	2421783	695	-	4191	6202	5778	4347	6080	4844	3933	3262	3011	4697	4945	1277	"c(""AT1G07820.1"", ""AT1G07820.2"")"	AT1G07820:E001	AT1G07820	E001	3639.88744037115	0.0006101655451947	25.1762674136181	5.23221182462054e-07	0.0002575582042417	65.4379198412674	66.6142552321276	0.0847930980683973	1	2421089	2421783	695	-	3336	3463	3773	3881	3237	4322	"c(""AT1G07820.1"", ""AT1G07820.2"")"
AT1G07820	E002	262.564793729015	0.0033473051182367	31.1254019724723	2.41885181246422e-08	3.51862595982838e-06	25.6284336467194	22.4354691462581	-0.402363008871666	1	2421784	2421902	119	-	361	396	458	309	427	354	205	160	163	287	249	54	AT1G07820.1	AT1G07820:E002	AT1G07820	E002	259.994145614312	0.001235726376582	43.8800959841539	3.49121247250877e-11	4.51987947308631e-08	26.6440466812398	22.2366835736159	-0.573453531950247	1	2421784	2421902	119	-	324	319	234	244	178	259	AT1G07820.1
AT1G08040	E019	53.6672771767098	0.0082435340632944	64.2587982901816	1.09103632625668e-15	3.8952843029084097e-13	8.82129743261837	13.5334070802641	1.24767327681325	1	2498480	2498483	4	-	42	44	53	24	52	52	79	51	72	75	77	28	"c(""AT1G08040.2"", ""AT1G08040.4"")"	AT1G08040:E019	AT1G08040	E019	41.0617415279634	0.0130190123124241	44.9161085313299	2.0565906710946397e-11	2.82604422638875e-08	5.4576628495448	11.7144323465431	2.23010100114172	1	2498480	2498483	4	-	14	11	37	56	59	80	"c(""AT1G08040.2"", ""AT1G08040.4"")"
AT1G08900	E005	236.806154501823	0.0062789331123047	565.5766367389	5.146637763522109e-125	1.4087376886312701e-120	8.36173577185403	25.8701179393352	3.33107294272589	1	2852604	2852715	112	+	11	36	30	15	22	26	339	349	404	507	627	247	AT1G08900.5	AT1G08900:E005	AT1G08900	E005	111.954002045491	0.0057537582150113	73.8160699182883	8.574569157820949e-18	2.5343837881339e-14	7.52305362656665	15.8330305319037	2.19437893204646	1	2852604	2852715	112	+	13	18	158	144	188	168	AT1G08900.5
AT1G08900	E023	86.5637961469086	0.0069090671455305	21.0845485309478	4.3945743862015e-06	0.0003830837264302	15.4104306355427	12.5704783570575	-0.597341715061682	1	2855396	2855488	93	+	69	99	79	69	88	76	93	77	60	122	149	65	AT1G08900.4	AT1G08900:E023	AT1G08900	E023	16.6668648254645	0.0179503681884611	22.0365964195367	2.67501135570215e-06	0.0010321327066341	8.83852627966904	4.74243858019793	-1.80995327925447	1	2855396	2855488	93	+	17	26	9	19	14	15	AT1G08900.4
AT1G10417	E006	13.1660490691977	0.0716800060383218	12.4828004937567	0.0004107160117903	0.016364073762336	7.12435867164325	4.42890840468471	-1.37539291317206	1	3425067	3425306	240	-	7	27	7	11	27	32	13	5	10	8	27	4	"c(""AT1G10417.2"", ""AT1G10417.3"")"	AT1G10417:E006	AT1G10417	E006	5.08702803995506	0.0580625542614403	25.7420787084266	3.90225358340767e-07	0.0001984726715415	6.14349888134018	1.75378368272143	-3.62566316952389	1	3425067	3425306	240	-	8	15	0	3	2	2	"c(""AT1G10417.2"", ""AT1G10417.3"")"
AT1G10585+AT1G10580	E002	4776.71761799744	0.0042959576125112	15.8207296993001	6.96353990066282e-05	0.0039889643703022	82.8401189412616	80.0370024683849	-0.149368578446159	1	3491951	3493769	1819	-	4829	7454	5612	5145	6509	6003	4348	3335	3921	5765	6293	1752	AT1G10580.1	AT1G10585+AT1G10580:E002	AT1G10585+AT1G10580	E002	1527.40686215642	0.0139162746606083	30.7600447538736	2.91988454264413e-08	2.07911706079222e-05	48.2667770228413	52.3798347680173	0.329561025524482	1	3491951	3493769	1819	-	1675	1818	1339	1367	1345	1667	AT1G10580.1
AT1G10585+AT1G10580	E006	111.452687339218	0.0374769971344265	19.7978350192494	8.6080122430299e-06	0.0006892789208665	13.1343223038117	18.5164522619936	1.01150475469842	1	3494296	3494613	318	-	53	93	64	69	150	106	194	136	158	86	167	56	"c(""AT1G10585.1"", ""AT1G10585.2"")"	AT1G10585+AT1G10580:E006	AT1G10585+AT1G10580	E006	283.09250478222	0.0561384101574561	18.441987357842	1.75155749948894e-05	0.0048649820108145	31.1382466757781	18.684350446219	-1.62237696998322	1	3494296	3494613	318	-	604	561	176	139	97	62	"c(""AT1G10585.1"", ""AT1G10585.2"")"
AT1G10585+AT1G10580	E008	64.0249169147178	0.0563160509729716	11.5291144292932	0.000685146439566	0.024188084708258	10.013912515544	14.1743973811007	1.01473867032512	1	3494967	3495244	278	-	32	68	35	30	90	57	112	86	113	50	91	17	AT1G10585.1	AT1G10585+AT1G10580:E008	AT1G10585+AT1G10580	E008	142.882361660601	0.0309046582753668	24.527188176303	7.32686449056608e-07	0.0003385746242407	22.8616055223908	13.5428414680286	-1.59289265354718	1	3494967	3495244	278	-	307	276	83	67	59	37	AT1G10585.1
AT1G10590	E005	51.2661289332646	0.0094641693267856	179.648253903183	5.78390519987846e-41	1.37667002722672e-37	14.5909803579893	6.3584132955711	-2.41755064933472	1	3503370	3503373	4	-	79	100	116	61	138	100	26	8	17	20	26	8	AT1G10590.2	AT1G10590:E005	AT1G10590	E005	18.8202345778149	0.015278614350086	71.4888065909853	2.7883546849279503e-17	7.66318137023392e-14	10.4513387749173	3.49333997528798	-3.18572982581246	1	3503370	3503373	4	-	48	41	5	5	2	9	AT1G10590.2
AT1G10600	E006	103.114933078995	0.0074299426667517	49.1855056749185	2.32865010380497e-12	5.86562674613648e-10	12.5282532180505	17.2034666547953	0.931823993717679	1	3504359	3504392	34	+	56	82	57	77	101	61	131	111	130	157	156	82	AT1G10600.2	AT1G10600:E006	AT1G10600	E006	27.0575811231496	0.0087089484727069	23.2083122115447	1.45367640444746e-06	0.0006105129118217	5.31058287154661	9.18361691441793	1.5941056296762	1	3504359	3504392	34	+	9	14	34	30	33	48	AT1G10600.2
AT1G10840	E012	84.8503616580094	0.0116292072918069	372.299132142682	5.91025075575255e-83	5.70971942422795e-79	5.10681005226382	18.5118515319529	3.75419335947661	1	3610174	3610289	116	-	8	10	6	14	19	16	181	113	110	156	256	76	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	45.5517792375327	0.023160824440862	33.0799251265269	8.844721668098471e-09	7.17898102979772e-06	5.64438214119744	11.9860502120582	2.20023666269009	1	3610174	3610289	116	-	17	8	58	41	73	88	AT1G10840.2
AT1G10960+AT1G10950	E007	2722.96493559767	0.0011112356367669	9.66666634733116	0.0018764148816665	0.0498249585846178	67.0118210430545	66.6515932718987	-0.0209962879159971	1	3661721	3661855	135	+	2078	3265	2842	2544	3673	3293	2653	2045	2630	3993	3946	1279	AT1G10950.1	AT1G10960+AT1G10950:E007	AT1G10960+AT1G10950	E007	568.133776515437	0.0024597921244843	12.938531002268	0.0003218875045963	0.0487618263706642	31.9040613155301	33.9648475801511	0.212682408598653	1	3661721	3661855	135	+	427	472	567	548	642	826	AT1G10950.1
AT1G10960+AT1G10950	E014	9505.57457269342	0.0095639512732299	26.9418468299639	2.09669736089549e-07	2.54316692004865e-05	93.8870818226686	105.540793121664	0.581290925089048	1	3664265	3665040	776	+	6578	10687	8381	7081	6804	8217	12320	8287	10623	16325	16239	5070	AT1G10960.1	AT1G10960+AT1G10950:E014	AT1G10960+AT1G10950	E014	7356.97413518272	0.0034656746898652	15.1769901542615	9.78889964710938e-05	0.0201504692183834	83.8458034358702	78.3224188887727	-0.378701372947367	1	3664265	3665040	776	+	7528	7835	7282	6991	6392	8388	AT1G10960.1
AT1G11360	E005	367.376428766216	0.0034496860379778	158.476352657975	2.4353231525948797e-36	4.39514276919739e-33	33.0279103517134	24.0009589305085	-0.982770378621131	1	3822147	3822163	17	-	368	744	476	457	744	420	319	207	225	326	423	111	"c(""AT1G11360.3"", ""AT1G11360.4"", ""AT1G11360.2"")"	AT1G11360:E005	AT1G11360	E005	81.1605484409977	0.008427687183267	13.9942012212345	0.0001833753046016	0.0324955975299366	15.9347569140011	12.4732566916182	-0.730593097345151	1	3822147	3822163	17	-	98	116	74	73	54	69	"c(""AT1G11360.3"", ""AT1G11360.4"", ""AT1G11360.2"")"
AT1G13450	E003	325.565051759133	0.0055200285847086	27.9050333053274	1.274178826685e-07	1.62469671633643e-05	24.17625881392	28.7302328349292	0.526840091761636	1	4613517	4613707	191	-	220	322	296	200	301	307	304	288	372	513	648	208	AT1G13450.3	AT1G13450:E003	AT1G13450	E003	97.0516012036224	0.0027521296932988	34.972603660469	3.3437706266320502e-09	2.95936924408567e-06	10.9859554570235	15.2531416831711	0.974148849764272	1	4613517	4613707	191	-	39	40	114	125	133	145	AT1G13450.3
AT1G13450	E004	230.03876728904	0.0064450557294748	32.4323152456969	1.23416988467696e-08	1.8819887511631e-06	20.0581106007362	24.6657466490061	0.621431353994143	1	4613708	4613754	47	-	132	258	179	122	225	209	234	214	227	403	452	159	"c(""AT1G13450.3"", ""AT1G13450.2"")"	AT1G13450:E004	AT1G13450	E004	66.7504096861004	0.0212842732189325	20.4077551207445	6.25756998654721e-06	0.0020990596435387	8.06289486577337	12.9757464073225	1.39810759868535	1	4613708	4613754	47	-	28	14	62	102	94	113	"c(""AT1G13450.3"", ""AT1G13450.2"")"
AT1G13570+AT1G13560	E021	13.3181965286152	0.0374628351568101	91.7009743729677	1.00815239273843e-21	5.87130793490132e-19	2.04555679315388	7.94416885048025	3.92194850919008	1	4641546	4641554	9	-	0	2	0	2	4	5	18	18	29	31	46	6	AT1G13560.2	AT1G13570+AT1G13560:E021	AT1G13570+AT1G13560	E021	5.90873761641913	0.0433279696086262	16.0958964380932	6.02143710701141e-05	0.0137502939604599	1.10117799925098	4.63796051095221	4.15385458834395	1	4641546	4641554	9	-	1	0	10	9	4	13	AT1G13560.2
AT1G14160	E001	882.643467250263	0.0042460964606999	11.9252403399469	0.0005537848245126	0.020511770252449	40.9765015517026	43.8037094561745	0.220741975153574	1	4840562	4841013	452	-	858	1500	1011	722	1205	1116	959	597	846	803	1200	368	AT1G14160.1	AT1G14160:E001	AT1G14160	E001	911.343037798856	0.013507885514178	25.8229409429437	3.74214141369377e-07	0.0001922012907337	44.6516809031482	38.1701236961498	-0.576898238899759	1	4840562	4841013	452	-	963	1051	938	926	709	869	AT1G14160.1
AT1G14650	E008	134.711692745471	0.0093967321147381	14.1453494325895	0.000169214882237	0.0082611470093798	16.0146362629087	18.7257748584374	0.462634851246582	1	5030793	5030896	104	+	99	122	121	141	137	129	143	157	110	157	215	84	"c(""AT1G14650.1"", ""AT1G14650.2"")"	AT1G14650:E008	AT1G14650	E008	38.7862859277428	0.0066091481655893	17.7691780780075	2.49390787037296e-05	0.0065549606662695	7.35463287941968	10.5578537661963	1.05719464529089	1	5030793	5030896	104	+	24	20	41	42	58	52	"c(""AT1G14650.1"", ""AT1G14650.2"")"
AT1G15125+AT1G15120	E005	1963.52742566035	0.0032673083684143	10.3881627990924	0.0012682575345354	0.0378499857190298	57.8966072716127	60.015991490894	0.132411331344288	1	5203065	5203092	28	+	2108	3033	2367	1939	2831	2476	1794	1096	1626	2442	2266	909	"c(""AT1G15120.2"", ""AT1G15120.1"")"	AT1G15125+AT1G15120:E005	AT1G15125+AT1G15120	E005	1186.14760880554	0.0017288970333302	13.7416486634651	0.0002097513128896	0.0361871835537362	43.1386732232121	46.9739687138178	0.32507547853959	1	5203065	5203092	28	+	1071	1098	1108	1030	1192	1777	"c(""AT1G15120.2"", ""AT1G15120.1"")"
AT1G15125+AT1G15120	E006	3437.76683214923	0.0025431051177956	18.2942377263579	1.89278836760806e-05	0.0013439533903545	71.3638904760274	74.0388711879004	0.149629627231977	1	5203484	5203568	85	+	3520	5255	4190	3426	4874	4462	3138	1994	2774	4171	4293	1564	"c(""AT1G15120.2"", ""AT1G15120.1"")"	AT1G15125+AT1G15120:E006	AT1G15125+AT1G15120	E006	2415.3322383517	0.0003627765180125	49.7647183703071	1.73333012980002e-12	2.7707105254432e-09	56.0210908348379	59.9808732515204	0.298487358995505	1	5203484	5203568	85	+	2186	2285	2424	2122	2373	3356	"c(""AT1G15120.2"", ""AT1G15120.1"")"
AT1G15125+AT1G15120	E007	3887.61852656163	0.0033269076727307	14.0095780074772	0.0001818817817939	0.0087623375733579	74.6272125366738	77.2008599947618	0.141186793808242	1	5203683	5203772	90	+	4023	6017	4729	3880	5512	5026	3500	2385	2979	4731	5103	1672	"c(""AT1G15120.2"", ""AT1G15120.1"")"	AT1G15125+AT1G15120:E007	AT1G15125+AT1G15120	E007	3107.2501320158	0.0012228781387236	23.6068045050829	1.18168909830394e-06	0.0005142054461875	60.882292993609	64.8722399899028	0.292163693755549	1	5203683	5203772	90	+	2816	2943	3216	2834	3008	4092	"c(""AT1G15120.2"", ""AT1G15120.1"")"
AT1G15125+AT1G15120	E015	3696.57089026237	0.006116676934434	18.3985085330488	1.79198190706132e-05	0.0012823563074531	77.3771058994846	70.2483639863526	-0.396163305362478	1	5205126	5205490	365	+	4480	6219	4982	4843	5634	6013	3423	1796	2441	2206	3709	1444	"c(""AT1G15125.1"", ""AT1G15125.2"")"	AT1G15125+AT1G15120:E015	AT1G15125+AT1G15120	E015	820.367496140222	0.0060054847706916	27.8982814870461	1.27863280512414e-07	7.64505290795063e-05	43.8727673491045	36.5397853222622	-0.664716295689509	1	5205126	5205490	365	+	1121	1145	544	497	733	918	"c(""AT1G15125.1"", ""AT1G15125.2"")"
AT1G15280	E005	522.856410224503	0.0046556235588614	24.44429103212	7.64898324149217e-07	8.23304255045273e-05	31.2962201029899	35.7268156568277	0.417390544383604	1	5253546	5253548	3	+	473	770	559	506	540	464	624	434	461	602	835	242	AT1G15280.2	AT1G15280:E005	AT1G15280	E005	108.835730796797	0.0057778442500778	13.2390379860865	0.0002741785889352	0.0434722918156763	13.7323376917326	17.0661330190996	0.652059864232403	1	5253546	5253548	3	+	83	81	130	109	124	133	AT1G15280.2
AT1G15810	E005	2395.96224026069	0.0022598046085238	33.5999650149406	6.76939449307019e-09	1.08781917454589e-06	61.3268885536832	65.8013761176398	0.267911960509498	1	5446128	5446564	437	+	2094	3078	2474	1916	2656	2218	2669	2097	2487	3480	3694	1037	AT1G15810.1	AT1G15810:E005	AT1G15810	E005	2381.42505919909	0.0067985691149947	17.0263071539963	3.68654957002105e-05	0.0091522244570988	52.7916122407536	59.4897567416167	0.511687437400063	1	5446128	5446564	437	+	1580	1768	2841	2665	2521	3111	AT1G15810.1
AT1G16920+AT1G16916	E006	2703.07867019337	0.0027597188154769	11.9931309205433	0.0005339700380317	0.019917494928762	65.9516701107302	67.4215925009562	0.0857745558035301	1	5787330	5787918	589	-	2145	3188	3204	2591	3350	3259	2746	2093	2542	4239	3694	1096	AT1G16920.1	AT1G16920+AT1G16916:E006	AT1G16920+AT1G16916	E006	1317.76396649519	0.0013615867833824	13.1148121367922	0.0002929701860964	0.0455301245956178	45.6720336902855	47.2966277992678	0.135382298586167	1	5787330	5787918	589	-	1053	1202	1334	1390	1355	1676	AT1G16920.1
AT1G17350	E005	51.9836259081271	0.0560709002789727	9.71304158330588	0.0018296494898986	0.049035084044556	9.10495539347099	12.5309761820991	0.930522569836193	1	5941847	5942347	501	+	45	77	35	29	28	17	92	56	54	107	93	16	AT1G17350.5	AT1G17350:E005	AT1G17350	E005	22.6684581700387	0.010438314551768	14.4389544119193	0.0001447764408925	0.0272590372820897	5.08466223570935	8.15574596123116	1.37327206472256	1	5941847	5942347	501	+	6	14	29	24	31	36	AT1G17350.5
AT1G18100	E001	300.010341763003	0.0057961804482722	34.9227017713417	3.4305754024501203e-09	5.80835319067205e-07	24.0724383942341	27.3743843681612	0.391266247943287	1	6227217	6228272	1056	-	354	590	461	294	363	483	238	157	227	320	328	89	AT1G18100.1	AT1G18100:E001	AT1G18100	E001	241.809554288952	0.0175642330051184	13.6162733350351	0.0002242333481053	0.0378519422924643	25.6074558891566	20.2085808951937	-0.742700588450743	1	6227217	6228272	1056	-	215	196	147	224	284	439	AT1G18100.1
AT1G18100	E004	114.008875379905	0.0093771596893308	21.68022280208	3.22094962286676e-06	0.0002905763502511	16.4708435369621	13.9529562338439	-0.487942422513608	1	6229916	6230194	279	-	147	257	192	131	176	262	74	42	59	56	56	39	AT1G18100.1	AT1G18100:E004	AT1G18100	E004	72.7678452687839	0.0035063664373734	14.0467701097102	0.0001783198288922	0.0318156695166542	10.961267835396	12.4900320798331	0.385463834654768	1	6229916	6230194	279	-	31	38	53	62	109	171	AT1G18100.1
