groupID_x	featureID_x	exonBaseMean_x	dispersion_x	stat_x	pvalue_x	padj_x	Col_0_x	fio1	log2fold_fio1_Col_0	genomicData.seqnames_x	genomicData.start_x	genomicData.end_x	genomicData.width_x	genomicData.strand_x	countData.Cai_Col.0_1.bam	countData.Cai_Col.0_2.bam	countData.Cai_Col.0_3.bam	countData.Cai_fio1_1.bam	countData.Cai_fio1_2.bam	countData.Cai_fio1_3.bam	transcripts_x	uniqueID	groupID_y	featureID_y	exonBaseMean_y	dispersion_y	stat_y	pvalue_y	padj_y	Col_0_y	fio1.1	fio1.5	log2fold_fio1.1_Col_0	log2fold_fio1.5_Col_0	genomicData.seqnames_y	genomicData.start_y	genomicData.end_y	genomicData.width_y	genomicData.strand_y	countData.Sun_Col.0_1.bam	countData.Sun_Col.0_2.bam	countData.Sun_fio1.1_1.bam	countData.Sun_fio1.1_2.bam	countData.Sun_fio1.5_1.bam	countData.Sun_fio1.5_2.bam	transcripts_y
AT1G03130+AT1G03140	E003	578.49765433714	0.0011081148808913	149.739163367111	1.97684551846437e-34	4.2747196119695e-31	33.8127393565019	40.6765203090268	0.571914018606853	1	754263	754890	628	-	389	582	688	676	667	548	AT1G03140.1	AT1G03130+AT1G03140:E003	AT1G03130+AT1G03140	E003	783.47757110512	0.0002537512559397	442.640022374762	7.61974445495825e-97	9.740954315477711e-93	51.6202395527254	39.8468548699725	36.2717847992062	-0.808490980327447	-1.09536322689664	1	754263	754890	628	-	746	787	749	779	726	963	AT1G03140.1
AT1G03130+AT1G03140	E004	2118.13418037649	0.0008697853058004	218.855729707625	1.60687100496473e-49	6.66764609168205e-46	61.3297858326773	70.2344936575244	0.477169800679496	1	755381	756303	923	-	1586	2230	2409	2240	2450	1982	AT1G03140.1	AT1G03130+AT1G03140:E004	AT1G03130+AT1G03140	E004	1800.19130892999	0.0004004757414425	401.285082109465	7.27866254324681e-88	8.58915773930246e-84	71.1704407556816	57.1383946693389	56.6245930460373	-0.734938997120024	-0.764314643757839	1	755381	756303	923	-	1620	1579	1718	1639	1967	2466	AT1G03140.1
AT1G04270+AT1G04260	E001	633.505989725234	0.0011960192004208	58.7727393444554	1.76976352217183e-14	1.0490802840117399e-11	42.2464121604981	35.3372477657566	-0.555756269466462	1	1140278	1141557	1280	-	444	730	778	676	670	572	AT1G04260.1	AT1G04270+AT1G04260:E001	AT1G04270+AT1G04260	E001	381.965407077983	0.0016336243345938	11.549169141115	0.0031054875016528	0.04350688727658	32.0428532637324	29.1488588441049	28.5449674874278	-0.283343017482389	-0.345760717241058	1	1140278	1141557	1280	-	384	456	360	366	305	436	AT1G04260.1
AT1G04790	E003	503.24940245681	0.0006318821938165	13.376860176726	0.0002547478408924	0.0196943735262	35.4586976383277	33.596025259419	-0.16544356239274	1	1346359	1346839	481	+	411	593	638	475	480	442	AT1G04790.1	AT1G04790:E003	AT1G04790	E003	399.445989467545	0.0009965409515274	38.8624211643262	3.64026053553377e-09	5.42172628848634e-07	28.9817282149061	30.9301528843195	32.0567472126462	0.194477415685983	0.301797681881983	1	1346359	1346839	481	+	355	403	369	393	388	524	AT1G04790.1
AT1G04945+AT1G04940	E010	81.334296117403	0.0144183924276528	12.5846784137709	0.0003889219486449	0.027018636549979	11.9297686452914	15.7936244878024	0.817753873444002	1	1401303	1401507	205	+	43	54	43	104	137	123	"c(""AT1G04945.2"", ""AT1G04945.4"", ""AT1G04945.3"", ""AT1G04945.1"")"	AT1G04945+AT1G04940:E010	AT1G04945+AT1G04940	E010	51.7236200197319	0.0047642279467007	11.1854996311342	0.0037247713351673	0.0493993491348385	12.8259938495803	9.70907311991851	10.7714720229617	-0.807408853914459	-0.506525290533263	1	1401303	1401507	205	+	59	77	48	30	43	55	"c(""AT1G04945.2"", ""AT1G04945.4"", ""AT1G04945.3"", ""AT1G04945.1"")"
AT1G05030	E002	125.478971960348	0.0019840866504028	12.2496829668127	0.0004653372132413	0.0307018574769865	16.4843943073068	18.9211649257736	0.404397287600148	1	1438089	1438515	427	-	98	141	184	133	114	93	"c(""AT1G05030.2"", ""AT1G05030.1"")"	AT1G05030:E002	AT1G05030	E002	188.003549217663	0.0077759759481999	16.4061198197076	0.0002738144392938	0.0071062050201847	21.5934863958166	23.3192122625795	17.967281464287	0.226332722052271	-0.538760317785194	1	1438089	1438515	427	-	210	193	226	211	103	178	"c(""AT1G05030.2"", ""AT1G05030.1"")"
AT1G05550	E013	26.6510812153936	0.0458266096933377	21.351399650221	3.82341514844273e-06	0.0006244775827025	5.42762613023297	9.68762919398901	1.67658162017295	1	1643639	1643917	279	-	7	2	19	56	47	40	AT1G05550.3	AT1G05550:E013	AT1G05550	E013	5.01319397766411	0.0809372224750929	19.2003591872753	6.77165739328844e-05	0.0023722605025686	2.67593195886093	1.84397064659277	2.11074625586514	-1.07467005484035	-0.684733802367984	1	1643639	1643917	279	-	2	0	1	0	12	19	AT1G05550.3
AT1G06410	E004	28.5993063192343	0.0173383963178253	14.7711448571902	0.0001213787010903	0.0111321815880562	9.786523708461	6.43632532759011	-1.21328530402199	1	1954898	1955031	134	+	40	39	35	17	13	19	AT1G06410.3	AT1G06410:E004	AT1G06410	E004	15.3916566762718	0.0094398758544865	30.5120428164101	2.36806754989572e-07	2.15978460498991e-05	7.61940822251682	2.89916972646506	6.97721291603267	-2.79096354425167	-0.254600824247397	1	1954898	1955031	134	+	25	19	4	3	20	24	AT1G06410.3
AT1G06640	E008	93.9084277769514	0.0103897464504542	12.0962771873903	0.0005052259604579	0.0326070820639478	13.4781654123874	17.3576149232929	0.739043720648426	1	2033911	2034014	104	+	56	86	81	135	148	78	"c(""AT1G06640.2"", ""AT1G06640.1"")"	AT1G06640:E008	AT1G06640	E008	50.3966164943209	0.0031044502951209	12.3645909316558	0.0020656807087908	0.032645288432344	12.6665569488993	10.5312899477037	9.78757679472838	-0.535560608538164	-0.747755318045519	1	2033911	2034014	104	+	66	57	29	45	49	59	"c(""AT1G06640.2"", ""AT1G06640.1"")"
AT1G06680+AT1G06670	E004	363.269389628916	0.0005431400706242	235.777599118634	3.2765049734853303e-53	1.6227155115458098e-49	26.2222666658574	33.1381660266026	0.706604754106454	1	2041075	2041507	433	+	214	301	326	501	498	408	"c(""AT1G06670.1"", ""AT1G06670.2"")"	AT1G06680+AT1G06670:E004	AT1G06680+AT1G06670	E004	138.3079222837	0.0013279017248647	16.4089925585768	0.0002734214229284	0.0070996084640753	19.1712453246399	16.1239963314554	19.3776668407508	-0.50570536790983	0.0313627937783094	1	2041075	2041507	433	+	129	123	106	123	164	204	"c(""AT1G06670.1"", ""AT1G06670.2"")"
AT1G06680+AT1G06670	E006	66.9896085008427	0.0062315143588945	11.4510349864503	0.0007145419042851	0.0416965482952861	12.408622486494	13.5177680403282	0.249230304494014	1	2041838	2041882	45	+	57	54	71	87	69	67	"c(""AT1G06670.1"", ""AT1G06670.2"")"	AT1G06680+AT1G06670:E006	AT1G06680+AT1G06670	E006	37.7002184946665	0.0040318261787008	16.1087072558847	0.0003177156911922	0.0079931007856707	7.77982523353307	9.01039309284548	11.2955202733483	0.424904901642963	1.07977735019532	1	2041838	2041882	45	+	20	21	32	39	51	73	"c(""AT1G06670.1"", ""AT1G06670.2"")"
AT1G06680+AT1G06670	E008	80.3452070373243	0.0032663929963391	16.3903693682832	5.15464686576878e-05	0.0056087380106412	13.5860219874357	14.778908287764	0.245423672773795	1	2042424	2042482	59	+	66	75	78	102	83	82	"c(""AT1G06670.1"", ""AT1G06670.2"")"	AT1G06680+AT1G06670:E008	AT1G06680+AT1G06670	E008	43.2859593227485	0.0033078488830133	21.5474674165687	2.0942421730361e-05	0.0009245160138036	8.67391750662895	9.07384619632452	12.3109996022594	0.130473279388259	1.01481696864381	1	2042424	2042482	59	+	24	27	39	33	70	77	"c(""AT1G06670.1"", ""AT1G06670.2"")"
AT1G06680+AT1G06670	E013	669.579377500631	0.0008189323462333	266.364529131538	7.03499596879078e-60	4.909467868583849e-56	35.433497904711	43.7899247688266	0.660925887069094	1	2043590	2044576	987	+	383	542	660	883	927	755	"c(""AT1G06670.1"", ""AT1G06670.2"")"	AT1G06680+AT1G06670:E013	AT1G06680+AT1G06670	E013	409.225346168255	0.0012046888820116	27.0630239462718	1.32843105079355e-06	9.37039525915204e-05	31.0675294818505	28.110150861837	33.450672806249	-0.298734232612208	0.222118599130861	1	2043590	2044576	987	+	328	350	334	377	509	620	"c(""AT1G06670.1"", ""AT1G06670.2"")"
AT1G06700	E008	731.75205331537	0.0008840924657361	13.6932755530219	0.0002152237457655	0.0173729241258615	42.7457724922126	39.845003975354	-0.220821451671211	1	2053995	2054248	254	-	500	766	710	839	917	747	"c(""AT1G06700.1"", ""AT1G06700.2"", ""AT1G06700.3"")"	AT1G06700:E008	AT1G06700	E008	815.860126061926	0.0003351821194477	20.8977198382653	2.89812954911496e-05	0.0012019206856218	44.8854064210645	41.4194653389892	42.6272155167539	-0.249006544028992	-0.160256781310661	1	2053995	2054248	254	-	713	782	741	781	863	1097	"c(""AT1G06700.1"", ""AT1G06700.2"", ""AT1G06700.3"")"
AT1G07700	E004	276.273550308452	0.0052304497552364	25.0565852112298	5.56722995023498e-07	0.0001117303025175	28.6688897173742	22.8314239890176	-0.679832593943701	1	2379730	2379798	69	+	252	324	424	254	197	205	"c(""AT1G07700.3"", ""AT1G07700.4"", ""AT1G07700.1"")"	AT1G07700:E004	AT1G07700	E004	70.2900252096459	0.0070450262780675	19.2346930059432	6.65640109252547e-05	0.0023398988680109	15.7057601006389	11.1596878900987	12.0752354881162	-0.993082729739569	-0.764338272275396	1	2379730	2379798	69	+	76	111	45	57	56	81	"c(""AT1G07700.3"", ""AT1G07700.4"", ""AT1G07700.1"")"
AT1G07820	E002	469.579109700117	0.0006089703786395	26.6129303175859	2.48574562604794e-07	5.49908538857552e-05	35.2015025471023	31.7750640276363	-0.312884135513613	1	2421784	2421902	119	-	370	571	596	436	480	392	AT1G07820.1	AT1G07820:E002	AT1G07820	E002	259.994145614312	0.0006145383050926	55.4799438786468	8.96774516740214e-13	2.75141183030099e-10	28.086481305472	23.3946970468298	22.5296624986124	-0.541353544981925	-0.652364631205803	1	2421784	2421902	119	-	324	319	234	244	178	259	AT1G07820.1
AT1G07890	E021	5725.71388155914	0.0002767881364698	16.337525792496	5.30038945254062e-05	0.005738849031372	94.3561871718298	97.0539486931177	0.117566263111247	1	2439420	2439665	246	+	3783	5476	5942	7419	6847	5719	"c(""AT1G07890.3"", ""AT1G07890.1"", ""AT1G07890.5"", ""AT1G07890.2"", ""AT1G07890.4"", ""AT1G07890.8"", ""AT1G07890.7"", ""AT1G07890.6"")"	AT1G07890:E021	AT1G07890	E021	6534.4606136262	0.0002266926369986	27.1248656142898	1.28798341470751e-06	9.1220860441653e-05	100.054567019607	102.518707572104	98.3370459194816	0.0970686152984648	-0.0683548882029097	1	2439420	2439665	246	+	9528	9906	4582	4320	4763	6015	"c(""AT1G07890.3"", ""AT1G07890.1"", ""AT1G07890.5"", ""AT1G07890.2"", ""AT1G07890.4"", ""AT1G07890.8"", ""AT1G07890.7"", ""AT1G07890.6"")"
AT1G07930	E006	8917.24152929044	9.30772289714e-05	11.0181204574112	0.0009022550998496	0.0492965215231039	109.973551458546	111.233994454842	0.0519237454238013	1	2460102	2460790	689	+	5599	7944	8743	11353	11052	10177	"c(""AT1G07930.2"", ""AT1G07930.1"")"	AT1G07930:E006	AT1G07930	E006	7146.8658670659	0.0003761246280532	23.5535279869489	7.68097555505107e-06	0.0004087088921256	106.804306601317	107.851220751251	103.65324228703	0.0401365838612939	-0.121903482873241	1	2460102	2460790	689	+	6919	7658	7078	6577	6607	8410	"c(""AT1G07930.2"", ""AT1G07930.1"")"
AT1G07940	E002	7650.35395983564	0.000169347707467	16.8917564797471	3.95730729592816e-05	0.004537456229603	104.50296366142	106.174201679266	0.0700608178237871	1	2462953	2464237	1285	-	4933	7071	7429	9437	9603	8527	"c(""AT1G07940.2"", ""AT1G07940.3"", ""AT1G07940.4"", ""AT1G07940.1"")"	AT1G07940:E002	AT1G07940	E002	8024.35219870631	0.0021565446743008	17.8946617495225	0.0001300839073241	0.0039689045121253	111.572739580989	113.888579376008	106.021282160854	0.0869129128857526	-0.211574772059908	1	2462953	2464237	1285	-	7765	8663	7662	7501	7671	9275	"c(""AT1G07940.2"", ""AT1G07940.3"", ""AT1G07940.4"", ""AT1G07940.1"")"
AT1G08310+AT1G08300+AT1G04647	E022	27.2659718773978	0.0063341281249993	26.087663156935	3.26262001450729e-07	7.01625238583923e-05	9.93623152479378	6.4166256411749	-1.26618049519495	1	2620453	2621546	1094	+	30	38	38	23	20	12	AT1G04647.1	AT1G08310+AT1G08300+AT1G04647:E022	AT1G08310+AT1G08300+AT1G04647	E022	500.396133786441	0.0014983832749517	32.8889915554203	7.21516431639914e-08	7.69179636637614e-06	32.089557077077	36.7203519826244	33.436747186484	0.407298733538259	0.123748615261617	1	2620453	2621546	1094	+	494	573	462	482	465	542	AT1G04647.1
AT1G08900	E005	69.3970921348694	0.0065944053226231	171.287802923795	3.8717164565046e-39	1.06147254922706e-35	5.76861423563415	17.3123748920758	3.19141994614647	1	2852604	2852715	112	+	12	16	7	134	167	112	AT1G08900.5	AT1G08900:E005	AT1G08900	E005	111.954002045491	0.0072538531972027	68.1896193009875	1.5588786433417e-15	7.22481381149475e-13	8.06930502770277	16.9000709446149	17.6143537944054	2.14582474409288	2.26669880926694	1	2852604	2852715	112	+	13	18	158	144	188	168	AT1G08900.5
AT1G09910	E015	9.39473382321268	0.100513833869959	11.0165529378541	0.0009030184090019	0.0493031352539364	3.23752100544232	6.92709801735253	2.19759952174851	1	3223832	3224206	375	-	2	12	3	21	12	10	AT1G09910.2	AT1G09910:E015	AT1G09910	E015	21.0299670699377	0.031858548049944	16.1367701399345	0.0003132888122689	0.0079014120109781	4.74580158794208	9.38017572682816	7.00345211933134	1.9697299065695	1.12437028912853	1	3223832	3224206	375	-	14	7	28	34	25	17	AT1G09910.2
AT1G10180+AT1G10170	E005	2834.76961113148	0.0007797385263152	16.6658496492645	4.45762857026797e-05	0.0049809295079566	72.0496153630451	75.3737152465463	0.165731003761469	1	3333937	3337029	3093	-	1776	2551	2873	3592	3578	3091	"c(""AT1G10170.3"", ""AT1G10170.1"", ""AT1G10170.4"", ""AT1G10170.2"")"	AT1G10180+AT1G10170:E005	AT1G10180+AT1G10170	E005	2613.16068760114	0.0016529287353594	17.8461169077647	0.0001332799900924	0.0040487030020034	75.043862037092	68.8042561134083	71.212735322166	-0.300588237250643	-0.182444473456234	1	3333937	3337029	3093	-	3001	3113	1986	2182	2446	3104	"c(""AT1G10170.3"", ""AT1G10170.1"", ""AT1G10170.4"", ""AT1G10170.2"")"
AT1G10180+AT1G10170	E016	471.899566510817	0.0018686183778124	20.2829685027428	6.67925101804787e-06	0.0010093163472449	35.5091090491963	31.8163615228936	-0.335688457524776	1	3339322	3339828	507	-	359	548	518	465	504	467	AT1G10180.1	AT1G10180+AT1G10170:E016	AT1G10180+AT1G10170	E016	253.658311871199	0.001584249686369	11.5960273299394	0.0030335744600285	0.0428828712606213	23.4962102918502	25.8471437377838	24.4468273291421	0.281863516359473	0.117075289702651	1	3339322	3339828	507	-	239	252	235	266	218	332	AT1G10180.1
AT1G10585+AT1G10580	E006	56.9938591732603	0.002937507057087	25.9224909359362	3.55404093294176e-07	7.55750560158655e-05	10.0070978778663	13.7286310445658	0.919095059853739	1	3494296	3494613	318	-	27	47	38	87	86	71	"c(""AT1G10585.1"", ""AT1G10585.2"")"	AT1G10585+AT1G10580:E006	AT1G10585+AT1G10580	E006	283.09250478222	0.0352845342101805	35.1544490191496	2.32438673505604e-08	2.84349977255189e-06	32.4361813916284	20.4642807679721	14.9834620885762	-1.36558859638372	-2.2763263561805	1	3494296	3494613	318	-	604	561	176	139	97	62	"c(""AT1G10585.1"", ""AT1G10585.2"")"
AT1G10590	E005	22.8708926346405	0.0209355674647127	59.6369697129785	1.1407203751260201e-14	6.89507083437394e-12	10.456702348697	3.5643868692035	-3.11281374358364	1	3503370	3503373	4	-	23	40	56	10	5	2	AT1G10590.2	AT1G10590:E005	AT1G10590	E005	18.8202345778149	0.0100023202458735	82.0706803371779	1.50861423652392e-18	1.01504594547451e-15	10.6193905598817	3.56013336148891	3.45737250936003	-3.15921093441473	-3.24376331118679	1	3503370	3503373	4	-	48	41	5	5	2	9	AT1G10590.2
AT1G10840	E012	38.2617148364337	0.0159250212454767	71.6508025903451	2.5685758145730402e-17	2.1088419508631e-14	4.39094408765544	12.4879225272521	3.02633662978218	1	3610174	3610289	116	-	6	5	8	94	61	72	AT1G10840.2	AT1G10840:E012	AT1G10840	E012	45.5517792375327	0.0088386726318673	54.7700501938799	1.2788944822381e-12	3.78745341587293e-10	5.69853707015159	11.1054474096358	13.1575627150969	1.93048597337057	2.42262619135574	1	3610174	3610289	116	-	17	8	58	41	73	88	AT1G10840.2
AT1G10960+AT1G10950	E005	948.969368893361	0.0002272975836442	11.6840912674101	0.0006303676660555	0.0381214901746407	45.8341478709451	46.8971515327308	0.0735502603338443	1	3661162	3661259	98	+	599	840	957	1228	1177	1042	AT1G10950.1	AT1G10960+AT1G10950:E005	AT1G10960+AT1G10950	E005	581.754619510447	0.0002638754806339	22.4266900825023	1.34929255763855e-05	0.0006476519840334	36.0112227147275	36.0834598635095	37.7310725354158	0.0060817817832585	0.141905456542444	1	3661162	3661259	98	+	472	524	556	555	630	822	AT1G10950.1
AT1G10960+AT1G10950	E006	943.498534009452	0.0003359277404838	37.3516869675561	9.863552425669081e-10	3.40303641328758e-07	46.834308282428	45.8510793385461	-0.0680572597018703	1	3661341	3661493	153	+	625	894	995	1141	1162	976	AT1G10950.1	AT1G10960+AT1G10950:E006	AT1G10960+AT1G10950	E006	711.275286931616	0.0002297337908325	42.7392146133997	5.23959195040486e-10	9.48978562861638e-08	38.5513930501438	40.3982219810606	41.6187727876022	0.14338826167276	0.235014972860245	1	3661341	3661493	153	+	560	590	712	699	788	1000	AT1G10950.1
AT1G10960+AT1G10950	E007	873.490936099678	0.0014175839870059	15.452794928845	8.45917533947e-05	0.0084278857227049	45.2269810084825	44.3371252296374	-0.0633250863835553	1	3661721	3661855	135	+	537	885	913	1044	1067	932	AT1G10950.1	AT1G10960+AT1G10950:E007	AT1G10960+AT1G10950	E007	568.133776515437	0.0002497371913354	48.4803989572234	2.96903369400999e-11	7.09451063649995e-09	34.2954659004239	36.1452973792969	37.9296036376119	0.159079636295614	0.30571140116896	1	3661721	3661855	135	+	427	472	567	548	642	826	AT1G10950.1
AT1G10960+AT1G10950	E010	1308.22083574481	0.0013271296478856	22.6011967350166	1.99360386584156e-06	0.0003478159108211	54.3745055424379	52.8283829618927	-0.0955785126089204	1	3662463	3662836	374	+	814	1339	1388	1619	1535	1357	AT1G10950.1	AT1G10960+AT1G10950:E010	AT1G10960+AT1G10950	E010	1934.79135079913	0.0005071772248724	22.5794221541132	1.25008854888546e-05	0.0006088282858055	62.2514365650651	64.4075718388315	63.3104298211306	0.113629852905502	0.0561663216511423	1	3662463	3662836	374	+	1495	1803	2021	1939	1965	2565	AT1G10950.1
AT1G10960+AT1G10950	E012	633.911773852946	0.0015695820413035	20.5859811344262	5.70120757645134e-06	0.00088953902359	39.5003122195608	37.7894361359882	-0.137749779551154	1	3663555	3664186	632	+	453	551	724	745	769	637	AT1G10950.1	AT1G10960+AT1G10950:E012	AT1G10960+AT1G10950	E012	1088.04612373137	0.0002715880002216	12.5300116082722	0.0019017023806825	0.0306953030952367	48.9614507973987	50.433983020667	47.6730139920737	0.0938426396789822	-0.0840515371954993	1	3663555	3664186	632	+	875	1049	1151	1129	1055	1342	AT1G10950.1
AT1G10960+AT1G10950	E014	49304.0341071515	0.0009824028773535	41.1090406171773	1.43968867418122e-10	5.69678871512997e-08	169.958558392662	177.825434551805	0.293901458178125	1	3664265	3665040	776	+	29427	39643	44496	67984	64783	58237	AT1G10960.1	AT1G10960+AT1G10950:E014	AT1G10960+AT1G10950	E014	7356.97413518272	0.0010709340700022	55.6781670618598	8.12156344390655e-13	2.51696275086046e-10	113.42216594335	106.613306182751	101.406296529914	-0.258248724734106	-0.460803610094127	1	3664265	3665040	776	+	7528	7835	7282	6991	6392	8388	AT1G10960.1
AT1G11840	E018	4797.07579494459	0.0005775317544405	16.3438303806584	5.28278596193306e-05	0.005723825890865	88.1748023270762	91.792953400609	0.162157253435138	1	3997477	3997853	377	+	3447	4856	5675	5227	5333	4736	"c(""AT1G11840.4"", ""AT1G11840.1"", ""AT1G11840.2"", ""AT1G11840.6"", ""AT1G11840.5"", ""AT1G11840.3"")"	AT1G11840:E018	AT1G11840	E018	3226.15801954968	0.0001168143296899	19.9119790871866	4.74426215917232e-05	0.0017899613398671	78.9755068863928	79.5184158237499	76.9235895717825	0.0245330182562995	-0.0937014797961364	1	3997477	3997853	377	+	2708	2904	3133	3080	3429	4448	"c(""AT1G11840.4"", ""AT1G11840.1"", ""AT1G11840.2"", ""AT1G11840.6"", ""AT1G11840.5"", ""AT1G11840.3"")"
