	SRR15236518	SRR15236519	SRR15236520
AT1G01225.1	3.558922	2.717848	4.435414
AT1G01230.1	28.82286	29.035048	33.55964
AT1G01240.1	16.263584	13.205034	15.350011
AT1G01240.2	0.493876	0.757606	1.495736
AT1G01240.3	1.115553	1.412379	1.887918
AT1G01240.4	2.12015	2.299689	1.335862
AT1G01240.5	0	0	0
AT1G01250.1	2.019535	2.678575	2.384871
AT1G01260.1	2.658326	4.327892	3.850445
AT1G01260.2	1.995901	3.206209	3.60803
AT1G01260.3	2.948574	1.085707	1.911357
AT1G01280.1	0	0	0
AT1G01290.1	1.190694	1.288698	1.025222
AT1G01290.2	13.365132	14.347308	14.050872
AT1G01300.1	47.931616	47.415644	47.085298
AT1G01305.1	0	0	0
AT1G01310.1	0	0	0
AT1G01320.1	0	0	0.287386
AT1G01320.2	0	0.891071	0.083447
AT1G01320.3	126.543797	127.32464	122.884587
AT1G01335.1	0	0	0
AT1G01340.1	0	1.5551	0
AT1G01340.2	2.45782	0.758936	1.911425
AT1G01350.1	19.881234	20.066559	19.868298
AT1G01355.1	0	0	0
AT1G01355.2	0.095869	0.131699	0
AT1G01355.3	0	0.146924	0.064479
AT1G01360.1	18.32495	16.235506	16.124266
AT1G01370.1	0	0	0
AT1G01370.2	1.90049	1.103187	1.022477
AT1G01370.3	1.420904	0.502671	0.447223
AT1G01370.4	1.093722	2.294558	3.921667
AT1G01380.1	2.409632	2.708093	2.928969
AT1G01380.2	0.110969	0.15293	0.287327
AT1G01380.3	0	0	0
AT1G01390.1	6.262588	5.305136	5.534185
AT1G01390.2	0	0.458798	0
AT1G01400.1	0	0	0
AT1G01410.1	0	0	0
AT1G01420.1	5.249888	2.549443	4.64558
AT1G01420.2	4.946212	7.082693	5.088187
AT1G01430.1	52.775804	54.204449	52.987363
AT1G01440.1	10.496484	8.935271	8.830513
AT1G01450.1	0	0	0
AT1G01453.1	0	0	0
AT1G01453.2	0	0	0
AT1G01460.1	0	0	0
AT1G01470.1	27.442388	27.186662	26.73847
AT1G01480.1	0.709312	0.341869	0.373526
AT1G01480.2	0	0	0
AT1G01490.1	71.294705	54.268581	66.399296
AT1G01490.2	26.309568	30.741449	21.647514
AT1G01490.3	1.314067	1.615045	3.127924
AT1G01490.4	0.52726	0.827879	0.630077
AT1G01500.1	10.886062	12.459709	11.929084
AT1G01510.1	19.483292	20.323534	20.257369
AT1G01520.1	4.520013	3.918847	4.16773
AT1G01520.2	0	0	0
AT1G01520.3	0.152265	0	0.762577
AT1G01520.4	0	0.759321	0.66356
AT1G01520.5	0.686976	1.435569	0.462452
AT1G01530.1	0	0	0.064479
AT1G01540.1	9.45873	9.250542	8.682784
AT1G01540.2	56.790524	60.486519	55.930526
AT1G01550.1	86.832012	86.354195	87.668188
AT1G01550.2	14.071655	16.724904	16.466686
AT1G01560.1	0	0	0.250896
AT1G01560.2	2.787366	2.829811	3.061717
AT1G01560.3	0.080846	0.131367	0
AT1G01560.4	0	0.190001	0
AT1G01570.1	0.477105	0.708072	0
AT1G01570.2	0.375841	0.237774	0.673103
AT1G01580.1	1.003474	1.134399	0.798739
AT1G01580.2	0	0	0
AT1G01590.1	0.549838	0.553972	0.496018
AT1G01600.1	5.808791	5.266576	5.000795
AT1G01610.1	43.985196	45.881532	45.814192
AT1G01620.1	196.739037	200.795863	194.635364
AT1G01620.2	0	0	0
AT1G01630.1	63.987703	63.283332	61.752322
AT1G01640.1	1.624621	2.064505	1.269302
AT1G01640.2	0	0	0.080285
AT1G01650.1	15.574927	15.380959	14.763888
AT1G01650.2	0.052537	0	0.144791
AT1G01650.3	0	0.220094	0.143381
AT1G01650.4	0	0	0
AT1G01660.1	0	0	0
AT1G01660.2	1.098611	1.648986	1.244976
AT1G01670.1	1.543992	2.189292	1.408953
AT1G01670.2	0	0	1.548255
AT1G01670.3	1.550793	1.207788	0
AT1G01680.1	4.402431	3.946172	4.153559
AT1G01690.1	0	1.053192	0
AT1G01690.2	2.097578	1.883422	1.626003
AT1G01690.3	2.103231	1.131508	2.493669
AT1G01695.1	0.419548	0.423917	0.365062
AT1G01700.1	1.163182	0.658679	1.124724
AT1G01700.2	0	0	0
AT1G01700.3	0	0	0
AT1G01700.4	0	0	0
AT1G01700.5	0.140693	0	0
AT1G01710.1	28.561308	27.652443	28.880788
AT1G01715.1	0.371244	0.110335	0.514043
AT1G01715.2	4.554529	2.574458	2.57924
AT1G01720.1	19.059684	18.345424	17.950234
AT1G01725.1	10.671205	7.766788	10.50109
AT1G01730.1	13.184076	11.40443	12.006115
AT1G01740.1	0	0	0
AT1G01740.2	2.484348	1.407141	2.157578
AT1G01740.3	0.771573	0.909323	0.665627
AT1G01740.4	0.514381	0.760709	0
AT1G01740.5	1.232108	2.130298	1.698806
AT1G01750.1	0	0	0
AT1G01750.2	0	0	0
AT1G01760.1	1.556186	1.05622	2.515601
AT1G01760.2	0.991994	0.929547	0.645502
AT1G01760.3	0	0.97508	0
AT1G01760.4	0	0	0
AT1G01770.1	10.257114	10.233668	10.532249
AT1G01780.1	13.212424	12.971508	13.412386
AT1G01790.1	57.988134	59.350751	56.885213
AT1G01790.2	6.100888	3.647111	7.540773
AT1G01800.1	56.600432	56.216862	52.000524
AT1G01800.2	0	0.168999	0
AT1G01810.1	1.112924	2.570255	1.357047
AT1G01820.1	25.795299	25.524495	26.581072
AT1G01830.1	1.858988	2.207375	2.91768
AT1G01830.2	6.115502	7.113767	5.485622
AT1G01830.3	7.606645	6.645383	6.229924
AT1G01840.1	3.682332	3.941556	4.847793
AT1G01860.1	12.795241	10.839252	11.4477
AT1G01860.2	0	0	0
AT1G01860.3	1.060102	1.37937	1.60479
AT1G01860.4	0	0	0
AT1G01860.5	0	0.160211	0
AT1G01880.1	0.786703	0.786824	0.357738
AT1G01880.2	0	0	0
AT1G01880.3	0	0	0
AT1G01880.4	0	0	0.983387
AT1G01900.1	7.821434	6.854507	7.16986
AT1G01910.1	19.51928	21.953632	19.026134
AT1G01910.2	12.341795	11.872095	13.22447
AT1G01910.3	0	0	0
AT1G01910.4	1.0628	1.636873	1.632561
AT1G01910.5	0	0.356062	0
AT1G01920.1	0.124857	0.068886	0.059589
AT1G01920.2	2.689206	6.997951	6.204897
AT1G01920.3	0.89469	0.688518	0.709561
AT1G01920.4	4.284099	0	1.982372
AT1G01920.5	0.486629	0.230824	0
AT1G01930.1	9.499545	8.702979	8.544367
AT1G01940.1	20.780954	20.665951	21.439502
AT1G01950.1	10.450603	10.51086	11.324828
AT1G01950.2	0	0	0
AT1G01950.3	0	0	0
AT1G01950.4	0	1.092615	0
AT1G01960.1	20.764086	20.134377	19.752244
AT1G01970.1	25.094123	22.678177	23.403208
AT1G01980.1	0.096213	0	0
AT1G01990.1	22.202017	23.693628	23.452973
AT1G02000.1	8.476174	6.996982	7.634452
AT1G02010.1	0.989592	1.640115	2.241533
AT1G02010.2	0.916268	0	0
AT1G02010.3	1.012084	1.489997	2.170515
AT1G02010.4	0.897836	0	0.415662
AT1G02010.5	0	0	0
AT1G02010.6	3.823911	4.162791	1.478629
AT1G02020.1	9.598415	8.415004	7.939968
AT1G02020.2	0.158621	0.227979	0.361765
AT1G02020.3	2.014781	2.642067	3.261733
AT1G02030.1	0.143573	0.159034	0.164694
AT1G02040.1	0	0	0
AT1G02050.1	4.275726	4.792698	5.167622
AT1G02060.1	3.840918	4.119714	3.741062
AT1G02065.1	3.548199	3.729896	3.494462
AT1G02065.2	0.284998	0.266859	0.628376
AT1G02067.1	0	0	0
AT1G02070.1	0.284656	0.403734	0.732165
AT1G02080.1	0.136501	1.920471	1.36316
AT1G02080.2	12.408512	13.923706	14.755405
AT1G02080.3	7.734755	4.892168	3.620711
AT1G02090.1	35.62912	34.419969	37.03678
AT1G02090.2	10.529847	9.120639	10.670493
AT1G02090.3	1.576761	1.197294	1.346392
AT1G02100.1	9.020461	7.939544	7.780817
AT1G02100.2	0.206562	0.151645	0
AT1G02100.3	22.376395	18.038245	19.249204
AT1G02110.1	14.636503	15.268012	14.281651
AT1G02120.1	53.242817	53.467608	52.953083
AT1G02120.2	4.028023	3.591534	3.708418
AT1G02120.3	1.018774	1.793796	1.68631
AT1G02130.1	40.353807	44.43837	42.254116
AT1G02140.1	135.40184	146.810085	134.71956
AT1G02145.1	0	0	0
AT1G02145.2	0	0	0
AT1G02145.3	14.883609	12.014696	12.570044
AT1G02145.4	0.93315	1.43045	1.898051
AT1G02150.1	70.816129	69.287399	68.329165
AT1G02160.1	36.124409	33.850457	37.291332
AT1G02160.2	2.858187	3.579549	4.075191
AT1G02170.1	27.531227	27.093269	26.643733
AT1G02180.1	9.27472	8.386511	8.081564
AT1G02190.1	0.501277	0.790231	0.496874
AT1G02190.2	0	0	0
AT1G02205.1	24.983552	19.877258	30.097593
AT1G02205.2	3.679498	4.190822	0
AT1G02205.3	20.231855	25.447648	24.603272
AT1G02205.4	49.031905	54.910144	44.769959
AT1G02205.5	1.999861	2.08354	2.105167
AT1G02210.1	0	0	0
AT1G02220.1	3.681226	3.421172	3.677585
AT1G02230.1	0.270113	0.68971	0.402543
AT1G02250.1	0	0	0
AT1G02260.1	1.397483	2.966786	2.907163
AT1G02260.2	3.398488	0.932124	1.582645
AT1G02270.1	22.825809	21.485385	20.977176
AT1G02270.2	0	0	0.224133
AT1G02280.1	53.714684	51.566398	45.433973
AT1G02280.2	10.8544	11.688249	14.165411
AT1G02290.1	7.450648	6.77291	7.762453
AT1G02300.1	9.463806	9.253932	9.023246
AT1G02305.1	63.209949	63.548607	67.274812
AT1G02310.1	0	0.032588	0.029876
AT1G02310.2	0	0	0
AT1G02320.1	0	0	0
AT1G02330.1	31.411018	31.68782	30.317115
AT1G02335.1	10.942247	12.057563	12.080287
AT1G02340.1	1.214901	1.23728	0.925854
AT1G02340.2	0	0	0.055681
AT1G02350.1	2.271008	1.685497	2.97383
AT1G02360.1	3.156316	2.253033	3.069118
AT1G02360.2	0	0	0
AT1G02360.3	0	0	0
AT1G02370.1	3.858468	3.579116	3.411901
AT1G02380.1	4.036747	4.797673	4.522791
AT1G02390.1	3.291329	3.162386	2.872638
AT1G02400.1	0.870923	1.117562	1.288297
AT1G02400.2	0	0	0
AT1G02405.1	0.605583	1.434725	0.194863
AT1G02410.1	24.920155	22.954834	25.240296
AT1G02410.2	0.642218	0.426469	0.184486
AT1G02410.3	0	0	0
AT1G02420.1	3.371459	3.518094	3.443969
AT1G02430.1	0	0	0
AT1G02430.2	0	0.070669	0
AT1G02440.1	0.124771	0.268392	0.241669
AT1G02440.2	0	0	0
AT1G02450.1	6.493375	4.955161	7.965368
AT1G02460.1	1.035038	1.126378	0.791629
AT1G02470.1	0.95168	1.287592	1.408036
AT1G02470.2	0	0	0
AT1G02475.1	72.993536	78.171155	83.781729
AT1G02490.1	1.542053	1.165144	0.676061
AT1G02500.1	251.052573	242.784948	237.492328
AT1G02500.2	27.784027	32.27482	37.087103
AT1G02510.1	0	0	0
AT1G02520.1	0.216008	0.204506	0.300512
AT1G02520.2	0	0	0
AT1G02520.3	0	0	0
AT1G02530.1	0.113419	0.165991	0.198383
AT1G02530.2	0	0	0
AT1G02540.1	0	0	0
AT1G02550.1	0	0	0
AT1G02560.1	187.132262	192.578662	195.25492
AT1G02570.1	0	0.048356	0
AT1G02575.1	0	0	0
AT1G02580.1	0	0	0.016528
AT1G02580.2	0.034336	0	0
AT1G02590.1	0	0	0
AT1G02610.1	3.98635	4.159001	3.824472
AT1G02610.2	0.460054	0.341018	0.157568
AT1G02610.3	0	0	0
AT1G02620.1	0.517487	0.360634	0.180329
AT1G02630.1	0.456554	0.414283	0.358408
AT1G02630.2	0	0	0
AT1G02640.1	6.582108	7.048803	7.174316
AT1G02650.1	0.684604	0.854815	0.764072
AT1G02650.2	0	0	0
AT1G02660.1	3.089353	3.55482	3.505383
AT1G02670.1	0	0	0
AT1G02670.2	0	0	0
AT1G02670.3	0.068358	0.08148	0
AT1G02670.4	0	0	0.157969
AT1G02670.5	0.117461	0.279557	0.433237
AT1G02670.6	0.669558	0.345913	0.426574
AT1G02670.7	0	0	0
AT1G02680.1	12.709449	14.253623	12.561404
AT1G02690.1	4.721331	5.86548	9.502407
AT1G02690.2	6.02131	3.905002	0
AT1G02700.1	0.144443	0.201404	0.061529
AT1G02705.1	20.917562	15.702455	19.72474
AT1G02710.1	0	0	0
AT1G02720.1	7.44775	9.139342	8.885389
AT1G02720.2	0.205679	0.196386	0.359912
AT1G02730.1	23.955508	23.10017	22.750379
AT1G02740.1	6.555743	7.531004	7.407607
AT1G02750.1	13.021279	11.716963	11.374986
AT1G02750.2	0	0	0.2317
AT1G02770.1	0.592993	0.564928	0.275777
AT1G02780.1	939.629355	981.006566	950.148168
AT1G02790.1	0	0	0
AT1G02800.1	4.31567	5.180586	5.395514
AT1G02810.1	0.34511	0.418121	0.421542
AT1G02813.1	0	0	0
AT1G02816.1	7.894255	8.657623	8.608204
AT1G02820.1	17.866811	16.953564	18.82615
AT1G02830.1	0.229847	0	0
AT1G02840.1	34.411408	36.914241	33.973983
AT1G02840.2	8.730342	7.220877	10.588863
AT1G02840.3	18.617233	18.539261	15.140164
AT1G02840.4	0	0	0
AT1G02840.5	8.668189	8.438734	6.956804
AT1G02850.1	2.397951	1.946489	2.52148
AT1G02850.2	0.215521	0.113897	0.101066
AT1G02850.3	1.081862	0.245986	0.777424
AT1G02850.4	0.17033	0.98056	0
AT1G02850.5	0	0	0
AT1G02860.1	5.533388	4.905579	5.889362
AT1G02860.2	0	0	0.070855
AT1G02860.3	0	0.138342	0
AT1G02870.1	27.707696	27.458966	26.000911
AT1G02880.1	0.819135	0	0.496063
AT1G02880.2	0	0	0
AT1G02880.3	12.643455	11.020631	8.985642
AT1G02880.4	7.449014	8.12551	8.464568
AT1G02880.5	1.330628	1.287309	1.172959
AT1G02880.6	0.820534	0.840693	2.185857
AT1G02890.1	28.370164	27.839446	28.129018
AT1G02890.2	0	0	0
AT1G02900.1	2.39081	3.318768	1.69987
AT1G02910.1	36.472008	33.522162	32.843039
AT1G02910.2	0.841425	1.412125	1.450514
AT1G02920.1	34.56376	37.89981	37.344619
AT1G02930.1	45.832804	41.906959	42.765003
AT1G02930.2	151.206927	169.395777	166.67411
AT1G02940.1	0	0	0
AT1G02940.2	0.518141	2.986077	1.251845
AT1G02940.3	0	0	0
AT1G02940.4	2.723431	0	1.207867
AT1G02950.1	6.03175	7.591527	0
AT1G02950.2	0	0	1.016296
AT1G02950.3	0	0	5.725754
AT1G02950.4	0	0	0
AT1G02950.5	0	0	1.171495
AT1G02960.1	1.462685	1.745684	0.908767
AT1G02960.2	1.873248	3.271311	3.071783
AT1G02960.3	1.109504	0.183755	1.13393
AT1G02960.4	3.540195	3.790952	3.235022
AT1G02960.5	2.351111	2.700693	1.347404
AT1G02960.6	0.354781	0	0.196955
AT1G02965.1	0	0	0
AT1G02970.1	3.177079	2.799092	2.861194
AT1G02980.1	0	0	0
AT1G02980.2	0.025305	0	0
AT1G02990.1	0.401874	0	0
AT1G02990.2	0	0	0
AT1G02990.3	0	0	0
AT1G02990.4	6.2819	3.395788	3.852737
AT1G02990.5	0.17044	0.327014	0.264895
AT1G02990.6	0	3.253531	3.136155
AT1G03000.1	12.662153	11.681528	11.401795
AT1G03010.1	0	0	0.072696
AT1G03010.2	0.600896	0.529195	0
AT1G03010.3	0	0	0.483574
AT1G03020.1	0.591908	0.677459	0.534554
AT1G03030.1	15.764388	15.694472	15.289244
AT1G03030.2	0.61167	0.860899	1.2299
AT1G03040.1	27.491556	27.09921	27.844715
AT1G03040.2	4.683158	5.493807	4.308003
AT1G03040.3	2.164505	1.630298	1.870479
AT1G03050.1	0	0	0.017507
AT1G03055.1	11.623079	11.518687	12.077738
AT1G03055.2	3.286413	2.933462	2.344896
AT1G03060.1	3.862298	4.380445	4.138363
AT1G03060.2	2.603812	2.816605	2.966244
AT1G03060.3	0	0	1.018013
AT1G03060.4	1.671358	1.153197	0
AT1G03070.1	0	0.156969	0.143359
AT1G03070.2	0	0.131237	0.120137
AT1G03070.3	0.531332	0	0
AT1G03080.1	13.925377	12.824783	13.006159
AT1G03080.2	0.654821	2.480153	2.115141
AT1G03080.3	7.072723	5.457062	5.341674
AT1G03090.1	1.72081	5.098182	5.451749
AT1G03090.2	11.566327	8.032381	7.906293
AT1G03100.1	0.912338	1.040107	1.269728
AT1G03103.1	0	0	0
AT1G03106.1	0	0.107073	0
AT1G03110.1	9.41144	7.703864	7.9151
AT1G03120.1	0.578385	0.751044	1.097425
AT1G03120.2	0.446798	0	0
AT1G03130.1	3223.148906	3272.631095	3138.548697
AT1G03140.1	36.383745	35.251855	35.77009
AT1G03150.1	26.422582	25.994799	25.160109
AT1G03160.1	32.434088	33.243685	29.299575
AT1G03160.2	0.115109	0.251094	0.376638
AT1G03160.3	1.055475	2.168262	1.934186
AT1G03160.4	0.558727	0	1.074558
AT1G03165.1	1.895294	5.144491	3.761167
AT1G03170.1	0.579476	0.564813	0.671225
AT1G03180.1	1.682117	2.073569	2.859911
AT1G03180.2	0.064881	0.284184	0.112133
AT1G03180.3	0	0	0.097271
AT1G03180.4	0.668831	0.273078	0
AT1G03180.5	0	0.278212	0
AT1G03180.6	0	0	0.259543
AT1G03190.1	5.912919	5.511374	4.991356
AT1G03190.2	0	0	0
AT1G03200.1	13.224482	12.014243	12.709276
AT1G03210.1	14.495751	12.408601	13.171969
AT1G03210.2	0.298947	0.526384	1.26992
AT1G03220.1	38.853478	39.543453	38.638262
AT1G03230.1	16.608974	15.325798	15.261415
AT1G03240.1	0	0	0
AT1G03250.1	26.196484	26.355968	28.951219
AT1G03250.2	0.519664	0.688359	0.496673
AT1G03250.3	2.901243	2.496105	0.916181
AT1G03250.4	0.391116	0.716058	0.33258
AT1G03260.1	9.266219	8.571838	8.147535
AT1G03270.1	6.111993	5.522579	5.121208
AT1G03280.1	24.331377	23.03973	24.388178
AT1G03280.2	0.469252	0.232914	0.311092
AT1G03280.3	0	0.324928	0
AT1G03290.1	0.484152	0.35581	0.377552
AT1G03290.2	0	0	0
AT1G03290.3	4.208507	4.263013	5.747516
AT1G03290.4	0.021238	0.053836	0.048891
AT1G03290.5	8.224278	7.510962	6.707599
AT1G03290.6	2.584916	3.311578	2.341628
AT1G03300.1	5.639969	4.947852	5.098242
AT1G03310.1	18.125029	14.689342	17.954643
AT1G03310.2	18.144105	18.826692	17.675067
AT1G03320.1	0.670234	0.797111	0.431961
AT1G03325.1	0	0	0
AT1G03330.1	43.454854	43.970539	42.458587
AT1G03340.1	1.234356	1.33266	1.494688
AT1G03350.1	39.721835	41.213363	39.474892
AT1G03360.1	10.68777	10.87159	11.027385
AT1G03365.1	9.851577	9.704721	9.63139
AT1G03365.2	0.403134	0.119177	0.441311
AT1G03370.1	10.911267	11.383149	10.02327
AT1G03370.2	1.004679	0.588652	1.24528
AT1G03380.1	15.296785	14.561461	14.487239
AT1G03390.1	0.09385	0.0654	0.059956
AT1G03395.1	0	0	0
AT1G03400.1	34.730865	34.619873	32.8638
AT1G03400.2	3.788399	3.490316	3.598413
AT1G03410.1	10.032972	10.935989	9.532496
AT1G03410.2	0	0	0
AT1G03430.1	20.559848	19.968749	19.200381
AT1G03430.2	2.759469	2.343921	1.908319
AT1G03440.1	10.872608	10.089735	10.514097
AT1G03445.1	0	0.030353	0.027982
AT1G03445.2	0.071724	0	0
AT1G03457.1	3.940824	3.03053	2.135869
AT1G03457.2	0.36912	0.977283	1.306604
AT1G03457.3	0	0	0.929083
AT1G03470.1	0.806466	0.56872	0.10683
AT1G03470.2	2.061949	1.503678	4.002628
AT1G03470.3	2.159849	4.173884	2.625322
AT1G03470.4	1.042792	0	0
AT1G03475.1	137.163892	130.528477	135.647685
AT1G03490.1	0	0	0
AT1G03495.1	10.807342	10.864673	10.914325
AT1G03510.1	1.051414	1.341759	1.147003
AT1G03520.1	6.195902	4.749834	6.164446
AT1G03520.2	0	1.185508	0.355597
AT1G03530.1	7.243678	6.961205	6.884222
AT1G03540.1	1.446546	1.381485	1.291205
AT1G03550.1	5.274966	5.145101	3.167458
AT1G03550.2	0	0	0
AT1G03550.3	0	0	0
AT1G03550.4	0	0	0
AT1G03550.5	1.305518	0	0.603744
AT1G03550.6	0	0	3.240765
AT1G03550.7	0	0	0
AT1G03560.1	7.144974	6.848863	6.339301
AT1G03590.1	15.034049	12.586744	13.067728
AT1G03600.1	359.976049	328.003936	358.266814
AT1G03610.1	17.626966	16.974609	19.021711
AT1G03610.2	1.091077	0.88164	0.79985
AT1G03620.1	0	0	0.672006
AT1G03620.10	0	0	0
AT1G03620.11	0	0.365677	0
AT1G03620.12	0	0	0
AT1G03620.13	0	0	0
AT1G03620.2	0	0	0.056416
AT1G03620.3	0	0.115495	0
AT1G03620.4	0	0.390054	0.253201
AT1G03620.5	1.01556	0.552479	0
AT1G03620.6	0	0	0
AT1G03620.7	0.323218	0	0.291807
AT1G03620.8	0	0	0
AT1G03620.9	0.351046	0	0.492087
AT1G03630.1	192.181002	183.463484	191.337908
AT1G03630.2	37.672806	44.444601	44.353455
AT1G03650.1	1.129293	1.53645	1.397756
AT1G03660.1	0.476562	0.573697	0.61065
AT1G03660.2	0	0	0
AT1G03670.1	0	0	0
AT1G03680.1	377.001189	391.883973	383.536514
AT1G03687.1	9.316345	9.32432	8.839056
AT1G03687.2	0.310984	0.723276	0.80499
AT1G03700.1	0	0.062016	0.056326
AT1G03710.1	0.160613	0.62576	0.549009
AT1G03710.2	1.205489	0.606099	0.91205
AT1G03720.1	0	0	0
AT1G03720.2	0	0	0
AT1G03730.1	2.96325	2.830942	2.991119
AT1G03740.1	16.803461	15.916228	16.434604
AT1G03740.2	0.785212	0.880966	0.595819
AT1G03750.1	3.684558	3.823897	3.335162
AT1G03760.1	6.497627	6.726707	6.617723
AT1G03770.1	1.568504	4.127555	2.316804
AT1G03770.2	0	0	0
AT1G03770.3	3.883568	1.502026	2.743878
AT1G03770.4	0.21261	0.116432	0.055988
AT1G03770.5	0	0.068753	0.090561
AT1G03770.6	0	0	0
AT1G03780.1	0.126279	0.192204	0.350881
AT1G03780.2	6.179782	2.271241	6.736412
AT1G03780.3	2.659469	7.922528	2.427025
AT1G03790.1	0	0	0.021419
AT1G03800.1	0.824826	0.539769	0.626135
AT1G03810.1	0	0	0
AT1G03820.1	22.29929	22.516046	21.341361
AT1G03830.1	0.99662	0.888673	1.798794
AT1G03830.2	2.875982	2.973288	1.908113
AT1G03840.1	0.115159	0.648461	0.194767
AT1G03840.2	0.657421	0	0.396623
AT1G03850.1	0	0	0
AT1G03850.2	4.824773	3.696352	4.089029
AT1G03850.3	0.07833	0.266441	0.192971
AT1G03860.1	50.575005	50.753514	49.767337
AT1G03860.2	0.157116	0.599639	0.672897
AT1G03860.3	0	0.393497	0.137905
AT1G03870.1	135.462943	136.678873	134.318149
AT1G03880.1	0	0	0
AT1G03890.1	0	0	0
AT1G03900.1	61.259829	62.861241	61.353609
AT1G03905.1	1.384332	0.545366	1.451957
AT1G03905.2	0	0	0
AT1G03905.3	0.419457	0.263624	0.260545
AT1G03905.4	0	0.686854	0
AT1G03910.1	29.611654	29.387504	28.323993
AT1G03910.2	0	0	0
AT1G03920.1	1.309109	0	0
AT1G03920.2	0	0	0
AT1G03920.3	0	1.071551	1.135152
AT1G03930.1	32.515514	32.369146	30.772141
AT1G03940.1	12.400912	13.191549	11.596553
AT1G03950.1	18.630522	15.174372	17.147487
AT1G03960.1	1.753718	2.215821	2.257456
AT1G03960.2	1.504827	1.290145	1.228817
AT1G03960.3	0.483588	0	0
AT1G03960.4	0.455869	0.340076	0.169075
AT1G03960.5	0.098516	0.211431	0.553462
AT1G03960.6	0	0.211156	0
AT1G03960.7	1.420399	1.33821	2.542082
AT1G03970.1	36.01005	34.186003	37.391888
AT1G03980.1	0.355385	0.434535	0
AT1G03980.2	0	0	0.183481
AT1G03980.3	0.107929	0	0.087475
AT1G03980.4	0	0	0
AT1G03982.1	0	0	0
AT1G03990.1	0.178033	0.052761	0.064804
AT1G04000.1	12.732563	12.788607	12.810515
AT1G04010.1	6.43258	6.386835	6.788405
AT1G04020.1	6.954838	6.399034	6.900921
AT1G04020.2	0	0	0
AT1G04030.1	4.032896	4.70815	4.596604
AT1G04030.2	0	0	0
AT1G04040.1	195.881354	201.110671	193.477794
AT1G04050.1	0.171467	0.924041	0.686011
AT1G04050.2	2.322525	1.252276	1.785102
AT1G04050.3	0.631136	0.595175	0.430734
AT1G04070.1	7.996525	7.506612	7.733257
AT1G04080.1	30.879713	33.755671	31.219031
AT1G04080.2	2.957938	2.343808	1.705734
AT1G04080.3	8.38762	6.758117	7.589286
AT1G04080.4	0.151193	0	0
AT1G04080.5	0	0.151982	0.208216
AT1G04090.1	0.46546	0.523715	0.407889
AT1G04100.1	4.421385	4.662721	3.981923
AT1G04105.1	0	0	0
AT1G04110.1	2.113033	2.721665	1.988044
AT1G04120.1	9.031351	9.453931	9.406484
AT1G04120.2	0	0	0
AT1G04120.3	9.372318	9.148622	7.936355
