	SRR14214600	SRR14214601
AT1G01290.1	1.675051	1.518814
AT1G01290.2	8.392278	9.678731
AT1G01300.1	39.652473	41.540367
AT1G01305.1	0	0
AT1G01310.1	0.079802	0.075498
AT1G01320.1	0	0
AT1G01320.2	0.481702	0.109857
AT1G01320.3	99.798105	102.976005
AT1G01335.1	0	0
AT1G01340.1	0	0.633122
AT1G01340.2	6.256774	6.745366
AT1G01350.1	23.732062	20.705993
AT1G01355.1	0	0
AT1G01355.2	0.109067	0.206097
AT1G01355.3	0	0
AT1G01360.1	15.406227	13.169636
AT1G01370.1	0.451105	0.231591
AT1G01370.2	0.907444	1.211186
AT1G01370.3	0	0
AT1G01370.4	7.725573	6.049373
AT1G01380.1	1.411626	0.939873
AT1G01380.2	0.852429	0.404127
AT1G01380.3	0	0
AT1G01390.1	2.630987	1.963382
AT1G01390.2	0	0.860482
AT1G01400.1	0	0
AT1G01410.1	0	0
AT1G01420.1	2.726092	2.934424
AT1G01420.2	2.376653	2.634227
AT1G01430.1	32.068905	34.655783
AT1G01440.1	10.257494	10.197114
AT1G01450.1	2.389422	3.348331
AT1G01453.1	0.156779	0.346525
AT1G01453.2	0	0
AT1G01460.1	0	0
AT1G01470.1	99.885136	102.20796
AT1G01480.1	0.490564	0.165421
AT1G01480.2	0.355936	0.358666
AT1G01490.1	53.841208	53.328557
AT1G01490.2	8.990132	11.585219
AT1G01490.3	3.5544	4.722629
AT1G01490.4	0.916097	0
AT1G01500.1	15.572391	16.596794
AT1G01510.1	17.310298	19.61014
AT1G01520.1	0.316136	0.449186
AT1G01520.2	0	0
AT1G01520.3	0	0
AT1G01520.4	0	0
AT1G01520.5	0	0
AT1G01530.1	0	0.108134
AT1G01540.1	9.019268	6.904422
AT1G01540.2	34.677484	37.701942
AT1G01550.1	76.075184	79.888219
AT1G01550.2	11.792388	12.388108
AT1G01560.1	0.064491	0
AT1G01560.2	0.48928	0.614725
AT1G01560.3	0	0.234323
AT1G01560.4	0	0
AT1G01570.1	0	0
AT1G01570.2	2.087017	1.341335
AT1G01580.1	19.460049	20.466136
AT1G01580.2	0.152886	0.142851
AT1G01590.1	0.24343	0.253974
AT1G01600.1	3.095186	2.538555
AT1G01610.1	40.093928	41.563914
AT1G01620.1	324.907877	327.736947
AT1G01620.2	0	0
AT1G01630.1	45.354862	44.981054
AT1G01640.1	6.616471	7.5219
AT1G01640.2	0	0.250643
AT1G01650.1	19.776368	20.658612
AT1G01650.2	0	0.07418
AT1G01650.3	0	0.191706
AT1G01650.4	0	0.453009
AT1G01660.1	0	0.084908
AT1G01660.2	0.718311	0.858844
AT1G01670.1	0	0.714842
AT1G01670.2	0.115493	0
AT1G01670.3	1.161938	1.062835
AT1G01680.1	0.371031	0.058552
AT1G01690.1	0	0
AT1G01690.2	3.175357	3.142322
AT1G01690.3	1.356622	2.163496
AT1G01695.1	0.041093	0.038945
AT1G01700.1	0.961904	0.775523
AT1G01700.2	0.089028	0
AT1G01700.3	0	0.233193
AT1G01700.4	0	0.073963
AT1G01700.5	0	0
AT1G01710.1	18.743774	18.101375
AT1G01715.1	1.966132	2.857706
AT1G01715.2	3.824812	0
AT1G01720.1	48.868774	48.542492
AT1G01725.1	29.140623	36.237692
AT1G01730.1	29.795985	28.908293
AT1G01740.1	0	0
AT1G01740.2	1.693791	0.769553
AT1G01740.3	0.630643	1.934753
AT1G01740.4	0.225596	0.555216
AT1G01740.5	1.44617	1.764763
AT1G01750.1	8.741919	8.068645
AT1G01750.2	0	0.180413
AT1G01760.1	1.853257	0
AT1G01760.2	1.614509	2.035433
AT1G01760.3	0	0
AT1G01760.4	0	1.35833
AT1G01770.1	17.446528	18.065818
AT1G01780.1	17.351109	21.230272
AT1G01790.1	35.086616	37.688773
AT1G01790.2	6.131149	3.061732
AT1G01800.1	65.568011	69.992192
AT1G01800.2	0	0
AT1G01810.1	0.722944	0.954757
AT1G01820.1	83.509008	87.217808
AT1G01830.1	0	3.322984
AT1G01830.2	4.002751	4.56213
AT1G01830.3	4.854601	1.763946
AT1G01840.1	1.989823	1.970403
AT1G01860.1	11.262021	12.792193
AT1G01860.2	0	0
AT1G01860.3	3.815963	2.016966
AT1G01860.4	0	0
AT1G01860.5	3.10573	0
AT1G01880.1	1.712431	2.368607
AT1G01880.2	0	0
AT1G01880.3	0	0.196895
AT1G01880.4	0	0
AT1G01900.1	4.094654	4.674283
AT1G01910.1	23.493392	26.749082
AT1G01910.2	28.038758	27.886093
AT1G01910.3	0	1.554208
AT1G01910.4	3.769587	4.705302
AT1G01910.5	0	0
AT1G01920.1	0.459053	0.367472
AT1G01920.2	4.592834	6.346387
AT1G01920.3	1.373956	0.695556
AT1G01920.4	1.986141	0.254518
AT1G01920.5	1.153032	1.360188
AT1G01930.1	10.714038	10.810286
AT1G01940.1	26.023885	28.371431
AT1G01950.1	8.056466	8.44279
AT1G01950.2	0	0
AT1G01950.3	0	0
AT1G01950.4	0	0.152656
AT1G01960.1	19.92098	20.455056
AT1G01970.1	30.154582	32.974823
AT1G01980.1	0.068724	0.032576
AT1G01990.1	15.585465	14.856028
AT1G02000.1	7.266725	7.307582
AT1G02010.1	0	1.775044
AT1G02010.2	0	0
AT1G02010.3	2.106433	0.929927
AT1G02010.4	0	0.724644
AT1G02010.5	1.737966	0.298678
AT1G02010.6	2.570719	2.469855
AT1G02020.1	7.405082	6.479616
AT1G02020.2	0.128622	0.437629
AT1G02020.3	0	1.546514
AT1G02030.1	0.245373	0.174496
AT1G02040.1	0	0
AT1G02050.1	5.607917	4.846321
AT1G02060.1	3.805237	3.441789
AT1G02065.1	1.604374	1.200093
AT1G02065.2	0.269663	0.211732
AT1G02067.1	0	0
AT1G02070.1	0.970598	1.018986
AT1G02080.1	1.39044	1.390876
AT1G02080.2	10.137878	10.087929
AT1G02080.3	4.106001	4.573861
AT1G02090.1	28.257202	23.21539
AT1G02090.2	4.85227	10.289905
AT1G02090.3	5.624856	5.662271
AT1G02100.1	17.20437	15.176688
AT1G02100.2	1.052062	0.645266
AT1G02100.3	19.505941	21.462328
AT1G02110.1	19.829229	17.177987
AT1G02120.1	45.234558	41.242968
AT1G02120.2	4.068927	4.928384
AT1G02120.3	0.872428	1.610677
AT1G02130.1	49.809728	56.337904
AT1G02140.1	212.48514	196.338037
AT1G02145.1	0	0
AT1G02145.2	0	0
AT1G02145.3	13.09709	13.985303
AT1G02145.4	0.547884	0.918177
AT1G02150.1	102.176266	103.592572
AT1G02160.1	95.656108	97.229913
AT1G02160.2	12.652449	9.989483
AT1G02170.1	25.497389	24.476796
AT1G02180.1	6.737045	8.4141
AT1G02190.1	0	0
AT1G02190.2	0.181521	0.286866
AT1G02205.1	0	5.270911
AT1G02205.2	4.5373	0
AT1G02205.3	1.485348	2.45623
AT1G02205.4	2.816843	1.981388
AT1G02205.5	0	0.316303
AT1G02210.1	0	0
AT1G02220.1	7.600426	6.711476
AT1G02230.1	0.585731	0.323707
AT1G02250.1	0.186918	0
AT1G02260.1	10.130018	7.881135
AT1G02260.2	3.617836	5.15615
AT1G02270.1	19.168059	20.723276
AT1G02270.2	0.164089	0
AT1G02280.1	125.163817	118.075888
AT1G02280.2	18.919802	25.833261
AT1G02290.1	5.491018	5.602359
AT1G02300.1	19.644717	19.24501
AT1G02305.1	81.563034	88.504115
AT1G02310.1	0.253938	0.20279
AT1G02310.2	0	0.178196
AT1G02320.1	0	0
AT1G02330.1	38.033445	37.176101
AT1G02335.1	16.462292	14.833861
AT1G02340.1	4.414629	4.037883
AT1G02340.2	0	0
AT1G02350.1	4.406497	3.494147
AT1G02360.1	23.438864	24.33732
AT1G02360.2	0	0
AT1G02360.3	0	0
AT1G02370.1	5.729379	6.916198
AT1G02380.1	2.876602	1.747883
AT1G02390.1	0.824192	0.661232
AT1G02400.1	5.293435	5.061805
AT1G02400.2	0.12108	0.114865
AT1G02405.1	0.576959	0.326981
AT1G02410.1	17.934145	17.944353
AT1G02410.2	1.090986	1.711985
AT1G02410.3	0	0.693611
AT1G02420.1	2.233034	2.418182
AT1G02430.1	0.888883	0.611571
AT1G02430.2	0	0
AT1G02440.1	0.584209	0.413296
AT1G02440.2	0.114932	0.108562
AT1G02450.1	0.156336	0.442202
AT1G02460.1	0.948385	0.71937
AT1G02470.1	7.82327	8.017555
AT1G02470.2	0	0
AT1G02475.1	110.979984	111.310935
AT1G02490.1	4.55227	5.199156
AT1G02500.1	149.445568	151.76818
AT1G02500.2	86.494614	84.336252
AT1G02510.1	0	0
AT1G02520.1	1.073854	0.77615
AT1G02520.2	0	0
AT1G02520.3	2.848217	3.322217
AT1G02530.1	0.044839	0.042546
AT1G02530.2	0	0
AT1G02540.1	0	0
AT1G02550.1	0	0
AT1G02560.1	316.069436	331.199722
AT1G02570.1	0.381589	0.361069
AT1G02575.1	0.21827	0.137711
AT1G02580.1	0.142243	0.089158
AT1G02580.2	0.068365	0.195659
AT1G02590.1	0	0
AT1G02610.1	21.113686	19.160242
AT1G02610.2	3.032526	3.539316
AT1G02610.3	0.206783	0
AT1G02620.1	3.270556	3.679151
AT1G02630.1	0.264131	0.2146
AT1G02630.2	0	0
AT1G02640.1	17.52085	18.747991
AT1G02650.1	1.359661	1.497868
AT1G02650.2	0	0
AT1G02660.1	22.13638	23.323576
AT1G02670.1	0	0
AT1G02670.2	0	0
AT1G02670.3	0	0.081404
AT1G02670.4	0	0
AT1G02670.5	0.221375	0.299161
AT1G02670.6	0.442934	0.554753
AT1G02670.7	0	0
AT1G02680.1	21.028874	21.140514
AT1G02690.1	14.355611	13.840535
AT1G02690.2	0	0
AT1G02700.1	0.418837	0.446339
AT1G02705.1	4.882592	11.555865
AT1G02710.1	8.155638	0
AT1G02720.1	7.609328	5.608662
AT1G02720.2	0.405468	0.707849
AT1G02730.1	17.695891	18.225187
AT1G02740.1	8.92677	10.125999
AT1G02750.1	20.115359	16.660772
AT1G02750.2	0	0
AT1G02770.1	1.237588	1.004539
AT1G02780.1	970.907364	964.287014
AT1G02790.1	0	0
AT1G02800.1	0.956047	1.254827
AT1G02810.1	3.532872	3.408093
AT1G02813.1	0	0.136734
AT1G02816.1	20.030303	18.61705
AT1G02820.1	4.825165	6.209671
AT1G02830.1	0	0
AT1G02840.1	91.074034	85.693176
AT1G02840.2	11.132521	13.062758
AT1G02840.3	22.377557	19.963061
AT1G02840.4	0	0
AT1G02840.5	13.217876	11.719834
AT1G02850.1	42.821053	39.204169
AT1G02850.2	11.469851	9.52057
AT1G02850.3	10.537065	11.510653
AT1G02850.4	8.025763	4.703157
AT1G02850.5	49.999439	54.696704
AT1G02860.1	13.932513	11.456953
AT1G02860.2	0	0.329927
AT1G02860.3	0	2.270586
AT1G02870.1	36.096821	37.894413
AT1G02880.1	0	0.995803
AT1G02880.2	0	0
AT1G02880.3	10.910906	8.235674
AT1G02880.4	5.757295	9.774181
AT1G02880.5	1.92175	2.129781
AT1G02880.6	1.810118	0.969202
AT1G02890.1	26.12755	26.77365
AT1G02890.2	0	0
AT1G02900.1	39.330164	33.908785
AT1G02910.1	69.123931	72.360513
AT1G02910.2	2.756395	2.044616
AT1G02920.1	77.909631	81.464933
AT1G02930.1	79.132168	72.378801
AT1G02930.2	11.569006	27.824676
AT1G02940.1	0	0
AT1G02940.2	0	0
AT1G02940.3	0	0
AT1G02940.4	0.429771	0.507605
AT1G02950.1	7.653637	5.49812
AT1G02950.2	0	0.725526
AT1G02950.3	0	0
AT1G02950.4	0	0
AT1G02950.5	0	1.076965
AT1G02960.1	1.640884	1.70231
AT1G02960.2	4.023587	5.435125
AT1G02960.3	0.334521	0.792746
AT1G02960.4	3.101814	2.943155
AT1G02960.5	2.732135	1.143583
AT1G02960.6	1.528932	1.58505
AT1G02965.1	0	0
AT1G02970.1	2.844299	3.328885
AT1G02980.1	0	0
AT1G02980.2	0.08084	0.10222
AT1G02990.1	0	0
AT1G02990.2	0	0
AT1G02990.3	2.326898	0
AT1G02990.4	2.827206	5.451136
AT1G02990.5	0.058398	0.244276
AT1G02990.6	0	0
AT1G03000.1	11.781354	12.130857
AT1G03010.1	0.129849	0.363647
AT1G03010.2	0	0
AT1G03010.3	0.473204	0
AT1G03020.1	9.500651	11.043737
AT1G03030.1	15.131874	16.470667
AT1G03030.2	1.507932	2.97713
AT1G03040.1	34.770444	35.915324
AT1G03040.2	5.349371	6.956258
AT1G03040.3	1.795938	2.392211
AT1G03050.1	0.029316	0
AT1G03055.1	2.222782	2.808916
AT1G03055.2	0.718598	0
AT1G03060.1	4.528054	4.689199
AT1G03060.2	0	0.312365
AT1G03060.3	1.074308	0
AT1G03060.4	0	0.760757
AT1G03070.1	0.478005	0.304845
AT1G03070.2	0	0
AT1G03070.3	0.506476	0.225348
AT1G03080.1	7.164665	9.93859
AT1G03080.2	2.461574	1.538191
AT1G03080.3	2.383312	0
AT1G03090.1	14.34939	10.592793
AT1G03090.2	32.511642	38.312626
AT1G03100.1	2.197498	2.081523
AT1G03103.1	0	0
AT1G03106.1	0.254544	0.321017
AT1G03110.1	13.649491	13.637243
AT1G03120.1	0.461509	1.344803
AT1G03120.2	0	0.238837
AT1G03130.1	337.878902	324.324384
AT1G03140.1	46.945956	43.770461
AT1G03150.1	27.652818	27.999444
AT1G03160.1	20.657007	21.901202
AT1G03160.2	0	0.749106
AT1G03160.3	1.007005	0.355249
AT1G03160.4	0	0
AT1G03165.1	3.638469	7.147869
AT1G03170.1	0.140373	0.026623
AT1G03180.1	1.856237	1.768542
AT1G03180.2	0	0.746819
AT1G03180.3	0.684089	0.409366
AT1G03180.4	0.913917	0.534536
AT1G03180.5	0	0
AT1G03180.6	0	0
AT1G03190.1	5.566627	5.633186
AT1G03190.2	0.598454	0
AT1G03200.1	13.249506	14.488678
AT1G03210.1	22.275437	22.050141
AT1G03210.2	2.245859	3.13337
AT1G03220.1	171.74165	175.133857
AT1G03230.1	43.738026	45.73046
AT1G03240.1	0.196837	0.18662
AT1G03250.1	39.94023	34.907858
AT1G03250.2	0.547705	2.690019
AT1G03250.3	0.452918	0.539322
AT1G03250.4	0.108188	0.563998
AT1G03260.1	9.801755	12.22862
AT1G03270.1	2.481865	2.569633
AT1G03280.1	26.397446	23.882316
AT1G03280.2	0.927675	0.207256
AT1G03280.3	1.868404	4.768791
AT1G03290.1	3.974501	2.849956
AT1G03290.2	0	0.095367
AT1G03290.3	1.047569	0.812049
AT1G03290.4	0	0.230587
AT1G03290.5	0	0
AT1G03290.6	9.834299	10.366936
AT1G03300.1	0.073757	0
AT1G03310.1	4.278991	4.195866
AT1G03310.2	10.271053	12.303624
AT1G03320.1	0.903486	0.731027
AT1G03325.1	0	0
AT1G03330.1	72.868112	81.396683
AT1G03340.1	2.578518	2.181446
AT1G03350.1	27.180154	26.876178
AT1G03360.1	11.905283	11.429655
AT1G03365.1	8.142603	7.729939
AT1G03365.2	0.165649	0.151837
AT1G03370.1	9.467587	9.292046
AT1G03370.2	0.663937	0.719658
AT1G03380.1	14.243202	15.507578
AT1G03390.1	0	0
AT1G03395.1	0	0
AT1G03400.1	8.590074	9.98289
AT1G03400.2	1.437692	0.44847
AT1G03410.1	12.294028	14.558656
AT1G03410.2	0	0
AT1G03430.1	12.144445	11.694149
AT1G03430.2	0.876139	0.908328
AT1G03440.1	9.44793	10.345662
AT1G03445.1	0.093316	0
AT1G03445.2	0	0.024115
AT1G03457.1	7.031343	5.005446
AT1G03457.2	2.271958	4.410021
AT1G03457.3	0	0
AT1G03470.1	0.573301	1.013361
AT1G03470.2	11.328508	9.278384
AT1G03470.3	3.611995	4.756205
AT1G03470.4	0	0
AT1G03475.1	196.214668	202.264546
AT1G03490.1	0	0
AT1G03495.1	3.911222	3.515562
AT1G03510.1	1.992735	1.843099
AT1G03520.1	5.363792	6.394355
AT1G03520.2	1.802886	0.803118
AT1G03530.1	8.544672	8.905603
AT1G03540.1	1.75664	1.240847
AT1G03550.1	6.422454	4.727479
AT1G03550.2	3.310462	5.896188
AT1G03550.3	0	0
AT1G03550.4	0	0
AT1G03550.5	0	0
AT1G03550.6	0	0
AT1G03550.7	0	0
AT1G03560.1	6.256551	5.355651
AT1G03590.1	15.795914	14.755731
AT1G03600.1	319.743624	325.18944
AT1G03610.1	20.651761	23.431361
AT1G03610.2	2.343928	1.530251
AT1G03620.1	0	0
AT1G03620.10	0	0
AT1G03620.11	0.692165	0.868934
AT1G03620.12	0	0
AT1G03620.13	0.113549	0
AT1G03620.2	0.200331	0
AT1G03620.3	0	0
AT1G03620.4	0.679402	0.247607
AT1G03620.5	0.607343	0.678149
AT1G03620.6	0	0.595042
AT1G03620.7	0	0
AT1G03620.8	0	0
AT1G03620.9	0	0
AT1G03630.1	54.98435	58.453457
AT1G03630.2	35.437007	33.299363
AT1G03650.1	9.043409	9.235707
AT1G03660.1	0.716744	2.006857
AT1G03660.2	1.335211	0.189783
AT1G03670.1	0	0
AT1G03680.1	500.475367	521.455863
AT1G03687.1	16.132041	15.415955
AT1G03687.2	0.304024	0.199793
AT1G03700.1	0.989652	2.338684
AT1G03710.1	0.23296	0
AT1G03710.2	0	0.222865
AT1G03720.1	0	0
AT1G03720.2	0	0
AT1G03730.1	15.203801	13.324476
AT1G03740.1	17.736696	19.284294
AT1G03740.2	0.589514	0.937066
AT1G03750.1	3.31568	3.21009
AT1G03760.1	12.070868	10.465783
AT1G03770.1	2.647485	3.468856
AT1G03770.2	0	0
AT1G03770.3	2.380377	0.847663
AT1G03770.4	0.083448	0.091924
AT1G03770.5	0	0.2782
AT1G03770.6	0	0
AT1G03780.1	0.126188	0.03396
AT1G03780.2	7.363369	8.019409
AT1G03780.3	0	0
AT1G03790.1	1.297297	1.673876
AT1G03800.1	0.506096	0.426061
AT1G03810.1	0	0
AT1G03820.1	6.410625	7.079887
AT1G03830.1	1.849089	2.171829
AT1G03830.2	3.276338	3.428535
AT1G03840.1	0.314723	1.081445
AT1G03840.2	0.729619	0
AT1G03850.1	0	0.152893
AT1G03850.2	36.669201	35.493574
AT1G03850.3	0.657198	0.905581
AT1G03860.1	79.88193	74.673311
AT1G03860.2	1.627499	2.096569
AT1G03860.3	0	0.657845
AT1G03870.1	76.463084	75.094261
AT1G03880.1	0	0
AT1G03890.1	0	0
AT1G03900.1	108.361426	108.439448
AT1G03905.1	5.195553	4.313453
AT1G03905.2	0	0
AT1G03905.3	2.368226	1.725813
AT1G03905.4	0.556863	0.769401
AT1G03910.1	28.908897	30.772508
AT1G03910.2	0	0
AT1G03920.1	0.397652	0.855247
AT1G03920.2	0	0
AT1G03920.3	0.946437	0
AT1G03930.1	20.572313	23.124001
AT1G03940.1	2.057567	2.103641
AT1G03950.1	22.883408	22.36408
AT1G03960.1	3.286118	3.810223
AT1G03960.2	1.317246	1.135959
AT1G03960.3	0	0.187458
AT1G03960.4	0	0
AT1G03960.5	0	0.271939
AT1G03960.6	0	0
AT1G03960.7	4.433513	3.013897
AT1G03970.1	20.341304	24.921651
AT1G03980.1	0	0
AT1G03980.2	0	0
AT1G03980.3	0.558885	0.325928
AT1G03980.4	0	0
AT1G03982.1	0	0
AT1G03990.1	0.487547	0.796294
AT1G04000.1	8.855697	9.156328
AT1G04010.1	4.37176	3.693376
AT1G04020.1	5.81604	6.624014
AT1G04020.2	0	0
AT1G04030.1	3.896541	3.31658
AT1G04030.2	0	0
AT1G04040.1	122.321995	119.196185
AT1G04050.1	0.292433	0.499956
AT1G04050.2	1.04688	0.119379
AT1G04050.3	0	0.984668
AT1G04070.1	23.950752	24.978483
AT1G04080.1	35.862498	38.17785
AT1G04080.2	2.29805	2.62427
AT1G04080.3	4.734471	4.511173
AT1G04080.4	0	0.169691
AT1G04080.5	0.428054	0.164122
AT1G04090.1	0.466272	0.530528
AT1G04100.1	5.91181	4.8217
AT1G04105.1	0	0
AT1G04110.1	4.877984	4.359909
AT1G04120.1	10.73655	14.897349
AT1G04120.2	0	0
AT1G04120.3	4.702678	0
AT1G04130.1	7.366257	8.510206
AT1G04130.2	0	0
AT1G04140.1	30.240195	29.532658
AT1G04140.2	5.780384	7.759247
AT1G04150.1	0.054876	0.052062
AT1G04160.1	2.122263	1.88755
AT1G04160.2	0.04992	0.215175
AT1G04170.1	73.35647	76.55464
AT1G04170.2	0	0
AT1G04180.1	0.37222	0.470352
AT1G04190.1	23.841136	26.202263
AT1G04200.1	11.215054	11.121619
AT1G04200.2	0.706016	0.743567
AT1G04200.3	0	0
AT1G04210.1	14.69146	16.239163
AT1G04220.1	5.221418	4.003228
AT1G04230.1	6.550121	7.109906
AT1G04230.2	3.915939	3.961626
AT1G04240.1	19.371709	17.81341
AT1G04240.2	0	0.902558
AT1G04250.1	27.246303	21.951357
AT1G04260.1	10.500148	12.007757
AT1G04270.1	642.277099	646.903197
AT1G04270.2	0	0
AT1G04280.1	23.966658	22.925228
AT1G04280.2	1.644422	2.079044
AT1G04290.1	24.155764	22.41642
AT1G04290.2	18.272058	23.887948
AT1G04300.1	15.287734	13.006954
AT1G04300.2	1.79626	1.58509
AT1G04300.3	0	0
AT1G04300.4	0	0
AT1G04300.5	0	0.65899
AT1G04300.6	7.798721	9.492516
AT1G04310.1	4.088226	4.24027
AT1G04310.2	2.864875	3.079228
AT1G04330.1	2.097951	1.361404
AT1G04340.1	27.533441	26.333169
AT1G04350.1	17.830195	18.052717
AT1G04360.1	2.627717	2.124401
AT1G04370.1	0	0.113042
AT1G04380.1	0.045286	0.171645
AT1G04380.2	0	0
AT1G04390.1	3.107349	3.595625
AT1G04400.1	47.979775	59.002195
AT1G04400.2	27.016774	18.440045
AT1G04410.1	919.531139	950.675777
AT1G04420.1	115.119124	113.806812
AT1G04430.1	49.149338	51.848535
AT1G04430.2	4.510641	3.715924
AT1G04430.3	0	0
AT1G04440.1	31.459214	32.985843
AT1G04445.1	0.506007	0.317882
AT1G04445.2	0	0
AT1G04450.1	0	0
AT1G04455.1	0.54463	0
AT1G04470.1	0	0.032611
AT1G04480.1	465.636533	508.728938
AT1G04490.1	0	0
AT1G04490.2	0	0
AT1G04490.3	0	0
AT1G04490.4	0	0
AT1G04490.5	0	0
AT1G04490.6	0	0
AT1G04490.7	0	0
AT1G04490.8	0	0
AT1G04490.9	0.12783	0.161523
AT1G04500.1	0	0
AT1G04500.2	0	0
AT1G04500.3	0	0.247204
AT1G04500.4	0.253044	0
AT1G04510.1	40.525141	41.700038
AT1G04510.2	0	0
AT1G04520.1	13.513164	14.634715
AT1G04530.1	32.799432	29.314383
AT1G04540.1	0.552716	0.648991
AT1G04550.1	0.332443	1.088797
AT1G04550.2	18.102235	19.574792
AT1G04555.1	6.967409	7.777247
AT1G04560.1	0.096002	0
AT1G04570.1	0.392883	0.343879
AT1G04570.2	0	0
AT1G04580.1	0.066313	0.012585
AT1G04590.1	20.343622	18.485314
AT1G04590.2	0.512087	0.815842
AT1G04600.1	0.156999	0.119202
AT1G04610.1	1.328476	2.302597
AT1G04620.1	41.04226	42.531885
AT1G04625.1	0	0
AT1G04630.1	93.417904	90.913351
AT1G04635.1	6.615336	6.939983
AT1G04640.1	70.709347	65.551667
AT1G04640.2	1.375495	1.814645
AT1G04645.1	0	0
AT1G04650.1	0.458165	1.048972
AT1G04650.2	0.853453	0.459269
AT1G04660.1	0.250411	0.332119
AT1G04670.1	0.113352	0
AT1G04680.1	25.866934	26.719766
AT1G04690.1	83.411628	90.408672
AT1G04700.1	0.14129	0.134174
AT1G04700.2	0.689803	0.654381
AT1G04700.3	0	0
AT1G04710.1	18.838022	20.823147
AT1G04730.1	2.10466	1.535018
AT1G04730.2	0	0
AT1G04730.3	1.487112	2.592411
AT1G04730.4	0	0
AT1G04750.1	86.881493	88.565155
AT1G04750.2	0	0
AT1G04750.3	0.423492	0.422648
AT1G04750.4	0	0.477847
AT1G04760.1	3.68003	3.36623
AT1G04760.2	0	0
AT1G04770.1	35.009086	31.293433
AT1G04778.1	0.67993	1.101871
AT1G04780.1	22.088721	22.291423
AT1G04790.1	17.544264	17.70035
AT1G04800.1	259.70472	240.708294
AT1G04810.1	27.023538	26.980285
AT1G04820.1	224.900001	228.545741
AT1G04830.1	9.507896	11.650764
AT1G04830.2	0	0
AT1G04830.3	1.540297	0.364109
AT1G04840.1	0.848078	1.072536
AT1G04850.1	75.014733	73.707186
AT1G04850.2	1.030082	0.098783
AT1G04860.1	13.663797	12.996105
AT1G04870.1	0.287266	0
AT1G04870.2	27.190721	27.099253
AT1G04880.1	0.266924	0.289154
AT1G04890.1	0	0
AT1G04895.1	0	0
AT1G04900.1	11.304881	9.495835
AT1G04910.1	19.733039	18.996105
AT1G04920.1	0.684371	0.860344
AT1G04930.1	4.056651	4.032869
AT1G04930.2	0	0
AT1G04930.3	0	0
AT1G04940.1	89.589942	98.373494
AT1G04945.1	0	0
AT1G04945.2	4.016896	5.370757
AT1G04945.3	0.359984	0.460774
AT1G04945.4	2.037541	0.859677
AT1G04950.1	0	0.575536
AT1G04950.2	11.597545	11.524264
AT1G04950.3	0.106061	0.094695
AT1G04960.1	21.913949	22.80119
AT1G04960.2	0.70824	0.534289
AT1G04970.1	14.723842	16.127689
AT1G04970.2	3.66644	3.669372
AT1G04970.3	1.127339	1.709424
AT1G04980.1	12.208425	15.649971
AT1G04985.1	31.900467	32.78813
AT1G04985.2	0.910933	1.06372
