chr3	4638932	4638938	AT3G14010	+	-0.465	0.465
chr3	7423328	7423334	AT3G21175	+	-0.367	0.367
chr4	8552747	8552769	AT4G14965	+	-0.259	0.259
chr4	14219369	14219406	AT4G28790	+	0.46	0.46
chr5	3740877	3740942	AT5G11630	+	-0.334	0.334
chr1	9220739	9221925	AT1G26680	+	-0.598	0.598
chr5	24883573	24883907	AT5G61960	-	0.632	0.632
chr5	22363626	22364074	AT5G55100	-	-0.445	0.445
chr5	21498605	21499290	AT5G53020	+	-0.528	0.528
chr5	16779042	16779227	AT5G41910	-	0.478	0.478
chr5	16674493	16674700	AT5G41690	-	-0.625	0.625
chr5	14239580	14239654	AT5G36180	+	0.494	0.494
chr5	4933034	4933117	AT5G15190	-	-0.754	0.754
chr5	3469134	3469237	AT5G10965	-	-0.679	0.679
chr5	17667956	17668073	AT5G43910	-	-0.776	0.776
chr4	16780980	16781184	AT4G35270	-	-0.599	0.599
chr4	13464431	13464516	AT4G26700	+	-0.32	0.32
chr4	12173873	12173940	AT4G23270	+	-0.545	0.545
chr4	9398722	9398774	AT4G16710	+	-0.528	0.528
chr4	6667616	6667728	AT4G02885	+	-1	1
chr3	19781444	19781535	AT3G53350	-	-0.355	0.355
chr3	19305034	19305211	AT3G52050	+	0.493	0.493
chr3	18353210	18353443	AT3G49500	-	0.613	0.613
chr3	18353226	18353466	AT3G49500	-	-0.67	0.67
chr3	17361145	17361630	AT3G47160	-	-0.627	0.627
chr3	17296973	17297152	AT3G46960	-	-0.705	0.705
chr3	17122133	17122352	AT3G46500	+	0.749	0.749
chr5	25263154	25263370	AT5G62950	-	0.57	0.57
chr3	16970544	16970622	AT3G46200	+	0.406	0.406
chr5	18466144	18466246	AT5G45560	+	-0.492	0.492
chr4	15475966	15476095	AT4G32000	-	-0.879	0.879
chr1	20326956	20327359	AT1G54440	+	0.282	0.282
chr1	18355489	18355746	AT1G49590	+	0.567	0.567
chr4	1527173	1527399	AT4G03440	-	0.522	0.522
chr1	19756833	19757075	AT1G53025	-	-0.686	0.686
chr1	2957830	2957968	AT1G09170	-	0.926	0.926
chr1	3600326	3600421	AT1G10810	+	0.775	0.775
chr2	7387604	7387690	AT2G16990	+	-0.56	0.56
chr4	9843750	9843829	AT4G17680	-	0.582	0.582
chr1	11076021	11076132	AT1G31050	-	0.49	0.49
chr1	8296342	8296418	AT1G23360	-	0.352	0.352
chr1	9729134	9729433	AT1G27921	-	-0.471	0.471
chr3	3520808	3520947	AT3G11240	-	0.342	0.342
chr1	17934248	17934327	AT1G48500	+	-0.896	0.896
chr1	6343851	6343949	AT1G18415	-	0.419	0.419
chr1	24936140	24936218	AT1G66840	-	0.335	0.335
chr1	10040588	10040671	AT1G28560	-	0.804	0.804
chr3	1875132	1875380	AT3G06190	-	0.514	0.514
chr3	21780014	21780245	AT3G58930	-	0.547	0.547
chr2	10422312	10422416	AT2G24530	+	0.363	0.363
chr2	950231	950308	AT2G03140	+	-0.592	0.592
chr2	12751579	12751668	AT2G29910	-	0.246	0.246
chr2	13189762	13189832	AT2G30990	-	-0.748	0.748
chr3	9800608	9800814	AT3G26670	-	-0.403	0.403
chr5	23412239	23412675	AT5G57790	-	0.581	0.581
chr5	23412250	23412675	AT5G57790	-	0.521	0.521
chr3	6759471	6759554	AT3G19500	-	0.605	0.605
chr4	14219406	14219502	AT4G28790	+	-0.934	0.934
chr3	2508673	2509155	AT3G07860	+	0.288	0.288
chr3	2879575	2879898	AT3G09370	+	0.348	0.348
chr1	12223202	12223586	AT1G33720	-	-0.891	0.891
chr2	1705798	1706419	AT2G04852	-	-0.535	0.535
chr3	5441869	5441935	AT3G16030	+	0.54	0.54
chr3	21889695	21889780	AT3G59210	+	-0.744	0.744
chr1	11677923	11678057	AT1G32370	+	-0.364	0.364
chr3	9105713	9106323	AT3G24929	+	0.407	0.407
chr1	22688202	22688370	AT1G61490	-	-0.581	0.581
chr3	11257952	11258053	AT3G29330	-	-0.473	0.473
chr3	7067493	7067544	AT3G20270	+	-0.739	0.739
chr3	11076810	11077022	AT3G29100	-	-0.403	0.403
chr1	28924570	28924900	AT1G76970	-	-0.367	0.367
