ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
207	AT5G01660		chr5	-	248875	249207	248979	249207	248324	248443	207	2,8,4,2,0,3	2,2,3,1,2,2	12,5,12,13,21,10	3,0,0,0,5,0	253	149	0.000478494971242	0.0090435549564738	0.371,0.702,0.44,0.541,0.0,0.469	0.702,1.0,1.0,1.0,0.712,1.0	-0.482	175		248979	249207	248324	248443	175	0,8	3,3	13,9,17,6	0,0,2,0	253	149	0.00176417678236	0.037235891286345	0.0,0.611	1.0,1.0,0.833,1.0	-0.653
224	AT4G38380		chr4	-	17974504	17974799	17974518	17974799	17974276	17974419	224	14,25,21,20,33,10	52,48,55,49,47,49	41,18,20,16,42,19	7,3,6,13,11,2	163	149	1.2165823903800002e-12	6.050896625837368e-11	0.198,0.323,0.259,0.272,0.391,0.157	0.843,0.846,0.753,0.529,0.777,0.897	-0.508	192		17974518	17974799	17974276	17974419	192	3,6	22,17	12,8,12,12	10,2,4,8	163	149	0.000112621272465	0.0043668764211817	0.111,0.244	0.523,0.785,0.733,0.578	-0.477
400	AT4G09980		chr4	-	6249104	6249224	6249115	6249224	6248510	6248662	400	13,15,5,16,13,6	133,239,179,172,161,189	69,60,61,73,58,33	81,64,63,110,107,23	160	149	0.0	0.0	0.083,0.055,0.025,0.08,0.07,0.029	0.442,0.466,0.474,0.382,0.335,0.572	-0.388	349		6249115	6249224	6248510	6248662	349	7,4	61,37	21,22,39,23	25,35,21,44	160	149	2.9624603851e-05	0.0013026596637814	0.097,0.091	0.439,0.369,0.634,0.327	-0.348
445	AT4G40050		chr4	-	18561988	18562084	18561992	18562084	18561698	18561884	445	110,179,175,161,232,182	181,264,262,208,313,316	194,175,198,287,298,97	64,48,44,44,73,24	153	149	0.0	0.0	0.372,0.398,0.394,0.43,0.419,0.359	0.747,0.78,0.814,0.864,0.799,0.797	-0.405	396		18561992	18562084	18561698	18561884	396	21,31	55,68	59,42,47,75	12,9,18,30	153	149	8.451017663450001e-13	9.555686400886676e-11	0.271,0.307	0.827,0.82,0.718,0.709	-0.479
450	AT3G63460		chr3	-	23434943	23434986	23434949	23434986	23434703	23434825	450	495,671,592,427,564,653	68,91,63,81,77,72	233,187,204,357,332,128	232,249,243,494,390,122	155	149	0.0	0.0	0.875,0.876,0.9,0.835,0.876,0.897	0.491,0.419,0.447,0.41,0.45,0.502	0.423	402		23434949	23434986	23434703	23434825	402	142,182	25,17	72,86,85,120	72,85,140,171	155	149	0.0	0.0	0.845,0.911	0.49,0.493,0.369,0.403	0.439
451	AT3G63340		chr3	-	23392347	23392402	23392378	23392402	23392165	23392246	451	224,331,323,218,336,306	12,17,10,7,17,12	45,58,32,66,70,26	34,46,34,54,62,17	180	149	0.0	0.0	0.939,0.942,0.964,0.963,0.942,0.955	0.523,0.511,0.438,0.503,0.483,0.559	0.448	403		23392378	23392402	23392165	23392246	403	92,114	8,17	31,24,11,17	28,21,25,13	180	149	1.63566168387e-08	1.232977355031529e-06	0.905,0.847	0.478,0.486,0.267,0.52	0.438
540	AT5G43990		chr5	+	17699083	17699345	17699083	17699285	17699457	17700575	540	10,19,10,13,7,18	7,6,11,4,6,5	8,12,8,36,30,2	0,2,0,0,0,0	209	149	2.16564477462e-09	6.821781040053e-08	0.505,0.693,0.393,0.699,0.454,0.72	1.0,0.811,1.0,1.0,1.0,1.0	-0.391	487		17699083	17699285	17699457	17700575	487	9,21	8,6	19,14,30,25	1,0,1,2	209	149	0.000769161655911	0.0196384338920502	0.445,0.714	0.931,1.0,0.955,0.899	-0.367
547	AT1G59890		chr1	+	22046138	22046241	22046138	22046226	22046501	22046719	547	83,136,110,80,122,135	45,48,41,49,44,48	31,24,36,75,73,35	38,42,52,81,72,25	164	149	0.000108934795883	0.0021902847257326	0.626,0.72,0.709,0.597,0.716,0.719	0.426,0.342,0.386,0.457,0.479,0.56	0.24	493		22046138	22046226	22046501	22046719	493	20,37	8,5	13,26,19,15	13,23,28,32	164	149	0.00049119226518	0.0131789382335583	0.694,0.871	0.476,0.507,0.381,0.299	0.367
560	AT5G35330		chr5	-	13525620	13525834	13525641	13525834	13524824	13525279	560	79,137,115,104,209,149	171,276,211,147,274,204	44,34,58,55,81,25	310,226,251,327,466,151	170	149	5.42218492328e-11	2.227810761956348e-09	0.288,0.303,0.323,0.383,0.401,0.39	0.111,0.116,0.168,0.128,0.132,0.127	0.218	506		13525641	13525834	13524824	13525279	506	37,40	36,47	7,7,8,21	66,59,64,101	170	149	4.0523320699e-08	2.9158371212053182e-06	0.474,0.427	0.085,0.094,0.099,0.154	0.343
580	AT2G02080		chr2	-	520976	521205	520980	521205	520263	520660	580	4,11,12,16,15,8	238,331,286,257,299,329	90,82,96,142,142,60	84,68,92,137,128,50	153	149	0.0	0.0	0.016,0.031,0.039,0.057,0.047,0.023	0.511,0.54,0.504,0.502,0.519,0.539	-0.484	523		520980	521205	520263	520660	523	5,3	80,99	25,32,37,46	43,48,52,56	153	149	8.404388296409999e-14	1.2094678793833664e-11	0.057,0.029	0.362,0.394,0.409,0.444	-0.359
608	AT1G79190		chr1	+	29791575	29792228	29791575	29792210	29792308	29792467	608	8,10,9,8,15,6	61,78,63,48,68,57	45,36,31,39,59,20	5,7,13,14,14,7	167	149	0.0	0.0	0.105,0.103,0.113,0.129,0.164,0.086	0.889,0.821,0.68,0.713,0.79,0.718	-0.652	550		29791575	29792210	29792308	29792467	550	1,1	15,7	7,8,8,4	3,3,4,7	167	149	2.86213144577e-05	0.0013026596637814	0.056,0.113	0.676,0.704,0.641,0.338	-0.505
619	AT2G04790		chr2	+	1679306	1679909	1679306	1679886	1680014	1680176	619	29,40,25,24,41,42	47,74,26,50,53,31	3,2,4,1,8,8	83,56,77,87,146,59	172	149	0.0	0.0	0.348,0.319,0.454,0.294,0.401,0.54	0.03,0.03,0.043,0.01,0.045,0.105	0.349	562		1679306	1679886	1680014	1680176	562	33,47	53,52	11,7,5,11	104,93,87,97	172	149	5.22836896e-09	4.356056875621053e-07	0.35,0.439	0.084,0.061,0.047,0.089	0.324
648	AT1G70490		chr1	-	26565290	26565849	26565317	26565849	26565004	26565161	648	5,5,4,4,8,8	5,9,6,9,5,13	9,3,8,12,4,1	2,0,0,0,1,0	176	149	3.8077319075600005e-12	1.7991533263220996e-10	0.458,0.32,0.361,0.273,0.575,0.343	0.792,1.0,1.0,1.0,0.772,1.0	-0.539	591		26565317	26565849	26565004	26565161	591	2,1	4,1	1,8,4,7	1,0,0,2	176	149	0.0014657288908	0.0322256782518944	0.297,0.458	0.458,1.0,1.0,0.748	-0.424
649	AT1G70490		chr1	-	26565301	26565849	26565317	26565849	26565004	26565161	649	3,4,1,3,5,4	5,9,6,9,5,13	5,2,10,10,10,1	2,0,0,0,1,0	165	149	9.43689570931e-15	5.573666528311218e-13	0.351,0.286,0.131,0.231,0.475,0.217	0.693,1.0,1.0,1.0,0.9,1.0	-0.65	592		26565317	26565849	26565004	26565161	592	0,1	4,1	2,10,5,10	1,0,0,2	165	149	1.11450931678e-05	0.0005880894161542	0.0,0.475	0.644,1.0,1.0,0.819	-0.628
738	AT2G04690		chr2	+	1645913	1646066	1645913	1646031	1646154	1646443	738	480,802,747,598,1038,841	339,578,474,446,821,628	967,557,732,1000,1124,437	319,246,241,359,365,150	184	149	1.26788307961e-05	0.0002887107253569	0.534,0.529,0.561,0.521,0.506,0.52	0.711,0.647,0.711,0.693,0.714,0.702	-0.168	682		1645913	1646031	1646154	1646443	682	54,58	104,100	145,94,93,137	97,65,74,83	184	149	0.000300358378789	0.0089710813891129	0.296,0.32	0.548,0.539,0.504,0.572	-0.233
750	AT1G73390		chr1	-	27594494	27594551	27594498	27594551	27593901	27594166	750	61,50,57,39,50,81	23,39,28,19,21,54	15,13,13,24,32,8	38,24,32,88,79,25	153	149	3.75921516138e-13	1.9735879597245e-11	0.721,0.555,0.665,0.667,0.699,0.594	0.278,0.345,0.283,0.21,0.283,0.238	0.377	692		27594498	27594551	27593901	27594166	692	19,28	13,11	10,8,8,22	22,25,32,36	153	149	0.000472180484218	0.0128872708020188	0.587,0.713	0.307,0.238,0.196,0.373	0.371
752	AT1G47550		chr1	+	17462053	17462227	17462053	17462224	17462308	17462388	752	53,100,80,90,115,74	289,525,339,314,471,425	7,15,21,25,21,6	448,296,416,591,540,218	152	149	2.07747429282e-05	0.0004565612108639	0.152,0.157,0.188,0.219,0.193,0.146	0.015,0.047,0.047,0.04,0.037,0.026	0.14	694		17462053	17462224	17462308	17462388	694	29,31	93,98	4,8,11,4	125,150,170,176	152	149	0.000380075004594	0.0109392496776782	0.234,0.237	0.03,0.05,0.06,0.022	0.195
779	AT1G20060		chr1	-	6952305	6952398	6952308	6952398	6952131	6952224	779	25,15,16,8,12,24	2,4,1,3,3,1	0,0,1,0,2,4	4,7,8,13,27,3	152	149	0.0	0.0	0.925,0.786,0.94,0.723,0.797,0.959	0.0,0.0,0.109,0.0,0.068,0.567	0.731	719		6952308	6952398	6952131	6952224	719	5,4	0,5	1,1,0,2	6,7,11,4	152	149	0.000530732274498	0.0140024865088389	1.0,0.44	0.14,0.123,0.0,0.329	0.572
780	AT1G20060		chr1	-	6952652	6952745	6952655	6952745	6952478	6952571	780	6,8,13,4,1,8	6,1,7,1,1,2	0,5,0,2,1,0	9,11,17,13,18,12	152	149	3.30490079747e-11	1.3880583349373996e-09	0.495,0.887,0.645,0.797,0.495,0.797	0.0,0.308,0.0,0.131,0.052,0.0	0.604	720		6952655	6952745	6952478	6952571	720	6,3	0,0	0,1,0,0	7,22,9,2	152	149	4.89941420767e-13	5.965978992878161e-11	1.0,1.0	0.0,0.043,0.0,0.0	0.989
810	AT1G49980		chr1	+	18511848	18511998	18511848	18511962	18512089	18512512	810	9,16,6,10,17,6	57,72,79,55,82,96	27,15,14,39,30,15	28,16,22,38,50,11	185	149	3.92604682098e-09	1.2164309002708526e-07	0.113,0.152,0.058,0.128,0.143,0.048	0.437,0.43,0.339,0.453,0.326,0.523	-0.311	743		18511848	18511962	18512089	18512512	743	2,3	26,11	7,12,6,11	11,8,6,11	185	149	0.00109087366349	0.026981833520979	0.058,0.18	0.339,0.547,0.446,0.446	-0.326
820	AT1G29040		chr1	+	10134504	10134621	10134504	10134536	10134685	10134797	820	149,237,172,159,253,198	21,26,27,18,32,30	175,138,140,172,231,80	3,1,0,0,3,3	234	149	3.81099189528e-06	9.234326515486152e-05	0.819,0.853,0.802,0.849,0.834,0.808	0.974,0.989,1.0,1.0,0.98,0.944	-0.154	752		10134504	10134536	10134685	10134797	752	36,49	13,39	56,46,49,37	3,0,0,3	234	149	1.55845577554e-08	1.232977355031529e-06	0.638,0.444	0.922,1.0,1.0,0.887	-0.411
832	AT1G67700		chr1	+	25375569	25375726	25375569	25375712	25375803	25376050	832	1325,2181,1641,1286,2015,1708	1204,1714,1473,1131,1675,1389	2823,1958,2381,3069,3265,1138	596,426,515,709,815,291	163	149	0.0	0.0	0.501,0.538,0.505,0.51,0.524,0.529	0.812,0.808,0.809,0.798,0.786,0.781	-0.281	763		25375569	25375712	25375803	25376050	763	1329,1440	981,1053	1824,1885,1490,1895	413,471,356,356	163	149	4.05453448593e-13	5.348606742689325e-11	0.553,0.556	0.801,0.785,0.793,0.83	-0.248
838	AT1G03310		chr1	+	813412	813604	813412	813581	813928	816812	838	38,44,61,45,57,38	29,37,28,39,46,37	79,52,73,134,60,41	0,0,1,2,0,0	172	149	0.0	0.0	0.532,0.507,0.654,0.5,0.518,0.471	1.0,1.0,0.984,0.983,1.0,1.0	-0.464	768		813412	813581	813928	816812	768	32,52	10,13	66,101,89,121	0,0,0,0	172	149	0.00146103496174	0.0322256782518944	0.735,0.776	1.0,1.0,1.0,1.0	-0.244
851	AT1G15490		chr1	-	5323152	5323895	5323157	5323895	5322652	5322960	851	14,45,27,37,41,25	18,32,45,21,24,37	47,39,29,41,37,8	2,3,3,3,10,1	154	149	1.12134190822e-10	4.155561189285882e-09	0.429,0.576,0.367,0.63,0.623,0.395	0.958,0.926,0.903,0.93,0.782,0.886	-0.394	780		5323157	5323895	5322652	5322960	780	15,11	14,15	9,14,8,20	0,0,0,3	154	149	2.27389684859e-09	2.117399241951747e-07	0.509,0.415	1.0,1.0,1.0,0.866	-0.505
945	AT2G36792		chr2	+	15420064	15421504	15420064	15421484	15421583	15422088	945	12,18,16,10,5,22	2,12,4,4,7,11	2,9,4,7,9,3	24,10,16,15,23,5	169	149	6.13484525895e-05	0.0012741601691665	0.841,0.569,0.779,0.688,0.386,0.638	0.068,0.442,0.181,0.292,0.257,0.346	0.386	871		15420064	15421484	15421583	15422088	871	16,17	3,12	4,4,1,6	9,12,8,15	169	149	0.00112495326114	0.026981833520979	0.825,0.555	0.282,0.227,0.099,0.261	0.473
950	AT3G19460		chr3	+	6748758	6748909	6748758	6748904	6748990	6749307	950	50,104,72,76,112,103	84,213,144,151,199,176	9,4,6,8,18,6	157,156,138,212,226,68	154	149	0.0	0.0	0.365,0.321,0.326,0.327,0.353,0.362	0.053,0.024,0.04,0.035,0.072,0.079	0.292	875		6748758	6748904	6748990	6749307	875	56,55	54,57	8,2,1,5	112,102,78,112	154	149	0.0	0.0	0.501,0.483	0.065,0.019,0.012,0.041	0.458
962	AT3G01310		chr3	-	101513	101660	101531	101660	101296	101356	962	220,461,334,323,382,329	852,1365,1057,1029,1314,1162	402,325,449,559,648,130	368,355,404,501,640,211	167	149	1.11022302463e-15	7.235591436381723e-14	0.187,0.232,0.22,0.219,0.206,0.202	0.494,0.45,0.498,0.499,0.475,0.355	-0.251	885		101531	101660	101296	101356	885	40,68	96,131	71,106,115,154	53,54,87,155	167	149	0.000440156118589	0.012223984837305	0.271,0.317	0.544,0.637,0.541,0.47	-0.254
980	AT2G01420		chr2	-	182004	183764	182016	183764	181579	181847	980	252,437,378,289,371,381	236,286,285,203,279,290	527,421,409,501,608,215	68,63,40,55,46,15	161	149	0.0	0.0	0.497,0.586,0.551,0.569,0.552,0.549	0.878,0.861,0.904,0.894,0.924,0.93	-0.348	900		182016	183764	181579	181847	900	152,159	134,133	279,353,302,264	29,31,21,31	161	149	0.0	0.0	0.512,0.525	0.899,0.913,0.93,0.887	-0.389
983	AT2G27730		chr2	-	11821606	11822025	11821651	11822025	11820768	11820884	983	16,26,23,10,31,20	50,49,27,32,41,47	22,30,36,22,48,12	13,5,10,16,24,12	194	149	6.95649223166e-05	0.0014137387438534	0.197,0.29,0.395,0.194,0.367,0.246	0.565,0.822,0.734,0.514,0.606,0.434	-0.331	903		11821651	11822025	11820768	11820884	903	5,2	17,24	11,17,9,25	13,18,5,6	194	149	0.000188256432857	0.0062085402752631	0.184,0.06	0.394,0.42,0.58,0.762	-0.417
998	AT3G57050		chr3	-	21114161	21114330	21114206	21114330	21113943	21114059	998	842,1214,1100,998,1370,1408	65,109,108,110,127,118	645,423,558,1007,927,258	162,146,202,333,297,98	194	149	2.6756374893499998e-14	1.4873396631974999e-12	0.909,0.895,0.887,0.875,0.892,0.902	0.754,0.69,0.68,0.699,0.706,0.669	0.194	917		21114206	21114330	21113943	21114059	917	278,314	15,13	225,235,275,363	66,71,64,141	194	149	2.75141764927e-09	2.4197189659968946e-07	0.934,0.949	0.724,0.718,0.767,0.664	0.223
1059	AT3G07300		chr3	-	2326718	2327012	2326724	2327012	2326090	2326220	1059	80,132,99,100,131,103	200,304,301,234,260,257	236,132,148,210,200,68	107,74,85,129,118,48	155	149	0.0	0.0	0.278,0.294,0.24,0.291,0.326,0.278	0.68,0.632,0.626,0.61,0.62,0.577	-0.34	973		2326724	2327012	2326090	2326220	973	29,26	56,87	34,45,47,51	25,31,25,45	155	149	0.000151449187388	0.0053120898165488	0.332,0.223	0.567,0.583,0.644,0.521	-0.301
1070	AT1G01020		chr1	-	8570	9130	8593	9130	8235	8464	1070	217,408,301,211,361,277	74,124,67,54,115,70	131,90,129,136,154,50	194,114,158,205,208,53	172	149	0.0	0.0	0.718,0.74,0.796,0.772,0.731,0.774	0.369,0.406,0.414,0.365,0.391,0.45	0.356	984		8593	9130	8235	8464	984	90,96	21,25	24,27,41,34	57,57,74,82	172	149	0.0	0.0	0.788,0.769	0.267,0.291,0.324,0.264	0.492
1090	AT2G43490		chr2	-	18058044	18058198	18058056	18058198	18057838	18057937	1090	110,175,97,131,135,121	25,53,50,35,57,29	35,22,31,71,55,25	79,54,99,144,79,26	161	149	0.0	0.0	0.803,0.753,0.642,0.776,0.687,0.794	0.291,0.274,0.225,0.313,0.392,0.471	0.415	999		18058056	18058198	18057838	18057937	999	42,37	14,21	17,9,25,31	16,36,45,47	161	149	0.00169406296288	0.036735639318343	0.735,0.62	0.496,0.188,0.34,0.379	0.327
1196	AT2G39730		chr2	-	16571179	16571472	16571190	16571472	16570745	16571066	1196	18543,31518,21167,18251,22590,21885	19897,33390,21739,19117,23272,22858	49804,33987,40542,50340,57538,20767	17666,12197,14310,18025,22021,7347	160	149	0.0	0.0	0.465,0.468,0.476,0.471,0.475,0.471	0.724,0.722,0.725,0.722,0.709,0.725	-0.25	1092		16571190	16571472	16570745	16571066	1092	9656,10227	8180,8703	21120,19300,16809,20773	6443,5728,4725,6090	160	149	5.547118320240001e-12	5.85405886729328e-10	0.524,0.523	0.753,0.758,0.768,0.761	-0.236
1197	AT1G77890		chr1	+	29293206	29293278	29293206	29293272	29293400	29293478	1197	82,159,88,70,95,102	6,3,1,5,9,6	35,17,20,26,26,9	42,22,25,45,59,20	155	149	0.0	0.0	0.929,0.981,0.988,0.931,0.91,0.942	0.445,0.426,0.435,0.357,0.298,0.302	0.57	1093		29293206	29293272	29293400	29293478	1093	22,22	2,0	8,9,6,15	10,17,20,18	155	149	6.73268107931e-11	6.661146342842331e-09	0.914,1.0	0.435,0.337,0.224,0.445	0.597
1224	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550762	6552108	1224	44,99,57,50,94,67	80,122,73,77,126,119	134,106,129,191,213,76	7,14,8,9,20,9	161	149	0.0	0.0	0.337,0.429,0.419,0.375,0.408,0.343	0.947,0.875,0.937,0.952,0.908,0.887	-0.533	1120		6550477	6550669	6550762	6552108	1120	6,7	22,21	41,56,64,64	3,2,0,2	161	149	0.0	0.0	0.202,0.236	0.927,0.963,1.0,0.967	-0.745
1224	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550762	6552108	1224	44,99,57,50,94,67	80,122,73,77,126,119	134,106,129,191,213,76	7,14,8,9,20,9	161	149	0.0	0.0	0.337,0.429,0.419,0.375,0.408,0.343	0.947,0.875,0.937,0.952,0.908,0.887	-0.533	1121		6550477	6550669	6550768	6551919	1121	2,1	14,20	3,11,3,4	0,2,4,7	161	149	0.000241670353713	0.0073570032678399	0.117,0.044	1.0,0.836,0.41,0.346	-0.568
1225	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550768	6551919	1225	6,5,2,6,13,6	38,70,69,46,61,48	16,11,18,27,29,4	11,8,6,1,15,9	161	149	1.01068153846e-10	3.8203762153788e-09	0.127,0.062,0.026,0.108,0.165,0.104	0.574,0.56,0.735,0.962,0.641,0.291	-0.528	1120		6550477	6550669	6550762	6552108	1120	6,7	22,21	41,56,64,64	3,2,0,2	161	149	0.0	0.0	0.202,0.236	0.927,0.963,1.0,0.967	-0.745
1225	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550768	6551919	1225	6,5,2,6,13,6	38,70,69,46,61,48	16,11,18,27,29,4	11,8,6,1,15,9	161	149	1.01068153846e-10	3.8203762153788e-09	0.127,0.062,0.026,0.108,0.165,0.104	0.574,0.56,0.735,0.962,0.641,0.291	-0.528	1121		6550477	6550669	6550768	6551919	1121	2,1	14,20	3,11,3,4	0,2,4,7	161	149	0.000241670353713	0.0073570032678399	0.117,0.044	1.0,0.836,0.41,0.346	-0.568
1277	AT1G16560		chr1	+	5668392	5668739	5668392	5668709	5668918	5669039	1277	27,34,34,22,28,26	2,11,3,4,7,4	5,8,6,10,14,5	8,13,10,27,36,5	179	149	4.4741987892399993e-14	2.4160673461896e-12	0.918,0.72,0.904,0.821,0.769,0.844	0.342,0.339,0.333,0.236,0.245,0.454	0.504	1172		5668392	5668709	5668918	5669039	1172	11,17	2,3	3,0,7,5	7,7,8,14	179	149	9.20009265493e-06	0.0005021981611294	0.821,0.825	0.263,0.0,0.421,0.229	0.595
1282	AT1G06710		chr1	-	2056632	2057043	2056650	2057043	2056233	2056329	1282	11,17,28,21,29,19	2,3,2,5,4,5	15,7,1,3,11,5	19,15,18,12,20,3	167	149	4.69673411274e-10	1.6139686314688364e-08	0.831,0.835,0.926,0.789,0.866,0.772	0.413,0.294,0.047,0.182,0.329,0.598	0.526	1179		2056851	2057043	2056233	2056329	1179	11,11	5,7	27,17,14,26	0,2,1,4	368	149	0.0014372776179	0.0322256782518944	0.471,0.389	1.0,0.775,0.85,0.725	-0.408
