ID_x	GeneID	geneSymbol_x	chr	strand	longExonStart_0base	longExonEnd	shortES_x	shortEE_x	flankingES_x	flankingEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	shortES_y	shortEE_y	flankingES_y	flankingEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
498	AT5G35330		chr5	-	13525620	13525834	13525641	13525834	13524824	13525279	498	29,19,31	46,32,34	9,11,18	79,110,65	170	149	0.000114929120341	0.003542521121099	0.356,0.342,0.444	0.091,0.081,0.195	0.258	506		13525641	13525834	13524824	13525279	506	37,40	36,47	7,7,8,21	66,59,64,101	170	149	4.0523320699e-08	2.9158371212053182e-06	0.474,0.427	0.085,0.094,0.099,0.154	0.343
514	AT2G02080		chr2	-	520976	521205	520980	521205	520263	520660	514	4,6,7	126,178,187	57,70,62	45,43,46	153	149	0.0	0.0	0.03,0.032,0.035	0.552,0.613,0.568	-0.545	523		520980	521205	520263	520660	523	5,3	80,99	25,32,37,46	43,48,52,56	153	149	8.404388296409999e-14	1.2094678793833664e-11	0.057,0.029	0.362,0.394,0.409,0.444	-0.359
541	AT1G79190		chr1	+	29791575	29792228	29791575	29792210	29792308	29792467	541	3,5,3	9,15,19	17,21,25	7,13,21	167	149	0.0001189777686	0.0035967894661384	0.229,0.229,0.123	0.684,0.59,0.515	-0.403	550		29791575	29792210	29792308	29792467	550	1,1	15,7	7,8,8,4	3,3,4,7	167	149	2.86213144577e-05	0.0013026596637814	0.056,0.113	0.676,0.704,0.641,0.338	-0.505
554	AT2G04790		chr2	+	1679306	1679909	1679306	1679886	1680014	1680176	554	45,49,43	75,88,89	11,23,8	154,211,130	172	149	7.80539521905e-09	4.908032513738641e-07	0.342,0.325,0.295	0.058,0.086,0.051	0.256	562		1679306	1679886	1680014	1680176	562	33,47	53,52	11,7,5,11	104,93,87,97	172	149	5.22836896e-09	4.356056875621053e-07	0.35,0.439	0.084,0.061,0.047,0.089	0.324
583	AT1G70490		chr1	-	26565290	26565849	26565317	26565849	26565004	26565161	583	0,10,7	16,14,19	32,11,15	4,0,0	176	149	1.34235955684e-11	1.2825480285614115e-09	0.0,0.377,0.238	0.871,1.0,1.0	-0.752	591		26565317	26565849	26565004	26565161	591	2,1	4,1	1,8,4,7	1,0,0,2	176	149	0.0014657288908	0.0322256782518944	0.297,0.458	0.458,1.0,1.0,0.748	-0.424
584	AT1G70490		chr1	-	26565301	26565849	26565317	26565849	26565004	26565161	584	3,8,6	16,14,19	9,10,10	4,0,0	165	149	1.53233858269e-07	7.770439522544128e-06	0.145,0.34,0.222	0.67,1.0,1.0	-0.654	592		26565317	26565849	26565004	26565161	592	0,1	4,1	2,10,5,10	1,0,0,2	165	149	1.11450931678e-05	0.0005880894161542	0.0,0.475	0.644,1.0,1.0,0.819	-0.628
668	AT2G04690		chr2	+	1645913	1646066	1645913	1646031	1646154	1646443	668	96,103,128	108,96,155	120,121,127	59,47,57	184	149	0.000474693899478	0.0111375941787972	0.419,0.465,0.401	0.622,0.676,0.643	-0.219	682		1645913	1646031	1646154	1646443	682	54,58	104,100	145,94,93,137	97,65,74,83	184	149	0.000300358378789	0.0089710813891129	0.296,0.32	0.548,0.539,0.504,0.572	-0.233
679	AT1G73390		chr1	-	27594494	27594551	27594498	27594551	27593901	27594166	679	22,37,61	13,17,21	15,21,25	42,52,57	153	149	1.24509593746e-08	7.249225235878222e-07	0.622,0.679,0.739	0.258,0.282,0.299	0.4	692		27594498	27594551	27593901	27594166	692	19,28	13,11	10,8,8,22	22,25,32,36	153	149	0.000472180484218	0.0128872708020188	0.587,0.713	0.307,0.238,0.196,0.373	0.371
709	AT1G20060		chr1	-	6952305	6952398	6952308	6952398	6952131	6952224	709	4,9,14	2,4,4	2,2,0	9,12,8	152	149	1.70633249419e-07	8.382358377708376e-06	0.662,0.688,0.774	0.179,0.14,0.0	0.602	719		6952308	6952398	6952131	6952224	719	5,4	0,5	1,1,0,2	6,7,11,4	152	149	0.000530732274498	0.0140024865088389	1.0,0.44	0.14,0.123,0.0,0.329	0.572
710	AT1G20060		chr1	-	6952652	6952745	6952655	6952745	6952478	6952571	710	0,3,5	1,0,0	0,0,4	16,10,3	152	149	2.84214057084e-05	0.0010154193130364	0.0,1.0,1.0	0.0,0.0,0.567	0.478	720		6952655	6952745	6952478	6952571	720	6,3	0,0	0,1,0,0	7,22,9,2	152	149	4.89941420767e-13	5.965978992878161e-11	1.0,1.0	0.0,0.043,0.0,0.0	0.989
749	AT1G67700		chr1	+	25375569	25375726	25375569	25375712	25375803	25376050	749	1011,1491,1615	803,1120,1242	2253,2026,1844	463,428,421	163	149	0.0	0.0	0.535,0.549,0.543	0.816,0.812,0.8	-0.267	763		25375569	25375712	25375803	25376050	763	1329,1440	981,1053	1824,1885,1490,1895	413,471,356,356	163	149	4.05453448593e-13	5.348606742689325e-11	0.553,0.556	0.801,0.785,0.793,0.83	-0.248
753	AT1G03310		chr1	+	813412	813604	813412	813581	813928	816812	753	91,108,126	74,70,129	203,211,162	4,2,10	172	149	0.0	0.0	0.516,0.572,0.458	0.978,0.989,0.933	-0.451	768		813412	813581	813928	816812	768	32,52	10,13	66,101,89,121	0,0,0,0	172	149	0.00146103496174	0.0322256782518944	0.735,0.776	1.0,1.0,1.0,1.0	-0.244
809	AT1G07700		chr1	+	2379594	2379798	2379594	2379729	2380103	2380231	809	220,273,361	50,85,71	230,173,189	124,141,103	218	149	0.000664401872451	0.0151368078767097	0.75,0.687,0.777	0.559,0.456,0.556	0.214	831		2379594	2379729	2380103	2380231	831	60,106	37,38	43,55,54,73	81,68,112,118	218	149	0.000113102926891	0.0043668764211817	0.526,0.656	0.266,0.356,0.248,0.297	0.299
852	AT3G19460		chr3	+	6748758	6748909	6748758	6748904	6748990	6749307	852	45,86,80	93,142,117	11,7,13	195,191,156	154	149	0.0	0.0	0.319,0.369,0.398	0.052,0.034,0.075	0.308	875		6748758	6748904	6748990	6749307	875	56,55	54,57	8,2,1,5	112,102,78,112	154	149	0.0	0.0	0.501,0.483	0.065,0.019,0.012,0.041	0.458
878	AT2G01420		chr2	-	182004	183764	182016	183764	181579	181847	878	304,417,475	277,353,301	450,506,442	42,42,54	161	149	0.0	0.0	0.504,0.522,0.594	0.908,0.918,0.883	-0.363	900		182016	183764	181579	181847	900	152,159	134,133	279,353,302,264	29,31,21,31	161	149	0.0	0.0	0.512,0.525	0.899,0.913,0.93,0.887	-0.389
893	AT3G57050		chr3	-	21114161	21114330	21114206	21114330	21113943	21114059	893	646,948,1118	51,78,72	693,781,631	203,247,232	194	149	2.14454010106e-11	1.774324757298063e-09	0.907,0.903,0.923	0.724,0.708,0.676	0.208	917		21114206	21114330	21113943	21114059	917	278,314	15,13	225,235,275,363	66,71,64,141	194	149	2.75141764927e-09	2.4197189659968946e-07	0.934,0.949	0.724,0.718,0.767,0.664	0.223
950	AT3G07300		chr3	-	2326718	2327012	2326724	2327012	2326090	2326220	950	20,20,21	43,29,51	64,65,46	25,23,17	155	149	1.92911056018e-08	1.0830577859296283e-06	0.309,0.399,0.284	0.711,0.731,0.722	-0.391	973		2326724	2327012	2326090	2326220	973	29,26	56,87	34,45,47,51	25,31,25,45	155	149	0.000151449187388	0.0053120898165488	0.332,0.223	0.567,0.583,0.644,0.521	-0.301
961	AT1G01020		chr1	-	8570	9130	8593	9130	8235	8464	961	61,86,118	21,28,51	46,19,29	80,74,84	172	149	9.21485110439e-14	9.65716395740072e-12	0.716,0.727,0.667	0.332,0.182,0.23	0.455	984		8593	9130	8235	8464	984	90,96	21,25	24,27,41,34	57,57,74,82	172	149	0.0	0.0	0.788,0.769	0.267,0.291,0.324,0.264	0.492
976	AT2G43490		chr2	-	18058044	18058198	18058056	18058198	18057838	18057937	976	19,34,32	7,9,19	11,24,14	31,34,28	161	149	0.000104451035919	0.003350959764585	0.715,0.778,0.609	0.247,0.395,0.316	0.381	999		18058056	18058198	18057838	18057937	999	42,37	14,21	17,9,25,31	16,36,45,47	161	149	0.00169406296288	0.036735639318343	0.735,0.62	0.496,0.188,0.34,0.379	0.327
1031	AT1G70610		chr1	+	26622658	26622797	26622658	26622786	26622940	26622983	1031	3,24,24	86,147,148	101,127,129	295,305,232	160	149	0.00207907462162	0.0430040171735084	0.031,0.132,0.131	0.242,0.279,0.341	-0.189	1053		26622658	26622786	26622940	26622983	1053	3,4	33,38	33,34,43,60	77,79,112,94	160	149	0.00243943400273	0.0495080003374562	0.078,0.089	0.285,0.286,0.263,0.373	-0.218
1070	AT2G39730		chr2	-	16571179	16571472	16571190	16571472	16570745	16571066	1070	22155,32625,36956	21002,31563,36071	56064,55943,45550	19218,17928,14669	160	149	2.44249065418e-15	2.953534852593047e-13	0.496,0.49,0.488	0.731,0.744,0.743	-0.248	1092		16571190	16571472	16570745	16571066	1092	9656,10227	8180,8703	21120,19300,16809,20773	6443,5728,4725,6090	160	149	5.547118320240001e-12	5.85405886729328e-10	0.524,0.523	0.753,0.758,0.768,0.761	-0.236
1071	AT1G77890		chr1	+	29293206	29293278	29293206	29293272	29293400	29293478	1071	21,34,41	0,4,5	14,11,17	24,17,12	155	149	5.76633965022e-08	3.0215619767152805e-06	1.0,0.891,0.887	0.359,0.383,0.577	0.486	1093		29293206	29293272	29293400	29293478	1093	22,22	2,0	8,9,6,15	10,17,20,18	155	149	6.73268107931e-11	6.661146342842331e-09	0.914,1.0	0.435,0.337,0.224,0.445	0.597
1094	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550762	6552108	1094	13,42,48	44,82,90	141,145,122	14,12,6	161	149	0.0	0.0	0.215,0.322,0.33	0.903,0.918,0.95	-0.635	1120		6550477	6550669	6550762	6552108	1120	6,7	22,21	41,56,64,64	3,2,0,2	161	149	0.0	0.0	0.202,0.236	0.927,0.963,1.0,0.967	-0.745
1094	AT1G18950		chr1	+	6550477	6550681	6550477	6550669	6550762	6552108	1094	13,42,48	44,82,90	141,145,122	14,12,6	161	149	0.0	0.0	0.215,0.322,0.33	0.903,0.918,0.95	-0.635	1121		6550477	6550669	6550768	6551919	1121	2,1	14,20	3,11,3,4	0,2,4,7	161	149	0.000241670353713	0.0073570032678399	0.117,0.044	1.0,0.836,0.41,0.346	-0.568
1143	AT1G16560		chr1	+	5668392	5668739	5668392	5668709	5668918	5669039	1143	9,18,11	1,2,2	2,1,4	10,13,10	179	149	7.93067833627e-11	6.144906615295943e-09	0.882,0.882,0.821	0.143,0.06,0.25	0.711	1172		5668392	5668709	5668918	5669039	1172	11,17	2,3	3,0,7,5	7,7,8,14	179	149	9.20009265493e-06	0.0005021981611294	0.821,0.825	0.263,0.0,0.421,0.229	0.595
1168	AT4G17150		chr4	+	9638738	9638824	9638738	9638820	9638925	9639029	1168	14,4,16	48,52,56	30,42,26	40,37,34	153	149	0.000312247571199	0.0080467734741775	0.221,0.07,0.218	0.422,0.525,0.427	-0.288	1198		9638738	9638820	9638925	9639029	1198	5,3	52,55	21,19,14,28	31,22,34,59	153	149	2.89974998086e-05	0.0013026596637814	0.086,0.05	0.397,0.457,0.286,0.316	-0.296
1230	AT4G17570		chr4	-	9785983	9786364	9785995	9786364	9785503	9785903	1230	36,57,55	66,121,90	115,140,123	12,23,31	161	149	0.0	0.0	0.335,0.304,0.361	0.899,0.849,0.786	-0.511	1255		9785995	9786364	9785503	9785903	1255	15,24	51,46	54,36,41,58	14,5,8,6	161	149	1.11022302463e-15	1.75748304798929e-13	0.214,0.326	0.781,0.87,0.826,0.899	-0.574
1234	AT1G23080		chr1	-	8182205	8183650	8182217	8183650	8181857	8182128	1234	163,191,183	422,540,562	488,485,445	183,147,138	161	149	0.0	0.0	0.263,0.247,0.232	0.712,0.753,0.749	-0.491	1259		8182217	8183650	8181857	8182128	1259	37,54	139,139	204,155,199,272	53,40,44,66	161	149	0.0	0.0	0.198,0.264	0.781,0.782,0.807,0.792	-0.559
1400	AT2G15000		chr2	-	6481827	6481989	6481870	6481989	6481185	6481656	1400	11,9,17	0,1,5	8,3,2	10,6,1	192	149	0.00162553398345	0.034071192293112	1.0,0.875,0.725	0.383,0.28,0.608	0.443	1425		6481870	6481989	6481185	6481656	1425	22,24	6,5	9,6,4,18	13,9,18,16	192	149	0.000154362685762	0.0053120898165488	0.74,0.788	0.349,0.341,0.147,0.466	0.438
1421	AT2G03140		chr2	+	949989	950231	949989	950208	950308	950717	1421	5,5,13	3,11,6	17,17,8	0,0,0	172	149	7.88461867463e-06	0.0003178107835004	0.591,0.283,0.652	1.0,1.0,1.0	-0.491	1446		949989	950208	950308	950717	1446	14,16	8,6	33,36,10,25	0,2,0,0	172	149	0.000433932648323	0.012223984837305	0.603,0.698	1.0,0.94,1.0,1.0	-0.335
1422	AT2G16930		chr2	+	7341077	7341247	7341077	7341210	7341488	7341588	1422	5,8,7	104,160,169	60,66,39	57,70,66	186	149	0.0	0.0	0.037,0.039,0.032	0.457,0.43,0.321	-0.367	1447		7341077	7341210	7341488	7341588	1447	5,8	201,205	66,69,79,95	117,101,125,150	186	149	0.0	0.0	0.02,0.03	0.311,0.354,0.336,0.337	-0.309
1583	AT2G35550		chr2	+	14929242	14929477	14929242	14929401	14929889	14930898	1583	4,2,5	1,4,10	6,6,3	2,0,0	225	149	0.00015766005776	0.0044710240271766	0.726,0.249,0.249	0.665,1.0,1.0	-0.48	1600		14929242	14929401	14929889	14930898	1600	0,3	4,2	3,1,2,5	0,0,0,0	225	149	0.000100716798402	0.004088069022317	0.0,0.498	1.0,1.0,1.0,1.0	-0.751
1683	AT2G46270		chr2	+	19002054	19002230	19002054	19002161	19002321	19002399	1683	14,42,49	24,37,35	66,60,58	8,13,10	218	149	2.9914354881e-06	0.0001237509628235	0.285,0.437,0.489	0.849,0.759,0.799	-0.399	1702		19002054	19002161	19002321	19002399	1702	43,26	55,38	41,66,83,117	20,8,16,38	218	149	1.60774379865e-06	9.426142345418334e-05	0.348,0.319	0.584,0.849,0.78,0.678	-0.389
1805	AT3G14010		chr3	+	4638722	4638938	4638722	4638932	4639006	4639107	1805	70,78,111	17,35,29	4,12,8	137,150,119	155	149	0.0	0.0	0.798,0.682,0.786	0.027,0.071,0.061	0.702	1825		4638722	4638932	4639006	4639107	1825	97,96	30,31	9,3,5,9	99,138,133,173	155	149	0.0	0.0	0.757,0.749	0.08,0.02,0.035,0.048	0.707
1898	AT3G20070		chr3	-	7006705	7006941	7006733	7006941	7006577	7006635	1898	22,27,22	37,29,36	4,2,5	56,45,46	177	149	2.3941295324e-07	1.1404762499796364e-05	0.334,0.439,0.34	0.057,0.036,0.084	0.312	1923		7006733	7006941	7006577	7006635	1923	12,23	6,8	4,9,0,0	26,8,23,37	177	149	1.45527451756e-07	9.598748172072834e-06	0.627,0.708	0.115,0.486,0.0,0.0	0.517
ID_x	geneSymbol_x	2ndExonStart_0base_x	2ndExonEnd_x	upstreamES_x	upstreamEE_x	downstreamES_x	downstreamEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	GeneID	geneSymbol_y	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base_y	2ndExonEnd_y	upstreamES_y	upstreamEE_y	downstreamES_y	downstreamEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
ID_x	GeneID	geneSymbol_x	chr	strand	riExonStart_0base	riExonEnd	upstreamES_x	upstreamEE_x	downstreamES_x	downstreamEE_x	ID.1_x	IJC_SAMPLE_1_x	SJC_SAMPLE_1_x	IJC_SAMPLE_2_x	SJC_SAMPLE_2_x	IncFormLen_x	SkipFormLen_x	PValue_x	FDR_x	IncLevel1_x	IncLevel2_x	IncLevelDifference_x	ID_y	geneSymbol_y	upstreamES_y	upstreamEE_y	downstreamES_y	downstreamEE_y	ID.1_y	IJC_SAMPLE_1_y	SJC_SAMPLE_1_y	IJC_SAMPLE_2_y	SJC_SAMPLE_2_y	IncFormLen_y	SkipFormLen_y	PValue_y	FDR_y	IncLevel1_y	IncLevel2_y	IncLevelDifference_y
33	AT5G63700		chr5	-	25494356	25494637	25494356	25494407	25494577	25494637	33	13,20,45	69,144,135	139,174,130	61,43,35	319	149	0.0	0.0	0.081,0.061,0.135	0.516,0.654,0.634	-0.509	33		25494356	25494407	25494577	25494637	33	11,8	66,28	66,80,89,71	18,16,26,18	319	149	0.0	0.0	0.072,0.118	0.631,0.7,0.615,0.648	-0.553
64	AT5G60940		chr5	+	24523577	24523849	24523577	24523687	24523779	24523849	64	21,47,44	23,52,33	105,107,84	28,32,23	241	149	4.44333409241e-05	0.0048644409825315	0.361,0.358,0.452	0.699,0.674,0.693	-0.298	64		24523577	24523687	24523779	24523849	64	18,13	41,60	52,54,46,57	21,39,33,32	241	149	1.01520375217e-06	0.0001799521678134	0.213,0.118	0.605,0.461,0.463,0.524	-0.348
632	AT4G38380		chr4	-	17974276	17974799	17974276	17974419	17974504	17974799	632	0,2,1	4,6,4	18,8,9	9,9,6	234	149	0.000358207627933	0.0242927885937585	0.0,0.175,0.137	0.56,0.361,0.489	-0.366	635		17974276	17974419	17974518	17974799	635	0,7	22,17	10,9,26,13	10,2,4,8	248	149	3.01423016368e-05	0.0034772384634772	0.0,0.198	0.375,0.73,0.796,0.494	-0.5
633	AT4G38380		chr4	-	17974276	17974799	17974276	17974419	17974518	17974799	633	2,4,2	13,19,12	20,9,10	10,7,7	248	149	2.12522061218e-05	0.0024968750460661	0.085,0.112,0.091	0.546,0.436,0.462	-0.385	635		17974276	17974419	17974518	17974799	635	0,7	22,17	10,9,26,13	10,2,4,8	248	149	3.01423016368e-05	0.0034772384634772	0.0,0.198	0.375,0.73,0.796,0.494	-0.5
672	AT5G37850		chr5	+	15065299	15065701	15065299	15065479	15065604	15065701	672	106,137,162	139,123,185	72,49,51	333,248,228	274	149	4.28857060975e-09	1.589080355935827e-06	0.293,0.377,0.323	0.105,0.097,0.108	0.228	674		15065299	15065479	15065604	15065701	674	123,136	133,100	35,14,40,66	156,144,115,219	274	149	1.41578900825e-07	3.15013054335625e-05	0.335,0.425	0.109,0.05,0.159,0.141	0.265
812	AT4G24740		chr4	-	12754945	12755239	12754945	12755048	12755141	12755239	812	35,80,85	231,324,320	195,196,170	246,267,225	242	149	1.04379062738e-06	0.000186219979707	0.085,0.132,0.141	0.328,0.311,0.317	-0.199	816		12754945	12755048	12755141	12755239	816	69,52	374,381	192,231,203,228	319,309,339,334	242	149	1.3239446095e-08	4.320472575668333e-06	0.102,0.078	0.27,0.315,0.269,0.296	-0.197
882	AT4G21585		chr4	+	11478358	11478728	11478358	11478539	11478617	11478728	882	9,10,8	15,27,37	7,7,1	2,0,0	227	149	6.58459092695e-07	0.0001219922095966	0.283,0.196,0.124	0.697,1.0,1.0	-0.698	884		11478358	11478539	11478617	11478728	884	11,9	21,21	2,12,13,3	1,0,0,1	227	149	1.62181323926e-09	6.615646505148083e-07	0.256,0.22	0.568,1.0,1.0,0.663	-0.57
1319	AT4G08980		chr4	+	5758019	5759303	5758019	5758484	5758981	5759303	1319	57,112,86	67,101,111	258,273,217	83,76,67	646	149	7.63272811621e-09	2.6262036668416834e-06	0.164,0.204,0.152	0.418,0.453,0.428	-0.26	1321		5758019	5758484	5758981	5759303	1321	241,225	75,91	603,720,654,896	65,54,60,99	646	149	2.3148560846e-10	1.1331220534117e-07	0.426,0.363	0.682,0.755,0.715,0.676	-0.313
1453	AT3G49500		chr3	-	18350490	18353673	18350490	18353226	18353466	18353673	1453	25,36,49	5,1,8	29,24,27	18,22,18	389	149	0.000181452926853	0.0152915733960338	0.657,0.932,0.701	0.382,0.295,0.365	0.416	1455		18350490	18353210	18353443	18353673	1455	5,8	6,7	6,13,24,15	0,0,0,4	382	149	1.48019938817e-06	0.0002337282582287	0.245,0.308	1.0,1.0,1.0,0.594	-0.622
1870	AT2G22570		chr2	-	9589796	9590214	9589796	9589982	9590080	9590214	1870	4,9,6	20,23,37	21,27,21	17,12,9	247	149	2.52165942682e-06	0.0003918333373868	0.108,0.191,0.089	0.427,0.576,0.585	-0.4	1874		9589796	9589982	9590080	9590214	1874	22,15	59,50	47,66,55,75	40,33,25,45	247	149	5.3865390115e-07	0.0001014119556203	0.184,0.153	0.415,0.547,0.57,0.501	-0.34
1882	AT2G23980		chr2	-	10202597	10203193	10202597	10202911	10202980	10203193	1882	15,26,20	38,59,69	62,70,47	55,39,45	218	149	0.000252977996541	0.0187963689103298	0.212,0.231,0.165	0.435,0.551,0.417	-0.265	1886		10202597	10202911	10202980	10203193	1886	56,34	147,124	106,158,139,189	81,102,103,130	218	149	5.9904414762e-11	3.2581345584443337e-08	0.207,0.158	0.472,0.514,0.48,0.498	-0.308
2009	AT2G04690		chr2	+	1645913	1646443	1645913	1646031	1646154	1646443	2009	81,95,120	108,96,155	176,218,167	59,47,57	272	149	4.62297977677e-11	2.4743215094112323e-08	0.291,0.352,0.298	0.62,0.718,0.616	-0.338	2014		1645913	1646031	1646154	1646443	2014	80,101	104,100	230,202,184,223	97,65,74,83	272	149	2.81621904152e-06	0.0004307935065075	0.296,0.356	0.565,0.63,0.577,0.595	-0.266
2116	AT1G54440		chr1	+	20326797	20327518	20326797	20326956	20327359	20327518	2116	38,53,68	79,91,83	83,77,53	17,32,15	552	149	4.93291067105e-07	0.0001072287817668	0.115,0.136,0.181	0.569,0.394,0.488	-0.34	2119		20326797	20326956	20327359	20327518	2119	21,17	34,30	46,39,69,47	5,4,25,8	552	149	9.48951630608e-08	2.32255911591308e-05	0.143,0.133	0.713,0.725,0.427,0.613	-0.481
