chr	A5SS1	A5SS2	A3SS	gene	strand	diff
5	17843415	17843433	17843307	AT5G44290	-	0.1220427016
5	17843415	17843577	17843307	AT5G44290	-	0.2840505549
5	18967803	18967823	18967717	AT5G46740	-	0.3634940829
5	21863802	21864089	21863700	AT5G53850	-	-0.1139571609
5	24604075	24604081	24603983	AT5G61150	-	0.2029647834
5	25775478	25775483	25775115	AT5G64460	-	-0.1374323511
5	25775478	25775483	25775354	AT5G64460	-	-0.3373411354
1	813581	813604	813929	AT1G03310	+	-0.4403807361
1	1584581	1584588	1584681	AT1G05400	+	0.2814840039
1	2379729	2379798	2380104	AT1G07700	+	0.1751925578
1	2535385	2535585	2535675	AT1G08110	+	0.073592517
1	2712985	2713010	2713096	AT1G08570	+	-0.1849336035
1	3628229	3628972	3629098	AT1G10890	+	0.0876683732
1	4615978	4616059	4616428	AT1G13460	+	0.171501415
1	5563200	5563364	5563718	AT1G16270	+	-0.1393446102
1	6550669	6550681	6550763	AT1G18950	+	-0.5461762214
1	8028015	8028059	8028132	AT1G22690	+	-0.0763215991
1	8768808	8768836	8768903	AT1G24793_and_AT1G24800	+	0.233788882
1	9611876	9612429	9612590	AT1G27630	+	-0.208616439
1	10134536	10134581	10134686	AT1G29040_and_AT1G29041	+	-0.0824346053
1	10134777	10134797	10135051	AT1G29040_and_AT1G29041	+	0.2382997508
1	10887827	10887850	10888276	AT1G30690	+	-0.1301533323
1	12351858	12351864	12352106	AT1G33980	+	0.0729717087
1	13078915	13078929	13079305	AT1G35515_and_AT1G35516	+	-0.1820588266
1	17478991	17479011	17479131	AT1G47570	+	0.2348816675
1	18253848	18253869	18254042	AT1G49340	+	0.164039255
1	18511962	18511993	18512090	AT1G49980	+	-0.3313674397
1	20274535	20274561	20274642	AT1G54310	+	-0.2195409163
1	20516178	20516205	20516272	AT1G55000	+	0.1208302311
1	20860710	20860831	20861271	AT1G55810	+	0.1292009719
1	21979423	21979619	21980384	AT1G59750	+	0.064602304
1	22046226	22046241	22046502	AT1G59890	+	0.2369340264
1	23421305	23421321	23421457	AT1G63150	+	0.5343228345
1	25375712	25375726	25375804	AT1G67700	+	-0.2870261118
1	25866864	25866882	25866962	AT1G68820	+	-0.2158547953
1	28107927	28107935	28108395	AT1G74810	+	0.6337098023
1	29293272	29293278	29293401	AT1G77890_and_AT1G77910	+	0.5090583448
1	29597190	29597235	29597316	AT1G78690	+	-0.409231419
1	29597210	29597235	29597316	AT1G78690	+	-0.3256813586
1	29792210	29792228	29792309	AT1G79190	+	-0.6309078514
1	29815873	29816510	29816607	AT1G79270	+	0.447122188
1	29816190	29816515	29816607	AT1G79270	+	-0.1710234825
1	29816510	29816515	29816607	AT1G79270	+	-0.4057881885
2	1646031	1646066	1646155	AT2G04690	+	-0.1689154978
2	1679886	1679909	1680015	AT2G04790	+	0.3482693394
2	2068646	2068651	2068738	AT2G05590	+	-0.2571867514
2	6519225	6519246	6519879	AT2G15050	+	0.1729640357
2	7341210	7341247	7341489	AT2G16930	+	-0.2701567333
2	7401232	7401235	7401633	AT2G17033	+	0.2039172695
2	7401232	7401248	7401633	AT2G17033	+	0.1519381383
2	7606823	7606870	7606944	AT2G17500	+	0.382552092
2	8584261	8584264	8584469	AT2G19880	+	0.124047948
2	9789746	9789750	9789845	AT2G22990	+	-0.0899069698
2	9789750	9789752	9789849	AT2G22990	+	-0.3723704736
2	11316613	11316793	11316999	AT2G26600	+	-0.106980487
2	11342095	11342239	11342895	AT2G26670	+	0.0571822621
2	11650691	11650729	11650817	AT2G27230	+	-0.1098658246
2	13381092	13381103	13381220	AT2G31370	+	-0.1673849712
2	13729206	13729242	13729567	AT2G32320	+	-0.3950011113
2	18866228	18866503	18866607	AT2G45830	+	0.5059172973
2	18894087	18894360	18894480	AT2G45910	+	0.0849565974
2	19002161	19002230	19002322	AT2G46270	+	-0.252250185
2	19537255	19537260	19537350	AT2G47640	+	-0.0601715014
2	19663657	19663669	19663747	AT2G48070	+	0.0511516923
3	53911	53958	54129	AT3G01150	+	-0.1034540254
3	1167351	1167405	1167579	AT3G04400	+	-0.0201149177
3	1355275	1355277	1355718	AT3G04910	+	0.1465669148
3	1539728	1539763	1540550	AT3G05380	+	0.3361061545
3	1944682	1944688	1944770	AT3G06400	+	-0.1287214101
3	2966513	2966520	2966616	AT3G09670	+	0.2401208549
3	4185358	4185382	4185464	AT3G13062_and_AT3G13065	+	-0.1863109551
3	4539065	4539069	4539313	AT3G13800	+	0.1188651338
3	4636597	4636611	4637143	AT3G14010	+	-0.1067034932
3	4638932	4638938	4639007	AT3G14010	+	0.2516638104
3	6748904	6748909	6748991	AT3G19460	+	0.3514172482
3	6903989	6904068	6904568	AT3G19860	+	-0.1286182992
3	7423328	7423334	7423408	AT3G21175	+	0.315106455
3	9530911	9530915	9531002	AT3G26085_and_AT3G26090	+	0.1098053451
3	15987302	15987551	15987932	AT3G44310	+	-0.0222036973
3	15987551	15987742	15987932	AT3G44310	+	0.09840606
3	22636515	22636536	22636629	AT3G61160	+	-0.1552783
4	6308816	6308832	6309085	AT4G10100	+	0.0898309778
4	6308816	6308849	6309085	AT4G10100	+	-0.1723385493
4	6308832	6308849	6309085	AT4G10100	+	-0.2628594046
4	7183002	7183006	7183225	AT4G11970	+	-0.2662632757
4	7443193	7443376	7443524	AT4G12560	+	-0.0989481567
4	8552747	8552769	8552924	AT4G14965	+	0.1274960891
4	8614273	8614344	8614693	AT4G15090	+	-0.3579223625
4	9638820	9638824	9638926	AT4G17150	+	-0.1731334332
4	12173779	12173873	12173941	AT4G23270	+	0.0800744761
4	12426711	12426729	12427055	AT4G23910	+	0.4258827612
4	12633289	12633328	12633441	AT4G24440	+	-0.0496779899
4	13539828	13539832	13540218	AT4G26965	+	-0.4855635692
4	13840078	13840196	13840361	AT4G27740_and_AT4G27745	+	-0.1181136054
4	13940602	13940716	13940850	AT4G28040	+	0.2373421264
4	15039550	15039566	15039642	AT4G30900	+	0.2344506022
4	15156073	15156078	15156669	AT4G31180	+	-0.1280565521
4	15212726	15212741	15213049	AT4G31350	+	-0.1803463996
4	15609106	15609117	15609790	AT4G32330	+	-0.1957738196
4	18315838	18315860	18316263	AT4G39390	+	-0.2281427391
5	1476678	1476716	1477083	AT5G05010	+	-0.0537769934
5	3396811	3396889	3397645	AT5G10745	+	-0.1919549553
5	3740877	3740942	3741504	AT5G11630_and_AT5G11640	+	0.4456841101
5	4283694	4283699	4283783	AT5G13360	+	-0.2135107963
5	6213067	6213160	6213280	AT5G18640	+	0.1242845046
5	6272075	6272091	6272196	AT5G18820	+	-0.3466795624
5	7650681	7650710	7651266	AT5G22875	+	-0.0673865707
5	9194101	9194106	9194278	AT5G26240	+	-0.3001602906
5	9814342	9814369	9814460	AT5G27710	+	-0.1065138714
5	15065479	15065512	15065605	AT5G37850	+	0.2374597902
5	16228022	16228049	16228120	AT5G40500	+	0.1699479129
5	18056573	18056585	18056668	AT5G44750	+	0.1868430124
5	20580493	20580565	20580856	AT5G50565	+	-0.1734173323
5	21755474	21755558	21755824	AT5G53550	+	-0.1031336141
5	24288720	24288724	24289224	AT5G60390	+	0.0463066653
5	24744051	24744078	24744194	AT5G61530	+	-0.0581698541
5	24850426	24850431	24850548	AT5G61880	+	-0.3334624486
5	25116053	25116137	25116218	AT5G62570	+	-0.1117902661
5	25345802	25345811	25346145	AT5G63190	+	0.1082638942
5	26058028	26058053	26059020	AT5G65210	+	-0.0991337928
1	8571	8594	8464	AT1G01020	-	0.4822092587
1	276623	276706	276519	AT1G04053_and_AT1G01760	-	0.4126122415
1	1674714	1674732	1674634	AT1G05610	-	1
1	2498480	2498484	2497998	AT1G08040	-	-0.4626234342
1	3503370	3503374	3503004	AT1G10590	-	0.1811685258
1	3568316	3568324	3567965	AT1G10740	-	-0.5
1	5164532	5164537	5164347	AT1G14970	-	-0.6093034392
1	5323153	5323158	5322960	AT1G15490	-	-0.496009323
1	6952306	6952309	6952224	AT1G20060	-	0.5837757371
1	6952653	6952656	6952571	AT1G20060	-	0.9885479718
1	8182206	8182218	8182128	AT1G23080	-	-0.4390448702
1	8594807	8594810	8594697	AT1G24260	-	0.2232144803
1	9303845	9303909	9303439	AT1G26850	-	0.1622542076
1	11295991	11296000	11295912	AT1G31550	-	0.5707094016
1	11594628	11594633	11594408	AT1G32190	-	-0.218953933
1	18497084	18497129	18496750	AT1G49950	-	0.1881236403
1	19842634	19842651	19842517	AT1G53200	-	-0.4120314196
1	19888229	19888305	19888088	AT1G53310	-	-0.1042542542
1	27594495	27594499	27594166	AT1G73390	-	0.3648607242
1	29971367	29971442	29971248	AT1G79640	-	0.2325011721
2	182005	182017	181847	AT2G01420	-	-0.3836747273
2	520977	520981	520660	AT2G02080	-	-0.3961254819
2	2362074	2362127	2361983	AT2G06050	-	-0.1915923692
2	7642600	7642612	7642506	AT2G17560	-	-0.0865827331
