Name	Chr	Start	End	Strand	Cai	Parker20c	Sun	Wang	average
AT4G01600:693500:693515	4	693500	693515	+	0.2831048257		0.4647021244		0.37390347505
AT3G21175:7423328:7423334	3	7423328	7423334	+	0.2980766083	0.315106455	0.3246139548	0.4784205778	0.354054398975
AT5G07980_and_AT5G01465:2554701:2554771	5	2554701	2554771	-	0.2160567521		0.4918612096		0.35395898085
AT1G31550:11295991:11296000	1	11295991	11296000	-	0.2245433127		0.5707094016	0.2646171037	0.35328993933333336
AT2G43490:18058045:18058057	2	18058045	18058057	-	0.3395493203	0.3494628573			0.3445060888
AT3G20070:7006635:7006734	3	7006635	7006734	-		0.2834975659	0.4044618321		0.343979699
AT2G48130:19683832:19684144	2	19683832	19684144	-		0.297612908	0.2867249988	0.4412072687	0.3418483918333333
AT1G73390:27594495:27594499	1	27594495	27594499	-	0.3339742769	0.2764097798	0.3648607242		0.32508159363333333
AT1G04053_and_AT1G01760:276623:276706	1	276623	276706	-		0.2063314629	0.4126122415		0.3094718522
AT3G09670:2966513:2966520	3	2966513	2966520	+		0.2401208549	0.3716359084		0.30587838165000003
AT5G37690:14975878:14975902	5	14975878	14975902	-		0.285827461	0.3200006806		0.3029140708
AT2G04790:1679886:1679909	2	1679886	1679909	+	0.2532934905	0.3482693394	0.3048899475		0.30215092579999997
AT5G44750:18056573:18056585	5	18056573	18056585	+	0.3925685282	0.1868430124	0.3142269972		0.2978795126
AT3G05640:1642849:1642890	3	1642849	1642890	-		0.2683343373	0.3234512559		0.2958927966
AT3G07510:2394568:2394574	3	2394568	2394574	-	0.3600233865	0.3350337997	0.1820349633	0.3041445068	0.295309164075
AT1G59890:22046226:22046241	1	22046226	22046241	+	0.2650869857	0.2369340264	0.3713942134		0.2911384085
AT2G41600:17345988:17345993	2	17345988	17345993	-		0.1587173017		0.4204957839	0.2896065428
AT3G05932_and_AT3G05935:1770911:1771533	3	1770911	1771533	-	0.2552510283	0.2848956904			0.27007335935
AT1G55000:20516178:20516205	1	20516178	20516205	+	0.1798662445	0.1208302311		0.5072187649	0.26930508016666665
AT2G02960:863995:864020	2	863995	864020	-		0.2121461759	0.3232561974		0.26770118665
AT5G01300:121483:121737	5	121483	121737	-			-0.4743008638	1.0	0.2628495681
AT2G17033:7401232:7401235	2	7401232	7401235	+		0.2039172695		0.3185846695	0.2612509695
AT4G35770:16945832:16945909	4	16945832	16945909	+		0.0667287158	0.4548894771		0.26080909645
AT5G35330:13525621:13525642	5	13525621	13525642	-	0.2350548509	0.2040284093	0.3282000384		0.2557610995333333
AT4G02600:1144052:1144137	4	1144052	1144137	+		0.1098384853		0.4013433714	0.25559092834999997
AT2G17033:7401232:7401248	2	7401232	7401248	+		0.1519381383		0.3480218083	0.2499799733
AT4G30900:15039550:15039566	4	15039550	15039566	+		0.2344506022	0.2642143549		0.24933247855000001
AT5G26940:9480308:9480770	5	9480308	9480770	+	0.1529687235		0.2062736614	0.3879055993	0.24904932806666666
AT2G17500:7606944:7606963	2	7606944	7606963	+	0.234584255	0.171198362	0.3392106677		0.24833109490000002
AT5G37850:15065479:15065512	5	15065479	15065512	+	0.310312935	0.2374597902	0.1964345788		0.24806910133333335
AT5G08440:2724389:2724392	5	2724389	2724392	+	0.2742444422	0.1838796518	0.2853449743		0.24782302276666668
AT5G37850:15065479:15065605	5	15065479	15065605	+	0.2302677105	0.2560975999	0.2515421858		0.2459691654
AT1G24793_and_AT1G24800:8768808:8768836	1	8768808	8768836	+	0.2549810674	0.233788882			0.24438497469999998
AT1G18950:6550763:6550769	1	6550763	6550769	+	0.2173972157	0.2691677022			0.24328245895
AT1G49340:18253848:18253869	1	18253848	18253869	+		0.164039255		0.3195298603	0.24178455765
AT3G14010:4638932:4638938	3	4638932	4638938	+	0.168899849	0.2516638104	0.2776811819		0.23274828043333332
AT5G61300_and_AT5G61310:24654770:24654845	5	24654770	24654845	-	0.2960916895		0.1677756179		0.2319336537
AT1G07700:2379729:2379798	1	2379729	2379798	+	0.2406670585	0.1751925578	0.2773992903		0.2310863022
AT3G07565:2415061:2415064	3	2415061	2415064	+	0.2481869686	0.1695474532	0.2633981937		0.22704420516666665
AT4G14965:8552747:8552769	4	8552747	8552769	+	0.2321128071	0.1274960891	0.158995455	0.3589742291	0.219394645075
AT5G10940:3452076:3452085	5	3452076	3452085	-	0.1402023073	0.2633776229	0.2457419858		0.21644063866666666
AT5G60170:24229700:24229706	5	24229700	24229706	+	0.2179275464	0.2133368552			0.2156322008
AT1G29040_and_AT1G29041:10134777:10134797	1	10134777	10134797	+	0.1822884359	0.2382997508	0.2243280569		0.2149720812
AT1G13940:4766470:4766594	1	4766470	4766594	-	0.1897475539	0.1393195346	0.310897153		0.21332141383333333
AT1G71240:26856087:26856090	1	26856087	26856090	+		-0.1121921369		0.5273849587	0.2075964109
AT1G55810:20860710:20860831	1	20860710	20860831	+		0.1292009719	0.2849817156		0.20709134375
AT1G10570:3488329:3488332	1	3488329	3488332	+	0.2660742377	0.1517793517	0.2031004593		0.20698468290000002
AT5G42940:17220362:17220386	5	17220362	17220386	-	0.1521845392	0.1224710115	0.161096428	0.3887962315	0.20613705255
AT3G06680:2114726:2114748	3	2114726	2114748	-		-0.0839208204		0.4941598436	0.2051195116
AT5G63460:25414413:25414448	5	25414413	25414448	-	0.2133715025	0.1962599506			0.20481572655000002
AT1G49950:18497084:18497129	1	18497084	18497129	-	0.2322028529	0.1889198263	0.1881236403		0.2030821065
AT5G61150:24604075:24604081	5	24604075	24604081	-	0.2015948525	0.2029647834	0.2190847617	0.1880453645	0.202922440525
AT1G02260:442620:442718	1	442620	442718	-	0.2849267148	0.1479815008	0.173049738		0.2019859845333333
AT3G57050:21114162:21114207	3	21114162	21114207	-	0.1886867571	0.2041625996	0.2228698548	0.18973497	0.201363545375
AT3G62940:23264238:23264254	3	23264238	23264254	-	0.1814441792	0.2078690201	0.2121183985		0.20047719926666666
AT5G18640:6213067:6213160	5	6213067	6213160	+		0.1242845046	0.1539177215	0.3232091771	0.20047046773333332
AT1G72640:27347658:27347661	1	27347658	27347661	-	0.1999449646	0.1778187476	0.2377289225	0.1727673805	0.19706500380000003
AT1G19650:6797268:6797311	1	6797268	6797311	-	0.1860883609	0.2074016883			0.19674502459999998
AT4G18740:10303631:10303725	4	10303631	10303725	-	0.2271677039	0.1658652369	0.1883554754		0.19379613873333332
AT4G33650:16164960:16164963	4	16164960	16164963	+	0.1471153398	0.1878172837	0.141885612	0.2876714626	0.191122424525
AT1G09060:2925688:2925712	1	2925688	2925712	-	0.1857330901	0.1849451694			0.18533912975
AT4G24230:12567238:12567251	4	12567238	12567251	-		0.1497834637	0.2181094171		0.18394644040000002
AT1G13460:4615978:4616059	1	4615978	4616059	+	0.1872829852	0.171501415			0.1793922001
AT4G26630:13435596:13435652	4	13435596	13435652	-	0.1117598104	0.1270019899	0.2160152702	0.2627470284	0.179381024725
AT4G08320:5254613:5254616	4	5254613	5254616	+	0.1861110229	0.1321439134	0.2154330431		0.17789599313333335
AT5G53760:21822629:21822720	5	21822629	21822720	+	0.1928288576	0.1617011846			0.17726502109999998
AT1G72740:27381147:27381165	1	27381147	27381165	-	0.1738768925	0.1883408038		0.1649165437	0.17571141333333332
AT5G46390:18818500:18818592	5	18818500	18818592	+		0.0717199524		0.2764125671	0.17406625975
AT5G42870:17187282:17187297	5	17187282	17187297	-		0.1079366263	0.239561674		0.17374915015
AT2G19880:8584261:8584264	2	8584261	8584264	+	0.1470124365	0.124047948	0.2361979018		0.16908609543333333
AT3G05165:1462786:1462903	3	1462786	1462903	-		-0.1180607192		0.4502841378	0.1661117093
AT1G73170:27514351:27514355	1	27514351	27514355	-	0.1905307742	0.1416413772			0.1660860757
AT5G18540:6155815:6155821	5	6155815	6155821	+		0.1563093288	0.171578354		0.1639438414
AT3G53560_and_AT3G53570:19864153:19864363	3	19864153	19864363	-		-0.126596949	-0.2397769232	0.8404942417	0.15804012316666669
AT2G02560:690463:690469	2	690463	690469	+	0.129881176	0.1584381794	0.1848669014		0.15772875226666666
AT1G28960:10109811:10109926	1	10109811	10109926	-	0.2070255826	0.1061306395			0.15657811105
AT1G30890:10994243:10994473	1	10994243	10994473	+			0.117157307	0.1947296867	0.15594349685
AT2G26590:11314985:11315020	2	11314985	11315020	-		0.1208779083	0.1899020031		0.1553899557
AT1G10590:3503370:3503374	1	3503370	3503374	-	0.1526526001	0.1308295915	0.1811685258		0.15488357246666665
AT1G31420:11252756:11252759	1	11252756	11252759	+	0.1534970119	0.1352433881	0.1705310797		0.15309049323333335
AT1G53650:20030944:20030962	1	20030944	20030962	-	0.1540440777	0.1520548239			0.1530494508
AT1G06890:2111602:2111605	1	2111602	2111605	-	0.1808845272	0.1218654009			0.15137496405
AT5G53850:21863653:21863700	5	21863653	21863700	-	0.1802042444	0.1200077237			0.15010598405
AT5G40500:16228022:16228049	5	16228022	16228049	+	0.1650555218	0.1699479129	0.1115455306		0.1488496551
AT3G07300:2327406:2327424	3	2327406	2327424	-	0.1789226213	0.1104452746			0.14468394795
AT1G06890:2111602:2111761	1	2111602	2111761	-	0.1952106044	0.0939256801			0.14456814225
AT5G44290:17843415:17843433	5	17843415	17843433	-	0.1606585688	0.1220427016			0.14135063520000002
AT5G63190:25345802:25345811	5	25345802	25345811	+	0.1625966672	0.1082638942	0.1506463932		0.1405023182
AT1G33470:12145684:12145687	1	12145684	12145687	+	0.1472102501	0.1358857658	0.1303497318		0.13781524923333333
AT1G55840:20874058:20874086	1	20874058	20874086	+		0.085544137	0.1873108365		0.13642748675
AT3G07890:2518904:2518907	3	2518904	2518907	-		0.0982381708	0.1745201862		0.1363791785
AT3G04910:1355275:1355277	3	1355275	1355277	+	0.108459688	0.1465669148	0.1522383627		0.1357549885
AT1G50840:18841948:18841951	1	18841948	18841951	+	0.1025663099	0.1677643822			0.13516534605
AT3G27770:10287280:10287397	3	10287280	10287397	-	0.1495236216	0.1155819144	0.1399646368		0.13502339093333332
AT2G32700:13870117:13870123	2	13870117	13870123	+	0.1346315912	0.1289082523	0.1308144958		0.13145144643333337
AT2G18750:8125594:8125802	2	8125594	8125802	+		0.0908269451	0.1710103356		0.13091864035
AT4G35770:16945513:16945604	4	16945513	16945604	+		0.0800372147	0.1792940161		0.1296656154
AT3G11930:3776910:3776916	3	3776910	3776916	+	0.1333430326	0.1317140641	0.0927791925	0.153831381	0.12791691755
AT4G01040_and_AT4G01050:455151:455157	4	455151	455157	+	0.1742208761	0.078622484			0.12642168005
AT2G25480:10844348:10844351	2	10844348	10844351	+	0.1239746403	0.1287038732			0.12633925675000002
AT1G07820:2421783:2421903	1	2421783	2421903	-	0.0737987303	0.0933756133	0.2056933368		0.12428922679999999
AT1G59750:21983072:21983081	1	21983072	21983081	+	0.1555352994	0.0904268815			0.12298109045
AT5G62000:24914814:24914817	5	24914814	24914817	+	0.1295023429	0.1186436611	0.1207051655		0.12295038983333334
AT5G61020:24559241:24559247	5	24559241	24559247	-	0.1515165354	0.1224156576	0.0905761025		0.12150276516666669
AT5G42900:17198606:17198609	5	17198606	17198609	-		0.1270271838	0.1139115784		0.1204693811
AT2G32700:13867037:13867040	2	13867037	13867040	+		0.1263993854	0.1129258961		0.11966264075000001
AT2G33480:14181879:14181885	2	14181879	14181885	+	0.1288378043	0.0934778733	0.1357355239		0.1193504005
AT2G29650:12675644:12675699	2	12675644	12675699	-		0.106171024	0.1230776843		0.11462435415
AT4G22890:12007782:12007788	4	12007782	12007788	+	0.0972551563	0.130372504			0.11381383015
AT4G28025:13937258:13937285	4	13937258	13937285	-	0.1073016221	0.1002134677	0.1271793157		0.11156480183333332
AT1G55340:20652902:20652932	1	20652902	20652932	+	0.1103597241	0.0829440116	0.1403361751		0.1112133036
AT3G23830:8607687:8607699	3	8607687	8607699	-		0.1003033578		0.1209359107	0.11061963425
AT3G29770:11649907:11649929	3	11649907	11649929	+		-0.1246205545	0.3408579524		0.10811869895000001
AT2G23310:9918872:9918875	2	9918872	9918875	+		0.0665267465	0.1486628424		0.10759479445
AT4G18740:10303631:10303725	4	10303631	10303725	-	0.2271677039	-0.0929097613	0.1883554754		0.107537806
AT3G02260:447200:447203	3	447200	447203	-	0.3168136811	-0.1021415553			0.1073360629
AT2G15580:6798522:6798527	2	6798522	6798527	+	0.0851428384	0.1259578571			0.10555034775
AT2G45740:18839852:18839855	2	18839852	18839855	+	0.11646341	0.1192158484	0.0807127782		0.10546401220000001
AT5G61030:24560309:24560560	5	24560309	24560560	+			0.1257026704	0.0834512168	0.1045769436
AT3G11930:3776913:3776916	3	3776913	3776916	+	0.1099562235	0.1090843944	0.0670308531	0.12933317	0.10385116025
AT3G52560:19495266:19495269	3	19495266	19495269	-	0.0957855805	0.090847997	0.1247467104		0.1037934293
AT1G26850:9303845:9303909	1	9303845	9303909	-	0.0747633111	0.1014520978	0.1622542076	0.0730955461	0.10289129065
AT1G08110:2535570:2535585	1	2535570	2535585	+	0.0950315163		0.1103773962		0.10270445624999999
AT1G62790:23253384:23253387	1	23253384	23253387	+	0.1465491945	0.0583471145			0.1024481545
AT2G02390:629518:629539	2	629518	629539	+		0.0828675277	0.1042322447	0.1202278201	0.10244253083333332
AT1G51840:19250291:19250605	1	19250291	19250605	-		-0.2368572255		0.4412683094	0.10220554195
AT5G57110:23116898:23116914	5	23116898	23116914	-		0.1041149124	0.0990359803		0.10157544635
AT3G61600:22797937:22798054	3	22797937	22798054	+	0.0996209509	0.1170262711	0.0876530217		0.10143341456666666
AT2G42210:17590622:17590626	2	17590622	17590626	+		0.0452461706		0.1564626742	0.1008544224
AT3G23280:8323099:8323170	3	8323099	8323170	+	0.1220376502	0.0858432734	0.0912495569		0.09971016016666667
AT2G21240_and_AT2G21250:9102501:9102591	2	9102501	9102591	-		0.0421081692		0.15085747	0.09648281959999999
AT5G66460_and_AT5G66470:26541752:26541925	5	26541752	26541925	-			0.0783434143	0.1136389357	0.095991175
AT5G61530:24744051:24744078	5	24744051	24744078	+		-0.0581698541		0.2478619315	0.0948460387
AT5G25770:8971438:8971673	5	8971438	8971673	-		-0.0927011959	0.2808741627		0.09408648339999999
AT1G53190:19837110:19837340	1	19837110	19837340	+	0.1098302255	0.0771623754			0.09349630045
AT5G66240:26466274:26466364	5	26466274	26466364	+		0.0715221027	0.1137716276		0.09264686515000001
AT2G36060:15143475:15143478	2	15143475	15143478	-		0.0839858808	0.1002893416		0.0921376112
AT3G14230:4738451:4738454	3	4738451	4738454	-		0.0694883045	0.1144319634		0.09196013395
AT5G14440:4656173:4656176	5	4656173	4656176	-		0.0585977277	0.0799482073	0.1284871132	0.08901101606666667
AT5G61410:24683852:24683858	5	24683852	24683858	-	0.1087518456	0.0752445229	0.1024879293	0.0678873207	0.088592904625
AT4G04340:2122895:2123117	4	2122895	2123117	+	0.0721157988		0.1032061564		0.0876609776
AT5G65430:26148560:26148566	5	26148560	26148566	-	0.0910924796	0.0563445558	0.1123425932		0.08659320953333333
AT2G25910:11049622:11049625	2	11049622	11049625	-		0.0751202925	0.0968540845		0.0859871885
AT4G16660:9376834:9377179	4	9376834	9377179	+	0.0639834269	0.1050493946			0.08451641074999999
AT4G30993_and_AT4G08425:15099410:15099504	4	15099410	15099504	+	0.0611265106	0.0707306457	0.1193903776		0.08374917796666666
AT5G22800:7619877:7620278	5	7619877	7620278	-	0.0523065543		0.1084197086		0.08036313145
AT1G70410:26536604:26537404	1	26536604	26537404	-	0.0360968132	0.1172890073			0.07669291025
AT5G48880:19816923:19817121	5	19816923	19817121	-	0.3611069734		-0.2144699675		0.07331850294999999
AT3G14660:4925556:4925653	3	4925556	4925653	+		0.0353219403	0.1100767154		0.07269932785
AT3G13120:4220273:4220289	3	4220273	4220289	-	0.0451936491	0.0744859753	0.0878268008		0.0691688084
AT4G35770:16945513:16945604	4	16945513	16945604	+		0.0800372147	0.0529167736		0.06647699415
AT5G48880:19816923:19817029	5	19816923	19817029	-	0.3087091101		-0.1852575437		0.06172578320000001
AT2G48070:19663657:19663669	2	19663657	19663669	+	0.0710985996	0.0511516923			0.06112514595
AT5G56020:22686300:22686398	5	22686300	22686398	+	-0.1930920018		0.3036229147		0.055265456450000014
AT1G69510:26126772:26126777	1	26126772	26126777	+	0.0434289211	0.052115473	0.065219359	0.05709493	0.054464670775
AT1G72640:27346664:27346746	1	27346664	27346746	-	0.0565346624	0.0428730067			0.04970383455
AT5G07440:2356015:2356127	5	2356015	2356127	+		0.0652712326	0.0319896119		0.04863042225
AT2G34860:14709808:14709812	2	14709808	14709812	+	0.0657788317		0.0303217384		0.04805028505
AT4G18740:10303631:10303725	4	10303631	10303725	-	0.2271677039	0.1658652369	-0.25		0.04767764693333332
AT1G02500:519033:519036	1	519033	519036	+	0.0270994602	0.0467143102	0.0601761621		0.04466331083333334
AT5G60390:24288720:24288724	5	24288720	24288724	+	0.0367282042	0.0463066653			0.04151743475
AT2G33830:14310083:14310089	2	14310083	14310089	-		0.0316960861		0.0491914518	0.04044376895
AT4G24470:12647524:12647548	4	12647524	12647548	+	0.269789022			-0.1959634928	0.036912764599999995
AT3G11910:3769988:3769991	3	3769988	3769991	-		-0.0685440957		0.1366195964	0.03403775034999999
AT2G24270:10329607:10329618	2	10329607	10329618	-	-0.0658498921	0.0593966382	0.1083168752		0.033954540433333326
AT4G38200:17916902:17916912	4	17916902	17916912	+			-0.2042251946	0.2588711435	0.02732297445000001
AT1G80490:30266508:30266540	1	30266508	30266540	-		-0.0974101031	0.1414634171		0.02202665699999999
AT2G32150:13660100:13660184	2	13660100	13660184	+		-0.0330561843	0.0756030646		0.021273440150000003
AT1G10740:3568316:3568324	1	3568316	3568324	-	-0.3624001276	0.1870593615	-0.5	0.7598260836	0.021121329374999998
AT4G26210:13282354:13282359	4	13282354	13282359	+			-0.1387627703	0.1773527607	0.019294995199999998
AT3G56150:20836851:20836874	3	20836851	20836874	-		-0.0577805687	0.0912909945		0.0167552129
AT3G02780:604235:604434	3	604235	604434	-		-0.0497195516		0.0826235728	0.0164520106
AT1G51840:19250199:19250211	1	19250199	19250211	-		0.2094954943	0.4095572322	-0.57633882	0.014237968833333317
AT3G01340:128880:128892	3	128880	128892	-	0.0840491287	0.0849181851	0.1343739536	-0.2564196747	0.011730398175000004
AT3G07770:2479544:2479549	3	2479544	2479549	+	0.1397288604	-0.1165777685			0.011575545949999995
AT2G29200:12553277:12553711	2	12553277	12553711	-			0.2473220209	-0.2261083744	0.010606823249999994
AT3G04770_and_AT3G04780:1309855:1309933	3	1309855	1309933	-		-0.1983031701		0.2139388011	0.007817815499999992
AT4G18740:10303631:10303725	4	10303631	10303725	-	-0.3333333333	0.1658652369	0.1883554754		0.0069624596666666705
AT5G62300:25022246:25022249	5	25022246	25022249	-	-0.0423693027			0.0540454039	0.0058380505999999985
AT3G23590_and_AT3G23600:8474990:8474999	3	8474990	8474999	+			-0.0535069068	0.0520586629	-0.00072412195
AT2G42190:17582855:17582997	2	17582855	17582997	+	0.0790388624	-0.0888548192			-0.004907978399999999
AT5G46430_and_AT5G06825:18833415:18833419	5	18833415	18833419	+	0.0240783272	-0.0443170808			-0.0101193768
AT5G38520:15422477:15422513	5	15422477	15422513	+	-0.0776264259			0.0564884281	-0.010568998900000001
AT5G28840:10864025:10864044	5	10864025	10864044	-	-0.0495176527	-0.0449345768	0.0426759563		-0.017258757733333335
AT1G30410:10741080:10741089	1	10741080	10741089	+	0.1918839297		-0.234115611		-0.021115840649999995
AT1G48830:18060963:18060978	1	18060963	18060978	-	0.0505887095			-0.1024251801	-0.0259182353
AT3G60880:22495449:22495452	3	22495449	22495452	+		0.0911113508		-0.1559992163	-0.032443932749999994
AT2G24270:10327134:10327330	2	10327134	10327330	-	0.0658776736	-0.0592386386	-0.1083168752		-0.03389261339999999
AT2G35050:14768640:14769002	2	14768640	14769002	+		0.0634893388		-0.1329943341	-0.03475249765
AT4G18740:10303631:10303725	4	10303631	10303725	-	0.2271677039	-0.0929097613	-0.25		-0.03858068580000001
AT3G12490:3960401:3960810	3	3960401	3960810	-		-0.0312178602		-0.047194947	-0.0392064036
AT3G58710:21715403:21715406	3	21715403	21715406	+		0.1849154303		-0.2652039927	-0.04014428120000001
AT1G67350:25235813:25235820	1	25235813	25235820	+		-0.0438545538	-0.043109351		-0.043481952399999996
AT2G05990:2322847:2322850	2	2322847	2322850	+		-0.043552966		-0.0570850395	-0.050319002749999994
AT2G19730:8511739:8511743	2	8511739	8511743	+	-0.0569325909	-0.0454921719			-0.05121238140000001
AT5G01410:172086:172561	5	172086	172561	-	-0.0502683703		-0.0597702169		-0.0550192936
AT1G22690:8028015:8028059	1	8028015	8028059	+		-0.0763215991	-0.0337773527		-0.0550494759
AT3G59060:21828302:21828308	3	21828302	21828308	-	-0.0412739514	-0.0778861537			-0.05958005255
AT5G16030:5239085:5239109	5	5239085	5239109	+	-0.027461079		-0.0978506476		-0.0626558633
AT1G62180:22977008:22977029	1	22977008	22977029	-	-0.026768001		-0.1014060829		-0.06408704195
AT4G19110:10455011:10455020	4	10455011	10455020	-	-0.0705600537	-0.0577992766			-0.06417966515
AT3G44310:15987551:15987742	3	15987551	15987742	+	-0.1489890745	0.09840606	-0.1522411098		-0.06760804143333334
AT3G04910:1355945:1356024	3	1355945	1356024	+		-0.0566550418	-0.080642882		-0.0686489619
AT1G16720:5725725:5725825	1	5725725	5725825	+	-0.0483399951			-0.0903362583	-0.0693381267
AT4G27960:13917240:13917343	4	13917240	13917343	-	-0.0529474027	-0.0678563374	-0.0931884855		-0.07133074186666667
AT5G21930:7248217:7248349	5	7248217	7248349	+	-0.0640021203	-0.0804929159			-0.0722475181
AT4G02920:1293227:1293230	4	1293227	1293230	+	-0.0680786037	-0.0784579268			-0.07326826524999999
AT5G41340:16539350:16539734	5	16539350	16539734	-	-0.0757907766	-0.0674568945	-0.0795171414		-0.0742549375
AT3G59060:21829902:21829913	3	21829902	21829913	-	-0.0782921575	-0.0729194341			-0.0756057958
AT5G14060:4536067:4536073	5	4536067	4536073	+	-0.0675067449	-0.0894429926			-0.07847486875
AT2G47640:19537255:19537260	2	19537255	19537260	+	-0.097561834	-0.0601715014	-0.0799542711		-0.07922920216666667
AT4G18740:10303631:10303725	4	10303631	10303725	-	-0.3333333333	-0.0929097613	0.1883554754		-0.07929587306666666
AT3G44590:16163976:16163979	3	16163976	16163979	+	-0.0880444563	-0.085262389	-0.0675452099		-0.0802840184
AT5G59970:24146098:24146289	5	24146098	24146289	-	-0.1088498337	-0.0844614853	-0.054372961		-0.08256142666666666
AT3G30390:11978927:11979358	3	11978927	11979358	-		-0.0948414205	-0.0737201703		-0.0842807954
AT1G17130:5854865:5854886	1	5854865	5854886	+	-0.0645296077	-0.1153353061	-0.0733617316		-0.0844088818
AT2G22990:9789746:9789750	2	9789746	9789750	+	-0.0834878241	-0.0899069698			-0.08669739695
AT1G03090:741148:741207	1	741148	741207	+		-0.0298536788	-0.1555550759		-0.09270437735
AT5G58330:23582020:23582023	5	23582020	23582023	-	-0.1023346944	-0.0931640403	-0.0826246494		-0.09270779470000001
AT5G22875:7650681:7651266	5	7650681	7651266	+	-0.0808455695	-0.1027268456	-0.1014514643		-0.0950079598
AT5G48543_and_AT5G48545:19677034:19677545	5	19677034	19677545	+		-0.086226949	-0.1040784816		-0.0951527153
AT5G58190_and_AT5G58200:23549903:23550032	5	23549903	23550032	+	-0.1171171398	-0.0748633879			-0.09599026385000001
AT1G51160:18950007:18950014	1	18950007	18950014	+		-0.0685551798		-0.1242790346	-0.0964171072
AT1G53310:19888229:19888305	1	19888229	19888305	-	-0.0742824375	-0.1122773098	-0.1042542542		-0.09693800050000001
AT1G24160:8556140:8556145	1	8556140	8556145	-	-0.0711349716	-0.1238748097			-0.09750489065000001
AT5G22875:7650681:7650710	5	7650681	7650710	+	-0.1018075031	-0.0673865707	-0.1269088741		-0.09870098263333334
AT1G10910:3643582:3643732	1	3643582	3643732	+	-0.1193183699	-0.0793950986			-0.09935673425
AT1G18730:6460896:6460899	1	6460896	6460899	+	-0.0901391947	-0.1103356751			-0.1002374349
AT4G34100:16333643:16333646	4	16333643	16333646	+	-0.1122096463	-0.0930274024			-0.10261852434999999
AT1G30690:10887827:10887850	1	10887827	10887850	+	-0.0573009336	-0.1301533323	-0.1112566472	-0.1225820204	-0.10532323337499999
AT2G38040:15920848:15920856	2	15920848	15920856	+	-0.1186994895	-0.1233343616	-0.0782901662		-0.10677467243333333
AT2G32700:13867212:13867215	2	13867212	13867215	+	-0.0950672278		-0.118941397		-0.1070043124
AT5G16030:5238680:5238683	5	5238680	5238683	+	-0.0849038176	-0.1299591831	-0.1066935918		-0.10718553083333332
AT5G36170:14237721:14237724	5	14237721	14237724	-	-0.1094697505	-0.1075934339			-0.1085315922
AT3G19860:6903989:6904068	3	6903989	6904068	+	-0.1143602452	-0.1286182992	-0.0827787712		-0.10858577186666667
AT1G77930:29302163:29302249	1	29302163	29302249	+	-0.1208848867	-0.1199275562	-0.0872080107		-0.1093401512
AT3G57530:21297375:21297470	3	21297375	21297470	-	-0.1184417707	-0.1014816773			-0.10996172400000001
