Name	Chr	Start	End	Strand	Score	Cai	Parker	Sun	Wang
AT2G22570	chr2	9589982	9590080	-	2.05068197290092E-05	0.4	0.35	0.34	
AT4G11970	chr4	7183002	7183006	+	0.0016891116884581	0.386	0.336		
AT1G23230	chr1	8246298	8246303	+	0.0008340055039478	0.269	0.441		
AT1G66760	chr1	24902358	24902436	+	0.0052379889622523		0.366	0.333	
AT2G01420	chr2	182004	182016	-	4.25216934410806E-10	0.363	0.348	0.389	0.295
AT1G54440	chr1	20326956	20327359	+	1.88448757071447E-07	0.34	0.285	0.481	0.282
AT2G46270	chr2	19002161	19002230	+	8.13057466924247E-06	0.399	0.253	0.389	
AT3G08840	chr3	2682193	2682386	-	0.0033446851945008	0.293	0.4		
AT4G01915	chr4	827717	827800	+	0.0069289641385418	0.359	0.333		
AT1G80780	chr1	30358295	30358378	+	5.45765645969928E-05	0.338	0.388	0.307	
AT3G07300	chr3	2326718	2326724	-	9.95520309206026E-07	0.391	0.34	0.301	
AT5G60940	chr5	24523687	24523779	+	9.80485257113029E-05	0.298	0.364	0.348	
AT5G01950	chr5	369786	369894	-	0.0016641355170197	0.298		0.374	
AT2G27340	chr2	11697163	11697448	+	0.0058681379257438		0.266	0.393	
AT1G56612	chr1	21214789	21215106	-	0.0025236941457738		0.295	0.356	
AT2G16930	chr2	7341210	7341247	+	6.8611705142354E-06	0.367	0.281	0.309	
AT1G49980	chr1	18511962	18511998	+	0.0009622764025769		0.311	0.326	
AT5G50915	chr5	20710590	20710724	-	0.004479379828762	0.34	0.296		
AT3G04020	chr3	1040958	1041064	+	0.006291704876476	0.287	0.343		
AT1G18660	chr1	6421303	6421397	+	0.0047257871194471		0.3	0.321	
AT1G80270	chr1	30181053	30181077	+	0.001224590715205		0.239	0.356	
AT4G32590	chr4	15721807	15722015	+	8.3761341108884E-05	0.529	0.156	0.207	
AT1G23360	chr1	8296342	8296418	-	0.0023435986795495		0.241		0.352
AT5G26680	chr5	9311956	9312106	-	0.0044389412775097		0.24	0.352	
AT1G27900	chr1	9716339	9716537	-	1.65381024736687E-05	0.245	0.332	0.309	
AT1G12750	chr1	4347790	4348240	-	0.0022271895646008	0.318	0.262		
AT4G08980	chr4	5758484	5758981	+	8.19679272681092E-05	0.26	0.295	0.313	
AT2G04690	chr2	1646031	1646154	+	5.66407582105255E-05	0.338	0.262	0.266	
AT5G10710	chr5	3382197	3382326	+	8.92974233992971E-05	0.295	0.266	0.298	
AT1G29040	chr1	10134536	10134621	+	0.0008878649666292		0.154	0.411	
AT1G06960	chr1	2137146	2137263	+	0.0046429324337775	0.267	0.283		
AT4G39390	chr4	18315838	18315860	+	0.0018428287956433	0.337	0.206		
AT1G13880	chr1	4749834	4749837	+	2.74551636325238E-05		0.232		0.307
AT1G67700	chr1	25375712	25375726	+	4.73217411503364E-06	0.267	0.281	0.248	
AT2G23980	chr2	10202911	10202980	-	2.08634954849321E-05	0.265	0.219	0.308	
AT4G17150	chr4	9638820	9638824	+	9.9802422723942E-06	0.288	0.205	0.296	
AT4G31150	chr4	15144317	15144492	-	3.55816211051523E-05	0.227	0.259	0.291	
AT3G01310	chr3	101513	101531	-	0.000363803261596		0.251	0.254	
AT3G54500	chr3	20178804	20178940	-	0.0037790540979834	0.213	0.288		
AT3G22190	chr3	7833556	7833722	-	0.0035586113852528		0.214	0.28	
AT2G32250	chr2	13696288	13696411	+	0.0059610164023499		0.211	0.269	
AT3G09600	chr3	2948155	2948177	+	6.417184267818E-05	0.225	0.248		
AT3G13970	chr3	4613968	4614055	-	0.0034508330895966		0.178	0.293	
AT2G39730	chr2	16571179	16571190	-	7.11282005869767E-10	0.248	0.25	0.236	0.19
AT2G38280	chr2	16033726	16033741	-	0.0002969466874993		0.243	0.213	
AT2G25670	chr2	10930719	10930827	-	2.15891713863666E-05	0.236	0.17	0.263	
AT2G47640	chr2	19537859	19537862	+	5.0229974550578E-05		0.22	0.211	
AT4G03110	chr4	1377407	1377410	-	9.50564355334933E-06	0.226	0.204		
AT3G09800	chr3	3007938	3008347	-	0.0034152692395458		0.193	0.231	
AT2G43920	chr2	18190340	18190560	-	0.0031033543568155		0.175	0.242	
AT2G04690	chr2	1646031	1646066	+	6.36024621823242E-06	0.219	0.168	0.233	
AT1G70610	chr1	26622786	26622797	+	0.0004503244953751	0.189		0.218	
AT4G34310	chr4	16418893	16418993	+	0.0073360284169366		0.191	0.207	
AT4G24740	chr4	12755048	12755141	-	3.50725604682215E-05	0.199	0.184	0.197	
AT1G54030	chr1	20169029	20169099	+	0.005064386328479		0.183	0.182	
AT3G03773	chr3	952866	953062	+	0.0062439293917848		0.17	0.189	
AT1G68820	chr1	25866864	25866882	+	0.0010794562837127	0.197	0.16		
AT4G33625	chr4	16153345	16153715	-	0.0040830969727006		0.175	0.178	
AT1G70100	chr1	26405496	26405597	+	0.0052818373452276	0.179	0.162		
AT1G27770	chr1	9675232	9675308	-	0.0024028999733761	0.173	0.159		
AT5G48545	chr5	19677600	19677693	+	0.0078075139807687	0.177	0.144		
AT4G23270	chr4	12173873	12173940	+	0.0009622764025769			0.359	-0.545
AT1G47550	chr1	17462224	17462227	+	0.0009246995829942		-0.14	-0.195	
AT5G44290	chr5	17843414	17843432	-	0.0006508362545244	-0.214	-0.145		
AT1G72640	chr1	27347658	27347661	-	4.99033658108813E-10	-0.194	-0.163	-0.202	
AT4G01600	chr4	693500	693515	+	0.0006508362545244	-0.162		-0.23	
AT3G54500	chr3	20178157	20178160	-	0.0004121211525775	-0.166	-0.238		
AT3G57050	chr3	21114161	21114206	-	1.19721073247991E-06	-0.208	-0.194	-0.223	
AT5G61020	chr5	24559241	24559247	-	2.43221878794595E-05	-0.238	-0.181		
AT4G33650	chr4	16164959	16164962	+	7.98149647198166E-05		-0.158		-0.264
AT3G26890	chr3	9909083	9909086	-	6.08463370198926E-06		-0.18	-0.259	
AT5G37850	chr5	15065479	15065512	+	0.0020031558026583	-0.267	-0.188		
AT4G14965	chr4	8552747	8552769	+	0.0005898152550975	-0.198			-0.259
AT5G37850	chr5	15065479	15065604	+	9.40920965975288E-05	-0.228	-0.246	-0.265	
AT1G02960	chr1	667281	667372	-	0.0021418035042374	-0.284	-0.211		
AT1G07700	chr1	2379729	2379798	+	0.0003184823356707	-0.214		-0.299	
AT5G35330	chr5	13525620	13525641	-	2.03680113405605E-06	-0.258	-0.218	-0.343	
AT1G59890	chr1	22046226	22046241	+	4.46976156901293E-06	-0.262	-0.24	-0.367	
AT3G21175	chr3	7423328	7423334	+	9.33557769228277E-06	-0.227	-0.278		-0.367
AT2G04790	chr2	1679886	1679909	+	6.52441748835543E-06	-0.256	-0.349	-0.324	
AT1G05950	chr1	1804951	1804962	-	0.0001369389517561	-0.345	-0.294		
AT5G46740	chr5	18967802	18967822	-	0.0006665574005271	-0.337	-0.323		
AT2G23985	chr2	10205501	10205622	+	0.0057301582345204	-0.445	-0.24		
AT3G19460	chr3	6748904	6748909	+	8.92157301049579E-06	-0.308	-0.292	-0.458	
AT3G20070	chr3	7006635	7006733	-	0.0035225042094952		-0.323	-0.421	
AT2G43490	chr2	18058044	18058056	-	8.17837043699466E-07	-0.381	-0.415	-0.327	
AT1G05230	chr1	1513824	1513830	-	2.01914777844915E-07		-0.385	-0.339	-0.409
AT1G73390	chr1	27594494	27594498	-	3.92834719924439E-10	-0.4	-0.377	-0.371	-0.375
AT5G44750	chr5	18056573	18056585	+	0.0020580652399908		-0.325	-0.439	
AT3G11470	chr3	3611723	3611728	-	0.0003875877769975	-0.474	-0.299		
AT5G11630	chr5	3740877	3740942	+	2.48431292216647E-08	-0.336	-0.411	-0.494	-0.334
AT5G06265	chr5	1906424	1906566	+	0.0073877083791561		-0.32	-0.474	
AT3G63460	chr3	23434943	23434949	-	1.42470914072454E-09	-0.347	-0.423	-0.439	-0.4
AT1G05400	chr1	1584581	1584588	+	0.0007148382286167		-0.403	-0.405	
AT3G20070	chr3	7006705	7006733	-	1.09326993849823E-06	-0.312	-0.409	-0.517	
AT3G63340	chr3	23392347	23392378	-	1.2515619705385E-06	-0.395	-0.448	-0.438	
AT2G36792	chr2	15421484	15421504	+	0.0014709519400334		-0.386	-0.473	
AT1G01020	chr1	8570	8593	-	1.70926008575241E-07	-0.455	-0.356	-0.492	
AT2G15000	chr2	6481827	6481870	-	7.98149647198166E-05	-0.443		-0.438	
AT2G43500	chr2	18062595	18062599	+	0.0014944552709194	-0.395	-0.592		
AT3G05380	chr3	1539728	1539763	+	0.0015420146975912		-0.374	-0.632	
AT2G30480	chr2	12988669	12988673	-	7.44116421576342E-05	-0.308			-0.708
AT5G37340	chr5	14789310	14789342	-	0.000619952942797		-0.511	-0.539	
AT3G49500	chr3	18353226	18353466	-	0.0010200324323487	-0.416			-0.67
AT1G77890	chr1	29293272	29293278	+	8.55115679299026E-09	-0.486	-0.57	-0.597	-0.652
AT1G20060	chr1	6952305	6952308	-	1.95581156264E-10	-0.602	-0.731	-0.572	-0.428
AT1G16560	chr1	5668709	5668739	+	2.9962382711571E-06	-0.711	-0.504	-0.595	
AT3G14010	chr3	4638932	4638938	+	1.79516038972191E-08	-0.702	-0.693	-0.707	-0.465
AT1G20060	chr1	6952652	6952655	-	2.14883797329983E-10	-0.478	-0.604	-0.989	-0.706
AT2G38710	chr2	16186904	16186915	-	0.0003076207373066	-0.882	-0.7		
