Name	Chr	Start	End	Strand	Score	Cai	Parker	Sun	Wang
AT1G06890	1	2111602	2111761	-	0.0002897213927011	0.1952106044	0.0939256801		
AT5G44290	5	17843415	17843433	-	0.0312871289794528	0.1606585688	0.1220427016		
AT5G63190	5	25345802	25345811	+	0.001025766668007	0.1625966672	0.1082638942	0.1506463932	
AT1G33470	1	12145684	12145687	+	1.75648466979858E-08	0.1472102501	0.1358857658	0.1303497318	
AT1G55840	1	20874058	20874086	+	0.000238655961888		0.085544137	0.1873108365	
AT3G07890	3	2518904	2518907	-	0.0143835449386607		0.0982381708	0.1745201862	
AT3G04910	3	1355275	1355277	+	0.0001410493413317	0.108459688	0.1465669148	0.1522383627	
AT1G50840	1	18841948	18841951	+	0.0001219101491807	0.1025663099	0.1677643822		
AT3G27770	3	10287280	10287397	-	0.000125934439873	0.1495236216	0.1155819144	0.1399646368	
AT2G32700	2	13870117	13870123	+	3.76843908399261E-05	0.1346315912	0.1289082523	0.1308144958	
AT2G18750	2	8125594	8125802	+	0.0077468054129626		0.0908269451	0.1710103356	
AT4G35770	4	16945513	16945604	+	0.0250291029557274		0.0800372147	0.1792940161	
AT3G11930	3	3776910	3776916	+	1.65055908092686E-06	0.1333430326	0.1317140641	0.0927791925	0.153831381
AT4G01040_and_AT4G01050	4	455151	455157	+	0.0261885186481545	0.1742208761	0.078622484		
AT2G25480	2	10844348	10844351	+	0.0033621905888243	0.1239746403	0.1287038732		
AT1G07820	1	2421783	2421903	-	1.53074090867449E-06	0.0737987303	0.0933756133	0.2056933368	
AT1G59750	1	21983072	21983081	+	0.0003457084136088	0.1555352994	0.0904268815		
AT5G62000	5	24914814	24914817	+	0.0010160833532142	0.1295023429	0.1186436611	0.1207051655	
AT5G61020	5	24559241	24559247	-	0.0009779531034375	0.1515165354	0.1224156576	0.0905761025	
AT5G42900	5	17198606	17198609	-	0.0308634369442518		0.1270271838	0.1139115784	
AT2G32700	2	13867037	13867040	+	0.0041612449506414		0.1263993854	0.1129258961	
AT2G33480	2	14181879	14181885	+	3.82313161094963E-05	0.1288378043	0.0934778733	0.1357355239	
AT2G29650	2	12675644	12675699	-	0.0038856028282641		0.106171024	0.1230776843	
AT4G22890	4	12007782	12007788	+	0.0206427356888217	0.0972551563	0.130372504		
AT4G28025	4	13937258	13937285	-	0.0004869744831136	0.1073016221	0.1002134677	0.1271793157	
AT1G55340	1	20652902	20652932	+	5.03707436234349E-07	0.1103597241	0.0829440116	0.1403361751	
AT3G23830	3	8607687	8607699	-	0.0183535375654287		0.1003033578		0.1209359107
AT3G29770	3	11649907	11649929	+	0.0094580294085144		-0.1246205545	0.3408579524	
AT2G23310	2	9918872	9918875	+	0.0089854718401909		0.0665267465	0.1486628424	
AT4G18740	4	10303631	10303725	-	0.0003953577979931	0.2271677039	-0.0929097613	0.1883554754	
AT3G02260	3	447200	447203	-	0.0154269710775181	0.3168136811	-0.1021415553		
AT2G15580	2	6798522	6798527	+	0.0071089389095161	0.0851428384	0.1259578571		
AT2G45740	2	18839852	18839855	+	6.46747370841044E-05	0.11646341	0.1192158484	0.0807127782	
AT5G61030	5	24560309	24560560	+	0.0186015167767233			0.1257026704	0.0834512168
AT3G11930	3	3776913	3776916	+	1.6674228938358E-06	0.1099562235	0.1090843944	0.0670308531	0.12933317
AT3G52560	3	19495266	19495269	-	0.000177822218699	0.0957855805	0.090847997	0.1247467104	
AT1G26850	1	9303845	9303909	-	6.34246188374105E-08	0.0747633111	0.1014520978	0.1622542076	0.0730955461
AT1G08110	1	2535570	2535585	+	0.0006344532358006	0.0950315163		0.1103773962	
AT1G62790	1	23253384	23253387	+	0.0004455085756418	0.1465491945	0.0583471145		
AT2G02390	2	629518	629539	+	8.06323400265932E-05		0.0828675277	0.1042322447	0.1202278201
AT1G51840	1	19250291	19250605	-	0.0001219101491807		-0.2368572255		0.4412683094
AT5G57110	5	23116898	23116914	-	0.0341076381657699		0.1041149124	0.0990359803	
AT3G61600	3	22797937	22798054	+	0.0002222106333857	0.0996209509	0.1170262711	0.0876530217	
AT2G42210	2	17590622	17590626	+	0.0054473231825423		0.0452461706		0.1564626742
AT3G23280	3	8323099	8323170	+	0.0003458225063926	0.1220376502	0.0858432734	0.0912495569	
AT2G21240_and_AT2G21250	2	9102501	9102591	-	0.0083549605330704		0.0421081692		0.15085747
AT5G66460_and_AT5G66470	5	26541752	26541925	-	0.0199510139995754			0.0783434143	0.1136389357
AT5G61530	5	24744051	24744078	+	0.0364694963393682		-0.0581698541		0.2478619315
AT5G25770	5	8971438	8971673	-	0.0433776594869064		-0.0927011959	0.2808741627	
AT1G53190	1	19837110	19837340	+	0.0001513154950595	0.1098302255	0.0771623754		
AT5G66240	5	26466274	26466364	+	0.0389057146014671		0.0715221027	0.1137716276	
AT2G36060	2	15143475	15143478	-	0.0045292572018968		0.0839858808	0.1002893416	
AT3G14230	3	4738451	4738454	-	0.0160390136807538		0.0694883045	0.1144319634	
AT5G14440	5	4656173	4656176	-	0.0011890727626977		0.0585977277	0.0799482073	0.1284871132
AT5G61410	5	24683852	24683858	-	1.01583569414057E-05	0.1087518456	0.0752445229	0.1024879293	0.0678873207
AT4G04340	4	2122895	2123117	+	0.0183535375654287	0.0721157988		0.1032061564	
AT5G65430	5	26148560	26148566	-	0.0010901949615962	0.0910924796	0.0563445558	0.1123425932	
AT2G25910	2	11049622	11049625	-	0.0035079391067469		0.0751202925	0.0968540845	
AT4G16660	4	9376834	9377179	+	0.0282775061162718	0.0639834269	0.1050493946		
AT4G30993_and_AT4G08425	4	15099410	15099504	+	0.0005019724869338	0.0611265106	0.0707306457	0.1193903776	
AT5G22800	5	7619877	7620278	-	0.0319277929807339	0.0523065543		0.1084197086	
AT1G70410	1	26536604	26537404	-	0.0008022874934619	0.0360968132	0.1172890073		
AT5G48880	5	19816923	19817121	-	0.0237081111807593	0.3611069734		-0.2144699675	
AT3G14660	3	4925556	4925653	+	0.0161938157231727		0.0353219403	0.1100767154	
AT3G13120	3	4220273	4220289	-	0.0002653553850311	0.0451936491	0.0744859753	0.0878268008	
AT4G35770	4	16945513	16945604	+	0.0250291029557274		0.0800372147	0.0529167736	
AT5G48880	5	19816923	19817029	-	0.0236150625956828	0.3087091101		-0.1852575437	
AT2G48070	2	19663657	19663669	+	0.0064978440387641	0.0710985996	0.0511516923		
AT5G56020	5	22686300	22686398	+	0.0250291029557274	-0.1930920018		0.3036229147	
AT1G69510	1	26126772	26126777	+	3.96403867733815E-09	0.0434289211	0.052115473	0.065219359	0.05709493
AT1G72640	1	27346664	27346746	-	0.0008935211589939	0.0565346624	0.0428730067		
AT5G07440	5	2356015	2356127	+	0.0346632167807948		0.0652712326	0.0319896119	
AT2G34860	2	14709808	14709812	+	0.0040419767980312	0.0657788317		0.0303217384	
AT4G18740	4	10303631	10303725	-	0.0003953577979931	0.2271677039	0.1658652369	-0.25	
AT1G02500	1	519033	519036	+	1.19482960022867E-05	0.0270994602	0.0467143102	0.0601761621	
AT5G60390	5	24288720	24288724	+	0.0353355005194431	0.0367282042	0.0463066653		
AT2G33830	2	14310083	14310089	-	0.0043229167964986		0.0316960861		0.0491914518
AT4G24470	4	12647524	12647548	+	0.015050274515422	0.269789022			-0.1959634928
AT3G11910	3	3769988	3769991	-	0.0148264123863436		-0.0685440957		0.1366195964
AT2G24270	2	10329607	10329618	-	2.64966936786245E-05	-0.0658498921	0.0593966382	0.1083168752	
AT4G38200	4	17916902	17916912	+	0.0126081859085896			-0.2042251946	0.2588711435
AT1G80490	1	30266508	30266540	-	0.0013527093585723		-0.0974101031	0.1414634171	
AT2G32150	2	13660100	13660184	+	0.0040419767980312		-0.0330561843	0.0756030646	
AT1G10740	1	3568316	3568324	-	1.63586557572392E-08	-0.3624001276	0.1870593615	-0.5	0.7598260836
AT4G26210	4	13282354	13282359	+	0.0109461836944822			-0.1387627703	0.1773527607
AT3G56150	3	20836851	20836874	-	0.01247104391203		-0.0577805687	0.0912909945	
AT3G02780	3	604235	604434	-	0.0166625148588671		-0.0497195516		0.0826235728
AT1G51840	1	19250199	19250211	-	1.40409942727877E-07		0.2094954943	0.4095572322	-0.57633882
AT3G01340	3	128880	128892	-	7.25539040061371E-07	0.0840491287	0.0849181851	0.1343739536	-0.2564196747
AT3G07770	3	2479544	2479549	+	0.0143103638621106	0.1397288604	-0.1165777685		
AT2G29200	2	12553277	12553711	-	0.0017717584284296			0.2473220209	-0.2261083744
AT3G04770_and_AT3G04780	3	1309855	1309933	-	0.010003717017403		-0.1983031701		0.2139388011
AT4G18740	4	10303631	10303725	-	0.0003953577979931	-0.3333333333	0.1658652369	0.1883554754	
AT5G62300	5	25022246	25022249	-	0.0276728788345145	-0.0423693027			0.0540454039
AT3G23590_and_AT3G23600	3	8474990	8474999	+	0.0094580294085144			-0.0535069068	0.0520586629
AT2G42190	2	17582855	17582997	+	0.005401725840765	0.0790388624	-0.0888548192		
AT5G46430_and_AT5G06825	5	18833415	18833419	+	0.0318205888495467	0.0240783272	-0.0443170808		
AT5G38520	5	15422477	15422513	+	0.0215232498613582	-0.0776264259			0.0564884281
AT5G28840	5	10864025	10864044	-	0.0007063524757217	-0.0495176527	-0.0449345768	0.0426759563	
AT1G30410	1	10741080	10741089	+	9.97328362967398E-06	0.1918839297		-0.234115611	
AT1G48830	1	18060963	18060978	-	7.25989609012733E-05	0.0505887095			-0.1024251801
AT3G60880	3	22495449	22495452	+	0.013446259110287		0.0911113508		-0.1559992163
AT2G24270	2	10327134	10327330	-	2.60682981442121E-05	0.0658776736	-0.0592386386	-0.1083168752	
AT2G35050	2	14768640	14769002	+	0.0044876115589274		0.0634893388		-0.1329943341
AT4G18740	4	10303631	10303725	-	0.0003953577979931	0.2271677039	-0.0929097613	-0.25	
AT3G12490	3	3960401	3960810	-	0.015050274515422		-0.0312178602		-0.047194947
AT3G58710	3	21715403	21715406	+	0.0130239632036239		0.1849154303		-0.2652039927
AT1G67350	1	25235813	25235820	+	0.0005727916040464		-0.0438545538	-0.043109351	
AT2G05990	2	2322847	2322850	+	0.0066481031752503		-0.043552966		-0.0570850395
AT2G19730	2	8511739	8511743	+	0.0079653618590344	-0.0569325909	-0.0454921719		
AT5G01410	5	172086	172561	-	0.0219701020043031	-0.0502683703		-0.0597702169	
AT1G22690	1	8028015	8028059	+	0.0027440276567262		-0.0763215991	-0.0337773527	
AT3G59060	3	21828302	21828308	-	0.0131640047454616	-0.0412739514	-0.0778861537		
AT5G16030	5	5239085	5239109	+	0.0302330326238867	-0.027461079		-0.0978506476	
AT1G62180	1	22977008	22977029	-	0.0003940372727956	-0.026768001		-0.1014060829	
AT4G19110	4	10455011	10455020	-	0.0199510139995754	-0.0705600537	-0.0577992766		
AT3G44310	3	15987551	15987742	+	0.0001490379708023	-0.1489890745	0.09840606	-0.1522411098	
AT3G04910	3	1355945	1356024	+	0.0101269992009134		-0.0566550418	-0.080642882	
AT1G16720	1	5725725	5725825	+	0.001960515899025	-0.0483399951			-0.0903362583
AT4G27960	4	13917240	13917343	-	0.0004840108935264	-0.0529474027	-0.0678563374	-0.0931884855	
AT5G21930	5	7248217	7248349	+	0.0428832185775522	-0.0640021203	-0.0804929159		
AT4G02920	4	1293227	1293230	+	0.0217908341814168	-0.0680786037	-0.0784579268		
AT5G41340	5	16539350	16539734	-	0.000764834047418	-0.0757907766	-0.0674568945	-0.0795171414	
AT3G59060	3	21829902	21829913	-	0.0132342970010102	-0.0782921575	-0.0729194341		
AT5G14060	5	4536067	4536073	+	0.0405709500941403	-0.0675067449	-0.0894429926		
AT2G47640	2	19537255	19537260	+	7.11097911007988E-05	-0.097561834	-0.0601715014	-0.0799542711	
AT4G18740	4	10303631	10303725	-	0.0003953577979931	-0.3333333333	-0.0929097613	0.1883554754	
AT3G44590	3	16163976	16163979	+	0.0001503978910157	-0.0880444563	-0.085262389	-0.0675452099	
AT5G59970	5	24146098	24146289	-	0.0009407789659435	-0.1088498337	-0.0844614853	-0.054372961	
AT3G30390	3	11978927	11979358	-	0.0095780079194245		-0.0948414205	-0.0737201703	
AT1G17130	1	5854865	5854886	+	1.40941277778532E-05	-0.0645296077	-0.1153353061	-0.0733617316	
AT2G22990	2	9789746	9789750	+	0.0088113008707207	-0.0834878241	-0.0899069698		
AT1G03090	1	741148	741207	+	0.0027114980557523		-0.0298536788	-0.1555550759	
AT5G58330	5	23582020	23582023	-	0.0009270827910217	-0.1023346944	-0.0931640403	-0.0826246494	
AT5G22875	5	7650681	7651266	+	0.0012880343897661	-0.0808455695	-0.1027268456	-0.1014514643	
AT5G48543_and_AT5G48545	5	19677034	19677545	+	0.0321427130113482		-0.086226949	-0.1040784816	
AT5G58190_and_AT5G58200	5	23549903	23550032	+	0.0345517620799723	-0.1171171398	-0.0748633879		
AT1G51160	1	18950007	18950014	+	9.56702093154467E-05		-0.0685551798		-0.1242790346
AT1G53310	1	19888229	19888305	-	2.95195755045175E-07	-0.0742824375	-0.1122773098	-0.1042542542	
AT1G24160	1	8556140	8556145	-	0.0028760566177139	-0.0711349716	-0.1238748097		
AT5G22875	5	7650681	7650710	+	0.0012823992550763	-0.1018075031	-0.0673865707	-0.1269088741	
AT1G10910	1	3643582	3643732	+	0.0015924472331134	-0.1193183699	-0.0793950986		
AT1G18730	1	6460896	6460899	+	0.0024273397958852	-0.0901391947	-0.1103356751		
AT4G34100	4	16333643	16333646	+	0.0249336143120401	-0.1122096463	-0.0930274024		
AT1G30690	1	10887827	10887850	+	1.01305170874963E-12	-0.0573009336	-0.1301533323	-0.1112566472	-0.1225820204
AT2G38040	2	15920848	15920856	+	4.52108400405181E-05	-0.1186994895	-0.1233343616	-0.0782901662	
AT2G32700	2	13867212	13867215	+	0.0038469829284793	-0.0950672278		-0.118941397	
AT5G16030	5	5238680	5238683	+	0.0011998119086455	-0.0849038176	-0.1299591831	-0.1066935918	
AT5G36170	5	14237721	14237724	-	0.0294020928536343	-0.1094697505	-0.1075934339		
AT3G19860	3	6903989	6904068	+	0.000315937876799	-0.1143602452	-0.1286182992	-0.0827787712	
AT1G77930	1	29302163	29302249	+	5.52846308080438E-06	-0.1208848867	-0.1199275562	-0.0872080107	
AT3G57530	3	21297375	21297470	-	0.0127460533877401	-0.1184417707	-0.1014816773		
AT3G54760	3	20270980	20271074	-	0.0089272305720248	-0.0757290825			-0.1445421724
AT3G53970	3	19986758	19986880	+	0.0119967658412245	-0.1265240109	-0.0939154197		
AT5G48543_and_AT5G48545	5	19677600	19677694	+	0.0322504288135654		-0.0999179443	-0.1206426369	
AT3G24120	3	8706335	8706344	-	0.0184360197605198		-0.0724095302	-0.148175811	
AT1G58180	1	21539300	21539394	-	0.0003115259688478		-0.0986594342	-0.122028508	
AT4G32760	4	15803159	15803162	+	0.0005392063310444	-0.07355538	-0.1184130978	-0.1452597818	
AT2G01930	2	428223	428706	-	0.0068000396025862		-0.1011202329	-0.1238114084	
AT2G27230	2	11650691	11650729	+	0.0037703117936539	-0.1157513954	-0.1098658246		
AT2G16370	2	7082470	7082545	-	0.0072658990799729	-0.1135654793	-0.1126078714		
AT1G14710	1	5064811	5064972	-	1.12033870689047E-05	-0.0978440828	-0.1285546474	-0.1163593443	
AT4G32660	4	15757019	15757112	+	0.0242700677517022	-0.1375341403	-0.0933812434		
AT2G44180	2	18271085	18271153	-	0.0057717551784126		-0.0789081751	-0.1523031017	
AT5G02810	5	640755	640889	-	0.0423914338308295		-0.1478443307	-0.0844218527	
AT4G03110	4	1377407	1377410	-	0.0224213426630778	-0.1147370337	-0.1176856716		
AT1G72640	1	27346899	27346919	-	5.8768662244971E-09	-0.086553894	-0.1446008392	-0.0734202423	-0.1630060715
AT4G20930	4	11200523	11200611	-	0.0144569061448915	0.1638871016			-0.3997437699
AT2G47160	2	19360450	19360526	-	0.0063492635487053		-0.0765827738	-0.1605050439	
AT5G16150	5	5272895	5272899	+	0.0012052053686839	-0.112374177	-0.0984764828	-0.1474056702	
AT1G73490	1	27634289	27634292	-	0.0009123523982404		-0.0806522351		-0.1602668839
AT3G62840	3	23236111	23236114	-	1.38296838615067E-06	-0.1410276404	-0.1385058751	-0.1165708218	-0.0858580264
AT3G15770	3	5340483	5340486	+	0.0163493335307276		-0.1042375934	-0.1407494937	
AT1G56720	1	21265565	21265570	-	0.0003005252745914	-0.146628929	-0.0990245143		
AT4G38420	4	17984705	17984806	+	0.0177811379797521	-0.1061474765		-0.1412502642	
AT1G72930	1	27439930	27439973	+	4.2708560665844E-06	-0.1258715668		-0.1060168621	-0.1393727738
AT5G66160	5	26446704	26446801	+	0.0387880246502569		-0.1166692419	-0.1330718403	
AT4G31180	4	15156073	15156078	+	0.0237081111807593	-0.1226656732	-0.1280565521		
AT4G26650	4	13445449	13445563	+	0.0002774560856497	-0.1195836072		-0.1147657731	-0.1470969429
AT4G10050	4	6286996	6287071	-	0.0268763767063255		-0.1052624774	-0.1501602974	
AT3G46830	3	17248518	17248615	-	0.0001587304984013	-0.0963203432	-0.1739192125	-0.1145636884	
AT2G22490	2	9554414	9554417	-	0.0001130596195505	-0.1267621988	-0.1242837415	-0.1342192724	
AT5G12210	5	3947671	3947674	+	0.021345739164022			-0.0763593777	-0.181470672
AT2G25670	2	10930719	10930828	-	2.73674704021275E-05	-0.1169959311	-0.0744841601	-0.1995248135	
AT3G06400	3	1944682	1944688	+	0.0001763023423717	-0.1152138573	-0.1287214101	-0.1479215253	
