Name	featureID	Chr	Start	End	Strand	Score	Cai	Parker	Sun	Wang
AT1G53490+AT1G07887	E002	1	19963267	19964105	+	5.8795465678893e-09		3.19565421828946	2.49508368676115	2.73527675972115
AT5G15270	E008	5	4960734	4960847	+	3.1343435297939604e-09	3.11806745096997	2.79523089113927	2.36375244186659	
AT4G01960	E007	4	852720	852974	-	6.62386367469192e-09	2.7455498875429	2.90314679857631	2.54649101532952	
AT1G55490	E016	1	20718707	20718830	-	5.8795465678893e-09	3.13440007966723	2.66408527544433	2.18363074977175	
AT3G03773	E006	3	952867	953062	+	8.31527021191692e-08	1.65165190540489	3.27840300800104	3.01355403394978	
AT1G53490+AT1G07887	E001	1	19963067	19963266	+	1.49248809252379e-05		2.6244405139897		2.58290210974883
AT5G63680	E003	5	25490314	25490375	+	9.1090380232214e-05	3.6096323827084	1.58698319627796		
AT2G02080	E006	2	520977	520980	-	1.07533146119328e-08	3.44662186383331	2.15785020952381	2.11668153377121	
AT3G06400	E016	3	1944683	1944688	+	2.41358893414166e-08	2.0723356369658	2.4589005715707		3.09250770842476
AT4G38380	E017	4	17974420	17974504	-	1.70060446751783e-05	2.89993684539915	2.17824039002024		
AT1G27770	E010	1	9675233	9675308	-	8.44652609588966e-09	2.58475864301542	2.45085555057603	2.53799348117204	
AT1G21170	E011	1	7415873	7415924	+	2.26407136845509e-08	2.1447066093907	2.00518868372099	3.19748011613224	
AT3G21175	E008	3	7423762	7424132	+	8.90985724994305e-09	2.55740893315859	2.30747972006781	2.43630160823707	
AT3G51330	E004	3	19053713	19053789	-	0.0006501395001994	3.87015890726303	0.919873827774394		
AT5G53140	E003	5	21548797	21549020	+	2.86693165376904e-08	2.015515568074	2.24172980892822	2.79538596909407	
AT3G04020	E007	3	1040999	1041064	+	2.97032135044699e-05	2.64716134031227	2.01286255763536		
AT5G64980	E011	5	25963011	25963189	-	2.06657875571139e-07	3.06252313010803	1.44798940940573	2.4791684251395	
AT4G14240	E012	4	8206942	8206963	-	5.22080009346057e-05	2.83740326191484	1.80100112847331		
AT2G02790	E010	2	790798	790895	+	1.30364583647702e-08	2.46143401844823	2.12124150150072	2.35804791284961	
AT5G63510	E003	5	25424966	25425046	+	2.29346619454195e-08	2.6337254331468	2.00224854930056	2.27570077559289	
AT2G09640+AT2G45540	E039	2	18772379	18772421	-	1.92228345457641e-05	2.40016431889394	2.20247739122978		
AT3G21430	E014	3	7548863	7548874	-	5.67486004370618e-05	2.79219727567219	1.75973891229444		
AT5G59890	E004	5	24122601	24122674	+	1.42017260726809e-05		2.44503773669761	2.10046696106362	
AT3G06210	E006	3	1882810	1882885	+	1.49248809252379e-05		2.45255158435362	2.0638007236739	
AT1G27900	E006	1	9716399	9716537	-	1.62335640562078e-05		2.51273347382316	1.99977840264938	
AT2G22570	E004	2	9589983	9590080	-	7.719237339386149e-11	1.93289469357915	1.53371724034733	1.82698652104178	3.69248890454929
AT1G55490	E017	1	20718831	20718847	-	1.9838135891441e-08	2.15023983383901	2.33665498997961	2.24701736421447	
AT3G05160	E020	3	1456699	1456883	-	1.15101568527217e-07	3.03587168029639	2.54668443919864	1.15003650213616	
AT3G04020	E006	3	1040959	1040998	+	0.0001412511560682	3.06035203104502	1.42023479666972		
AT2G16930	E004	2	7341211	7341247	+	3.07741507299238e-08	2.77962739119924	1.92835997880911	1.98710176952918	
AT5G64460	E019	5	25775430	25775477	-	0.0001609973457948	3.10030770075916	1.36218708023907		
AT5G63700	E005	5	25494408	25494577	-	4.10870518353584e-08	1.88089227641581	2.43407695553583	2.37061663608081	
AT3G06160+AT3G06170	E011	3	1866738	1866832	+	3.91255316721679e-05	1.94834100660889		2.50022777279483	
AT3G05160	E019	3	1456597	1456698	-	2.66866714353339e-05	2.17775605430292	2.25631911951387		
AT3G51370	E007	3	19070367	19070444	+	2.66866714353339e-05	2.38706058454778	2.0401343062543		
AT5G20920	E012	5	7096871	7097011	-	4.59116342615826e-05	2.56667367944529	1.84664068881314		
AT1G79190	E012	1	29792211	29792228	+	1.13380203734077e-07	1.5546379236251	1.99529457181669	3.06760453589987	
AT1G79650	E010	1	29973974	29974045	-	0.0001878129559417	3.09084525909798	1.31646146128556		
AT3G49060+AT3G49055	E021	3	18191186	18191703	-	7.232046421628749e-11	1.56447781057645	1.54562987019126	2.25922399949913	3.33886934516229
AT2G02370	E005	2	621375	621820	+	3.64812529839176e-08	2.55039643009964	2.41909059280753	1.54182057408323	
AT5G44090	E014	5	17747340	17747759	-	7.36337375274968e-07	1.67573632420041	1.16535281236957		3.63805683411562
AT1G09910	E015	1	3223832	3224206	-	2.54773733615663e-05	2.19759952174851	2.11947671304296		
AT5G66170	E006	5	26448393	26448396	+	0.0016167797869035		0.677305631372199	3.63630681732622	
AT2G44180	E009	2	18271086	18271152	-	2.4596329124302e-07	1.31839980346438	1.57579665022867	3.54799083625328	
AT4G01995	E003	4	873195	873283	+	0.0003351990066695	0.972385017044082			3.31337834378632
AT3G52075+AT3G52060+AT3G52072	E017	3	19314053	19314090	-	3.62199529292824e-05	2.00471552015355		2.26045396872254	
AT1G78690	E006	1	29597211	29597235	+	6.69267063967376e-08	2.28671116696823	1.73039018923829	2.33824827278919	
AT3G45040	E003	3	16473016	16473100	-	4.99271198970646e-08	1.80611439153548	2.07416443841273	2.44410693122545	
AT3G24530	E007	3	8947209	8947285	-	3.50890560698477e-05	2.02002525657702	2.17274493773292		
AT5G40810	E004	5	16340260	16340588	+	3.41206592103499e-08	2.28407626081044	2.38748150791924	1.55752362133107	
AT1G51720	E017	1	19185666	19185849	+	3.53701015021194e-05		1.94367915072733	2.17062054223164	
AT4G24730	E003	4	12753644	12754010	-	4.60649180896439e-08	1.83573526549404	2.13976976817412	2.18494593126756	
AT1G36180	E003	1	13546515	13546897	+	0.0010736765363092	3.28301367026963	0.787213607262133		
AT4G36140	E007	4	17103826	17103901	-	0.0002665354118445	2.85011256054002	1.20651485275251		
AT1G55490	E019	1	20718886	20719068	-	1.15968743029539e-07	1.54203481107805	2.62342639872017	1.90260575970304	
AT1G77080	E007	1	28955864	28958310	+	1.05846158251409e-07	1.92623014772505	1.61339017853859	2.52048139905928	
AT4G18360	E004	4	10146330	10146653	-	2.11374304201812e-05		2.12076827831297	1.90719359047639	
AT1G80960	E001	1	30415123	30415155	+	0.0022380807887351	3.41151905018308	0.595770848955111		
AT5G65050	E003	5	25982600	25984680	+	3.9369925798963e-08	1.88718757219756	1.91091109810249	2.17878808198111	
AT5G22450+AT5G22460	E032	5	7445401	7445573	-	0.0001418135536208	1.34016860970411		2.60996404398746	
AT1G11930	E008	1	4030221	4030226	+	0.0001056221218372	2.407686095816	1.53312507805192		
AT4G34640	E002	4	16538702	16538950	+	0.0001423770649038		1.41111016729369	2.52554980877279	
AT5G50915	E004	5	20710591	20710724	-	4.28533768893064e-08	1.99698679540825	2.43660503061948	1.47102036058633	
AT3G20250	E001	3	7058871	7058901	-	9.15424110517986e-05		1.58335220407931		2.34610152678145
AT4G12020	E007	4	7201856	7202002	+	0.0002431725909194	2.68728451104593	1.23736264897783		
AT3G06160+AT3G06170	E012	3	1866932	1867192	+	2.94456763540155e-05	2.10191453554388		1.81933167921507	
AT3G14080	E005	3	4668330	4668380	+	2.29145348073647e-07	1.34019126994311	1.4553577000035	3.08362486387207	
AT1G18950	E013	1	6550670	6550681	+	7.03046868656073e-11	1.74445866345954	1.54974759416883	2.97462668171651	1.53630039036417
AT5G19390	E024	5	6537140	6537432	+	1.32330940555325e-07	1.51415473030112	2.1426199777901	2.15213347072198	
AT4G31150	E006	4	15144318	15144492	-	6.3958191695799e-08	1.99042564971896	1.74273904810777	2.06400822983611	
AT1G17350	E005	1	5941847	5942347	+	2.18967538591797e-06		0.930522569836193	1.37327206472256	3.46154385343737
AT3G26890+AT3G26900	E010	3	9910793	9910872	-	2.33275586105831e-07	1.75662011458732	1.4088969878079	2.59145626826981	
AT1G13270	E013	1	4547299	4547373	+	0.0008549836778881		0.851757346915084		2.97500816853088
AT3G26890+AT3G26900	E012	3	9910945	9911367	-	9.6623935145697e-11	2.15311600917449	1.48980306470357	1.96370007235728	2.01154839318909
AT1G55490	E018	1	20718848	20718885	-	7.77041204869315e-08	1.67074069635164	2.28794389724279	1.67569016633317	
AT3G19820+AT3G19810	E004	3	6878939	6878954	-	3.69995360486891e-06	2.08401237138637	0.839469354975364	2.63699203928167	
AT4G26640	E010	4	13439474	13439762	-	0.0004097679244629		1.06920333277741	2.5442359522678	
AT3G15180+AT3G15190	E012	3	5114006	5114101	+	8.88469650809096e-05	2.00887182478618	1.59328070026286		
AT1G49980	E020	1	18511994	18511998	+	0.0001713529857421		1.33513445640162	2.26054246136096	
AT1G04513+AT1G06790	E009	1	2089010	2089212	+	5.81837135876106e-05		1.75448090686118	1.84044552162715	
AT4G16845	E009	4	9477448	9477469	+	0.0003274680647731	2.42264668493741	1.14824042069027		
AT5G61910+AT5G61900	E020	5	24859818	24859877	-	0.0002036740324386	2.27048143496395	1.29376897369243		
AT2G32260	E003	2	13697824	13698253	+	4.95076972810696e-05		1.82906006116307	1.73494013625073	
AT1G10900	E010	1	3636515	3636997	-	0.0001080663385654	2.02454102950293	1.52797174320931		
AT2G30800	E006	2	13123747	13124234	-	0.0003751994461664	2.45130000749879	1.10082898142115		
AT1G12750	E014	1	4347791	4348240	-	0.0001032057858048	1.48742735436676	2.0598763763207		
AT1G55080	E004	1	20553324	20553402	-	0.0002003168323714	2.22430029412458	1.29827138241732		
AT3G13970	E006	3	4613969	4614055	-	0.0009597895964591		0.820498191359443	2.70127905920207	
AT2G36680	E007	2	15369367	15369448	-	3.33312249483229e-11	1.6685035704172	1.73382896214205	1.42565181109062	2.21519612467015
AT1G03160	E016	1	766169	766194	+	0.0002166848056668		1.27895945132419	2.22527694469713	
AT2G43920	E009	2	18190341	18190428	-	0.0001640097365861		1.35963740751472	2.12965912285724	
AT5G40380	E006	5	16154327	16154358	+	0.0002917704182754		1.18077162222396	2.30220096238212	
AT1G08040	E019	1	2498480	2498483	-	0.0002373166641691		1.24767327681325	2.23010100114172	
AT1G27900	E005	1	9716340	9716398	-	1.27641119359925e-07	1.52556162544924	1.85656215339478	1.80142196354782	
AT3G13970	E004	3	4613756	4613905	-	4.48414614104283e-07	2.11339087199852	1.26896859174118	1.78805544971757	
AT5G22450+AT5G22460	E031	5	7445380	7445400	-	0.0001423770649038	1.33892490515631		2.07107181801618	
AT3G26890+AT3G26900	E011	3	9910873	9910944	-	3.52563743483873e-10	1.45372919363994	1.26514961735044	2.02801271492308	2.07194793236906
AT5G03500	E013	5	878113	878116	-	0.0008467492616604		0.854690792238868	2.53532503534985	
AT5G01950	E026	5	369787	369894	-	0.0002917704182754	1.03408348713673		2.35303024785992	
AT2G32250	E010	2	13696289	13696411	+	0.0002222830387234		1.26637905727813	2.11771757330308	
AT3G14415	E003	3	4818537	4818576	+	9.19955577504963e-05	1.79987421163705	1.58193708022482		
AT1G24160	E009	1	8556140	8556144	-	7.47402900393752e-05	1.71775356539151	1.6578824136697		
AT4G21750	E003	4	11555716	11555950	+	0.0001788564558931	1.23296666304107			2.14094982050013
AT4G03490	E013	4	1552154	1552784	-	5.8545286079608e-05	1.75685182085942			1.61077019601803
AT3G08840	E020	3	2682194	2682386	-	1.05030249418118e-07	1.62215690762493	1.61367377210635	1.80821332967325	
AT5G02840	E010	5	650790	650855	+	0.0002194750336913	2.09141622319601	1.27003002725038		
AT2G19080	E006	2	8264195	8264304	+	0.0001170963290108		1.49011429312411	1.82848832911187	
AT1G23950	E005	1	8470045	8470134	-	0.0001291602276201	1.82732197335758	1.45314620522839		
AT2G46420	E004	2	19054066	19054760	+	1.67299316784572e-07	1.45144024350868	1.88929148865021	1.55720358248443	
AT1G79270	E005	1	29816511	29816515	+	2.72690590340315e-06	1.59742749689931	0.884697161372738	2.3924940585603	
AT5G22450+AT5G22460	E025	5	7443508	7443949	-	0.0002588824709262	1.08954971301502		2.15085625173417	
AT3G01310	E031	3	101357	101513	-	1.68411556510015e-07	1.51048574426467	1.49523516319757	1.84908858412154	
AT2G35390	E011	2	14897108	14897215	-	5.02830038499832e-11	1.93047601922939	1.83979254290107	1.7207290586678	0.981510444098149
AT1G63490	E028	1	23551456	23551668	-	0.0004865610561758	2.21518827208065	1.00505792667884		
AT2G25740	E002	2	10980345	10980620	+	1.52238081849471e-07	1.47096192651272	1.55035977267759	1.79990863369305	
AT5G66930	E009	5	26727069	26727167	+	0.0001022470585944	1.64289612962645	1.5454477174622		
AT2G35390	E012	2	14897216	14897437	-	3.48767670796139e-11	1.65579997113076	1.79861174138669	1.79622944196003	1.11778936013948
AT5G43930	E008	5	17677970	17678037	+	0.0001254261973017	1.70670826748304	1.46350824437356		
AT2G04360	E003	2	1519947	1520012	-	2.22370389782052e-07	1.35571777478855	1.72150969124894	1.66361436625454	
AT1G03290	E006	1	807592	807631	+	0.0003456465163938	0.962222650786028			2.19531736295988
AT1G02990	E005	1	681922	682092	-	0.0001486491890191	1.76509952482546	1.39132961955176		
AT1G54030	E005	1	20169030	20169099	+	5.36344842539494e-10	1.0653305581464	1.80700099133082	1.5141104094908	1.89760681959577
AT3G48880	E004	3	18127231	18127860	+	3.06780954245668e-06	1.47065515218986	0.868293148966214	2.3715773877358	
AT1G09420	E006	1	3039514	3039549	-	0.0012216390718682	2.38504181392556	0.751102170996714		
AT2G32487	E004	2	13791980	13792018	+	0.0001744599624876	1.24179639987527	1.88497127959173		
AT1G70180	E013	1	26428458	26428659	+	7.18610773246122e-07	1.02086950512466	1.36815757206012	2.29666304279935	
AT1G49980	E021	1	18511999	18512089	+	0.0002566082305716		1.21597089758286	1.90700223177201	
AT2G27730	E006	2	11821607	11821646	-	0.0008236330815249		0.859634806169503	2.25945393113549	
AT3G06160+AT3G06170	E007	3	1865504	1865574	+	0.0001757105410991	1.24047360512258		1.87496011243454	
AT1G72930	E003	1	27439931	27439973	+	1.35199194551751e-07	1.83215676192335	1.55598555472172	1.26772287035087	
AT4G25280	E011	4	12941045	12941207	-	0.0006099466227887		0.944619369749388	2.14713797903764	
AT1G47570	E001	1	17477579	17478654	+	1.68411556510015e-07	1.44687913446141	1.90681621806039	1.26323643471957	
AT5G14180	E009	5	4572570	4572680	-	0.0016700149730431		-0.668691236119086	3.73487254249207	
AT5G18620	E003	5	6196327	6196335	-	4.6129365762578e-10	1.09349405983263	1.79130512311544	1.97185382537087	1.27013832294038
AT3G44190	E005	3	15903143	15903280	-	6.44824299872408e-05	1.699411338418		1.36319190275877	
AT4G32330	E004	4	15609107	15609117	+	3.47863491721762e-07	1.21200134597938	1.60281245167715	1.77119731601789	
AT4G10050	E014	4	6286997	6287070	-	0.0003853183266904		1.08782370626993	1.94675032631047	
AT2G28550	E008	2	12226969	12227013	-	3.07926484827823e-07	1.6535116672909	1.33433364634545	1.55035561713336	
AT1G68862	E010	1	25888930	25889024	-	0.0006465418488764	2.10433257187468	0.920874289598556		
AT2G37510	E002	2	15743354	15743428	-	0.0007995031000274		0.866024458572164	2.15751372770925	
AT4G17150	E005	4	9638821	9638824	+	0.0003232118778422		1.15251117777125	1.86949687612585	
AT2G21590	E006	2	9238762	9238931	+	0.0001056221218372	1.47711005992069	1.5377291282478		
AT4G24740	E005	4	12755049	12755141	-	2.06657875571139e-07	1.37506892865172	1.59423856751788	1.55135610769346	
AT5G22450+AT5G22460	E027	5	7444395	7444606	-	4.25278768281859e-07	1.21939614078462	1.28155587509837	2.01689619152167	
AT2G41880	E020	2	17476900	17476914	+	9.7584314197534e-07	1.18429949787893	1.10332338495872	2.22002872948256	
AT3G59350	E008	3	21932972	21933307	+	0.0001186364447878		1.48562308979325	1.51517713159311	
AT5G01910	E002	5	358085	358163	-	0.0002528400294228	1.09807011109466		1.89970270503374	
AT2G43920	E010	2	18190429	18190560	-	0.0002657651238533		1.20711081421483	1.78883223127177	
AT5G22730	E004	5	7551902	7552009	-	0.0004002757257167	1.89953317569098	1.07451747105438		
AT2G01060	E007	2	74586	74784	-	9.06394653134542e-05		1.58731023438715	1.37655330632487	
AT5G56180	E011	5	22740142	22740255	-	0.0002885539248814	1.77150116893665	1.18139834867965		
AT2G22990	E020	2	9789751	9789752	+	0.0001845891809903	1.21351097889473	1.73877775612053		
AT4G09000	E004	4	5776372	5776438	+	0.0001201865925363		1.47766420142682	1.47138691890328	
AT4G01870	E002	4	810447	810611	-	0.0007241731315645		0.887799168616986	2.04384959810986	
AT1G13880	E005	1	4749835	4749837	+	1.29672474750432e-06	1.25468345746131	1.03588169832226		2.10330454826434
AT4G00020	E011	4	4902	4976	-	0.0001498040511788	1.53307807210617	1.38988721845914		
AT2G40030	E017	2	16722527	16722653	+	0.0004145555032445	1.85387072286104	1.06571734871502		
AT3G06160+AT3G06170	E009	3	1865665	1865747	+	0.0001243693606032	1.3917000245577		1.52320265606577	
AT1G52360	E029	1	19505448	19505698	+	1.83321964707716e-07	1.39595760022062	1.59768292812606	1.37665028516693	
AT3G24575+AT3G04755	E001	3	8967516	8968260	+	7.90432428065906e-08		1.84289626952747	1.45687231005371	1.06857651681547
AT5G22450+AT5G22460	E028	5	7445018	7445286	-	0.0001695021512708	1.2564969245378		1.65553783671401	
AT2G21590	E005	2	9238646	9238761	+	0.0003131100666516	1.72486403147008	1.16154998953014		
AT2G39580	E012	2	16514760	16514774	+	9.19476796832591e-07	0.948667402645111	1.94434661001113	1.3919220845276	
AT1G31360	E024	1	11236536	11236644	+	0.0005531538801987	1.87994677139408	0.970520053436327		
AT4G26965	E003	4	13539829	13539832	+	5.868652173608661e-10	1.52508473813289	1.18138086974409	1.67788702124194	1.31088788125235
AT2G23980	E005	2	10202912	10202980	-	2.13111598970795e-07	1.37159163704123	1.58189400575691	1.31203246154629	
AT4G14930+AT4G14940	E009	4	8541003	8541091	+	0.0001340413472239	1.37161324491373	1.46940282722031		
AT3G54010	E004	3	20001314	20001383	+	5.4445107435112e-07	1.67762900679259	1.22878850003846	1.33620015020044	
AT5G46410+AT5G46420	E011	5	18828891	18829221	+	2.63535814286908e-06	1.61433234369097	0.889854109427448	1.72767101065887	
AT4G20380+AT4G20390	E019	4	11005974	11006073	+	0.0001568267459042	1.29281181990738	1.52084307851503		
AT5G59890	E005	5	24122675	24123088	+	1.73326701050579e-06	0.791441997861148	1.37407918028967	2.04838815824416	
AT1G23080	E013	1	8182206	8182217	-	4.72292725503314e-10	1.4279476809826	1.2139804252078	1.73179479937761	1.23070120428047
AT5G61880	E003	5	24850427	24850431	+	0.0002229878174762		1.26598821575046	1.53524910273407	
AT4G34240	E014	4	16391982	16392067	+	0.0001181219581697		1.48934162199415	1.30328569971578	
AT3G11040+AT3G11050	E024	3	3465091	3465154	+	0.0003770292815288	0.924944419384205			1.86188484210979
AT2G04270+AT2G04755	E025	2	1479377	1479539	+	0.000302346557217		1.16943749094134	1.61366596723212	
AT2G28550	E009	2	12227014	12227119	-	1.00486935390861e-06	1.4536246709658	1.095925675653	1.6230174207584	
AT3G57050	E013	3	21114060	21114112	-	4.33597419656222e-07	1.14755381004261	1.5768709946691	1.43981484204021	
AT2G31370	E014	2	13381093	13381103	+	0.0011250966224006		0.775529228923721	1.99276582717003	
AT5G03500	E012	5	877899	878112	-	0.0005642919001821		0.964650713874986	1.80359516710243	
AT1G31360	E023	1	11236471	11236535	+	0.0005139705095044	1.78210061132437	0.98597844389891		
AT1G28520	E005	1	10029436	10029673	+	2.02848872336029e-07	1.51342361902768	1.68067028087601	0.942487292116984	
AT2G28550	E007	2	12226862	12226968	-	0.0003634134450731	1.64376700184263	1.11057844945618		
AT1G66940	E007	1	24973603	24973729	-	1.19940133484321e-06	0.989100730782613	1.05635601705955	2.06417011369137	
AT3G17185	E002	3	5861606	5861997	+	9.89266489608673e-05	1.51338141108376		1.2166053390598	
AT2G21590	E007	2	9238932	9239032	+	0.0001646155535493	1.35133720045938	1.35757834527791		
AT1G49980	E019	1	18511963	18511993	+	1.02701236133546e-06	1.11647527792325	1.08862752142027	1.85543474982605	
AT5G08570	E004	5	2778276	2778324	+	0.0002446476765177	1.10872124282641		1.58952186758969	
AT5G22875	E004	5	7650711	7651265	+	5.97221455262023e-07	1.08167666014405	1.61718433674533	1.33749247254419	
AT5G02740	E007	5	617718	618134	+	0.0002159900264807	1.39368470579909	1.27959071950701		
AT1G70790+AT1G70800	E007	1	26700852	26701418	+	0.000224400707824	1.13174092751934			1.53492717260833
AT5G06130	E007	5	1855347	1855560	-	0.0001782250480765	1.32398385789	1.32837368781607		
AT5G41340	E005	5	16539351	16539733	-	2.93171315101243e-07	1.26107520336546	1.73744543288452	0.962096552114108	
AT5G66160	E005	5	26446705	26446800	+	0.0002016563775401		1.2970057594528	1.33884432810145	
AT5G48545+AT5G48543	E010	5	19677601	19677693	+	7.09855076093109e-07	1.33598898142803	1.17340939525231	1.42920163131017	
AT3G06160+AT3G06170	E010	3	1866137	1866659	+	4.79053245651437e-07	1.85410162610183		1.54455511376665	0.534824766322905
AT2G23985	E009	2	10205475	10205501	+	9.70538132481638e-05	1.51591772172119		1.09959672594201	
AT4G21410+AT4G03065+AT4G21400	E027	4	11403020	11403093	-	0.0002030003692153	1.31975397814667	1.29468412754035		
AT4G38380	E018	4	17974505	17974518	-	0.0010174412453071		0.801488373927595	1.80966918751919	
AT4G38420	E008	4	17984706	17984805	+	0.0005355624968192		0.980123026136234	1.62909157146789	
AT5G01950	E002	5	365508	365584	-	0.0003955711111624	0.903738095213977	1.70542800239321		
AT5G02860	E008	5	657004	657216	+	5.04081620176314e-07	1.41691663536811	1.24627423363318	1.24075066174751	
AT1G68820	E008	1	25866865	25866882	+	0.0004949152338441	1.58657360253361	0.999013119118321		
AT5G22450+AT5G22460	E026	5	7444043	7444310	-	1.47352540430039e-06	1.08231405020941	1.00490187084938	1.75886417203928	
AT4G03440	E010	4	1527174	1527399	-	0.0002272398192811	1.29864045601343	1.26325977038173		
AT4G08390	E014	4	5317176	5317178	+	0.0012118077510268		0.753193326686366	1.80329210084343	
AT3G26890+AT3G26900	E013	3	9911368	9911414	-	2.55268983230873e-06	1.59117854781643	0.893758381815845	1.34703140907174	
AT5G10710	E014	5	3382198	3382326	+	6.15540258659139e-07	1.07137305152495	1.28922415335805	1.46804957712155	
AT2G17970	E005	2	7819426	7819511	-	8.88745348342374e-07	0.957378744444305	1.47370062860062	1.36812070459608	
AT3G11210+AT3G11220	E013	3	3514976	3515112	-	0.0003965098213476		1.078566230455	1.45379889937424	
AT4G17570	E008	4	9785984	9785995	-	7.56028012351524e-10	1.30493917429211	1.14811010542125	1.16762430741014	1.44227987488091
AT1G10600	E006	1	3504359	3504392	+	0.0006310665717074		0.931823993717679	1.5941056296762	
AT5G09230	E019	5	2873272	2873343	+	2.95370206319867e-06	1.64743555176043	0.872270724028117	1.26798101146001	
AT1G19650	E015	1	6798954	6799098	-	0.000581205709432	1.5638208126687	0.957633975038788		
AT5G60940	E004	5	24523688	24523779	+	1.35399068041603e-06	0.847935321012181	1.71502828680457	1.21681339621654	
AT5G46410+AT5G46420	E002	5	18825103	18825239	+	1.64408089748494e-05	1.74124231272886	0.568736957660812	1.46293771821589	
AT5G49840	E014	5	20257877	20257981	+	9.264007514336e-07	1.37500610656463	1.12183488385924	1.27579840528577	
AT4G12460	E007	4	7392441	7392687	+	0.0003983905608498	0.902336737662099	1.61078044357037		
AT4G24590	E006	4	12697202	12697216	+	0.0002649959455597	1.29801108479002	1.20721016985358		
AT4G00700+AT4G00690+AT4G00695	E003	4	281885	281978	+	0.0015220073341865	1.80920881045439	0.690722362411751		
AT2G21385+AT2G21390	E005	2	9149977	9150091	+	0.0002265283751259	1.12925681895724	1.36101589312912		
AT3G23050	E007	3	8196211	8196522	+	1.47352540430039e-06	0.829229521563214	1.17613114880844	1.71856946702887	
AT3G26744	E008	3	9833604	9833785	-	0.002005210359044		0.621424346906155		1.85926421241313
AT3G25840	E004	3	9452602	9452781	-	0.0004670031871695	1.45329386957303	1.02393261028515		
AT1G69340	E002	1	26065898	26066226	+	0.0007077963120034		0.89203837996966	1.58371767041842	
AT2G04040	E001	2	1334270	1334664	-	0.008788364306027		0.240418493464334	2.19830311049171	
AT1G54440	E018	1	20326957	20327359	+	5.534838958999911e-09	1.09693445381578	0.843298830494891	1.65776563083312	1.2789772928794
AT2G04690	E011	2	1646067	1646154	+	0.0005454228978866	1.45856438362088	0.977521236973566		
AT5G46410+AT5G46420	E003	5	18825916	18826172	+	2.30828599827648e-05	1.70228488800157	0.506640808781695	1.44136440054671	
AT2G43910	E010	2	18186254	18186409	-	1.20352806632459e-06	0.876348705437993	1.44923425175001	1.28886304459456	
