gene	event	dpsi_Parker20c	p_val_Parker20c	dpsi_Sun	p_val_Sun
AT2G06025	RI:2:2351395:2351548-2351672:2351748:+	-0.143718511	0.006993007	-0.1647016077	0.01998002
AT2G16930	A5:2:7341247-7341489:7341210-7341489:+	-0.2701567333	0.0	-0.2696330688	0.005994006
AT2G17500	A3:2:7606870-7606944:7606870-7606963:+	0.171198362	0.0094905095	0.3392106677	0.0144855145
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.382552092	0.000999001	0.4082309166	0.000999001
AT2G18750	RI:2:8125128:8125594-8125802:8125942:+	0.0908269451	0.0314685315	0.1710103356	0.035964036
AT2G19080	RI:2:8264134:8264194-8264305:8264449:+	-0.1710385803	0.002997003	-0.1324001505	0.027972028
AT2G19880	A5:2:8584264-8584469:8584261-8584469:+	0.124047948	0.0254745255	0.2361979018	0.011988012
AT2G21195	RI:2:9083144:9083261-9083339:9083392:+	-0.1806378603	0.001998002	-0.1936611219	0.0054945055
AT2G22490	A3:2:9554417-9554505:9554414-9554505:-	-0.1242837415	0.015984016	-0.1342192724	0.0414585415
AT2G22570	RI:2:9589797:9589982-9590081:9590214:-	-0.3319732445	0.0004995005	-0.302950455	0.003996004
AT2G23310	A3:2:9918767-9918872:9918767-9918875:+	0.0665267465	0.018981019	0.1486628424	0.0114885115
AT2G23980_and_AT2G23987	RI:2:10202598:10202911-10202981:10203193:-	-0.1969029554	0.0	-0.2890804142	0.0074925075
AT2G23980_and_AT2G23987	RI:2:10203941:10204040-10204388:10204534:-	-0.2257535639	0.002997003	-0.2224028765	0.0224775225
AT2G24270	A3:2:10329618-10329722:10329607-10329722:-	0.0593966382	0.028971029	0.1083168752	0.020979021
AT2G24270	RI:2:10327035:10327134-10327330:10327438:-	-0.0592386386	0.028971029	-0.1083168752	0.020979021
AT2G25670	RI:2:10930299:10930719-10930828:10931090:-	-0.0744841601	0.0144855145	-0.1995248135	0.004995005
AT2G25740	RI:2:10980122:10980344-10980621:10980688:+	-0.5018931378	0.0	-0.5231658113	0.0
AT2G25910	A3:2:11049625-11049715:11049622-11049715:-	0.0751202925	0.01998002	0.0968540845	0.0214785215
AT2G26590	A5:2:11314742-11314985:11314742-11315020:-	0.1208779083	0.02997003	0.1899020031	0.028971029
AT2G27340	RI:2:11696937:11697163-11697449:11697554:+	-0.3037803086	0.0124875125	-0.4312088786	0.044955045
AT2G29650	A5:2:12675568-12675644:12675568-12675699:-	0.106171024	0.041958042	0.1230776843	0.024975025
AT2G32150	RI:2:13659888:13660100-13660184:13660249:+	-0.0330561843	0.034965035	0.0756030646	0.047952048
AT2G32320	A5:2:13729242-13729567:13729206-13729567:+	-0.3950011113	0.000999001	-0.3198397675	0.018981019
AT2G32700	A3:2:13866926-13867037:13866926-13867040:+	0.1263993854	0.008991009	0.1129258961	0.0293040293
AT2G32700	A3:2:13869938-13870117:13869938-13870123:+	0.1289082523	0.008991009	0.1308144958	0.0293040293
AT2G33480	A3:2:14181789-14181879:14181789-14181885:+	0.0934778733	0.031968032	0.1357355239	0.0464535465
AT2G33540	RI:2:14207914:14208049-14208175:14209192:-	-0.3624376558	0.0	-0.4518013374	0.0044955045
AT2G36060	A5:2:15143351-15143475:15143351-15143478:-	0.0839858808	0.023976024	0.1002893416	0.043956044
AT2G36680	RI:2:15369246:15369361-15369449:15369495:-	-0.3662212072	0.002997003	-0.2524451019	0.0172327672
AT2G36680	RI:2:15369246:15369366-15369449:15369495:-	-0.3874508032	0.0	-0.4956822599	0.0
AT2G37480	A3:2:15738899-15739250:15738899-15739253:+	-0.1515770126	0.0014985015	-0.1270842436	0.010989011
AT2G37510	RI:2:15742980:15743353-15743429:15743497:-	-0.1945594672	0.031968032	-0.3301222665	0.0094905095
AT2G38040	A3:2:15920771-15920848:15920771-15920856:+	-0.1233343616	0.0044955045	-0.0782901662	0.020979021
AT2G38280	A5:2:16033654-16033727:16033654-16033742:-	-0.2296554345	0.0004995005	-0.2011850052	0.012987013
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.2517537881	0.0	-0.2397589348	0.0
AT2G41720	RI:2:17403645:17403808-17403905:17404025:-	-0.1137379416	0.0324675325	-0.2896164066	0.0044955045
AT2G44180	RI:2:18270840:18271085-18271153:18271260:-	-0.0789081751	0.0254745255	-0.1523031017	0.016983017
AT2G45740	A3:2:18839698-18839852:18839698-18839855:+	0.1192158484	0.003996004	0.0807127782	0.0174825175
AT2G46270	A5:2:19002230-19002322:19002161-19002322:+	-0.252250185	0.007992008	-0.3582432818	0.025974026
AT2G47160	RI:2:19360258:19360450-19360526:19360608:-	-0.0765827738	0.0284715285	-0.1605050439	0.0274725275
AT2G47640	A3:2:19537529-19537860:19537529-19537863:+	-0.2104619445	0.000999001	-0.1791041044	0.013986014
AT2G47640	A5:2:19537260-19537350:19537255-19537350:+	-0.0601715014	0.0384615385	-0.0799542711	0.0284715285
AT2G48130	RI:2:19683710:19683832-19684144:19685390:-	0.297612908	0.011988012	0.2867249988	0.0204795205
AT3G01310	A5:3:101356-101514:101356-101532:-	-0.257441359	0.002997003	-0.2679206803	0.008991009
AT3G01310	RI:3:101297:101356-101532:101660:-	-0.1630218712	0.0037462537	-0.1931181949	0.011988012
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0849181851	0.0084915085	0.1343739536	0.013986014
AT3G02740	RI:3:590425:590808-591041:591167:+	-0.2725682286	0.0014985015	-0.1609519733	0.01998002
AT3G04610	RI:3:1253574:1254282-1254769:1254984:-	-0.1412617934	0.006993007	-0.1542290304	0.021978022
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.2064178175	0.000999001	-0.1350814567	0.018981019
AT3G04910	A5:3:1355277-1355718:1355275-1355718:+	0.1465669148	0.001998002	0.1522383627	0.018981019
AT3G04910	RI:3:1355718:1355945-1356024:1356244:+	-0.0566550418	0.034965035	-0.080642882	0.030969031
AT3G05380	A5:3:1539763-1540550:1539728-1540550:+	0.3361061545	0.001998002	0.3361739129	0.0314685315
AT3G05420	A3:3:1563298-1563412:1563298-1563415:+	-0.1546959933	0.0034965035	-0.1449407938	0.0094905095
AT3G05640	A5:3:1642265-1642849:1642265-1642890:-	0.2683343373	0.0124875125	0.3234512559	0.040959041
AT3G06400	A5:3:1944688-1944770:1944682-1944770:+	-0.1287214101	0.00999001	-0.1479215253	0.022977023
AT3G07300	A5:3:2326220-2326719:2326220-2326725:-	-0.2831775715	0.0	-0.293703419	0.005994006
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3350337997	0.0004995005	0.1820349633	0.021978022
AT3G07565	A3:3:2414825-2415061:2414825-2415064:+	0.1695474532	0.008991009	0.2633981937	0.0074925075
AT3G07890	A3:3:2518907-2519000:2518904-2519000:-	0.0982381708	0.02997003	0.1745201862	0.018981019
AT3G09670	A5:3:2966520-2966616:2966513-2966616:+	0.2401208549	0.014985015	0.3716359084	0.024975025
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1317140641	0.006993007	0.0927791925	0.042957043
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1090843944	0.006993007	0.0670308531	0.042957043
AT3G13120	A5:3:4220100-4220273:4220100-4220289:-	0.0744859753	0.030969031	0.0878268008	0.01998002
AT3G14010	A3:3:4636611-4637143:4636611-4637147:+	-0.2312020843	0.0	-0.1218199998	0.0468281718
AT3G14010	A5:3:4636611-4637143:4636597-4637143:+	-0.1067034932	0.0141525142	-0.3204947083	0.0074925075
AT3G14010	A5:3:4638938-4639007:4638932-4639007:+	0.2516638104	0.0012487512	0.2776811819	0.0074925075
AT3G14150	A5:3:4692688-4692927:4692688-4692931:-	0.3524326642	0.013986014	0.3698608169	0.001998002
AT3G14230	A3:3:4738454-4738712:4738451-4738712:-	0.0694883045	0.036963037	0.1144319634	0.021978022
AT3G14660	RI:3:4925339:4925556-4925653:4925900:+	0.0353219403	0.02997003	0.1100767154	0.0124875125
AT3G15770	A3:3:5340247-5340483:5340247-5340486:+	-0.1042375934	0.010989011	-0.1407494937	0.027972028
AT3G19460	A5:3:6748909-6748991:6748904-6748991:+	0.3514172482	0.005994006	0.4881721406	0.003996004
AT3G19460	RI:3:6747370:6747663-6747929:6748109:+	-0.6508834412	0.021978022	-0.9727149167	0.0352980353
AT3G19460	RI:3:6748759:6748909-6748991:6749322:+	-0.493225665	0.015984016	-0.4437224226	0.0352980353
AT3G19860	A5:3:6904068-6904568:6903989-6904568:+	-0.1286182992	0.003996004	-0.0827787712	0.0334665335
AT3G20070	A5:3:7006635-7006706:7006635-7006734:-	0.4398710964	0.031968032	0.5688706041	0.018981019
AT3G20070	RI:3:7006578:7006635-7006734:7006941:-	0.2834975659	0.036963037	0.4044618321	0.018981019
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.315106455	0.0004995005	0.3246139548	0.002997003
AT3G21215	RI:3:7442510:7442975-7443073:7443155:-	-0.1506193209	0.025974026	-0.5009097124	0.008991009
AT3G23280	SE:3:8323014-8323099:8323170-8323363:+	0.0858432734	0.0154845155	0.0912495569	0.021978022
AT3G23470_and_AT3G23480	RI:3:8420278:8420426-8420496:8420595:+	-0.5730254929	0.047952048	-0.4959204178	0.0344655345
AT3G24120	A3:3:8706344-8706624:8706335-8706624:-	-0.0724095302	0.026973027	-0.148175811	0.017982018
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.1622581144	0.011988012	-0.1908722308	0.0224775225
AT3G26690	RI:3:9805328:9805408-9805473:9805781:-	-0.1893476019	0.0034965035	-0.1546228343	0.0204795205
AT3G27010	A3:3:9957559-9957644:9957540-9957644:-	0.2226096975	0.0124875125	0.25	0.026973027
AT3G27770	RI:3:10287152:10287280-10287397:10287581:-	0.1155819144	0.005994006	0.1399646368	0.006993007
AT3G29770	A3:3:11649840-11649907:11649840-11649929:+	-0.1246205545	0.0434565435	0.3408579524	0.0144855145
AT3G30390	A5:3:11978842-11978927:11978842-11979358:-	-0.0948414205	0.014985015	-0.0737201703	0.043956044
AT3G44310	A5:3:15987742-15987932:15987551-15987932:+	0.09840606	0.018981019	-0.1522411098	0.020979021
AT3G44590	A3:3:16163884-16163976:16163884-16163979:+	-0.085262389	0.022977023	-0.0675452099	0.0344655345
AT3G46830	A5:3:17248395-17248518:17248395-17248615:-	-0.1739192125	0.0014985015	-0.1145636884	0.0264735265
AT3G52560	A5:3:19495028-19495266:19495028-19495269:-	0.090847997	0.0224775225	0.1247467104	0.032967033
AT3G53560_and_AT3G53570	RI:3:19863958:19864153-19864363:19864526:-	-0.126596949	0.037962038	-0.2397769232	0.04995005
AT3G54010	RI:3:20001229:20001313-20001384:20001453:+	-0.1267434577	0.004995005	-0.1874892914	0.007992008
AT3G54500	RI:3:20178714:20178804-20178941:20179070:-	-0.3398923341	0.011988012	-0.6447358244	0.011988012
AT3G56150	A3:3:20836874-20837065:20836851-20837065:-	-0.0577805687	0.018981019	0.0912909945	0.024975025
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.2041625996	0.0	0.2228698548	0.008991009
AT3G58050	A3:3:21493175-21493245:21493175-21493248:+	-0.125619876	0.0244755245	-0.2202499655	0.0304695305
AT3G59360	A5:3:21935624-21935804:21935624-21935812:-	-0.3488328027	0.0	-0.3194626799	0.0024975025
AT3G61160	A5:3:22636536-22636629:22636515-22636629:+	-0.1552783	0.006993007	-0.2011905822	0.036963037
AT3G61600	RI:3:22797128:22797937-22798054:22798324:+	0.1170262711	0.0014985015	0.0876530217	0.032967033
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1385058751	0.0024975025	-0.1165708218	0.0074925075
AT3G62940	A3:3:23264254-23264639:23264238-23264639:-	0.2078690201	0.011988012	0.2121183985	0.023976024
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.4354928643	0.0	0.4674456153	0.0
AT4G01330	A3:4:552656-552731:552656-552734:+	-0.1464553735	0.0024975025	-0.1910171218	0.008991009
AT4G08320	A3:4:5254526-5254613:5254526-5254616:+	0.1321439134	0.0244755245	0.2154330431	0.016983017
AT4G08980	RI:4:5758020:5758484-5758982:5759303:+	-0.2893683001	0.006993007	-0.2987059489	0.026973027
AT4G09980	A5:4:6248662-6249105:6248662-6249116:-	-0.4144532977	0.000999001	-0.4379109177	0.0044955045
AT4G10050	RI:4:6286912:6286996-6287071:6287293:-	-0.1052624774	0.02997003	-0.1501602974	0.031968032
AT4G10100	A5:4:6308849-6309085:6308816-6309085:+	-0.1723385493	0.0007492507	-0.2657636437	0.0044955045
AT4G10100	A5:4:6308849-6309085:6308832-6309085:+	-0.2628594046	0.0007492507	-0.2500546107	0.0044955045
AT4G10970	A5:4:6721885-6722029:6721885-6722138:-	-0.1738739225	0.00999001	-0.2552351829	0.011988012
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.1274960891	0.010989011	0.158995455	0.008991009
AT4G17150	A5:4:9638824-9638926:9638820-9638926:+	-0.1731334332	0.0424575425	-0.2089331538	0.044955045
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5120605804	0.0014985015	-0.6084964585	0.001998002
AT4G18740	RI:4:10303343:10303631-10303725:10303835:-	0.1658652369	0.011988012	0.1883554754	0.038961039
AT4G18740	RI:4:10303392:10303631-10303725:10303835:-	-0.0929097613	0.0487012987	-0.25	0.0427072927
AT4G21150	A3:4:11278538-11278631:11278538-11278644:+	-0.0891985005	0.030969031	-0.173663129	0.01998002
AT4G22320	A3:4:11793278-11793605:11793275-11793605:-	-0.2335054334	0.0094905095	-0.1744162659	0.027972028
AT4G23270	RI:4:12173486:12173873-12173941:12174297:+	-0.0954647423	0.02997003	-0.2798784068	0.013986014
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.4258827612	0.0	0.5595152541	0.0014985015
AT4G24230	A3:4:12567144-12567238:12567132-12567238:-	0.2277452876	0.0124875125	0.5868692666	0.022977023
AT4G24230	A5:4:12567144-12567238:12567144-12567251:-	0.1497834637	0.0124875125	0.2181094171	0.022977023
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.4412861039	0.0	-0.3317578726	0.002997003
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1270019899	0.002997003	0.2160152702	0.002997003
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.4855635692	0.000999001	-0.5282396035	0.0014985015
AT4G27960	RI:4:13917134:13917240-13917343:13917500:-	-0.0678563374	0.0114885115	-0.0931884855	0.0184815185
AT4G28025	A5:4:13936536-13937258:13936536-13937285:-	0.1002134677	0.005994006	0.1271793157	0.003996004
AT4G30900	A5:4:15039566-15039642:15039550-15039642:+	0.2344506022	0.00999001	0.2642143549	0.030969031
AT4G30993_and_AT4G08425	RI:4:15099299:15099410-15099504:15099616:+	0.0707306457	0.0494505495	0.1193903776	0.035964036
AT4G31150	RI:4:15144189:15144317-15144493:15144609:-	-0.2172449608	0.017982018	-0.2838582934	0.0374625375
AT4G31170	A5:4:15155118-15155467:15155118-15155576:-	-0.1523244638	0.0034965035	-0.2303371328	0.013986014
AT4G32330	A5:4:15609117-15609790:15609106-15609790:+	-0.1957738196	0.0	-0.1331796852	0.045954046
AT4G32760	A3:4:15802970-15803159:15802970-15803162:+	-0.1184130978	0.0034965035	-0.1452597818	0.0084915085
AT4G32900	A5:4:15879418-15879538:15879418-15879546:-	-0.2332118017	0.003996004	-0.1265997346	0.033966034
AT4G33625	RI:4:16153265:16153345-16153716:16153833:-	-0.1350328001	0.014985015	-0.1577315799	0.015984016
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1878172837	0.0054945055	0.141885612	0.0464535465
AT4G35770	RI:4:16945317:16945513-16945604:16946192:+	0.0800372147	0.034965035	0.1792940161	0.0441225441
AT4G35770	RI:4:16945775:16945832-16945909:16946192:+	0.0667287158	0.0441225441	0.4548894771	0.0124875125
AT4G38380	A5:4:17974419-17974505:17974419-17974519:-	-0.4773913459	0.013986014	-0.4502592407	0.028971029
AT4G38380	RI:4:17974277:17974419-17974519:17974799:-	-0.6357990934	0.013986014	-0.4825860993	0.028971029
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1343209969	0.0054945055	-0.1332703849	0.011988012
AT4G39390	A5:4:18315860-18316263:18315838-18316263:+	-0.2281427391	0.0034965035	-0.1530961058	0.046953047
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.4056264065	0.0	-0.4406550647	0.001998002
AT5G02040	A3:5:402477-402556:402477-402566:+	-0.1561147475	0.0074925075	-0.2090901109	0.013986014
AT5G02810	RI:5:640622:640755-640889:641050:-	-0.1478443307	0.001998002	-0.0844218527	0.0404595405
AT5G07440	RI:5:2355759:2356015-2356127:2356260:+	0.0652712326	0.0184815185	0.0319896119	0.0494505495
AT5G08440	A3:5:2724018-2724389:2724018-2724392:+	0.1838796518	0.038961039	0.2853449743	0.030969031
AT5G08580	RI:5:2780450:2780725-2780808:2780868:-	-0.151105828	0.025974026	-0.2037367327	0.0114885115
AT5G10710	RI:5:3382100:3382197-3382327:3382508:+	-0.2734506784	0.002997003	-0.356222681	0.000999001
AT5G10940	A5:5:3451575-3452076:3451575-3452085:-	0.2633776229	0.0	0.2457419858	0.010989011
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.4456841101	0.002997003	0.5123261937	0.002997003
AT5G13360	A5:5:4283699-4283783:4283694-4283783:+	-0.2135107963	0.022977023	-0.3867910593	0.00999001
AT5G14440	A3:5:4656176-4656498:4656173-4656498:-	0.0585977277	0.021978022	0.0799482073	0.038961039
AT5G16030	A3:5:5238585-5238680:5238585-5238683:+	-0.1299591831	0.00999001	-0.1066935918	0.0224775225
AT5G16150	A3:5:5272653-5272895:5272653-5272899:+	-0.0984764828	0.0034965035	-0.1474056702	0.0074925075
AT5G16280	A3:5:5326524-5326621:5326521-5326621:-	-0.2161332299	0.004995005	-0.3103349398	0.0084915085
AT5G18540	A3:5:6155673-6155815:6155673-6155821:+	0.1563093288	0.024975025	0.171578354	0.028971029
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.6212469963	0.0	-0.6797052897	0.0004995005
AT5G18640	A5:5:6213160-6213280:6213067-6213280:+	0.1242845046	0.017982018	0.1539177215	0.044955045
AT5G20950	A3:5:7110819-7111196:7110797-7111196:-	-0.196676555	0.0	-0.1147198088	0.017982018
AT5G22875	A5:5:7650710-7651266:7650681-7651266:+	-0.0673865707	0.0284715285	-0.1269088741	0.018981019
AT5G22875	RI:5:7650582:7650681-7651266:7651389:+	-0.1027268456	0.018981019	-0.1014514643	0.023976024
AT5G25770	RI:5:8971311:8971438-8971673:8971829:-	-0.0927011959	0.0374625375	0.2808741627	0.0044955045
