gene	event	dpsi_Cai	p_val_Cai	dpsi_Sun	p_val_Sun
AT1G35515_and_AT1G35516	A5:1:13078929-13079305:13078915-13079305:+	-0.2243494542	0.002997003	-0.1766520058	0.010989011
AT1G49950	A5:1:18496750-18497084:18496750-18497129:-	0.2322028529	0.005994006	0.1881236403	0.035964036
AT1G53310	A5:1:19888088-19888229:19888088-19888305:-	-0.0742824375	0.0454545455	-0.1042542542	0.022977023
AT1G54030	RI:1:20168777:20169029-20169100:20169684:+	-0.1463482667	0.00999001	-0.1620554882	0.00999001
AT1G54310	A5:1:20274561-20274642:20274535-20274642:+	-0.2243770189	0.0134865135	-0.1460131659	0.0464535465
AT1G55340	A3:1:20652822-20652902:20652822-20652932:+	0.1103597241	0.0184815185	0.1403361751	0.0084915085
AT1G59890	A5:1:22046241-22046502:22046226-22046502:+	0.2650869857	0.020979021	0.3713942134	0.0404595405
AT1G62180	A3:1:22977029-22977114:22977008-22977114:-	-0.026768001	0.0464535465	-0.1014060829	0.020979021
AT1G62250	RI:1:22995814:22995919-22996058:22996230:-	-0.113967474	0.012987013	-0.1512647617	0.0454545455
AT1G64300	A3:1:23863216-23863287:23863216-23863291:+	0.5204485992	0.0254745255	0.5647696931	0.0414585415
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2757009132	0.0	-0.2568373866	0.0
AT1G67950	A3:1:25479378-25479446:25479375-25479446:-	-0.137122631	0.020979021	-0.1300993682	0.0414585415
AT1G68820	A5:1:25866882-25866962:25866864-25866962:+	-0.2839293888	0.030969031	-0.2750922913	0.010989011
AT1G69510	A3:1:26126477-26126772:26126477-26126777:+	0.0434289211	0.0374625375	0.065219359	0.0274725275
AT1G70610	A5:1:26622797-26622941:26622786-26622941:+	-0.222148023	0.0004995005	-0.2477719115	0.0094905095
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.086553894	0.017982018	-0.0734202423	0.0412087912
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1999449646	0.0014985015	0.2377289225	0.0044955045
AT1G72930	A5:1:27439973-27440072:27439930-27440072:+	-0.1258715668	0.000999001	-0.1060168621	0.0204795205
AT1G73390	A5:1:27594166-27594495:27594166-27594499:-	0.3339742769	0.0074925075	0.3648607242	0.0024975025
AT1G77890_and_AT1G77910	A5:1:29293278-29293401:29293272-29293401:+	0.4820953445	0.02997003	0.6023291182	0.005994006
AT1G77930	RI:1:29302026:29302163-29302249:29302712:+	-0.1208848867	0.006993007	-0.0872080107	0.025974026
AT1G79110	A3:1:29759922-29759999:29759922-29760008:+	-0.0791778152	0.0374625375	-0.2078417272	0.01998002
AT1G79190	A5:1:29792228-29792309:29792210-29792309:+	-0.4199774551	0.0174825175	-0.6030391521	0.008991009
AT1G80940	A5:1:30411680-30411749:30411603-30411749:+	-0.1009765213	0.041958042	-0.2294796545	0.008991009
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3571709625	0.0	-0.3836747273	0.001998002
AT2G02080	A5:2:520660-520977:520660-520981:-	-0.6120559816	0.0	-0.3961254819	0.007992008
AT2G02560	A3:2:690380-690463:690380-690469:+	0.129881176	0.0334665335	0.1848669014	0.0164835165
AT2G04690	A5:2:1646066-1646155:1646031-1646155:+	-0.1680687544	0.013986014	-0.2256212149	0.020979021
AT2G04690	RI:2:1645914:1646031-1646155:1646443:+	-0.3295384823	0.013986014	-0.3295204691	0.020979021
AT2G04690	RI:2:1645914:1646066-1646155:1646443:+	-0.3069972213	0.013986014	-0.2228665155	0.0268065268
AT2G04790	A5:2:1679909-1680015:1679886-1680015:+	0.2532934905	0.001998002	0.3048899475	0.017982018
AT2G06025	RI:2:2351395:2351548-2351672:2351748:+	-0.2392210055	0.003996004	-0.1647016077	0.01998002
AT2G16930	A5:2:7341247-7341489:7341210-7341489:+	-0.3201131551	0.0	-0.2696330688	0.005994006
AT2G17500	A3:2:7606870-7606944:7606870-7606963:+	0.234584255	0.031968032	0.3392106677	0.0144855145
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.5075756794	0.002997003	0.4082309166	0.000999001
AT2G19080	RI:2:8264134:8264194-8264305:8264449:+	-0.2110932433	0.0094905095	-0.1324001505	0.027972028
AT2G19880	A5:2:8584264-8584469:8584261-8584469:+	0.1470124365	0.0204795205	0.2361979018	0.011988012
AT2G21195	RI:2:9083144:9083261-9083339:9083392:+	-0.1842018596	0.006993007	-0.1936611219	0.0054945055
AT2G22490	A3:2:9554417-9554505:9554414-9554505:-	-0.1267621988	0.025974026	-0.1342192724	0.0414585415
AT2G22570	RI:2:9589797:9589982-9590081:9590214:-	-0.4511201153	0.003996004	-0.302950455	0.003996004
AT2G23980_and_AT2G23987	RI:2:10202598:10202911-10202981:10203193:-	-0.2687256973	0.014985015	-0.2890804142	0.0074925075
AT2G24270	A3:2:10329618-10329722:10329607-10329722:-	-0.0658498921	0.017982018	0.1083168752	0.020979021
AT2G24270	RI:2:10327035:10327134-10327330:10327438:-	0.0658776736	0.017982018	-0.1083168752	0.020979021
AT2G25670	RI:2:10930299:10930719-10930828:10931090:-	-0.1169959311	0.0034965035	-0.1995248135	0.004995005
AT2G25740	RI:2:10980122:10980344-10980621:10980688:+	-0.4618883104	0.002997003	-0.5231658113	0.0
AT2G32320	A5:2:13729242-13729567:13729206-13729567:+	-0.3407541667	0.018981019	-0.3198397675	0.018981019
AT2G32700	A3:2:13867128-13867212:13867128-13867215:+	-0.0950672278	0.045954046	-0.118941397	0.0293040293
AT2G32700	A3:2:13869938-13870117:13869938-13870123:+	0.1346315912	0.035964036	0.1308144958	0.0293040293
AT2G33480	A3:2:14181789-14181879:14181789-14181885:+	0.1288378043	0.0094905095	0.1357355239	0.0464535465
AT2G33540	RI:2:14207914:14208049-14208175:14209192:-	-0.4069634929	0.000999001	-0.4518013374	0.0044955045
AT2G34860	A5:2:14709812-14709931:14709808-14709931:+	0.0657788317	0.0214785215	0.0303217384	0.044955045
AT2G36680	RI:2:15369246:15369361-15369449:15369495:-	-0.4206063573	0.002997003	-0.2524451019	0.0172327672
AT2G36680	RI:2:15369246:15369366-15369449:15369495:-	-0.338709427	0.002997003	-0.4956822599	0.0
AT2G37480	A3:2:15738899-15739250:15738899-15739253:+	-0.1276520154	0.007992008	-0.1270842436	0.010989011
AT2G37510	RI:2:15742980:15743353-15743429:15743497:-	-0.2411138154	0.043956044	-0.3301222665	0.0094905095
AT2G38040	A3:2:15920771-15920848:15920771-15920856:+	-0.1186994895	0.0034965035	-0.0782901662	0.020979021
AT2G38280	A5:2:16033654-16033727:16033654-16033742:-	-0.1497590714	0.0084915085	-0.2011850052	0.012987013
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.251396423	0.0	-0.2397589348	0.0
AT2G41720	RI:2:17403645:17403808-17403905:17404025:-	-0.2278514462	0.008991009	-0.2896164066	0.0044955045
AT2G45740	A3:2:18839698-18839852:18839698-18839855:+	0.11646341	0.0034965035	0.0807127782	0.0174825175
AT2G46270	A5:2:19002230-19002322:19002161-19002322:+	-0.4039033062	0.018981019	-0.3582432818	0.025974026
AT2G47640	A3:2:19537529-19537860:19537529-19537863:+	-0.1995876593	0.004995005	-0.1791041044	0.013986014
AT2G47640	A5:2:19537260-19537350:19537255-19537350:+	-0.097561834	0.0204795205	-0.0799542711	0.0284715285
AT3G01310	A5:3:101356-101514:101356-101532:-	-0.2275763141	0.0254745255	-0.2679206803	0.008991009
AT3G01310	RI:3:101297:101356-101532:101660:-	-0.1901906867	0.0314685315	-0.1931181949	0.011988012
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0840491287	0.025974026	0.1343739536	0.013986014
AT3G02740	RI:3:590425:590808-591041:591167:+	-0.1210536113	0.047952048	-0.1609519733	0.01998002
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1942741791	0.0054945055	-0.1350814567	0.018981019
AT3G04910	A5:3:1355277-1355718:1355275-1355718:+	0.108459688	0.033966034	0.1522383627	0.018981019
AT3G05380	A5:3:1539763-1540550:1539728-1540550:+	0.4686773711	0.011988012	0.3361739129	0.0314685315
AT3G05420	A3:3:1563298-1563412:1563298-1563415:+	-0.1615565942	0.006993007	-0.1449407938	0.0094905095
AT3G06400	A5:3:1944688-1944770:1944682-1944770:+	-0.1152138573	0.023976024	-0.1479215253	0.022977023
AT3G07300	A5:3:2326220-2326719:2326220-2326725:-	-0.2752183953	0.011988012	-0.293703419	0.005994006
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3600233865	0.003996004	0.1820349633	0.021978022
AT3G07565	A3:3:2414825-2415061:2414825-2415064:+	0.2481869686	0.032967033	0.2633981937	0.0074925075
AT3G10250	A5:3:3170449-3170842:3170449-3170892:-	-0.2843929033	0.01998002	-0.3501834522	0.011988012
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1333430326	0.028971029	0.0927791925	0.042957043
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1099562235	0.028971029	0.0670308531	0.042957043
AT3G13120	A5:3:4220100-4220273:4220100-4220289:-	0.0451936491	0.042957043	0.0878268008	0.01998002
AT3G14010	A3:3:4636611-4637143:4636611-4637147:+	-0.145812801	0.0424575425	-0.1218199998	0.0468281718
AT3G14010	A5:3:4636611-4637143:4636597-4637143:+	-0.1501135803	0.0387112887	-0.3204947083	0.0074925075
AT3G14010	A5:3:4638938-4639007:4638932-4639007:+	0.168899849	0.0274725275	0.2776811819	0.0074925075
AT3G14150	A5:3:4692688-4692927:4692688-4692931:-	0.4034118993	0.0134865135	0.3698608169	0.001998002
AT3G19460	A5:3:6748909-6748991:6748904-6748991:+	0.3446487625	0.007992008	0.4881721406	0.003996004
AT3G19460	RI:3:6747370:6747663-6747929:6748109:+	-0.9131888344	0.0412920413	-0.9727149167	0.0352980353
AT3G19460	RI:3:6748759:6748909-6748991:6749322:+	-0.400566273	0.0412920413	-0.4437224226	0.0352980353
AT3G19860	A5:3:6904068-6904568:6903989-6904568:+	-0.1143602452	0.0304695305	-0.0827787712	0.0334665335
AT3G20070	A5:3:7006635-7006706:7006635-7006734:-	0.3056338617	0.034965035	0.5688706041	0.018981019
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.2980766083	0.0024975025	0.3246139548	0.002997003
AT3G23280	SE:3:8323014-8323099:8323170-8323363:+	0.1220376502	0.031968032	0.0912495569	0.021978022
AT3G23470_and_AT3G23480	RI:3:8420278:8420426-8420496:8420595:+	-0.3937319194	0.011988012	-0.4959204178	0.0344655345
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.21203655	0.0034965035	-0.1908722308	0.0224775225
AT3G26690	RI:3:9805328:9805408-9805473:9805781:-	-0.2527426936	0.017982018	-0.1546228343	0.0204795205
AT3G27770	RI:3:10287152:10287280-10287397:10287581:-	0.1495236216	0.004995005	0.1399646368	0.006993007
AT3G44310	A5:3:15987742-15987932:15987551-15987932:+	-0.1489890745	0.004995005	-0.1522411098	0.020979021
AT3G44590	A3:3:16163884-16163976:16163884-16163979:+	-0.0880444563	0.026973027	-0.0675452099	0.0344655345
AT3G46830	A5:3:17248395-17248518:17248395-17248615:-	-0.0963203432	0.024975025	-0.1145636884	0.0264735265
AT3G52560	A5:3:19495028-19495266:19495028-19495269:-	0.0957855805	0.023976024	0.1247467104	0.032967033
AT3G54010	RI:3:20001229:20001313-20001384:20001453:+	-0.1536180053	0.0094905095	-0.1874892914	0.007992008
AT3G54500	RI:3:20178714:20178804-20178941:20179070:-	-0.1261480804	0.003996004	-0.6447358244	0.011988012
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.1886867571	0.006993007	0.2228698548	0.008991009
AT3G58050	A3:3:21493175-21493245:21493175-21493248:+	-0.1983321575	0.018981019	-0.2202499655	0.0304695305
AT3G59360	A5:3:21935624-21935804:21935624-21935812:-	-0.3444619836	0.0024975025	-0.3194626799	0.0024975025
AT3G61600	RI:3:22797128:22797937-22798054:22798324:+	0.0996209509	0.0254745255	0.0876530217	0.032967033
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1410276404	0.0024975025	-0.1165708218	0.0074925075
AT3G62940	A3:3:23264254-23264639:23264238-23264639:-	0.1814441792	0.00999001	0.2121183985	0.023976024
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.3863730251	0.0	0.4674456153	0.0
AT4G01330	A3:4:552656-552731:552656-552734:+	-0.1620822683	0.004995005	-0.1910171218	0.008991009
AT4G01600	A5:4:693515-693613:693500-693613:+	0.2831048257	0.0064935065	0.4647021244	0.0
AT4G04340	A5:4:2123117-2123194:2122895-2123194:+	0.0721157988	0.0494505495	0.1032061564	0.0214785215
AT4G08320	A3:4:5254526-5254613:5254526-5254616:+	0.1861110229	0.023976024	0.2154330431	0.016983017
AT4G09980	A5:4:6248662-6249105:6248662-6249116:-	-0.4145428306	0.0004995005	-0.4379109177	0.0044955045
AT4G10100	A5:4:6308849-6309085:6308816-6309085:+	-0.2353720816	0.0134865135	-0.2657636437	0.0044955045
AT4G10100	A5:4:6308849-6309085:6308832-6309085:+	-0.2378428676	0.0134865135	-0.2500546107	0.0044955045
AT4G10970	A5:4:6721885-6722029:6721885-6722138:-	-0.2015279055	0.008991009	-0.2552351829	0.011988012
AT4G11840	RI:4:7124899:7125245-7125336:7126317:-	-0.1647026861	0.046953047	-0.2550892903	0.0484515485
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.2321128071	0.0014985015	0.158995455	0.008991009
AT4G17150	A5:4:9638824-9638926:9638820-9638926:+	-0.2843816286	0.04995005	-0.2089331538	0.044955045
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5635815132	0.0004995005	-0.6084964585	0.001998002
AT4G18070	A3:4:10032335-10032595:10032335-10032598:+	-0.1712407559	0.044955045	-0.2051868156	0.035964036
AT4G18740	RI:4:10303343:10303631-10303725:10303835:-	0.2271677039	0.008991009	0.1883554754	0.038961039
AT4G18740	RI:4:10303392:10303631-10303725:10303835:-	-0.3333333333	0.008991009	-0.25	0.0427072927
AT4G22320	A3:4:11793278-11793605:11793275-11793605:-	-0.297701779	0.0034965035	-0.1744162659	0.027972028
AT4G23270	RI:4:12173486:12173873-12173941:12174297:+	-0.3558046509	0.043956044	-0.2798784068	0.013986014
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.493785822	0.0	0.5595152541	0.0014985015
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.2878146618	0.002997003	-0.3317578726	0.002997003
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1117598104	0.0044955045	0.2160152702	0.002997003
AT4G26650	SE:4:13445267-13445449:13445563-13445737:+	-0.1195836072	0.033966034	-0.1147657731	0.0324675325
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.5302885976	0.0024975025	-0.5282396035	0.0014985015
AT4G27960	RI:4:13917134:13917240-13917343:13917500:-	-0.0529474027	0.0254745255	-0.0931884855	0.0184815185
AT4G28025	A5:4:13936536-13937258:13936536-13937285:-	0.1073016221	0.004995005	0.1271793157	0.003996004
AT4G30993_and_AT4G08425	RI:4:15099299:15099410-15099504:15099616:+	0.0611265106	0.042957043	0.1193903776	0.035964036
AT4G31150	RI:4:15144189:15144317-15144493:15144609:-	-0.2549060977	0.041958042	-0.2838582934	0.0374625375
AT4G31170	A5:4:15155118-15155467:15155118-15155576:-	-0.2085885235	0.013986014	-0.2303371328	0.013986014
AT4G32330	A5:4:15609117-15609790:15609106-15609790:+	-0.1456394291	0.011988012	-0.1331796852	0.045954046
AT4G32760	A3:4:15802970-15803159:15802970-15803162:+	-0.07355538	0.044955045	-0.1452597818	0.0084915085
AT4G32900	A5:4:15879418-15879538:15879418-15879546:-	-0.1274844	0.032967033	-0.1265997346	0.033966034
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1471153398	0.023976024	0.141885612	0.0464535465
AT4G35560	A3:4:16884241-16884321:16884241-16884324:+	-0.3568080697	0.00999001	-0.3006882632	0.0244755245
AT4G38420	RI:4:17983979:17984705-17984806:17984884:+	-0.1061474765	0.0474525475	-0.1412502642	0.025974026
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1266086026	0.0124875125	-0.1332703849	0.011988012
AT4G39390	A5:4:18315860-18316263:18315838-18316263:+	-0.3253641741	0.0124875125	-0.1530961058	0.046953047
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.3654910974	0.000999001	-0.4406550647	0.001998002
AT5G01410	RI:5:171889:172086-172561:173663:-	-0.0502683703	0.0194805195	-0.0597702169	0.0384615385
AT5G02040	A3:5:402477-402556:402477-402566:+	-0.1587844732	0.0344655345	-0.2090901109	0.013986014
AT5G06670	A5:5:2055047-2055286:2055047-2055367:-	-0.4382775492	0.03996004	-0.5328790746	0.031968032
AT5G07980_and_AT5G01465	A3:5:2554771-2555428:2554701-2555428:-	0.2160567521	0.037962038	0.4918612096	0.0094905095
AT5G08440	A3:5:2724018-2724389:2724018-2724392:+	0.2742444422	0.022977023	0.2853449743	0.030969031
AT5G08580	RI:5:2780450:2780725-2780808:2780868:-	-0.1568150107	0.02997003	-0.2037367327	0.0114885115
AT5G10710	RI:5:3382100:3382197-3382327:3382508:+	-0.2983582874	0.021978022	-0.356222681	0.000999001
AT5G10940	A5:5:3451575-3452076:3451575-3452085:-	0.1402023073	0.028971029	0.2457419858	0.010989011
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.3762786177	0.00999001	0.5123261937	0.002997003
AT5G16030	A3:5:5238585-5238680:5238585-5238683:+	-0.0849038176	0.011988012	-0.1066935918	0.0224775225
AT5G16030	A3:5:5238997-5239085:5238997-5239109:+	-0.027461079	0.043956044	-0.0978506476	0.0224775225
AT5G16150	A3:5:5272653-5272895:5272653-5272899:+	-0.112374177	0.013986014	-0.1474056702	0.0074925075
AT5G16280	A3:5:5326524-5326621:5326521-5326621:-	-0.2090374839	0.00999001	-0.3103349398	0.0084915085
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.3593029906	0.0004995005	-0.6797052897	0.0004995005
AT5G20950	A3:5:7110819-7111196:7110797-7111196:-	-0.1824578125	0.002997003	-0.1147198088	0.017982018
AT5G22800	AF:5:7619631-7619877:7620079:7619631-7620114:7620278:-	0.0523065543	0.0474525475	0.1084197086	0.0244755245
AT5G22875	A5:5:7650710-7651266:7650681-7651266:+	-0.1018075031	0.0374625375	-0.1269088741	0.018981019
AT5G22875	RI:5:7650582:7650681-7651266:7651389:+	-0.0808455695	0.0374625375	-0.1014514643	0.023976024
AT5G26240	A5:5:9194106-9194278:9194101-9194278:+	-0.3151649856	0.002997003	-0.1992381997	0.018981019
AT5G26940	A5:5:9480786-9481353:9480770-9481353:+	0.3333333333	0.0314685315	0.5	0.017982018
AT5G26940	AF:5:9480308:9480699-9481353:9480702:9480770-9481353:+	0.1529687235	0.04995005	0.2062736614	0.0214785215
AT5G26940	AF:5:9480308:9480699-9481353:9480716:9480786-9481353:+	-0.1661657117	0.04995005	-0.2132719801	0.0214785215
AT5G28840	A3:5:10864044-10864726:10864025-10864726:-	-0.0495176527	0.0304695305	0.0426759563	0.0374625375
AT5G35330	A5:5:13525279-13525621:13525279-13525642:-	0.2350548509	0.016983017	0.3282000384	0.010989011
AT5G37850	A5:5:15065512-15065605:15065479-15065605:+	0.310312935	0.000999001	0.1964345788	0.014985015
AT5G37850	RI:5:15065300:15065479-15065605:15065701:+	0.2302677105	0.000999001	0.2515421858	0.003996004
AT5G40500	A5:5:16228049-16228120:16228022-16228120:+	0.1650555218	0.0024975025	0.1115455306	0.026973027
AT5G41340	RI:5:16539236:16539350-16539734:16539813:-	-0.0757907766	0.036963037	-0.0795171414	0.042957043
AT5G42940	A5:5:17219258-17220362:17219258-17220386:-	0.1521845392	0.031968032	0.161096428	0.038961039
AT5G44290	SE:5:17843307-17843433:17843493-17843577:-	-0.2048853722	0.023976024	-0.2454512607	0.021978022
AT5G44750	A5:5:18056585-18056668:18056573-18056668:+	0.3925685282	0.001998002	0.3142269972	0.001998002
AT5G48520	A3:5:19663794-19663927:19663794-19663930:+	-0.2127980463	0.0184815185	-0.2038617765	0.0384615385
AT5G48880	SE:5:19816805-19816923:19817029-19817773:-	0.3087091101	0.000999001	-0.1852575437	0.046953047
AT5G48880	SE:5:19816805-19816923:19817121-19817773:-	0.3611069734	0.0	-0.2144699675	0.046953047
AT5G56020	RI:5:22686096:22686300-22686398:22686466:+	-0.1930920018	0.0334665335	0.3036229147	0.008991009
AT5G56180	RI:5:22740074:22740141-22740256:22740326:-	-0.2740198275	0.038961039	-0.1878176221	0.03996004
AT5G57860	A3:5:23437729-23437920:23437729-23437925:+	-0.253194622	0.013986014	-0.2262682517	0.02997003
AT5G58330	A3:5:23582023-23582115:23582020-23582115:-	-0.1023346944	0.002997003	-0.0826246494	0.035964036
AT5G59970	RI:5:24145831:24146098-24146289:24146729:-	-0.1088498337	0.0064935065	-0.054372961	0.03996004
AT5G60570	A3:5:24348026-24348368:24348026-24348380:+	-0.1465696533	0.0344655345	-0.182976349	0.0164835165
AT5G60940	RI:5:24523578:24523687-24523780:24523849:+	-0.3127346889	0.0024975025	-0.3304304307	0.0044955045
AT5G61020	A3:5:24559247-24559363:24559241-24559363:-	0.1515165354	0.001998002	0.0905761025	0.033966034
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2015948525	0.0014985015	0.2190847617	0.0044955045
AT5G61300_and_AT5G61310	A5:5:24653752-24654770:24653752-24654845:-	0.2960916895	0.027972028	0.1677756179	0.0367132867
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.1087518456	0.0014985015	0.1024879293	0.011988012
AT5G61880	A5:5:24850431-24850548:24850426-24850548:+	-0.2875851957	0.006993007	-0.4089019774	0.002997003
AT5G62000	A3:5:24914720-24914814:24914720-24914817:+	0.1295023429	0.003996004	0.1207051655	0.030969031
AT5G63190	A5:5:25345811-25346145:25345802-25346145:+	0.1625966672	0.012987013	0.1506463932	0.011988012
AT5G63700	RI:5:25494357:25494407-25494578:25494637:-	-0.2810953055	0.001998002	-0.382040501	0.0094905095
AT5G65430	A3:5:26148566-26148687:26148560-26148687:-	0.0910924796	0.0124875125	0.1123425932	0.0054945055
