gene	event	dpsi_Cai	p_val_Cai	dpsi_Parker	p_val_Parker
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1999449646	0.0014985015	0.1905245461	0.026973027
AT1G72740	A5:1:27380901-27381147:27380901-27381165:-	0.1738768925	0.014985015	0.1669374968	0.01998002
AT1G77890_and_AT1G77910	A5:1:29293278-29293401:29293272-29293401:+	0.4820953445	0.02997003	0.4052380099	0.0194805195
AT1G77930	RI:1:29302026:29302163-29302249:29302712:+	-0.1208848867	0.006993007	-0.1516920203	0.0174825175
AT1G79190	A5:1:29792228-29792309:29792210-29792309:+	-0.4199774551	0.0174825175	-0.545596066	0.001998002
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3571709625	0.0	-0.3222995879	0.004995005
AT2G02080	A5:2:520660-520977:520660-520981:-	-0.6120559816	0.0	-0.4499113535	0.001998002
AT2G04690	A5:2:1646066-1646155:1646031-1646155:+	-0.1680687544	0.013986014	-0.1542208685	0.048951049
AT2G04690	RI:2:1645914:1646031-1646155:1646443:+	-0.3295384823	0.013986014	-0.2689859153	0.034965035
AT2G04790	A5:2:1679909-1680015:1679886-1680015:+	0.2532934905	0.001998002	0.3002668872	0.035964036
AT2G16930	A5:2:7341247-7341489:7341210-7341489:+	-0.3201131551	0.0	-0.2305295269	0.0224775225
AT2G17500	A3:2:7606870-7606944:7606870-7606963:+	0.234584255	0.031968032	0.1615033419	0.02997003
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.5075756794	0.002997003	0.3597727209	0.003996004
AT2G19080	RI:2:8264134:8264194-8264305:8264449:+	-0.2110932433	0.0094905095	-0.1502522137	0.015984016
AT2G19730	A3:2:8511560-8511739:8511560-8511743:+	-0.0569325909	0.026973027	-0.0561664839	0.04995005
AT2G19880	A5:2:8584264-8584469:8584261-8584469:+	0.1470124365	0.0204795205	0.128752699	0.0424575425
AT2G21195	RI:2:9083144:9083261-9083339:9083392:+	-0.1842018596	0.006993007	-0.1675223564	0.017982018
AT2G22490	A3:2:9554417-9554505:9554414-9554505:-	-0.1267621988	0.025974026	-0.1208166135	0.0454545455
AT2G22570	RI:2:9589797:9589982-9590081:9590214:-	-0.4511201153	0.003996004	-0.3400874576	0.0064935065
AT2G22990	A5:2:9789750-9789845:9789746-9789845:+	-0.0834878241	0.031968032	-0.1035703471	0.035964036
AT2G23980_and_AT2G23987	RI:2:10202598:10202911-10202981:10203193:-	-0.2687256973	0.014985015	-0.2199309844	0.0157342657
AT2G25740	RI:2:10980122:10980344-10980621:10980688:+	-0.4618883104	0.002997003	-0.468406231	0.000999001
AT2G32320	A5:2:13729242-13729567:13729206-13729567:+	-0.3407541667	0.018981019	-0.282736903	0.017982018
AT2G33540	RI:2:14207914:14208049-14208175:14209192:-	-0.4069634929	0.000999001	-0.3303196411	0.003996004
AT2G34900	A5:2:14725183-14725545:14725183-14725584:-	-0.2138195904	0.011988012	-0.1086518812	0.037962038
AT2G36680	RI:2:15369246:15369361-15369449:15369495:-	-0.4206063573	0.002997003	-0.2426067639	0.0224775225
AT2G36680	RI:2:15369246:15369366-15369449:15369495:-	-0.338709427	0.002997003	-0.3837517159	0.0
AT2G37480	A3:2:15738899-15739250:15738899-15739253:+	-0.1276520154	0.007992008	-0.1326450645	0.014985015
AT2G37510	RI:2:15742980:15743353-15743429:15743497:-	-0.2411138154	0.043956044	-0.1979504434	0.0494505495
AT2G38040	A3:2:15920771-15920848:15920771-15920856:+	-0.1186994895	0.0034965035	-0.1129231139	0.018981019
AT2G38280	A5:2:16033654-16033727:16033654-16033742:-	-0.1497590714	0.0084915085	-0.2088895396	0.010989011
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.251396423	0.0	-0.2585490923	0.0
AT2G41720	RI:2:17403645:17403808-17403905:17404025:-	-0.2278514462	0.008991009	-0.1453850211	0.040959041
AT2G43490	A5:2:18057937-18058045:18057937-18058057:-	0.3395493203	0.035964036	0.3131012442	0.047952048
AT2G45740	A3:2:18839698-18839852:18839698-18839855:+	0.11646341	0.0034965035	0.1028989164	0.021978022
AT2G45830	RI:2:18865923:18866503-18866607:18867160:+	-0.6414262673	0.04995005	-0.3920320335	0.0472027972
AT2G46270	A5:2:19002230-19002322:19002161-19002322:+	-0.4039033062	0.018981019	-0.2709003478	0.043956044
AT2G47640	A3:2:19537529-19537860:19537529-19537863:+	-0.1995876593	0.004995005	-0.1816952969	0.01998002
AT3G01310	A5:3:101356-101514:101356-101532:-	-0.2275763141	0.0254745255	-0.2351387155	0.0194805195
AT3G01310	RI:3:101297:101356-101532:101660:-	-0.1901906867	0.0314685315	-0.1828803791	0.020979021
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0840491287	0.025974026	0.0889687505	0.0294705295
AT3G02740	RI:3:590425:590808-591041:591167:+	-0.1210536113	0.047952048	-0.2884927329	0.0034965035
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1942741791	0.0054945055	-0.1883917498	0.014985015
AT3G04910	A5:3:1355277-1355718:1355275-1355718:+	0.108459688	0.033966034	0.1428964548	0.04995005
AT3G05380	A5:3:1539763-1540550:1539728-1540550:+	0.4686773711	0.011988012	0.3764178816	0.0224775225
AT3G05420	A3:3:1563298-1563412:1563298-1563415:+	-0.1615565942	0.006993007	-0.1518772677	0.022977023
AT3G06400	A5:3:1944688-1944770:1944682-1944770:+	-0.1152138573	0.023976024	-0.1244002082	0.045954046
AT3G07300	A5:3:2326220-2326719:2326220-2326725:-	-0.2752183953	0.011988012	-0.3077008733	0.012987013
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3600233865	0.003996004	0.3185909124	0.0034965035
AT3G07565	A3:3:2414825-2415061:2414825-2415064:+	0.2481869686	0.032967033	0.1953188604	0.0434565435
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1333430326	0.028971029	0.1213815787	0.048951049
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1099562235	0.028971029	0.1010623876	0.048951049
AT3G13062_and_AT3G13065	A5:3:4185382-4185464:4185358-4185464:+	-0.2319520091	0.0024975025	-0.1720616888	0.0124875125
AT3G13120	A5:3:4220100-4220273:4220100-4220289:-	0.0451936491	0.042957043	0.0816082862	0.030969031
AT3G14010	A3:3:4636611-4637143:4636611-4637147:+	-0.145812801	0.0424575425	-0.1924268317	0.024975025
AT3G14010	A5:3:4636611-4637143:4636597-4637143:+	-0.1501135803	0.0387112887	-0.1366248198	0.034965035
AT3G14010	A5:3:4638938-4639007:4638932-4639007:+	0.168899849	0.0274725275	0.2446071768	0.0224775225
AT3G14150	A5:3:4692688-4692927:4692688-4692931:-	0.4034118993	0.0134865135	0.3074712082	0.047952048
AT3G19460	A5:3:6748909-6748991:6748904-6748991:+	0.3446487625	0.007992008	0.3868141108	0.011988012
AT3G19460	RI:3:6747370:6747663-6747929:6748109:+	-0.9131888344	0.0412920413	-0.5659326879	0.0286380286
AT3G19460	RI:3:6748759:6748909-6748991:6749322:+	-0.400566273	0.0412920413	-0.4403719196	0.0286380286
AT3G19860	A5:3:6904068-6904568:6903989-6904568:+	-0.1143602452	0.0304695305	-0.1280439504	0.0244755245
AT3G20070	A5:3:7006635-7006706:7006635-7006734:-	0.3056338617	0.034965035	0.4837520774	0.01998002
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.2980766083	0.0024975025	0.2505139231	0.010989011
AT3G23280	SE:3:8323014-8323099:8323170-8323363:+	0.1220376502	0.031968032	0.1081073945	0.0214785215
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.21203655	0.0034965035	-0.1462484406	0.040959041
AT3G26690	RI:3:9805328:9805408-9805473:9805781:-	-0.2527426936	0.017982018	-0.1114155929	0.0254745255
AT3G27260	A3:3:10070372-10070619:10070372-10070646:+	-0.1459636689	0.01998002	-0.2235424722	0.016983017
AT3G27770	RI:3:10287152:10287280-10287397:10287581:-	0.1495236216	0.004995005	0.0963663915	0.0204795205
AT3G46830	A5:3:17248395-17248518:17248395-17248615:-	-0.0963203432	0.024975025	-0.1569941118	0.0254745255
AT3G48060	A3:3:17748022-17748235:17748019-17748235:-	-0.3304434528	0.0094905095	-0.2520661689	0.016983017
AT3G52560	A5:3:19495028-19495266:19495028-19495269:-	0.0957855805	0.023976024	0.1040993584	0.038961039
AT3G53970	RI:3:19986686:19986758-19986880:19986960:+	-0.1265240109	0.026973027	-0.0883532427	0.0474525475
AT3G54010	RI:3:20001229:20001313-20001384:20001453:+	-0.1536180053	0.0094905095	-0.1658847687	0.0194805195
AT3G54500	RI:3:20178714:20178804-20178941:20179070:-	-0.1261480804	0.003996004	-0.368747589	0.007992008
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.1886867571	0.006993007	0.2027499596	0.021978022
AT3G57530	RI:3:21297148:21297375-21297470:21297637:-	-0.1184417707	0.0124875125	-0.1222887774	0.038961039
AT3G58050	A3:3:21493175-21493245:21493175-21493248:+	-0.1983321575	0.018981019	-0.1664796562	0.0274725275
AT3G59360	A5:3:21935624-21935804:21935624-21935812:-	-0.3444619836	0.0024975025	-0.346300377	0.001998002
AT3G61600	RI:3:22797128:22797937-22798054:22798324:+	0.0996209509	0.0254745255	0.1083513834	0.0284715285
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1410276404	0.0024975025	-0.1282370707	0.00999001
AT3G62940	A3:3:23264254-23264639:23264238-23264639:-	0.1814441792	0.00999001	0.2308737973	0.0254745255
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.3863730251	0.0	0.4245698939	0.000999001
AT3G63480	A5:3:23442601-23442678:23442601-23442690:-	-0.7631915639	0.002997003	-0.417508858	0.0264735265
AT4G01330	A3:4:552656-552731:552656-552734:+	-0.1620822683	0.004995005	-0.1355266935	0.02997003
AT4G08320	A3:4:5254526-5254613:5254526-5254616:+	0.1861110229	0.023976024	0.1484099303	0.034965035
AT4G09980	A5:4:6248662-6249105:6248662-6249116:-	-0.4145428306	0.0004995005	-0.3124823273	0.004995005
AT4G10100	A5:4:6308849-6309085:6308816-6309085:+	-0.2353720816	0.0134865135	-0.1856921515	0.023976024
AT4G10100	A5:4:6308849-6309085:6308832-6309085:+	-0.2378428676	0.0134865135	-0.2482000604	0.0044955045
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.2321128071	0.0014985015	0.1192225695	0.0344655345
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5635815132	0.0004995005	-0.5308319781	0.000999001
AT4G22320	A3:4:11793278-11793605:11793275-11793605:-	-0.297701779	0.0034965035	-0.2529814369	0.021978022
AT4G22890	A3:4:12007355-12007782:12007355-12007788:+	0.0972551563	0.0224775225	0.1325721657	0.0424575425
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.493785822	0.0	0.389531765	0.0004995005
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.2878146618	0.002997003	-0.3802128909	0.0014985015
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1117598104	0.0044955045	0.1288869338	0.0174825175
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.5302885976	0.0024975025	-0.4876453444	0.002997003
AT4G27960	RI:4:13917134:13917240-13917343:13917500:-	-0.0529474027	0.0254745255	-0.0658310539	0.037962038
AT4G28025	A5:4:13936536-13937258:13936536-13937285:-	0.1073016221	0.004995005	0.1036304724	0.015984016
AT4G31180	A5:4:15156078-15156669:15156073-15156669:+	-0.1226656732	0.0104895105	-0.1167965238	0.024975025
AT4G32330	A5:4:15609117-15609790:15609106-15609790:+	-0.1456394291	0.011988012	-0.1857412765	0.043956044
AT4G32760	A3:4:15802970-15803159:15802970-15803162:+	-0.07355538	0.044955045	-0.1211604226	0.018981019
AT4G32900	A5:4:15879418-15879538:15879418-15879546:-	-0.1274844	0.032967033	-0.2106548211	0.027972028
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1471153398	0.023976024	0.1781170218	0.024975025
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1266086026	0.0124875125	-0.1498965178	0.015984016
AT4G39390	A5:4:18315860-18316263:18315838-18316263:+	-0.3253641741	0.0124875125	-0.2182305422	0.022977023
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.3654910974	0.000999001	-0.3990684015	0.000999001
AT5G08580	RI:5:2780450:2780725-2780808:2780868:-	-0.1568150107	0.02997003	-0.2048657333	0.034965035
AT5G10710	RI:5:3382100:3382197-3382327:3382508:+	-0.2983582874	0.021978022	-0.2591090103	0.022977023
AT5G10940	A5:5:3451575-3452076:3451575-3452085:-	0.1402023073	0.028971029	0.2249841625	0.0114885115
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.3762786177	0.00999001	0.4375940708	0.002997003
AT5G16030	A3:5:5238585-5238680:5238585-5238683:+	-0.0849038176	0.011988012	-0.1250368835	0.026973027
AT5G16150	A3:5:5272653-5272895:5272653-5272899:+	-0.112374177	0.013986014	-0.0949717794	0.022977023
AT5G16280	A3:5:5326524-5326621:5326521-5326621:-	-0.2090374839	0.00999001	-0.2116902216	0.0154845155
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.3593029906	0.0004995005	-0.5517661102	0.0004995005
AT5G20950	A3:5:7110819-7111196:7110797-7111196:-	-0.1824578125	0.002997003	-0.1726428853	0.0094905095
AT5G26240	A5:5:9194106-9194278:9194101-9194278:+	-0.3151649856	0.002997003	-0.2997588925	0.0054945055
AT5G28840	A3:5:10864044-10864726:10864025-10864726:-	-0.0495176527	0.0304695305	-0.0415390146	0.0444555445
AT5G35330	A5:5:13525279-13525621:13525279-13525642:-	0.2350548509	0.016983017	0.1929343349	0.027972028
AT5G37850	A5:5:15065512-15065605:15065479-15065605:+	0.310312935	0.000999001	0.2204942283	0.022977023
AT5G37850	RI:5:15065300:15065479-15065605:15065701:+	0.2302677105	0.000999001	0.2530439934	0.022977023
AT5G40500	A5:5:16228049-16228120:16228022-16228120:+	0.1650555218	0.0024975025	0.1761036184	0.0284715285
AT5G44750	A5:5:18056585-18056668:18056573-18056668:+	0.3925685282	0.001998002	0.2506498904	0.008991009
AT5G46430_and_AT5G06825	A3:5:18833301-18833415:18833301-18833419:+	0.0240783272	0.044955045	-0.0402313738	0.047952048
AT5G48520	A3:5:19663794-19663927:19663794-19663930:+	-0.2127980463	0.0184815185	-0.210028426	0.027972028
AT5G57860	A3:5:23437729-23437920:23437729-23437925:+	-0.253194622	0.013986014	-0.2361787583	0.037962038
AT5G58330	A3:5:23582023-23582115:23582020-23582115:-	-0.1023346944	0.002997003	-0.1036141321	0.025974026
AT5G60170	A3:5:24229555-24229700:24229555-24229706:+	0.2179275464	0.002997003	0.1909736023	0.0114885115
AT5G60570	A3:5:24348026-24348368:24348026-24348380:+	-0.1465696533	0.0344655345	-0.1810518579	0.023976024
AT5G60940	RI:5:24523578:24523687-24523780:24523849:+	-0.3127346889	0.0024975025	-0.3553094243	0.001998002
AT5G61020	A3:5:24559247-24559363:24559241-24559363:-	0.1515165354	0.001998002	0.1234297732	0.024975025
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2015948525	0.0014985015	0.1860166977	0.0124875125
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.1087518456	0.0014985015	0.0729502811	0.021978022
AT5G61880	A5:5:24850431-24850548:24850426-24850548:+	-0.2875851957	0.006993007	-0.2933986761	0.00999001
AT5G62000	A3:5:24914720-24914814:24914720-24914817:+	0.1295023429	0.003996004	0.1230252175	0.040959041
AT5G63190	A5:5:25345811-25346145:25345802-25346145:+	0.1625966672	0.012987013	0.1039172977	0.00999001
AT5G63460	SE:5:25414326-25414413:25414448-25414574:-	0.2133715025	0.012987013	0.1619576155	0.047952048
AT5G63700	RI:5:25494357:25494407-25494578:25494637:-	-0.2810953055	0.001998002	-0.2925591552	0.015984016
AT5G65430	A3:5:26148566-26148687:26148560-26148687:-	0.0910924796	0.0124875125	0.0658659616	0.0154845155
