gene	event	dpsi_Parker	p_val_Parker	dpsi_Sun	p_val_Sun
AT1G80270	A3:1:30181077-30181227:30181077-30181232:+	0.1978740538	0.0434565435	0.4001734077	0.0097402597
AT1G80270	A5:1:30181077-30181232:30181053-30181232:+	-0.348198367	0.035964036	-0.438893087	0.0097402597
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3222995879	0.004995005	-0.3836747273	0.001998002
AT2G02080	A5:2:520660-520977:520660-520981:-	-0.4499113535	0.001998002	-0.3961254819	0.007992008
AT2G02390	A3:2:629353-629518:629353-629539:+	0.0723872308	0.0304695305	0.1042322447	0.0134865135
AT2G04690	A5:2:1646066-1646155:1646031-1646155:+	-0.1542208685	0.048951049	-0.2256212149	0.020979021
AT2G04690	RI:2:1645914:1646031-1646155:1646443:+	-0.2689859153	0.034965035	-0.3295204691	0.020979021
AT2G04790	A5:2:1679909-1680015:1679886-1680015:+	0.3002668872	0.035964036	0.3048899475	0.017982018
AT2G05590	A5:2:2068651-2068738:2068646-2068738:+	-0.2121434936	0.01998002	-0.1847458374	0.0304695305
AT2G16930	A5:2:7341247-7341489:7341210-7341489:+	-0.2305295269	0.0224775225	-0.2696330688	0.005994006
AT2G17500	A3:2:7606870-7606944:7606870-7606963:+	0.1615033419	0.02997003	0.3392106677	0.0144855145
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.3597727209	0.003996004	0.4082309166	0.000999001
AT2G19080	RI:2:8264134:8264194-8264305:8264449:+	-0.1502522137	0.015984016	-0.1324001505	0.027972028
AT2G19880	A5:2:8584264-8584469:8584261-8584469:+	0.128752699	0.0424575425	0.2361979018	0.011988012
AT2G21195	RI:2:9083144:9083261-9083339:9083392:+	-0.1675223564	0.017982018	-0.1936611219	0.0054945055
AT2G22490	A3:2:9554417-9554505:9554414-9554505:-	-0.1208166135	0.0454545455	-0.1342192724	0.0414585415
AT2G22570	RI:2:9589797:9589982-9590081:9590214:-	-0.3400874576	0.0064935065	-0.302950455	0.003996004
AT2G23980_and_AT2G23987	RI:2:10202598:10202911-10202981:10203193:-	-0.2199309844	0.0157342657	-0.2890804142	0.0074925075
AT2G23980_and_AT2G23987	RI:2:10203941:10204040-10204388:10204534:-	-0.2777977241	0.0157342657	-0.2224028765	0.0224775225
AT2G25740	RI:2:10980122:10980344-10980621:10980688:+	-0.468406231	0.000999001	-0.5231658113	0.0
AT2G25910	A3:2:11049625-11049715:11049622-11049715:-	0.0737376284	0.048951049	0.0968540845	0.0214785215
AT2G32320	A5:2:13729242-13729567:13729206-13729567:+	-0.282736903	0.017982018	-0.3198397675	0.018981019
AT2G33540	RI:2:14207914:14208049-14208175:14209192:-	-0.3303196411	0.003996004	-0.4518013374	0.0044955045
AT2G36060	A5:2:15143351-15143475:15143351-15143478:-	0.089564341	0.04995005	0.1002893416	0.043956044
AT2G36680	RI:2:15369246:15369361-15369449:15369495:-	-0.2426067639	0.0224775225	-0.2524451019	0.0172327672
AT2G36680	RI:2:15369246:15369366-15369449:15369495:-	-0.3837517159	0.0	-0.4956822599	0.0
AT2G37480	A3:2:15738899-15739250:15738899-15739253:+	-0.1326450645	0.014985015	-0.1270842436	0.010989011
AT2G37510	RI:2:15742980:15743353-15743429:15743497:-	-0.1979504434	0.0494505495	-0.3301222665	0.0094905095
AT2G38040	A3:2:15920771-15920848:15920771-15920856:+	-0.1129231139	0.018981019	-0.0782901662	0.020979021
AT2G38280	A5:2:16033654-16033727:16033654-16033742:-	-0.2088895396	0.010989011	-0.2011850052	0.012987013
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.2585490923	0.0	-0.2397589348	0.0
AT2G41720	RI:2:17403645:17403808-17403905:17404025:-	-0.1453850211	0.040959041	-0.2896164066	0.0044955045
AT2G45740	A3:2:18839698-18839852:18839698-18839855:+	0.1028989164	0.021978022	0.0807127782	0.0174825175
AT2G46270	A5:2:19002230-19002322:19002161-19002322:+	-0.2709003478	0.043956044	-0.3582432818	0.025974026
AT2G47640	A3:2:19537529-19537860:19537529-19537863:+	-0.1816952969	0.01998002	-0.1791041044	0.013986014
AT3G01310	A5:3:101356-101514:101356-101532:-	-0.2351387155	0.0194805195	-0.2679206803	0.008991009
AT3G01310	RI:3:101297:101356-101532:101660:-	-0.1828803791	0.020979021	-0.1931181949	0.011988012
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0889687505	0.0294705295	0.1343739536	0.013986014
AT3G02740	RI:3:590425:590808-591041:591167:+	-0.2884927329	0.0034965035	-0.1609519733	0.01998002
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1883917498	0.014985015	-0.1350814567	0.018981019
AT3G04910	A5:3:1355277-1355718:1355275-1355718:+	0.1428964548	0.04995005	0.1522383627	0.018981019
AT3G05380	A5:3:1539763-1540550:1539728-1540550:+	0.3764178816	0.0224775225	0.3361739129	0.0314685315
AT3G05420	A3:3:1563298-1563412:1563298-1563415:+	-0.1518772677	0.022977023	-0.1449407938	0.0094905095
AT3G05640	A5:3:1642265-1642849:1642265-1642890:-	0.2140587831	0.0364635365	0.3234512559	0.040959041
AT3G06400	A5:3:1944688-1944770:1944682-1944770:+	-0.1244002082	0.045954046	-0.1479215253	0.022977023
AT3G07300	A5:3:2326220-2326719:2326220-2326725:-	-0.3077008733	0.012987013	-0.293703419	0.005994006
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3185909124	0.0034965035	0.1820349633	0.021978022
AT3G07565	A3:3:2414825-2415061:2414825-2415064:+	0.1953188604	0.0434565435	0.2633981937	0.0074925075
AT3G09670	A5:3:2966520-2966616:2966513-2966616:+	0.2854691846	0.01998002	0.3716359084	0.024975025
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1213815787	0.048951049	0.0927791925	0.042957043
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1010623876	0.048951049	0.0670308531	0.042957043
AT3G13120	A5:3:4220100-4220273:4220100-4220289:-	0.0816082862	0.030969031	0.0878268008	0.01998002
AT3G14010	A3:3:4636611-4637143:4636611-4637147:+	-0.1924268317	0.024975025	-0.1218199998	0.0468281718
AT3G14010	A5:3:4636611-4637143:4636597-4637143:+	-0.1366248198	0.034965035	-0.3204947083	0.0074925075
AT3G14010	A5:3:4638938-4639007:4638932-4639007:+	0.2446071768	0.0224775225	0.2776811819	0.0074925075
AT3G14150	A5:3:4692688-4692927:4692688-4692931:-	0.3074712082	0.047952048	0.3698608169	0.001998002
AT3G14230	A3:3:4738454-4738712:4738451-4738712:-	0.0752587268	0.035964036	0.1144319634	0.021978022
AT3G15770	A3:3:5340247-5340483:5340247-5340486:+	-0.100854535	0.044955045	-0.1407494937	0.027972028
AT3G19460	A5:3:6748909-6748991:6748904-6748991:+	0.3868141108	0.011988012	0.4881721406	0.003996004
AT3G19460	RI:3:6747370:6747663-6747929:6748109:+	-0.5659326879	0.0286380286	-0.9727149167	0.0352980353
AT3G19460	RI:3:6748759:6748909-6748991:6749322:+	-0.4403719196	0.0286380286	-0.4437224226	0.0352980353
AT3G19860	A5:3:6904068-6904568:6903989-6904568:+	-0.1280439504	0.0244755245	-0.0827787712	0.0334665335
AT3G20070	A5:3:7006635-7006706:7006635-7006734:-	0.4837520774	0.01998002	0.5688706041	0.018981019
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.2505139231	0.010989011	0.3246139548	0.002997003
AT3G23280	SE:3:8323014-8323099:8323170-8323363:+	0.1081073945	0.0214785215	0.0912495569	0.021978022
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.1462484406	0.040959041	-0.1908722308	0.0224775225
AT3G26690	RI:3:9805328:9805408-9805473:9805781:-	-0.1114155929	0.0254745255	-0.1546228343	0.0204795205
AT3G27770	RI:3:10287152:10287280-10287397:10287581:-	0.0963663915	0.0204795205	0.1399646368	0.006993007
AT3G30390	A5:3:11978842-11978927:11978842-11979358:-	-0.1016935379	0.036963037	-0.0737201703	0.043956044
AT3G46830	A5:3:17248395-17248518:17248395-17248615:-	-0.1569941118	0.0254745255	-0.1145636884	0.0264735265
AT3G52560	A5:3:19495028-19495266:19495028-19495269:-	0.1040993584	0.038961039	0.1247467104	0.032967033
AT3G54010	RI:3:20001229:20001313-20001384:20001453:+	-0.1658847687	0.0194805195	-0.1874892914	0.007992008
AT3G54500	RI:3:20178714:20178804-20178941:20179070:-	-0.368747589	0.007992008	-0.6447358244	0.011988012
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.2027499596	0.021978022	0.2228698548	0.008991009
AT3G58050	A3:3:21493175-21493245:21493175-21493248:+	-0.1664796562	0.0274725275	-0.2202499655	0.0304695305
AT3G59360	A5:3:21935624-21935804:21935624-21935812:-	-0.346300377	0.001998002	-0.3194626799	0.0024975025
AT3G61600	RI:3:22797128:22797937-22798054:22798324:+	0.1083513834	0.0284715285	0.0876530217	0.032967033
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1282370707	0.00999001	-0.1165708218	0.0074925075
AT3G62940	A3:3:23264254-23264639:23264238-23264639:-	0.2308737973	0.0254745255	0.2121183985	0.023976024
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.4245698939	0.000999001	0.4674456153	0.0
AT4G01330	A3:4:552656-552731:552656-552734:+	-0.1355266935	0.02997003	-0.1910171218	0.008991009
AT4G08320	A3:4:5254526-5254613:5254526-5254616:+	0.1484099303	0.034965035	0.2154330431	0.016983017
AT4G09980	A5:4:6248662-6249105:6248662-6249116:-	-0.3124823273	0.004995005	-0.4379109177	0.0044955045
AT4G10100	A5:4:6308849-6309085:6308816-6309085:+	-0.1856921515	0.023976024	-0.2657636437	0.0044955045
AT4G10100	A5:4:6308849-6309085:6308832-6309085:+	-0.2482000604	0.0044955045	-0.2500546107	0.0044955045
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.1192225695	0.0344655345	0.158995455	0.008991009
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5308319781	0.000999001	-0.6084964585	0.001998002
AT4G22320	A3:4:11793278-11793605:11793275-11793605:-	-0.2529814369	0.021978022	-0.1744162659	0.027972028
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.389531765	0.0004995005	0.5595152541	0.0014985015
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.3802128909	0.0014985015	-0.3317578726	0.002997003
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1288869338	0.0174825175	0.2160152702	0.002997003
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.4876453444	0.002997003	-0.5282396035	0.0014985015
AT4G27960	RI:4:13917134:13917240-13917343:13917500:-	-0.0658310539	0.037962038	-0.0931884855	0.0184815185
AT4G28025	A5:4:13936536-13937258:13936536-13937285:-	0.1036304724	0.015984016	0.1271793157	0.003996004
AT4G32330	A5:4:15609117-15609790:15609106-15609790:+	-0.1857412765	0.043956044	-0.1331796852	0.045954046
AT4G32760	A3:4:15802970-15803159:15802970-15803162:+	-0.1211604226	0.018981019	-0.1452597818	0.0084915085
AT4G32900	A5:4:15879418-15879538:15879418-15879546:-	-0.2106548211	0.027972028	-0.1265997346	0.033966034
AT4G33625	RI:4:16153265:16153345-16153716:16153833:-	-0.1400275882	0.035964036	-0.1577315799	0.015984016
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1781170218	0.024975025	0.141885612	0.0464535465
AT4G38380	A5:4:17974419-17974505:17974419-17974519:-	-0.364997629	0.045954046	-0.4502592407	0.028971029
AT4G38380	RI:4:17974277:17974419-17974519:17974799:-	-0.5740943086	0.021978022	-0.4825860993	0.028971029
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1498965178	0.015984016	-0.1332703849	0.011988012
AT4G39390	A5:4:18315860-18316263:18315838-18316263:+	-0.2182305422	0.022977023	-0.1530961058	0.046953047
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.3990684015	0.000999001	-0.4406550647	0.001998002
AT5G02810	RI:5:640622:640755-640889:641050:-	-0.1383581039	0.0174825175	-0.0844218527	0.0404595405
AT5G07440	RI:5:2355759:2356015-2356127:2356260:+	0.0894192674	0.015984016	0.0319896119	0.0494505495
AT5G08580	RI:5:2780450:2780725-2780808:2780868:-	-0.2048657333	0.034965035	-0.2037367327	0.0114885115
AT5G10710	RI:5:3382100:3382197-3382327:3382508:+	-0.2591090103	0.022977023	-0.356222681	0.000999001
AT5G10940	A5:5:3451575-3452076:3451575-3452085:-	0.2249841625	0.0114885115	0.2457419858	0.010989011
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.4375940708	0.002997003	0.5123261937	0.002997003
AT5G13360	A5:5:4283699-4283783:4283694-4283783:+	-0.2631040753	0.024975025	-0.3867910593	0.00999001
AT5G16030	A3:5:5238585-5238680:5238585-5238683:+	-0.1250368835	0.026973027	-0.1066935918	0.0224775225
AT5G16150	A3:5:5272653-5272895:5272653-5272899:+	-0.0949717794	0.022977023	-0.1474056702	0.0074925075
AT5G16280	A3:5:5326524-5326621:5326521-5326621:-	-0.2116902216	0.0154845155	-0.3103349398	0.0084915085
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.5517661102	0.0004995005	-0.6797052897	0.0004995005
AT5G18640	A5:5:6213160-6213280:6213067-6213280:+	0.1538730881	0.036963037	0.1539177215	0.044955045
AT5G20950	A3:5:7110819-7111196:7110797-7111196:-	-0.1726428853	0.0094905095	-0.1147198088	0.017982018
AT5G26240	A5:5:9194106-9194278:9194101-9194278:+	-0.2997588925	0.0054945055	-0.1992381997	0.018981019
AT5G28840	A3:5:10864044-10864726:10864025-10864726:-	-0.0415390146	0.0444555445	0.0426759563	0.0374625375
AT5G35330	A5:5:13525279-13525621:13525279-13525642:-	0.1929343349	0.027972028	0.3282000384	0.010989011
AT5G37690	A5:5:14975574-14975878:14975574-14975902:-	0.2234400307	0.014985015	0.3200006806	0.027972028
AT5G37850	A5:5:15065512-15065605:15065479-15065605:+	0.2204942283	0.022977023	0.1964345788	0.014985015
AT5G37850	RI:5:15065300:15065479-15065605:15065701:+	0.2530439934	0.022977023	0.2515421858	0.003996004
AT5G40500	A5:5:16228049-16228120:16228022-16228120:+	0.1761036184	0.0284715285	0.1115455306	0.026973027
AT5G40530	RI:5:16235699:16235813-16235883:16235927:+	-0.2465778097	0.0114885115	-0.1815352461	0.024975025
AT5G42900	A3:5:17198609-17198693:17198606-17198693:-	0.1169503192	0.0134865135	0.1139115784	0.011988012
AT5G44750	A5:5:18056585-18056668:18056573-18056668:+	0.2506498904	0.008991009	0.3142269972	0.001998002
AT5G48520	A3:5:19663794-19663927:19663794-19663930:+	-0.210028426	0.027972028	-0.2038617765	0.0384615385
AT5G57860	A3:5:23437729-23437920:23437729-23437925:+	-0.2361787583	0.037962038	-0.2262682517	0.02997003
AT5G58330	A3:5:23582023-23582115:23582020-23582115:-	-0.1036141321	0.025974026	-0.0826246494	0.035964036
AT5G60570	A3:5:24348026-24348368:24348026-24348380:+	-0.1810518579	0.023976024	-0.182976349	0.0164835165
AT5G60940	RI:5:24523578:24523687-24523780:24523849:+	-0.3553094243	0.001998002	-0.3304304307	0.0044955045
AT5G61020	A3:5:24559247-24559363:24559241-24559363:-	0.1234297732	0.024975025	0.0905761025	0.033966034
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.1860166977	0.0124875125	0.2190847617	0.0044955045
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.0729502811	0.021978022	0.1024879293	0.011988012
AT5G61880	A5:5:24850431-24850548:24850426-24850548:+	-0.2933986761	0.00999001	-0.4089019774	0.002997003
AT5G62000	A3:5:24914720-24914814:24914720-24914817:+	0.1230252175	0.040959041	0.1207051655	0.030969031
AT5G63190	A5:5:25345811-25346145:25345802-25346145:+	0.1039172977	0.00999001	0.1506463932	0.011988012
AT5G63700	RI:5:25494357:25494407-25494578:25494637:-	-0.2925591552	0.015984016	-0.382040501	0.0094905095
AT5G65430	A3:5:26148566-26148687:26148560-26148687:-	0.0658659616	0.0154845155	0.1123425932	0.0054945055
AT5G66160	RI:5:26446607:26446704-26446801:26447433:+	-0.121925962	0.041958042	-0.1330718403	0.034965035
