gene	event	dpsi_Sun	p_val_Sun	dpsi_Wang	p_val_Wang
AT3G27010	A3:3:9957559-9957644:9957540-9957644:-	0.25	0.026973027	1.0	0.0
AT3G53560_and_AT3G53570	RI:3:19863958:19864153-19864363:19864526:-	-0.2397769232	0.04995005	0.8404942417	0.037962038
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.2228698548	0.008991009	0.18973497	0.034965035
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1165708218	0.0074925075	-0.0858580264	0.0294705295
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.4674456153	0.0	0.4488601144	0.002997003
AT4G00450	RI:4:202241:202292-202396:202549:+	0.3620960373	0.0444555445	0.4101658087	0.047952048
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.158995455	0.008991009	0.3589742291	0.003996004
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.6084964585	0.001998002	-0.3234830366	0.0204795205
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.5595152541	0.0014985015	0.1983146136	0.0454545455
AT4G26210	A3:4:13282028-13282354:13282028-13282359:+	-0.1387627703	0.00999001	0.1773527607	0.028971029
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.3317578726	0.002997003	-0.2535952647	0.016983017
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.2160152702	0.002997003	0.2627470284	0.0014985015
AT4G26650	SE:4:13445267-13445449:13445563-13445737:+	-0.1147657731	0.0324675325	-0.1470969429	0.0384615385
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.5282396035	0.0014985015	-0.309819381	0.0344655345
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.141885612	0.0464535465	0.2876714626	0.0244755245
AT4G38200	A3:4:17916687-17916902:17916687-17916912:+	-0.2042251946	0.027972028	0.2588711435	0.0354645355
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1332703849	0.011988012	-0.1342794122	0.0414585415
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.4406550647	0.001998002	-0.3370854639	0.0114885115
AT5G01300	AL:5:121483:121717-121817:121729:121737-121817:-	-0.4743008638	0.0334665335	1.0	0.0
AT5G03830	A3:5:1018440-1018641:1018440-1018655:+	1.0	0.0	0.5	0.034965035
AT5G09860	A3:5:3069083-3069216:3069083-3069219:+	-0.23082183	0.0094905095	-0.1835737381	0.031968032
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.5123261937	0.002997003	0.3203829022	0.024975025
AT5G12210	A3:5:3947558-3947671:3947558-3947674:+	-0.0763593777	0.0344655345	-0.181470672	0.01998002
AT5G14440	A3:5:4656176-4656498:4656173-4656498:-	0.0799482073	0.038961039	0.1284871132	0.0384615385
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.6797052897	0.0004995005	-0.3406284889	0.008991009
AT5G18640	A5:5:6213160-6213280:6213067-6213280:+	0.1539177215	0.044955045	0.3232091771	0.032967033
AT5G26940	A5:5:9480786-9481353:9480770-9481353:+	0.5	0.017982018	0.5	0.005994006
AT5G26940	AF:5:9480308:9480699-9481353:9480702:9480770-9481353:+	0.2062736614	0.0214785215	0.3879055993	0.0142357642
AT5G26940	AF:5:9480308:9480699-9481353:9480716:9480786-9481353:+	-0.2132719801	0.0214785215	-0.3610313901	0.0314685315
AT5G42940	A5:5:17219258-17220362:17219258-17220386:-	0.161096428	0.038961039	0.3887962315	0.0104895105
AT5G61030	AF:5:24560309:24560500-24560857:24560501:24560560-24560857:+	0.1257026704	0.013986014	0.0834512168	0.0484515485
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2190847617	0.0044955045	0.1880453645	0.015984016
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.1024879293	0.011988012	0.0678873207	0.0204795205
AT5G66460_and_AT5G66470	RI:5:26541562:26541752-26541925:26542072:-	0.0783434143	0.0394605395	0.1136389357	0.0314685315
