gene	event	dpsi_Parker20c	p_val_Parker20c	dpsi_Wang	p_val_Wang
AT2G02960	A3:2:864087-864248:864020-864248:-	-0.235009163	0.0254745255	-0.869644878	0.044955045
AT2G05990	A3:2:2322382-2322847:2322382-2322850:+	-0.043552966	0.020979021	-0.0570850395	0.0424575425
AT2G17033	A5:2:7401235-7401633:7401232-7401633:+	0.2039172695	0.017982018	0.3185846695	0.0374625375
AT2G17033	A5:2:7401248-7401633:7401232-7401633:+	0.1519381383	0.044955045	0.3480218083	0.0374625375
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.382552092	0.000999001	0.9111104701	0.008991009
AT2G21240_and_AT2G21250	A3:2:9102591-9102961:9102501-9102961:-	0.0421081692	0.042957043	0.15085747	0.0334665335
AT2G26600	A5:2:11316793-11316999:11316613-11316999:+	-0.106980487	0.0444555445	-0.2721391879	0.042957043
AT2G33830	A3:2:14310089-14310196:14310083-14310196:-	0.0316960861	0.023976024	0.0491914518	0.0364635365
AT2G34900	A5:2:14725183-14725545:14725183-14725584:-	-0.087292538	0.027972028	-0.1810575091	0.0344655345
AT2G35050	AF:2:14768640:14768872-14769524:14768923:14769002-14769524:+	0.0634893388	0.0284715285	-0.1329943341	0.0444555445
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.2517537881	0.0	-0.194432213	0.0014985015
AT2G41600	A5:2:17345768-17345988:17345768-17345993:-	0.1587173017	0.038961039	0.4204957839	0.014985015
AT2G42210	A3:2:17590271-17590622:17590271-17590626:+	0.0452461706	0.043956044	0.1564626742	0.020979021
AT2G48130	RI:2:19683710:19683832-19684144:19685390:-	0.297612908	0.011988012	0.4412072687	0.010989011
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0849181851	0.0084915085	-0.2564196747	0.0014985015
AT3G02780	A5:3:603856-604235:603856-604434:-	-0.0497195516	0.037962038	0.0826235728	0.0404595405
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.2064178175	0.000999001	-0.1880608676	0.010989011
AT3G04770_and_AT3G04780	RI:3:1309678:1309855-1309933:1310130:-	-0.1983031701	0.0314685315	0.2139388011	0.0414585415
AT3G05165	RI:3:1462597:1462786-1462903:1462917:-	-0.1180607192	0.0494505495	0.4502841378	0.0194805195
AT3G06680	A3:3:2114748-2114836:2114726-2114836:-	-0.0839208204	0.01998002	0.4941598436	0.0
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3350337997	0.0004995005	0.3041445068	0.0224775225
AT3G11910	A3:3:3769991-3770261:3769988-3770261:-	-0.0685440957	0.026973027	0.1366195964	0.0494505495
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1317140641	0.006993007	0.153831381	0.012987013
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1090843944	0.006993007	0.12933317	0.012987013
AT3G12490	AL:3:3960401:3960660-3960946:3960802:3960810-3960946:-	-0.0312178602	0.045954046	-0.047194947	0.0424575425
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.315106455	0.0004995005	0.4784205778	0.0024975025
AT3G23830	A3:3:8607699-8607982:8607687-8607982:-	0.1003033578	0.0254745255	0.1209359107	0.014985015
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.1622581144	0.011988012	-0.1588184437	0.045954046
AT3G27010	A3:3:9957559-9957644:9957540-9957644:-	0.2226096975	0.0124875125	1.0	0.0
AT3G52170	A3:3:19349146-19349394:19349132-19349394:-	-0.322028711	0.006993007	-0.2062469565	0.04995005
AT3G53560_and_AT3G53570	A3:3:19864153-19864363:19864114-19864363:-	-0.1187346132	0.0494505495	-0.2561495126	0.040959041
AT3G53560_and_AT3G53570	RI:3:19863958:19864153-19864363:19864526:-	-0.126596949	0.037962038	0.8404942417	0.037962038
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.2041625996	0.0	0.18973497	0.034965035
AT3G58710	A3:3:21715316-21715403:21715316-21715406:+	0.1849154303	0.007992008	-0.2652039927	0.0444555445
AT3G60880	A3:3:22495171-22495449:22495171-22495452:+	0.0911113508	0.0264735265	-0.1559992163	0.0474525475
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1385058751	0.0024975025	-0.0858580264	0.0294705295
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.4354928643	0.0	0.4488601144	0.002997003
AT4G02600	RI:4:1143888:1144052-1144137:1144321:+	0.1098384853	0.023976024	0.4013433714	0.0074925075
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.1274960891	0.010989011	0.3589742291	0.003996004
AT4G16990	AF:4:9560115:9560612-9561097:9560633:9560992-9561097:+	0.1780139676	0.0412087912	-0.6473338768	0.014985015
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5120605804	0.0014985015	-0.3234830366	0.0204795205
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.4258827612	0.0	0.1983146136	0.0454545455
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.4412861039	0.0	-0.2535952647	0.016983017
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1270019899	0.002997003	0.2627470284	0.0014985015
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.4855635692	0.000999001	-0.309819381	0.0344655345
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1878172837	0.0054945055	0.2876714626	0.0244755245
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1343209969	0.0054945055	-0.1342794122	0.0414585415
AT4G40050	A5:4:18561884-18561989:18561884-18561993:-	-0.4056264065	0.0	-0.3370854639	0.0114885115
AT5G11630_and_AT5G11640	A5:5:3740942-3741504:3740877-3741504:+	0.4456841101	0.002997003	0.3203829022	0.024975025
AT5G14440	A3:5:4656176-4656498:4656173-4656498:-	0.0585977277	0.021978022	0.1284871132	0.0384615385
AT5G18620	A5:5:6196207-6196327:6196207-6196336:-	-0.6212469963	0.0	-0.3406284889	0.008991009
AT5G18640	A5:5:6213160-6213280:6213067-6213280:+	0.1242845046	0.017982018	0.3232091771	0.032967033
AT5G27710	A5:5:9814369-9814460:9814342-9814460:+	-0.1065138714	0.0474525475	-0.2579718671	0.0424575425
AT5G42940	A5:5:17219258-17220362:17219258-17220386:-	0.1224710115	0.0134865135	0.3887962315	0.0104895105
AT5G46390	RI:5:18818417:18818500-18818592:18818630:+	0.0717199524	0.0484515485	0.2764125671	0.0084915085
AT5G50565	A5:5:20580565-20580856:20580493-20580856:+	-0.1734173323	0.0324675325	-0.3555635986	0.0212287712
AT5G53900	RI:5:21882329:21882734-21882857:21882907:-	-0.4319658203	0.007992008	-0.675858644	0.034965035
AT5G61150	A5:5:24603983-24604075:24603983-24604081:-	0.2029647834	0.000999001	0.1880453645	0.015984016
AT5G61410	A3:5:24683858-24684045:24683852-24684045:-	0.0752445229	0.006993007	0.0678873207	0.0204795205
AT5G61530	A5:5:24744078-24744194:24744051-24744194:+	-0.0581698541	0.0494505495	0.2478619315	0.0434565435
