gene	event	dpsi_Cai	p_val_Cai	dpsi_Parker20c	p_val_Parker20c
AT1G19650	RI:1:6798854:6798953-6799099:6799384:-	-0.2111520047	0.0124875125	-0.1873903149	0.0294705295
AT1G23080	A5:1:8182128-8182206:8182128-8182218:-	-0.4502530475	0.0	-0.4583543155	0.0
AT1G23360	RI:1:8296254:8296342-8296419:8296509:-	-0.1848437046	0.0114885115	-0.2354848745	0.0034965035
AT1G24160	A5:1:8555849-8556140:8555849-8556145:-	-0.0711349716	0.045954046	-0.1238748097	0.0024975025
AT1G24793_and_AT1G24800	A5:1:8768836-8768903:8768808-8768903:+	0.2549810674	0.0464535465	0.233788882	0.007992008
AT1G26850	A5:1:9303439-9303845:9303439-9303909:-	0.0747633111	0.0144855145	0.1014520978	0.004995005
AT1G27770	RI:1:9673281:9675232-9675309:9675363:-	-0.1828780283	0.012987013	-0.1581346308	0.00999001
AT1G27900	RI:1:9716179:9716339-9716538:9716607:-	-0.2388069147	0.044955045	-0.3126824158	0.008991009
AT1G28960	RI:1:10109500:10109811-10109926:10110022:-	0.2070255826	0.027972028	0.1061306395	0.040959041
AT1G29040_and_AT1G29041	A3:1:10134777-10135051:10134777-10135058:+	-0.3150104097	0.007992008	-0.3709764101	0.0
AT1G29040_and_AT1G29041	A5:1:10134581-10134686:10134536-10134686:+	-0.1507941228	0.007992008	-0.0824346053	0.0214785215
AT1G29040_and_AT1G29041	A5:1:10134797-10135051:10134777-10135051:+	0.1822884359	0.007992008	0.2382997508	0.0022477522
AT1G29850	A3:1:10448745-10448846:10448745-10448849:+	-0.1371837377	0.008991009	-0.1440204224	0.008991009
AT1G30410	RI:1:10739326:10739689-10739823:10740001:+	-0.2402585923	0.0367132867	-0.1494374979	0.026973027
AT1G30690	A5:1:10887850-10888276:10887827-10888276:+	-0.0573009336	0.0444555445	-0.1301533323	0.0044955045
AT1G31420	A3:1:11252680-11252756:11252680-11252759:+	0.1534970119	0.004995005	0.1352433881	0.006993007
AT1G33470	A3:1:12145610-12145684:12145610-12145687:+	0.1472102501	0.013986014	0.1358857658	0.011988012
AT1G35515_and_AT1G35516	A5:1:13078929-13079305:13078915-13079305:+	-0.2243494542	0.002997003	-0.1820588266	0.0004995005
AT1G49950	A5:1:18496750-18496922:18496750-18497084:-	-0.6600236531	0.005994006	-0.2715838921	0.0307192807
AT1G49950	A5:1:18496750-18497084:18496750-18497129:-	0.2322028529	0.005994006	0.1889198263	0.005994006
AT1G50840	A3:1:18841644-18841948:18841644-18841951:+	0.1025663099	0.0334665335	0.1677643822	0.018981019
AT1G53190	AF:1:19837110:19837228-19837464:19837270:19837340-19837464:+	0.1098302255	0.041958042	0.0771623754	0.04995005
AT1G53310	A5:1:19888088-19888229:19888088-19888305:-	-0.0742824375	0.0454545455	-0.1122773098	0.0064935065
AT1G53650	A5:1:20030667-20030944:20030667-20030962:-	0.1540440777	0.0334665335	0.1520548239	0.0344655345
AT1G54030	RI:1:20168777:20169029-20169100:20169684:+	-0.1463482667	0.00999001	-0.1679463121	0.000999001
AT1G54310	A5:1:20274561-20274642:20274535-20274642:+	-0.2243770189	0.0134865135	-0.2195409163	0.008991009
AT1G55000	A5:1:20516205-20516272:20516178-20516272:+	0.1798662445	0.043956044	0.1208302311	0.0284715285
AT1G55340	A3:1:20652822-20652902:20652822-20652932:+	0.1103597241	0.0184815185	0.0829440116	0.026973027
AT1G56720	A3:1:21265570-21265873:21265565-21265873:-	-0.146628929	0.0224775225	-0.0990245143	0.0434565435
AT1G59750	A3:1:21982995-21983072:21982995-21983081:+	0.1555352994	0.026973027	0.0904268815	0.0457042957
AT1G59890	A5:1:22046241-22046502:22046226-22046502:+	0.2650869857	0.020979021	0.2369340264	0.0134865135
AT1G61010	SE:1:22474547-22474630:22474669-22474930:-	-0.2811986271	0.014985015	-0.2704104251	0.0174825175
AT1G62250	RI:1:22995814:22995919-22996058:22996230:-	-0.113967474	0.012987013	-0.1465616673	0.0324675325
AT1G62790	A3:1:23252943-23253384:23252943-23253387:+	0.1465491945	0.0074925075	0.0583471145	0.017982018
AT1G67700	A5:1:25375726-25375804:25375712-25375804:+	-0.2757009132	0.0	-0.2870261118	0.0
AT1G68820	A5:1:25866882-25866962:25866864-25866962:+	-0.2839293888	0.030969031	-0.2158547953	0.004995005
AT1G68910	A5:1:25908380-25908565:25908380-25908569:-	-0.1319917917	0.044955045	-0.1456700094	0.016983017
AT1G69510	A3:1:26126477-26126772:26126477-26126777:+	0.0434289211	0.0374625375	0.052115473	0.0264735265
AT1G70410	A5:1:26536517-26536604:26536517-26537404:-	0.0360968132	0.0424575425	0.1172890073	0.003996004
AT1G72640	A3:1:27346919-27347085:27346899-27347085:-	-0.086553894	0.017982018	-0.1446008392	0.0097402597
AT1G72640	A3:1:27347661-27347770:27347658-27347770:-	0.1999449646	0.0014985015	0.1778187476	0.0097402597
AT1G72640	RI:1:27346569:27346664-27346746:27346919:-	0.0565346624	0.0384615385	0.0428730067	0.04995005
AT1G72740	A5:1:27380901-27381147:27380901-27381165:-	0.1738768925	0.014985015	0.1883408038	0.001998002
AT1G73170	A5:1:27514268-27514351:27514268-27514355:-	0.1905307742	0.005994006	0.1416413772	0.020979021
AT1G73390	A5:1:27594166-27594495:27594166-27594499:-	0.3339742769	0.0074925075	0.2764097798	0.020979021
AT1G74810	A5:1:28107935-28108395:28107927-28108395:+	0.5473851859	0.013986014	0.6337098023	0.0384615385
AT1G77890_and_AT1G77910	A5:1:29293278-29293401:29293272-29293401:+	0.4820953445	0.02997003	0.5090583448	0.0014985015
AT1G77930	RI:1:29302026:29302163-29302249:29302712:+	-0.1208848867	0.006993007	-0.1199275562	0.013986014
AT1G78690	A5:1:29597235-29597316:29597210-29597316:+	-0.4261959545	0.031968032	-0.3256813586	0.023976024
AT1G79190	A5:1:29792228-29792309:29792210-29792309:+	-0.4199774551	0.0174825175	-0.6309078514	0.0
AT1G79270	A5:1:29816515-29816607:29816190-29816607:+	-0.1302061216	0.024975025	-0.1710234825	0.030969031
AT1G79270	A5:1:29816515-29816607:29816510-29816607:+	-0.5430984206	0.023976024	-0.4057881885	0.030969031
AT2G01420	A5:2:181847-182005:181847-182017:-	-0.3571709625	0.0	-0.3495297986	0.0
AT2G02080	A5:2:520660-520977:520660-520981:-	-0.6120559816	0.0	-0.5127818722	0.0
AT2G02560	A3:2:690380-690463:690380-690469:+	0.129881176	0.0334665335	0.1584381794	0.006993007
AT2G04690	A5:2:1646066-1646155:1646031-1646155:+	-0.1680687544	0.013986014	-0.1689154978	0.0157342657
AT2G04690	RI:2:1645914:1646031-1646155:1646443:+	-0.3295384823	0.013986014	-0.2554600037	0.0034965035
AT2G04690	RI:2:1645914:1646066-1646155:1646443:+	-0.3069972213	0.013986014	-0.1014139539	0.0221445221
AT2G04790	A5:2:1679909-1680015:1679886-1680015:+	0.2532934905	0.001998002	0.3482693394	0.0074925075
AT2G06025	RI:2:2351395:2351548-2351672:2351748:+	-0.2392210055	0.003996004	-0.143718511	0.006993007
AT2G15580	A3:2:6798141-6798522:6798141-6798527:+	0.0851428384	0.028971029	0.1259578571	0.021978022
AT2G16370	RI:2:7082240:7082470-7082545:7082710:-	-0.1135654793	0.042957043	-0.1126078714	0.017982018
AT2G16930	A5:2:7341247-7341489:7341210-7341489:+	-0.3201131551	0.0	-0.2701567333	0.0
AT2G17500	A3:2:7606870-7606944:7606870-7606963:+	0.234584255	0.031968032	0.171198362	0.0094905095
AT2G17500	A5:2:7606870-7606944:7606823-7606944:+	0.5075756794	0.002997003	0.382552092	0.000999001
AT2G19080	RI:2:8264134:8264194-8264305:8264449:+	-0.2110932433	0.0094905095	-0.1710385803	0.002997003
AT2G19730	A3:2:8511560-8511739:8511560-8511743:+	-0.0569325909	0.026973027	-0.0454921719	0.038961039
AT2G19880	A5:2:8584264-8584469:8584261-8584469:+	0.1470124365	0.0204795205	0.124047948	0.0254745255
AT2G21195	RI:2:9083144:9083261-9083339:9083392:+	-0.1842018596	0.006993007	-0.1806378603	0.001998002
AT2G21370	A3:2:9139589-9139703:9139585-9139703:-	-0.1636349783	0.006993007	-0.166417354	0.040959041
AT2G21385_and_AT2G21390	A3:2:9149797-9149885:9149797-9150092:+	-0.1217492304	0.044955045	-0.5034710435	0.0464535465
AT2G21385_and_AT2G21390	RI:2:9149885:9149976-9150112:9150197:+	-0.2807941067	0.035964036	-0.3042020728	0.0464535465
AT2G22490	A3:2:9554417-9554505:9554414-9554505:-	-0.1267621988	0.025974026	-0.1242837415	0.015984016
AT2G22570	RI:2:9589797:9589982-9590081:9590214:-	-0.4511201153	0.003996004	-0.3319732445	0.0004995005
AT2G22990	A5:2:9789750-9789845:9789746-9789845:+	-0.0834878241	0.031968032	-0.0899069698	0.031968032
AT2G23980_and_AT2G23987	RI:2:10202598:10202911-10202981:10203193:-	-0.2687256973	0.014985015	-0.1969029554	0.0
AT2G24270	A3:2:10329618-10329722:10329607-10329722:-	-0.0658498921	0.017982018	0.0593966382	0.028971029
AT2G24270	RI:2:10327035:10327134-10327330:10327438:-	0.0658776736	0.017982018	-0.0592386386	0.028971029
AT2G25480	A3:2:10844270-10844348:10844270-10844351:+	0.1239746403	0.015984016	0.1287038732	0.030969031
AT2G25670	RI:2:10930299:10930719-10930828:10931090:-	-0.1169959311	0.0034965035	-0.0744841601	0.0144855145
AT2G25740	RI:2:10980122:10980344-10980621:10980688:+	-0.4618883104	0.002997003	-0.5018931378	0.0
AT2G26600	A5:2:11316793-11316999:11316613-11316999:+	-0.1335525819	0.0464535465	-0.106980487	0.0444555445
AT2G27230	A5:2:11650729-11650817:11650691-11650817:+	-0.1157513954	0.018981019	-0.1098658246	0.0194805195
AT2G27350	A3:2:11699997-11700081:11699994-11700081:-	-0.1861717412	0.017982018	-0.2257581469	0.0044955045
AT2G32320	A5:2:13729242-13729567:13729206-13729567:+	-0.3407541667	0.018981019	-0.3950011113	0.000999001
AT2G32700	A3:2:13869938-13870117:13869938-13870123:+	0.1346315912	0.035964036	0.1289082523	0.008991009
AT2G33480	A3:2:14181789-14181879:14181789-14181885:+	0.1288378043	0.0094905095	0.0934778733	0.031968032
AT2G33540	RI:2:14207914:14208049-14208175:14209192:-	-0.4069634929	0.000999001	-0.3624376558	0.0
AT2G34900	A5:2:14725183-14725545:14725183-14725584:-	-0.2138195904	0.011988012	-0.087292538	0.027972028
AT2G36680	RI:2:15369246:15369361-15369449:15369495:-	-0.4206063573	0.002997003	-0.3662212072	0.002997003
AT2G36680	RI:2:15369246:15369366-15369449:15369495:-	-0.338709427	0.002997003	-0.3874508032	0.0
AT2G37480	A3:2:15738899-15739250:15738899-15739253:+	-0.1276520154	0.007992008	-0.1515770126	0.0014985015
AT2G37510	RI:2:15742980:15743353-15743429:15743497:-	-0.2411138154	0.043956044	-0.1945594672	0.031968032
AT2G38040	A3:2:15920771-15920848:15920771-15920856:+	-0.1186994895	0.0034965035	-0.1233343616	0.0044955045
AT2G38280	A5:2:16033654-16033727:16033654-16033742:-	-0.1497590714	0.0084915085	-0.2296554345	0.0004995005
AT2G39730	A5:2:16571066-16571180:16571066-16571191:-	-0.251396423	0.0	-0.2517537881	0.0
AT2G41720	RI:2:17403645:17403808-17403905:17404025:-	-0.2278514462	0.008991009	-0.1137379416	0.0324675325
AT2G42190	RI:2:17582673:17582855-17582997:17583141:+	0.0790388624	0.0334665335	-0.0888548192	0.016983017
AT2G43490	A5:2:18057937-18058045:18057937-18058057:-	0.3395493203	0.035964036	0.3494628573	0.013986014
AT2G45740	A3:2:18839698-18839852:18839698-18839855:+	0.11646341	0.0034965035	0.1192158484	0.003996004
AT2G45830	RI:2:18865923:18866503-18866607:18867160:+	-0.6414262673	0.04995005	-0.5275709588	0.0034965035
AT2G46270	A5:2:19002230-19002322:19002161-19002322:+	-0.4039033062	0.018981019	-0.252250185	0.007992008
AT2G47640	A3:2:19537529-19537860:19537529-19537863:+	-0.1995876593	0.004995005	-0.2104619445	0.000999001
AT2G47640	A5:2:19537260-19537350:19537255-19537350:+	-0.097561834	0.0204795205	-0.0601715014	0.0384615385
AT2G48070	A5:2:19663669-19663747:19663657-19663747:+	0.0710985996	0.014985015	0.0511516923	0.037962038
AT3G01150	A5:3:53958-54129:53911-54129:+	-0.2143121574	0.0264735265	-0.1034540254	0.0184815185
AT3G01150	SE:3:52364-52645:52746-52889:+	-0.1719973633	0.0264735265	-0.126678824	0.0184815185
AT3G01310	A5:3:101356-101514:101356-101532:-	-0.2275763141	0.0254745255	-0.257441359	0.002997003
AT3G01310	RI:3:101297:101356-101532:101660:-	-0.1901906867	0.0314685315	-0.1630218712	0.0037462537
AT3G01340	A5:3:128483-128880:128483-128892:-	0.0840491287	0.025974026	0.0849181851	0.0084915085
AT3G02260	A3:3:447203-447288:447200-447288:-	0.3168136811	0.023976024	-0.1021415553	0.036963037
AT3G02260	A5:3:448000-448168:448000-448198:-	-0.2373423071	0.023976024	-0.1169178825	0.036963037
AT3G02740	RI:3:590425:590808-591041:591167:+	-0.1210536113	0.047952048	-0.2725682286	0.0014985015
AT3G04630	A3:3:1259461-1259567:1259461-1259570:+	-0.1942741791	0.0054945055	-0.2064178175	0.000999001
AT3G04910	A5:3:1355277-1355718:1355275-1355718:+	0.108459688	0.033966034	0.1465669148	0.001998002
AT3G05380	A5:3:1539763-1540550:1539728-1540550:+	0.4686773711	0.011988012	0.3361061545	0.001998002
AT3G05420	A3:3:1563298-1563412:1563298-1563415:+	-0.1615565942	0.006993007	-0.1546959933	0.0034965035
AT3G05932_and_AT3G05935	AL:3:1770911:1771130-1772228:1771503:1771533-1772228:-	0.2552510283	0.0484515485	0.2848956904	0.003996004
AT3G06400	A5:3:1944688-1944770:1944682-1944770:+	-0.1152138573	0.023976024	-0.1287214101	0.00999001
AT3G07300	A3:3:2327424-2327536:2327406-2327536:-	0.1789226213	0.0134865135	0.1104452746	0.016983017
AT3G07300	A5:3:2326220-2326719:2326220-2326725:-	-0.2752183953	0.011988012	-0.2831775715	0.0
AT3G07510	A5:3:2394486-2394568:2394486-2394574:-	0.3600233865	0.003996004	0.3350337997	0.0004995005
AT3G07565	A3:3:2414825-2415061:2414825-2415064:+	0.2481869686	0.032967033	0.1695474532	0.008991009
AT3G07770	A3:3:2479064-2479544:2479064-2479549:+	0.1397288604	0.004995005	-0.1165777685	0.025974026
AT3G11930	A3:3:3776659-3776910:3776659-3776916:+	0.1333430326	0.028971029	0.1317140641	0.006993007
AT3G11930	A3:3:3776659-3776913:3776659-3776916:+	0.1099562235	0.028971029	0.1090843944	0.006993007
AT3G13062_and_AT3G13065	A5:3:4185382-4185464:4185358-4185464:+	-0.2319520091	0.0024975025	-0.1863109551	0.000999001
AT3G13120	A5:3:4220100-4220273:4220100-4220289:-	0.0451936491	0.042957043	0.0744859753	0.030969031
AT3G14010	A3:3:4636611-4637143:4636611-4637147:+	-0.145812801	0.0424575425	-0.2312020843	0.0
AT3G14010	A5:3:4636611-4637143:4636597-4637143:+	-0.1501135803	0.0387112887	-0.1067034932	0.0141525142
AT3G14010	A5:3:4638938-4639007:4638932-4639007:+	0.168899849	0.0274725275	0.2516638104	0.0012487512
AT3G14150	A5:3:4692688-4692927:4692688-4692931:-	0.4034118993	0.0134865135	0.3524326642	0.013986014
AT3G19460	A5:3:6748909-6748991:6748904-6748991:+	0.3446487625	0.007992008	0.3514172482	0.005994006
AT3G19460	RI:3:6747370:6747663-6747929:6748109:+	-0.9131888344	0.0412920413	-0.6508834412	0.021978022
AT3G19460	RI:3:6748759:6748909-6748991:6749322:+	-0.400566273	0.0412920413	-0.493225665	0.015984016
AT3G19860	A5:3:6904068-6904568:6903989-6904568:+	-0.1143602452	0.0304695305	-0.1286182992	0.003996004
AT3G20070	A5:3:7006635-7006706:7006635-7006734:-	0.3056338617	0.034965035	0.4398710964	0.031968032
AT3G21175	A5:3:7423334-7423408:7423328-7423408:+	0.2980766083	0.0024975025	0.315106455	0.0004995005
AT3G21430	A5:3:7548778-7548863:7548778-7548875:-	-0.1420523186	0.0454545455	-0.1581469522	0.015984016
AT3G23280	SE:3:8323014-8323099:8323170-8323363:+	0.1220376502	0.031968032	0.0858432734	0.0154845155
AT3G23470_and_AT3G23480	RI:3:8420278:8420426-8420496:8420595:+	-0.3937319194	0.011988012	-0.5730254929	0.047952048
AT3G24530	RI:3:8947110:8947208-8947286:8947396:-	-0.21203655	0.0034965035	-0.1622581144	0.011988012
AT3G24740	RI:3:9031847:9032064-9032377:9033475:+	-0.2150006628	0.026973027	-0.1140235893	0.031968032
AT3G26690	RI:3:9805328:9805408-9805473:9805781:-	-0.2527426936	0.017982018	-0.1893476019	0.0034965035
AT3G27260	A3:3:10070372-10070619:10070372-10070646:+	-0.1459636689	0.01998002	-0.2865197714	0.0
AT3G27770	RI:3:10287152:10287280-10287397:10287581:-	0.1495236216	0.004995005	0.1155819144	0.005994006
AT3G44310	A5:3:15987742-15987932:15987551-15987932:+	-0.1489890745	0.004995005	0.09840606	0.018981019
AT3G44590	A3:3:16163884-16163976:16163884-16163979:+	-0.0880444563	0.026973027	-0.085262389	0.022977023
AT3G44665_and_AT3G44670	RI:3:16216806:16217057-16217237:16217410:+	-0.1505960355	0.0084915085	-0.2211135103	0.0044955045
AT3G46830	A5:3:17248395-17248518:17248395-17248615:-	-0.0963203432	0.024975025	-0.1739192125	0.0014985015
AT3G48060	A3:3:17748022-17748235:17748019-17748235:-	-0.3304434528	0.0094905095	-0.2305478769	0.0104895105
AT3G52170	A3:3:19349146-19349394:19349132-19349394:-	-0.1570240591	0.040959041	-0.322028711	0.006993007
AT3G52560	A5:3:19495028-19495266:19495028-19495269:-	0.0957855805	0.023976024	0.090847997	0.0224775225
AT3G53970	RI:3:19986686:19986758-19986880:19986960:+	-0.1265240109	0.026973027	-0.0939154197	0.012987013
AT3G54010	RI:3:20001229:20001313-20001384:20001453:+	-0.1536180053	0.0094905095	-0.1267434577	0.004995005
AT3G54500	RI:3:20178714:20178804-20178941:20179070:-	-0.1261480804	0.003996004	-0.3398923341	0.011988012
AT3G57050	A5:3:21114059-21114162:21114059-21114207:-	0.1886867571	0.006993007	0.2041625996	0.0
AT3G57530	RI:3:21297148:21297375-21297470:21297637:-	-0.1184417707	0.0124875125	-0.1014816773	0.0114885115
AT3G58050	A3:3:21493175-21493245:21493175-21493248:+	-0.1983321575	0.018981019	-0.125619876	0.0244755245
AT3G59060	A3:3:21828308-21828386:21828302-21828386:-	-0.0412739514	0.04995005	-0.0778861537	0.01998002
AT3G59060	A3:3:21829913-21830182:21829902-21830182:-	-0.0782921575	0.047952048	-0.0729194341	0.01998002
AT3G59360	A5:3:21935624-21935804:21935624-21935812:-	-0.3444619836	0.0024975025	-0.3488328027	0.0
AT3G61600	RI:3:22797128:22797937-22798054:22798324:+	0.0996209509	0.0254745255	0.1170262711	0.0014985015
AT3G62840	A3:3:23236114-23236488:23236111-23236488:-	-0.1410276404	0.0024975025	-0.1385058751	0.0024975025
AT3G62940	A3:3:23264254-23264639:23264238-23264639:-	0.1814441792	0.00999001	0.2078690201	0.011988012
AT3G63460	A5:3:23434825-23434944:23434825-23434950:-	0.3863730251	0.0	0.4354928643	0.0
AT3G63480	A5:3:23442601-23442678:23442601-23442690:-	-0.7631915639	0.002997003	-0.5217846077	0.0164835165
AT4G01040_and_AT4G01050	A3:4:455057-455151:455057-455157:+	0.1742208761	0.014985015	0.078622484	0.026973027
AT4G01330	A3:4:552656-552731:552656-552734:+	-0.1620822683	0.004995005	-0.1464553735	0.0024975025
AT4G02920	A3:4:1292905-1293227:1292905-1293230:+	-0.0680786037	0.0214785215	-0.0784579268	0.011988012
AT4G03110	A3:4:1377410-1377508:1377407-1377508:-	-0.1147370337	0.040959041	-0.1176856716	0.017982018
AT4G08320	A3:4:5254526-5254613:5254526-5254616:+	0.1861110229	0.023976024	0.1321439134	0.0244755245
AT4G09150	A3:4:5830966-5831044:5830966-5831047:+	-0.1658737807	0.0134865135	-0.1136187229	0.0104895105
AT4G09980	A5:4:6248662-6249105:6248662-6249116:-	-0.4145428306	0.0004995005	-0.4144532977	0.000999001
AT4G10100	A5:4:6308849-6309085:6308816-6309085:+	-0.2353720816	0.0134865135	-0.1723385493	0.0007492507
AT4G10100	A5:4:6308849-6309085:6308832-6309085:+	-0.2378428676	0.0134865135	-0.2628594046	0.0007492507
AT4G10970	A5:4:6721885-6722029:6721885-6722138:-	-0.2015279055	0.008991009	-0.1738739225	0.00999001
AT4G14965	A5:4:8552769-8552924:8552747-8552924:+	0.2321128071	0.0014985015	0.1274960891	0.010989011
AT4G15090	A5:4:8614344-8614693:8614273-8614693:+	-0.4554960873	0.031968032	-0.3579223625	0.015984016
AT4G16660	RI:4:9376699:9376834-9377179:9377986:+	0.0639834269	0.0354645355	0.1050493946	0.0194805195
AT4G17150	A5:4:9638824-9638926:9638820-9638926:+	-0.2843816286	0.04995005	-0.1731334332	0.0424575425
AT4G17570	A5:4:9785903-9785984:9785903-9785996:-	-0.5635815132	0.0004995005	-0.5120605804	0.0014985015
AT4G18740	RI:4:10303343:10303631-10303725:10303835:-	0.2271677039	0.008991009	0.1658652369	0.011988012
AT4G18740	RI:4:10303392:10303631-10303725:10303835:-	-0.3333333333	0.008991009	-0.0929097613	0.0487012987
AT4G19110	A3:4:10455020-10455115:10455011-10455115:-	-0.0705600537	0.047952048	-0.0577992766	0.0494505495
AT4G22320	A3:4:11793278-11793605:11793275-11793605:-	-0.297701779	0.0034965035	-0.2335054334	0.0094905095
AT4G22890	A3:4:12007355-12007782:12007355-12007788:+	0.0972551563	0.0224775225	0.130372504	0.00999001
AT4G23270	RI:4:12173486:12173873-12173941:12174297:+	-0.3558046509	0.043956044	-0.0954647423	0.02997003
AT4G23910	A5:4:12426729-12427055:12426711-12427055:+	0.493785822	0.0	0.4258827612	0.0
AT4G24740	RI:4:12754946:12755048-12755142:12755239:-	-0.2206855421	0.013986014	-0.1950418326	0.013986014
AT4G26300	A3:4:13312270-13312648:13312266-13312648:-	-0.1746351849	0.0374625375	-0.1637112976	0.0274725275
AT4G26400	A5:4:13346067-13346388:13346067-13346405:-	-0.2878146618	0.002997003	-0.4412861039	0.0
AT4G26630	A5:4:13434925-13435596:13434925-13435652:-	0.1117598104	0.0044955045	0.1270019899	0.002997003
AT4G26965	A5:4:13539832-13540218:13539828-13540218:+	-0.5302885976	0.0024975025	-0.4855635692	0.000999001
AT4G27960	RI:4:13917134:13917240-13917343:13917500:-	-0.0529474027	0.0254745255	-0.0678563374	0.0114885115
AT4G28025	A5:4:13936536-13937258:13936536-13937285:-	0.1073016221	0.004995005	0.1002134677	0.005994006
AT4G30993_and_AT4G08425	RI:4:15099299:15099410-15099504:15099616:+	0.0611265106	0.042957043	0.0707306457	0.0494505495
AT4G31150	RI:4:15144189:15144317-15144493:15144609:-	-0.2549060977	0.041958042	-0.2172449608	0.017982018
AT4G31170	A5:4:15155118-15155467:15155118-15155576:-	-0.2085885235	0.013986014	-0.1523244638	0.0034965035
AT4G31180	A5:4:15156078-15156669:15156073-15156669:+	-0.1226656732	0.0104895105	-0.1280565521	0.008991009
AT4G31350	A5:4:15212741-15213049:15212726-15213049:+	-0.1779383016	0.035964036	-0.1803463996	0.035964036
AT4G32330	A5:4:15609117-15609790:15609106-15609790:+	-0.1456394291	0.011988012	-0.1957738196	0.0
AT4G32660	RI:4:15756993:15757019-15757112:15757265:+	-0.1375341403	0.020979021	-0.0933812434	0.046953047
AT4G32760	A3:4:15802970-15803159:15802970-15803162:+	-0.07355538	0.044955045	-0.1184130978	0.0034965035
AT4G32900	A5:4:15879418-15879538:15879418-15879546:-	-0.1274844	0.032967033	-0.2332118017	0.003996004
AT4G33650	A3:4:16164871-16164960:16164871-16164963:+	0.1471153398	0.023976024	0.1878172837	0.0054945055
AT4G34100	A3:4:16333483-16333643:16333483-16333646:+	-0.1122096463	0.0234765235	-0.0930274024	0.0124875125
AT4G39100	A3:4:18218753-18219336:18218733-18219336:-	-0.1266086026	0.0124875125	-0.1343209969	0.0054945055
