chr	5’SS 1	5’SS 2	3’SS	gene	strand	diff
1	25375712	25375726	25375803	AT1G67700	+	-0.267
1	813581	813604	813928	AT1G03310	+	-0.451
2	10205241	10205501	10205622	AT2G23985	+	-0.304
2	10205474	10205501	10205622	AT2G23985	+	-0.199
1	2379729	2379798	2380103	AT1G07700	+	0.214
1	8246298	8246303	8246562	AT1G23230	+	-0.269
5	4876966	4876984	4877138	AT5G15070	+	-0.373
3	6748904	6748909	6748990	AT3G19460	+	0.308
3	53911	53958	54128	AT3G01150	+	-0.205
4	7183002	7183006	7183224	AT4G11970	+	-0.386
1	26622786	26622797	26622940	AT1G70610	+	-0.189
1	9086897	9087046	9087152	AT1G26260	+	-0.658
1	29293272	29293278	29293400	AT1G77890	+	0.486
1	6550669	6550681	6550762	AT1G18950	+	-0.635
4	8614273	8614344	8614692	AT4G15090	+	-0.454
4	8614449	8614486	8614692	AT4G15090	+	0.245
1	5668709	5668739	5668918	AT1G16560	+	0.711
4	9638820	9638824	9638925	AT4G17150	+	-0.288
2	950208	950231	950308	AT2G03140	+	-0.491
2	7341210	7341247	7341488	AT2G16930	+	-0.367
3	5940644	5940671	5940804	AT3G17360	+	-0.246
1	23154534	23154588	23154663	AT1G62540	+	0.285
2	14929401	14929448	14929889	AT2G35550	+	-0.643
2	14929401	14929477	14929889	AT2G35550	+	-0.48
2	18062595	18062599	18062693	AT2G43500	+	0.395
2	19002161	19002230	19002321	AT2G46270	+	-0.399
3	4638932	4638938	4639006	AT3G14010	+	0.702
3	7423328	7423334	7423407	AT3G21175	+	0.227
5	18967802	18967822	18967717	AT5G46740	-	0.323
5	17843414	17843432	17843307	AT5G44290	-	0.145
5	14789310	14789342	14789219	AT5G37340	-	0.511
5	24167445	24168033	24167331	AT5G60022	-	0.303
5	4772875	4772878	4772796	AT5G14770	-	-0.197
5	3452075	3452084	3451575	AT5G10940	-	0.15
5	14975877	14975901	14975574	AT5G37690	-	0.293
5	248875	248979	248443	AT5G01660	-	-0.482
4	17974504	17974518	17974419	AT4G38380	-	-0.508
4	15879537	15879545	15879418	AT4G32900	-	-0.241
4	6249104	6249115	6248662	AT4G09980	-	-0.388
4	18561988	18561992	18561884	AT4G40050	-	-0.405
3	23442677	23442689	23442601	AT3G63480	-	-0.494
3	23434943	23434949	23434825	AT3G63460	-	0.423
3	23392347	23392378	23392246	AT3G63340	-	0.448
3	20178157	20178160	20178064	AT3G54500	-	0.238
4	12567237	12567250	12567132	AT4G24230	-	0.175
5	13525620	13525641	13525279	AT5G35330	-	0.218
2	520976	520980	520660	AT2G02080	-	-0.484
1	27381146	27381164	27380901	AT1G72740	-	0.193
1	26565290	26565317	26565161	AT1G70490	-	-0.539
1	26565301	26565317	26565161	AT1G70490	-	-0.65
1	25540793	25541435	25540430	AT1G68140	-	-0.292
1	19842633	19842650	19842517	AT1G53200	-	-0.153
1	27594494	27594498	27594166	AT1G73390	-	0.377
1	1417325	1417973	1416978	AT1G04985	-	0.182
1	6952305	6952308	6952224	AT1G20060	-	0.731
1	6952652	6952655	6952571	AT1G20060	-	0.604
1	5323152	5323157	5322960	AT1G15490	-	-0.394
1	6025504	6025522	6025378	AT1G17520	-	0.181
3	101513	101531	101356	AT3G01310	-	-0.251
2	182004	182016	181847	AT2G01420	-	-0.348
2	11821606	11821651	11820884	AT2G27730	-	-0.331
3	21114161	21114206	21114059	AT3G57050	-	0.194
3	2326718	2326724	2326220	AT3G07300	-	-0.34
1	8570	8593	8464	AT1G01020	-	0.356
1	1804951	1804962	1804882	AT1G05950	-	0.294
2	18058044	18058056	18057937	AT2G43490	-	0.415
2	16571179	16571190	16571066	AT2G39730	-	-0.25
1	2056632	2056650	2056329	AT1G06710	-	0.526
2	9257650	9257661	9257465	AT2G00720	-	0.358
4	9785983	9785995	9785903	AT4G17570	-	-0.507
1	8182205	8182217	8182128	AT1G23080	-	-0.516
1	1513824	1513830	1513744	AT1G05230	-	0.385
2	9848939	9849103	9848769	AT2G23140	-	0.194
2	18772378	18772421	18772281	AT2G45540	-	-0.452
2	16033726	16033741	16033654	AT2G38280	-	-0.243
2	16186904	16186915	16186823	AT2G38710	-	0.7
2	19137830	19138386	19137681	AT2G46610	-	-0.22
3	3611723	3611728	3611402	AT3G11470	-	0.299
3	7006705	7006733	7006635	AT3G20070	-	0.409
5	18056573	18056585	18056667	AT5G44750	+	0.325
5	9779844	9779904	9780007	AT5G27630	+	-0.336
5	6272075	6272091	6272195	AT5G18820	+	-0.335
5	3740877	3740942	3741503	AT5G11630	+	0.411
4	18315838	18315860	18316262	AT4G39390	+	-0.206
5	4777129	4777646	4777733	AT5G14780	+	0.214
5	15065479	15065512	15065604	AT5G37850	+	0.188
4	15609106	15609117	15609789	AT4G32330	+	-0.147
5	17699285	17699345	17699457	AT5G43990	+	-0.391
1	22046226	22046241	22046501	AT1G59890	+	0.24
2	1161724	1161729	1162632	AT2G03810	+	-0.311
1	29792210	29792228	29792308	AT1G79190	+	-0.652
1	29597190	29597235	29597315	AT1G78690	+	-0.281
1	29597210	29597235	29597315	AT1G78690	+	-0.321
2	1679886	1679909	1680014	AT2G04790	+	0.349
1	29816510	29816515	29816606	AT1G79270	+	-0.403
1	25866864	25866882	25866961	AT1G68820	+	-0.16
4	15297993	15297997	15298145	AT4G31570	+	-0.213
2	1646031	1646066	1646154	AT2G04690	+	-0.168
1	20722292	20722308	20722393	AT1G55500	+	-0.143
1	17462224	17462227	17462308	AT1G47550	+	0.14
1	18511962	18511993	18512089	AT1G49980	+	-0.36
1	18511962	18511998	18512089	AT1G49980	+	-0.311
1	10134536	10134621	10134685	AT1G29040	+	-0.154
1	25375712	25375726	25375803	AT1G67700	+	-0.281
1	813581	813604	813928	AT1G03310	+	-0.464
2	10205693	10205710	10206103	AT2G23985	+	-0.178
1	8246298	8246303	8246562	AT1G23230	+	-0.441
5	4876966	4876984	4877138	AT5G15070	+	-0.507
1	13078915	13078929	13079304	AT1G35516	+	-0.183
2	15421484	15421504	15421583	AT2G36792	+	0.386
3	6748904	6748909	6748990	AT3G19460	+	0.292
2	2068646	2068651	2068737	AT2G05590	+	-0.196
1	20274535	20274561	20274641	AT1G54310	+	-0.238
4	7183002	7183006	7183224	AT4G11970	+	-0.336
1	3628229	3628972	3629097	AT1G10890	+	0.16
1	29293272	29293278	29293400	AT1G77890	+	0.57
1	4864965	4865032	4865150	AT1G14240	+	0.166
1	4615978	4616059	4616427	AT1G13460	+	0.163
1	6550669	6550681	6550762	AT1G18950	+	-0.533
1	6550669	6550681	6550768	AT1G18950	+	-0.528
4	8614273	8614344	8614692	AT4G15090	+	-0.309
4	17939168	17939176	17939445	AT4G38270	+	-0.366
1	5668709	5668739	5668918	AT1G16560	+	0.504
4	9638820	9638824	9638925	AT4G17150	+	-0.205
1	1584581	1584588	1584680	AT1G05400	+	0.403
1	9611876	9612429	9612589	AT1G27630	+	-0.165
1	10029267	10029435	10029673	AT1G28520	+	-0.207
1	30181053	30181077	30181231	AT1G80270	+	-0.239
2	950208	950231	950308	AT2G03140	+	-0.366
2	7341210	7341247	7341488	AT2G16930	+	-0.281
2	13729206	13729242	13729566	AT2G32320	+	-0.229
2	14929401	14929477	14929889	AT2G35550	+	-0.466
2	18062595	18062599	18062693	AT2G43500	+	0.592
2	19002161	19002230	19002321	AT2G46270	+	-0.253
1	29665589	29665602	29665763	AT1G78910	+	-0.369
1	23421305	23421321	23421456	AT1G63150	+	0.561
3	1539728	1539763	1540549	AT3G05380	+	0.374
3	3906416	3906525	3906620	AT3G12250	+	-0.21
3	4638932	4638938	4639006	AT3G14010	+	0.693
3	6903989	6904068	6904567	AT3G19860	+	-0.131
3	7423328	7423334	7423407	AT3G21175	+	0.278
2	13381092	13381103	13381219	AT2G31370	+	-0.17
5	16674361	16674167	16674075	AT5G41690	-	-0.64
5	14789342	14789310	14789219	AT5G37340	-	0.439
5	5691698	5691550	5691388	AT5G17300	-	-0.589
5	248979	248875	248443	AT5G01660	-	0.539
4	17974518	17974504	17974419	AT4G38380	-	0.525
4	6249115	6249104	6248662	AT4G09980	-	-0.332
4	18561992	18561988	18561884	AT4G40050	-	0.494
3	23434949	23434943	23434825	AT3G63460	-	-0.653
3	23392378	23392347	23392246	AT3G63340	-	-0.477
3	21275591	21275499	21275405	AT3G57470	-	-0.435
5	13525641	13525620	13525279	AT5G35330	-	-0.507
2	520980	520976	520660	AT2G02080	-	-0.348
1	27324982	27324957	27324871	AT1G72560	-	0.23
1	26565317	26565290	26565161	AT1G70490	-	-0.479
1	26565317	26565301	26565161	AT1G70490	-	0.439
1	27594498	27594494	27594166	AT1G73390	-	0.438
1	6952308	6952305	6952224	AT1G20060	-	-0.294
1	6952655	6952652	6952571	AT1G20060	-	-0.367
4	9686497	9686443	9686024	AT4G17310	-	0.367
1	5323157	5323152	5322960	AT1G15490	-	0.343
3	101531	101513	101356	AT3G01310	-	-0.359
2	182016	182004	181847	AT2G01420	-	-0.505
2	11821651	11821606	11820884	AT2G27730	-	0.324
3	21114206	21114161	21114059	AT3G57050	-	-0.271
3	2326724	2326718	2326220	AT3G07300	-	-0.424
1	8593	8570	8464	AT1G01020	-	-0.628
2	18058056	18058044	18057937	AT2G43490	-	-0.43
2	16571190	16571179	16571066	AT2G39730	-	-0.233
1	2056851	2056632	2056329	AT1G06710	-	0.371
1	2056851	2056650	2056329	AT1G06710	-	0.195
4	9785995	9785983	9785903	AT4G17570	-	0.572
1	8182217	8182205	8182128	AT1G23080	-	0.989
1	1513830	1513824	1513744	AT1G05230	-	0.435
2	6481870	6481827	6481656	AT2G15000	-	-0.326
5	3571869	3571759	3571668	AT5G11210	-	-0.411
5	3571869	3571813	3571668	AT5G11210	-	-0.248
2	16033741	16033726	16033654	AT2G38280	-	-0.244
3	19384459	19384455	19384000	AT3G52260	-	-0.505
3	3008347	3008263	3007938	AT3G09800	-	0.445
2	11315019	11314984	11314742	AT2G26590	-	0.299
3	7006733	7006705	7006635	AT3G20070	-	0.473
5	21498605	21499440	21499888	AT5G53020	+	0.458
5	18056573	18056585	18056667	AT5G44750	+	-0.254
5	7014894	7014916	7015009	AT5G20720	+	-0.389
5	3740877	3740942	3741503	AT5G11630	+	-0.417
4	15006702	15007211	15007601	AT4G30820	+	0.223
4	15006702	15007516	15007601	AT4G30820	+	-0.301
4	693500	693515	693612	AT4G01600	+	0.492
5	17699285	17699345	17699457	AT5G43990	+	0.327
1	22046226	22046241	22046501	AT1G59890	+	-0.218
1	29792210	29792228	29792308	AT1G79190	+	-0.236
2	1679886	1679909	1680014	AT2G04790	+	0.597
5	7379824	7380727	7380854	AT5G22300	+	-0.745
2	1646031	1646066	1646154	AT2G04690	+	-0.568
1	17462224	17462227	17462308	AT1G47550	+	0.595
1	18511962	18511998	18512089	AT1G49980	+	-0.408
1	10134536	10134621	10134685	AT1G29040	+	-0.499
1	25375712	25375726	25375803	AT1G67700	+	-0.296
1	813581	813604	813928	AT1G03310	+	0.405
1	24298970	24299090	24299225	AT1G09765	+	-0.574
1	2379729	2379798	2380103	AT1G07700	+	-0.559
2	15421484	15421504	15421583	AT2G36792	+	0.339
3	6748904	6748909	6748990	AT3G19460	+	0.316
1	26622786	26622797	26622940	AT1G70610	+	-0.356
1	29293272	29293278	29293400	AT1G77890	+	0.438
1	6550669	6550681	6550762	AT1G18950	+	-0.335
1	6550669	6550681	6550768	AT1G18950	+	-0.309
1	5668709	5668739	5668918	AT1G16560	+	-0.751
4	9638820	9638824	9638925	AT4G17150	+	-0.742
1	1584581	1584588	1584680	AT1G05400	+	-0.688
1	20860710	20860831	20861270	AT1G55810	+	-0.213
1	30181053	30181077	30181231	AT1G80270	+	0.373
2	950208	950231	950308	AT2G03140	+	-0.389
2	7341210	7341247	7341488	AT2G16930	+	0.632
2	14929401	14929477	14929889	AT2G35550	+	-0.225
2	19002161	19002230	19002321	AT2G46270	+	0.249
3	1539728	1539763	1540549	AT3G05380	+	0.707
3	4638932	4638938	4639006	AT3G14010	+	0.517
5	24883691	24883907	24883573	AT5G61960	-	-0.821
5	22363849	22364074	22363626	AT5G55100	-	0.331
4	18556501	18556743	18556417	AT4G40030	-	0.334
4	18556506	18556743	18556417	AT4G40030	-	-0.444
4	18561988	18561992	18561884	AT4G40050	-	-0.442
3	23434943	23434949	23434825	AT3G63460	-	0.259
3	18353443	18353466	18353210	AT3G49500	-	-0.32
1	25540793	25541435	25540430	AT1G68140	-	0.4
1	27594494	27594498	27594166	AT1G73390	-	0.44
1	6952305	6952308	6952224	AT1G20060	-	-0.473
1	6952652	6952655	6952571	AT1G20060	-	-0.744
1	2968474	2968479	2968403	AT1G09195	-	-0.764
2	182004	182016	181847	AT2G01420	-	0.447
2	11821606	11821651	11820884	AT2G27730	-	-0.581
2	16571179	16571190	16571066	AT2G39730	-	0.375
4	9785983	9785995	9785903	AT4G17570	-	0.428
1	8182205	8182217	8182128	AT1G23080	-	0.706
1	1513824	1513830	1513744	AT1G05230	-	0.69
4	12119101	12119113	12119031	AT4G23130	-	-0.295
2	12988669	12988673	12988582	AT2G30480	-	-0.828
3	16297397	16297561	16297317	AT3G44740	-	-0.398
1	19385232	19385479	19385140	AT1G52100	-	-0.19
5	3740877	3740942	3741503	AT5G11630	+	0.652
4	8552747	8552769	8552923	AT4G14965	+	-0.462
1	29597190	29597235	29597315	AT1G78690	+	-0.445
1	29815873	29816510	29816606	AT1G79270	+	-0.329
1	29815873	29816515	29816606	AT1G79270	+	-0.381
2	6773964	6773983	6774083	AT2G15530	+	0.409
1	5715520	5715637	5715723	AT1G16710	+	0.809
1	29293272	29293278	29293400	AT1G77890	+	0.708
1	6550669	6550681	6550762	AT1G18950	+	-0.46
1	5563200	5563364	5563717	AT1G16270	+	0.465
4	14219369	14219406	14219502	AT4G28790	+	0.367
3	4638932	4638938	4639006	AT3G14010	+	0.361
3	7423328	7423334	7423407	AT3G21175	+	0.738
